userId	geneSymbol	geneName	entrezgene	score	gLink
0610009B22Rik	0610009B22Rik	RIKEN cDNA 0610009B22 gene	66050	-2.62	https://www.ncbi.nlm.nih.gov/gene/?term=66050
0610010F05Rik	0610010F05Rik	RIKEN cDNA 0610010F05 gene	71675	-0.27	https://www.ncbi.nlm.nih.gov/gene/?term=71675
0610010K14Rik	0610010K14Rik	RIKEN cDNA 0610010K14 gene	104457	2.27	https://www.ncbi.nlm.nih.gov/gene/?term=104457
0610012G03Rik	0610012G03Rik	RIKEN cDNA 0610012G03 gene	106264	-2.4	https://www.ncbi.nlm.nih.gov/gene/?term=106264
0610030E20Rik	0610030E20Rik	RIKEN cDNA 0610030E20 gene	68364	2.58	https://www.ncbi.nlm.nih.gov/gene/?term=68364
0610037L13Rik	0610037L13Rik	RIKEN cDNA 0610037L13 gene	74098	-1.65	https://www.ncbi.nlm.nih.gov/gene/?term=74098
0610040J01Rik	0610040J01Rik	RIKEN cDNA 0610040J01 gene	76261	2.46	https://www.ncbi.nlm.nih.gov/gene/?term=76261
1110002E22Rik	1110002E22Rik	RIKEN cDNA 1110002E22 gene	102634333	0.27	https://www.ncbi.nlm.nih.gov/gene/?term=102634333
1110004F10Rik	1110004F10Rik	RIKEN cDNA 1110004F10 gene	56372	-1.73	https://www.ncbi.nlm.nih.gov/gene/?term=56372
1110008L16Rik	1110008L16Rik	RIKEN cDNA 1110008L16 gene	66132	-0.83	https://www.ncbi.nlm.nih.gov/gene/?term=66132
1110008P14Rik	1110008P14Rik	RIKEN cDNA 1110008P14 gene	73737	-0.49	https://www.ncbi.nlm.nih.gov/gene/?term=73737
1110012L19Rik	1110012L19Rik	RIKEN cDNA 1110012L19 gene	68618	2.38	https://www.ncbi.nlm.nih.gov/gene/?term=68618
1110032A03Rik	1110032A03Rik	RIKEN cDNA 1110032A03 gene	68721	-0.72	https://www.ncbi.nlm.nih.gov/gene/?term=68721
1110032F04Rik	1110032F04Rik	RIKEN cDNA 1110032F04 gene	68725	-0.94	https://www.ncbi.nlm.nih.gov/gene/?term=68725
1110038F14Rik	1110038F14Rik	RIKEN cDNA 1110038F14 gene	117171	-0.07	https://www.ncbi.nlm.nih.gov/gene/?term=117171
1110051M20Rik	1110051M20Rik	RIKEN cDNA 1110051M20 gene	228356	-1.88	https://www.ncbi.nlm.nih.gov/gene/?term=228356
1110059E24Rik	1110059E24Rik	RIKEN cDNA 1110059E24 gene	66206	-1.82	https://www.ncbi.nlm.nih.gov/gene/?term=66206
1110059G10Rik	1110059G10Rik	RIKEN cDNA 1110059G10 gene	66202	1.19	https://www.ncbi.nlm.nih.gov/gene/?term=66202
1110065P20Rik	1110065P20Rik	RIKEN cDNA 1110065P20 gene	68920	-1.73	https://www.ncbi.nlm.nih.gov/gene/?term=68920
1190002N15Rik	1190002N15Rik	RIKEN cDNA 1190002N15 gene	68861	-0.76	https://www.ncbi.nlm.nih.gov/gene/?term=68861
1190005I06Rik	1190005I06Rik	RIKEN cDNA 1190005I06 gene	68918	0.8	https://www.ncbi.nlm.nih.gov/gene/?term=68918
1190007I07Rik	1190007I07Rik	RIKEN cDNA 1190007I07 gene	544717	0.84	https://www.ncbi.nlm.nih.gov/gene/?term=544717
1500009C09Rik	1500009C09Rik	RIKEN cDNA 1500009C09 gene	76505	-1.43	https://www.ncbi.nlm.nih.gov/gene/?term=76505
1500009L16Rik	1500009L16Rik	RIKEN cDNA 1500009L16 gene	69784	-1.75	https://www.ncbi.nlm.nih.gov/gene/?term=69784
1500011B03Rik	1500011B03Rik	RIKEN cDNA 1500011B03 gene	66236	-0.26	https://www.ncbi.nlm.nih.gov/gene/?term=66236
1600002K03Rik	1600002K03Rik	RIKEN cDNA 1600002K03 gene	69770	0.38	https://www.ncbi.nlm.nih.gov/gene/?term=69770
1600012H06Rik	1600012H06Rik	RIKEN cDNA 1600012H06 gene	67912	0.91	https://www.ncbi.nlm.nih.gov/gene/?term=67912
1600014C10Rik	1600014C10Rik	RIKEN cDNA 1600014C10 gene	72244	2.23	https://www.ncbi.nlm.nih.gov/gene/?term=72244
1700001K19Rik	1700001K19Rik	RIKEN cDNA 1700001K19 gene	66323	1.41	https://www.ncbi.nlm.nih.gov/gene/?term=66323
1700001L19Rik	1700001L19Rik	RIKEN cDNA 1700001L19 gene	69315	-1.03	https://www.ncbi.nlm.nih.gov/gene/?term=69315
1700001O22Rik	1700001O22Rik	RIKEN cDNA 1700001O22 gene	73598	0.75	https://www.ncbi.nlm.nih.gov/gene/?term=73598
1700003E16Rik	1700003E16Rik	RIKEN cDNA 1700003E16 gene	71837	-1.17	https://www.ncbi.nlm.nih.gov/gene/?term=71837
1700008O03Rik	1700008O03Rik	RIKEN cDNA 1700008O03 gene	69349	-0.04	https://www.ncbi.nlm.nih.gov/gene/?term=69349
1700010I14Rik	1700010I14Rik	RIKEN cDNA 1700010I14 gene	66931	1.58	https://www.ncbi.nlm.nih.gov/gene/?term=66931
1700014D04Rik	1700014D04Rik	RIKEN cDNA 1700014D04 gene	102638268	0.3	https://www.ncbi.nlm.nih.gov/gene/?term=102638268
1700017B05Rik	1700017B05Rik	RIKEN cDNA 1700017B05 gene	74211	2.55	https://www.ncbi.nlm.nih.gov/gene/?term=74211
1700019D03Rik	1700019D03Rik	RIKEN cDNA 1700019D03 gene	67080	-2.04	https://www.ncbi.nlm.nih.gov/gene/?term=67080
