geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
WP3626	Microglia Pathogen Phagocytosis Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3626&label[]=Arpc1b&label[]=C1qa&label[]=C1qb&label[]=C1qc&label[]=Cyba&label[]=Cybb&label[]=Fcer1g&label[]=Fcgr1&label[]=Hck&label[]=Itgb2&label[]=Lyn&label[]=Ncf1&label[]=Ncf4&label[]=Nckap1l&label[]=Pik3c2a&label[]=Pik3cb&label[]=Pik3cd&label[]=Pik3cg&label[]=Pik3r1&label[]=Pik3r6&label[]=Plcg2&label[]=Rac2&label[]=Siglece&label[]=Syk&label[]=Trem2&label[]=Tyrobp&label[]=Vav1&label[]=Vav2&colors=%23C3D6E6,%23B7CEE2,%23B1CADF,%23B9CFE2,%23BDD2E4,%238AB0CF,%23BBD1E3,%23A4C1DA,%23BDD2E4,%23BBD1E3,%23C0D4E5,%23AEC8DE,%23C6D8E7,%23B7CEE2,%234682B4,%23719FC5,%237EA8CB,%23B1CADF,%239BBCD6,%23A1C0D9,%23C3D6E6,%23A7C3DB,%23A0BFD8,%23B4CCE0,%23BBD1E3,%23A1C0D9,%23AAC5DC,%23A6C2DA	0.6218024437828659	2.3716596160454535	0	0	38	./Project_wg_result1586971500_GSEA/WP3626.png	28	18704;74769;18707;13058;18708;83382;104709;22177;14129;22325;19354;22324;17969;12260;30955;20963;12259;105855;12262;14127;16414;83433;13057;15162;17096;234779;11867;17972	Arpc1b;C1qa;C1qb;C1qc;Cyba;Cybb;Fcer1g;Fcgr1;Hck;Itgb2;Lyn;Ncf1;Ncf4;Nckap1l;Pik3c2a;Pik3cb;Pik3cd;Pik3cg;Pik3r1;Pik3r6;Plcg2;Rac2;Siglece;Syk;Trem2;Tyrobp;Vav1;Vav2
WP3625	TYROBP Causal Network	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3625&label[]=Abcc4&label[]=Adap2&label[]=Apbb1ip&label[]=C1qc&label[]=Cd37&label[]=Cd84&label[]=Creb3l2&label[]=Cxcl16&label[]=Elf4&label[]=Fkbp15&label[]=Gal3st4&label[]=Hlx&label[]=Igsf6&label[]=Il10ra&label[]=Il13ra1&label[]=Itgb2&label[]=Lhfpl2&label[]=Lyl1&label[]=Maf&label[]=Nckap1l&label[]=Npc2&label[]=Nrros&label[]=Ppp1r18&label[]=Rnase6&label[]=Rps6ka1&label[]=Sft2d2&label[]=Sh2b3&label[]=Stat5a&label[]=Tcirg1&label[]=Tgfbr1&label[]=Tmem106a&label[]=Tnfrsf1b&label[]=Tyrobp&label[]=Zfp36l2&colors=%235B90BC,%2380A9CB,%23B6CDE1,%23B1CADF,%2390B4D2,%23B1CADF,%2394B7D3,%23B4CCE0,%23A6C2DA,%238DB2D0,%239ABBD6,%238DB2D0,%2389AFCF,%2390B4D2,%2394B7D3,%23B4CCE0,%23A0BFD8,%23B6CDE1,%23A6C2DA,%23B0C9DF,%239BBCD6,%234682B4,%23AEC8DE,%23A9C4DC,%23ADC7DD,%237AA5C9,%236395BF,%2393B6D3,%2393B6D3,%23A6C2DA,%235D91BD,%2394B7D3,%2397B9D5,%236E9DC4	0.5732309914498902	2.3470189910183517	0	0	55	./Project_wg_result1586971500_GSEA/WP3625.png	34	224109;239273;217203;16923;12193;108735;216991;80719;15284;338355;12493;16154;27060;20850;21938;208647;16164;22177;330217;67963;218454;17132;21812;56501;78416;20111;76448;105855;12523;12262;16414;66102;17095;54519	Abcc4;Adap2;Apbb1ip;C1qc;Cd37;Cd84;Creb3l2;Cxcl16;Elf4;Fkbp15;Gal3st4;Hlx;Igsf6;Il10ra;Il13ra1;Itgb2;Lhfpl2;Lyl1;Maf;Nckap1l;Npc2;Nrros;Ppp1r18;Rnase6;Rps6ka1;Sft2d2;Sh2b3;Stat5a;Tcirg1;Tgfbr1;Tmem106a;Tnfrsf1b;Tyrobp;Zfp36l2
WP317	Glycogen Metabolism	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP317&label[]=Calm1&label[]=Calm2&label[]=Calm3&label[]=Gsk3a&label[]=Pgm2&label[]=Ppp2ca&label[]=Ppp2cb&label[]=Ppp2r1a&label[]=Ppp2r2a&label[]=Ppp2r2b&label[]=Ppp2r5b&label[]=Ppp2r5d&label[]=Ppp2r5e&label[]=Ptpa&label[]=Pygb&label[]=Pygm&label[]=Ugp2&colors=%23FF8C00,%23FFA232,%23FFA334,%23FFB256,%23FFC47C,%23FFBF72,%23FFBC6C,%23FFBF72,%23FFA942,%23FFBE70,%23FFC886,%23FFC47C,%23FFBB6A,%23FFB358,%23FFCA8A,%23FFB256,%23FF981C	-0.6262167827915126	-2.2487023658413325	0	0	33	./Project_wg_result1586971500_GSEA/WP317.png	17	110078;225849;21770;72157;51792;19052;72930;19053;26932;110854;19309;606496;71978;12315;12314;216558;12313	Calm1;Calm2;Calm3;Gsk3a;Pgm2;Ppp2ca;Ppp2cb;Ppp2r1a;Ppp2r2a;Ppp2r2b;Ppp2r5b;Ppp2r5d;Ppp2r5e;Ptpa;Pygb;Pygm;Ugp2
WP434	TCA Cycle	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP434&label[]=Aco2&label[]=Cs&label[]=Dlat&label[]=Dld&label[]=Fh1&label[]=Idh3a&label[]=Idh3b&label[]=Idh3g&label[]=Mdh1&label[]=Mdh2&label[]=Pdha1&label[]=Pdhb&label[]=Pdhx&label[]=Pdk2&label[]=Pdk3&label[]=Pdk4&label[]=Pdp1&label[]=Sdhb&label[]=Sdhc&label[]=Sucla2&label[]=Suclg1&colors=%23FFBC6C,%23FFC886,%23FFCC8E,%23FFCD90,%23FFCF96,%23FFB050,%23FFC886,%23FFC988,%23FF8C00,%23FF9A20,%23FFB256,%23FFB862,%23FFC988,%23FFC988,%23FFC278,%23FFAE4C,%23FF8C02,%23FFCB8C,%23FFCF96,%23FFCB8C,%23FFAD4A	-0.6408425627745455	-2.2606068348185784	0	0	30	./Project_wg_result1586971500_GSEA/WP434.png	21	66052;14194;13382;235339;67680;20916;27402;15929;18604;12974;170718;236900;11429;68263;18597;67834;27273;56451;17448;381511;17449	Aco2;Cs;Dlat;Dld;Fh1;Idh3a;Idh3b;Idh3g;Mdh1;Mdh2;Pdha1;Pdhb;Pdhx;Pdk2;Pdk3;Pdk4;Pdp1;Sdhb;Sdhc;Sucla2;Suclg1
WP662	Amino Acid metabolism	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP662&label[]=Aco2&label[]=Aldh1a1&label[]=Aldh7a1&label[]=Asns&label[]=Ass1&label[]=Auh&label[]=Bcat1&label[]=Cbs&label[]=Cs&label[]=Ddc&label[]=Dld&label[]=Fh1&label[]=Gclm&label[]=Glud1&label[]=Got1&label[]=Got2&label[]=Gpt2&label[]=Gsta4&label[]=Hdc&label[]=Hmgcs2&label[]=Hnmt&label[]=Lars2&label[]=Ldha&label[]=Maoa&label[]=Mdh1&label[]=Mdh2&label[]=Mut&label[]=Pdha1&label[]=Pdhx&label[]=Pdk4&label[]=Pkm&label[]=Prodh&label[]=Rars&label[]=Sms&label[]=Suclg1&colors=%23FFC784,%23FF8C02,%23FFC57E,%23FFAB46,%23FF8C00,%23FFAD4A,%23FFCF96,%23FFA73C,%23FFD19A,%23FFDBB0,%23FFD5A2,%23FFD7A6,%23FFBE70,%23FFC47C,%23FFBB6A,%23FFBA66,%23FFC176,%23FF971A,%23FFD19A,%23FFCF94,%23FFD39E,%23FFB760,%23FFC37A,%23FFD4A0,%23FF9F2A,%23FFAA44,%23FFD9AC,%23FFBF72,%23FFD29C,%23FFBB6A,%23FFAB46,%23FFD8AA,%23FFC784,%23FFC886,%23FFBB68	-0.5254513748785572	-2.292613008287736	0	0	78	./Project_wg_result1586971500_GSEA/WP662.png	35	13195;17850;19125;14194;13382;17161;140483;27402;12974;15186;12035;15360;20603;104458;11429;110695;14661;16828;108682;18597;14630;14718;27273;56451;14719;102436;11992;18746;27053;17448;12411;17449;14860;11668;11898	Aco2;Aldh1a1;Aldh7a1;Asns;Ass1;Auh;Bcat1;Cbs;Cs;Ddc;Dld;Fh1;Gclm;Glud1;Got1;Got2;Gpt2;Gsta4;Hdc;Hmgcs2;Hnmt;Lars2;Ldha;Maoa;Mdh1;Mdh2;Mut;Pdha1;Pdhx;Pdk4;Pkm;Prodh;Rars;Sms;Suclg1
WP157	Glycolysis and Gluconeogenesis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP157&label[]=Aldoa&label[]=Aldoc&label[]=Dlat&label[]=Dld&label[]=Eno1&label[]=Eno1b&label[]=Eno2&label[]=Gapdh&label[]=Got1&label[]=Got2&label[]=Gpi1&label[]=Hk1&label[]=Ldha&label[]=Mdh1&label[]=Mdh2&label[]=Mpc2&label[]=Pdha1&label[]=Pdhb&label[]=Pdhx&label[]=Pfkm&label[]=Pfkp&label[]=Pgam1&label[]=Pgk1&label[]=Pkm&label[]=Slc2a3&label[]=Tpi1&colors=%23FFAA44,%23FFA02E,%23FFD098,%23FFD19A,%23FFA942,%23FFAA44,%23FFA73C,%23FFA232,%23FFB55C,%23FFB45A,%23FFCB8C,%23FFBD6E,%23FFBD6E,%23FF9516,%23FFA334,%23FFB55C,%23FFB964,%23FFBD6E,%23FFCE92,%23FFBB6A,%23FFCE92,%23FF981C,%23FF8C00,%23FFA436,%23FFCE92,%23FF8C00	-0.7334711570528402	-2.7989183794594914	0	0	39	./Project_wg_result1586971500_GSEA/WP157.png	26	13382;235339;27402;20527;56421;14751;68263;16828;15275;18642;18597;14718;70456;14719;11674;433182;13806;13807;18746;17448;14433;11676;18648;17449;18655;21991	Aldoa;Aldoc;Dlat;Dld;Eno1;Eno1b;Eno2;Gapdh;Got1;Got2;Gpi1;Hk1;Ldha;Mdh1;Mdh2;Mpc2;Pdha1;Pdhb;Pdhx;Pfkm;Pfkp;Pgam1;Pgk1;Pkm;Slc2a3;Tpi1
WP1248	Oxidative phosphorylation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1248&label[]=Atp5a1&label[]=Atp5b&label[]=Atp5d&label[]=Atp5f1&label[]=Atp5g1&label[]=Atp5g3&label[]=Atp5j2&label[]=Atp5k&label[]=Atp5l&label[]=Atp5o&label[]=Atp5s&label[]=Atp6ap2&label[]=Ndufa10&label[]=Ndufa11&label[]=Ndufa2&label[]=Ndufa4&label[]=Ndufa6&label[]=Ndufa8&label[]=Ndufa9&label[]=Ndufb5&label[]=Ndufb6&label[]=Ndufb7&label[]=Ndufb8&label[]=Ndufb9&label[]=Ndufc1&label[]=Ndufc2&label[]=Ndufs1&label[]=Ndufs2&label[]=Ndufs3&label[]=Ndufs4&label[]=Ndufs5&label[]=Ndufs6&label[]=Ndufs8&label[]=Ndufv1&label[]=Ndufv2&colors=%23FFBE70,%23FF9F2A,%23FFD29C,%23FFB65E,%23FFB254,%23FFAF4E,%23FFDAAE,%23FFC580,%23FF9514,%23FFB256,%23FFC886,%23FFD4A0,%23FFA63A,%23FFB254,%23FFDBB0,%23FF8C00,%23FFAA44,%23FFD8AA,%23FFC57E,%23FFAE4C,%23FFA334,%23FFBE70,%23FFCB8C,%23FFB152,%23FFAB46,%23FFCE92,%23FFC47C,%23FFD29C,%23FFCA8A,%23FFD098,%23FF9A20,%23FFB050,%23FFBF72,%23FFB358,%23FF9F2A	-0.7164242311268417	-2.875099552120745	0	0	47	./Project_wg_result1586971500_GSEA/WP1248.png	35	17991;57423;68375;70495;66043;226646;17993;68197;67264;68349;68055;11958;66108;227197;225887;11946;66916;11950;17995;28080;69875;11951;66218;407785;228033;66046;66377;67130;67273;230075;11947;72900;595136;27425;17992	Atp5a1;Atp5b;Atp5d;Atp5f1;Atp5g1;Atp5g3;Atp5j2;Atp5k;Atp5l;Atp5o;Atp5s;Atp6ap2;Ndufa10;Ndufa11;Ndufa2;Ndufa4;Ndufa6;Ndufa8;Ndufa9;Ndufb5;Ndufb6;Ndufb7;Ndufb8;Ndufb9;Ndufc1;Ndufc2;Ndufs1;Ndufs2;Ndufs3;Ndufs4;Ndufs5;Ndufs6;Ndufs8;Ndufv1;Ndufv2
WP295	Electron Transport Chain	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP295&label[]=Atp5a1&label[]=Atp5b&label[]=Atp5c1&label[]=Atp5d&label[]=Atp5f1&label[]=Atp5g3&label[]=Atp5j2&label[]=Atp5k&label[]=Atp5l&label[]=Atp5o&label[]=Atp5s&label[]=Cox5a&label[]=Cox5b&label[]=Cox6a1&label[]=Cox6a2&label[]=Cox6c&label[]=Cox7a2&label[]=Cox7b&label[]=Ndufa1&label[]=Ndufa10&label[]=Ndufa2&label[]=Ndufa4&label[]=Ndufa6&label[]=Ndufa8&label[]=Ndufa9&label[]=Ndufab1&label[]=Ndufb3&label[]=Ndufb4&label[]=Ndufb5&label[]=Ndufb6&label[]=Ndufb7&label[]=Ndufb9&label[]=Ndufc1&label[]=Ndufc2&label[]=Ndufs1&label[]=Ndufs2&label[]=Ndufs3&label[]=Ndufs4&label[]=Ndufs5&label[]=Ndufs6&label[]=Ndufs8&label[]=Ndufv1&label[]=Ndufv2&label[]=Sdhb&label[]=Sdhc&label[]=Slc25a14&label[]=Slc25a4&label[]=Uqcr10&label[]=Uqcr11&label[]=Uqcrc1&label[]=Uqcrc2&label[]=Uqcrfs1&label[]=Uqcrh&label[]=Uqcrq&colors=%23FFBE70,%23FF9F2A,%23FFC988,%23FFD29C,%23FFB65E,%23FFAF4E,%23FFDAAE,%23FFC580,%23FF9514,%23FFB256,%23FFC886,%23FF971A,%23FF9618,%23FFD39E,%23FFD8AA,%23FFC37A,%23FFDDB4,%23FFC37A,%23FFC176,%23FFA63A,%23FFDBB0,%23FF8C00,%23FFAA44,%23FFD8AA,%23FFC57E,%23FFAC48,%23FFA436,%23FFBE70,%23FFAE4C,%23FFA334,%23FFBE70,%23FFB152,%23FFAB46,%23FFCE92,%23FFC47C,%23FFD29C,%23FFCA8A,%23FFD098,%23FF9A20,%23FFB050,%23FFBF72,%23FFB358,%23FF9F2A,%23FFD098,%23FFD4A0,%23FFD29C,%23FFAD4A,%23FFC580,%23FFB358,%23FFBB6A,%23FFD29C,%23FFA63A,%23FFB760,%23FFCA8A	-0.6652336421243413	-2.9311881944528313	0	0	82	./Project_wg_result1586971500_GSEA/WP295.png	54	12866;17991;57423;12862;68375;66052;12861;66043;67003;226646;20523;17993;67680;68197;68349;22272;11949;68055;66152;11958;66108;227197;12864;66142;54405;225887;11946;66916;68194;22273;66576;11950;17995;66594;28080;66218;407785;228033;66046;11739;70316;66377;67130;66694;67273;66495;230075;11947;72900;595136;12858;12859;27425;17992	Atp5a1;Atp5b;Atp5c1;Atp5d;Atp5f1;Atp5g3;Atp5j2;Atp5k;Atp5l;Atp5o;Atp5s;Cox5a;Cox5b;Cox6a1;Cox6a2;Cox6c;Cox7a2;Cox7b;Ndufa1;Ndufa10;Ndufa2;Ndufa4;Ndufa6;Ndufa8;Ndufa9;Ndufab1;Ndufb3;Ndufb4;Ndufb5;Ndufb6;Ndufb7;Ndufb9;Ndufc1;Ndufc2;Ndufs1;Ndufs2;Ndufs3;Ndufs4;Ndufs5;Ndufs6;Ndufs8;Ndufv1;Ndufv2;Sdhb;Sdhc;Slc25a14;Slc25a4;Uqcr10;Uqcr11;Uqcrc1;Uqcrc2;Uqcrfs1;Uqcrh;Uqcrq
WP1254	Apoptosis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1254&label[]=Akt1&label[]=Apaf1&label[]=Bak1&label[]=Bax&label[]=Bcl2l11&label[]=Bid&label[]=Birc3&label[]=Birc5&label[]=Casp1&label[]=Casp2&label[]=Casp3&label[]=Casp6&label[]=Casp7&label[]=Cflar&label[]=Chuk&label[]=Cradd&label[]=Dffb&label[]=Fadd&label[]=Hrk&label[]=Igf1&label[]=Igf1r&label[]=Ikbkb&label[]=Irf1&label[]=Irf2&label[]=Irf4&label[]=Irf5&label[]=Irf6&label[]=Jun&label[]=Map3k1&label[]=Mcl1&label[]=Mdm2&label[]=Myc&label[]=Nfkb1&label[]=Nfkbia&label[]=Nfkbie&label[]=Pik3r1&label[]=Pmaip1&label[]=Rela&label[]=Ripk1&label[]=Scaf11&label[]=Tnfrsf10b&label[]=Tnfrsf1a&label[]=Tnfrsf1b&label[]=Tnfrsf21&label[]=Tnfsf10&label[]=Traf2&label[]=Trp53&colors=%23B1CADF,%2399BAD5,%23BDD2E4,%2384ACCD,%2396B8D4,%23AAC5DC,%23C7D9E8,%23C1D5E6,%23BED3E5,%2397B9D5,%238DB2D0,%23C9DAE9,%23A3C0D9,%23BAD0E3,%234682B4,%23B1CADF,%2380A9CB,%23C3D6E6,%239BBCD6,%23C9DAE9,%2390B4D2,%236D9CC3,%23C3D6E6,%236194BF,%23BBD1E3,%23B7CEE2,%23AAC5DC,%239DBDD7,%2381AACC,%23A3C0D9,%23C4D7E7,%23C0D4E5,%23A6C2DA,%23CCDCEA,%2384ACCD,%239ABBD6,%23CDDDEA,%23B0C9DF,%23A1C0D9,%23A6C2DA,%23C7D9E8,%239ABBD6,%239DBDD7,%2396B8D4,%23C9DAE9,%23B7CEE2,%23ADC7DD	0.4881454695908679	2.1192230780265597	0	7.937430947258242e-4	73	./Project_wg_result1586971500_GSEA/WP1254.png	47	12675;16363;16150;13368;26401;12028;18037;12367;16001;12125;94185;12366;11783;21937;18708;12123;16476;21938;19766;17210;12369;18033;72193;54139;12122;22059;19697;11651;12905;27056;22030;12633;16364;12018;12362;17869;11799;14082;16362;17246;11796;21933;16000;12368;22035;18035;58801	Akt1;Apaf1;Bak1;Bax;Bcl2l11;Bid;Birc3;Birc5;Casp1;Casp2;Casp3;Casp6;Casp7;Cflar;Chuk;Cradd;Dffb;Fadd;Hrk;Igf1;Igf1r;Ikbkb;Irf1;Irf2;Irf4;Irf5;Irf6;Jun;Map3k1;Mcl1;Mdm2;Myc;Nfkb1;Nfkbia;Nfkbie;Pik3r1;Pmaip1;Rela;Ripk1;Scaf11;Tnfrsf10b;Tnfrsf1a;Tnfrsf1b;Tnfrsf21;Tnfsf10;Traf2;Trp53
WP88	Toll Like Receptor signaling	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP88&label[]=Casp3&label[]=Chuk&label[]=Eif2ak2&label[]=Ikbkb&label[]=Ikbke&label[]=Irak1&label[]=Irak2&label[]=Irak3&label[]=Irak4&label[]=Mapk14&label[]=Myd88&label[]=Nfkb1&label[]=Ralbp1&label[]=Tab2&label[]=Ticam1&label[]=Ticam2&label[]=Tirap&label[]=Tlr3&label[]=Tlr4&colors=%238DB2D0,%234682B4,%2386ADCD,%236D9CC3,%2391B5D2,%2399BAD5,%23B7CEE2,%234682B4,%23B7CEE2,%237AA5C9,%238EB3D1,%23A6C2DA,%2389AFCF,%2387AECE,%239BBCD6,%23A9C4DC,%2393B6D3,%23ADC7DD,%23AAC5DC	0.5890561195944095	2.132137895237575	0	0.001058324126301099	32	./Project_wg_result1586971500_GSEA/WP88.png	19	12675;73914;16150;26416;19106;68652;19765;12367;17874;56489;117149;16179;106759;18033;225471;21898;142980;108960;266632	Casp3;Chuk;Eif2ak2;Ikbkb;Ikbke;Irak1;Irak2;Irak3;Irak4;Mapk14;Myd88;Nfkb1;Ralbp1;Tab2;Ticam1;Ticam2;Tirap;Tlr3;Tlr4
