geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0022613	ribonucleoprotein complex biogenesis	http://amigo.geneontology.org/amigo/term/GO:0022613	0.47928708923921676	2.4164195830349295	0	0	378	./Project_wg_result1568404195_GSEA/GO_0022613.png	142	56347;27979;19941;22121;56505;76130;20116;59014;67684;15516;223691;228889;67115;224742;20174;28126;27367;213895;20044;14113;231452;56321;53356;56095;97961;320790;68193;18572;20227;231769;75416;53890;67973;50912;13669;68077;67025;103136;72462;20935;68731;216987;68879;72344;50783;193116;22258;17975;13424;192170;269261;65961;67070;18432;16785;66978;73830;67493;72554;64934;57315;66489;60321;67239;20103;235036;55944;68147;227715;110816;27176;320632;236511;19069;54709;57905;67134;67222;20068;66711;27374;20088;245474;56200;20054;67223;56417;20239;75705;208144;50911;213773;53817;67205;19988;12181;233871;14300;14791;217995;230737;18148;104662;227290;214572;231386;17089;27966;107071;227656;213550;18114;72587;215193;66596;15519;67755;19656;53414;68966;73674;55989;67229;217431;52705;18813;229504;67097;101867;66409;20638;12607;216766;67671;216156;433864;67674;20085;67040;69072;70767;69821	Aamp;Aatf;Abcf1;Adar;Ago1;Atxn2;Atxn2l;Bms1;Bop1;Bysl;Cebpz;Chd7;Ddx17;Ddx21;Ddx27;Ddx39b;Ddx47;Dhx37;Diexf;Dis3l;Dkc1;Dync1h1;Ebna1bp2;Eif3a;Eif3b;Eif3c;Eif3d;Eif3g;Eif3i;Eif3k;Eif3l;Eif4a3;Eif4b;Emg1;Exosc10;Exosc2;Exosc9;Fbl;Frg1;Ftsj3;Gar1;Gemin5;Gnl2;Gtf3a;Heatr1;Hsp90aa1;Hsp90ab1;Isg20l2;Isy1;Krr1;Las1l;Lsm14a;Lsm4;Luc7l;Luc7l3;Lyar;Mettl16;Mphosph10;Mterf4;Mybbp1a;Ncl;Ngdn;Nol10;Nol12;Nom1;Nop14;Nop16;Nop53;Nop56;Nop58;Npm1;Nup88;Pa2g4;Pan3;Pdcd11;Pes1;Ppan;Prmt5;Prmt7;Prpf18;Prpf3;Prpf6;Pwp1;Pwp2;Rbfa;Rbmxl1;Rexo4;Rpf2;Rpl11;Rpl12;Rpl13a;Rpl14;Rpl24;Rpl26;Rpl3;Rpl35;Rpl38;Rpl6;Rpl7a;Rps10;Rps14;Rps15;Rps17;Rps19;Rps24;Rps5;Rps8;Rpsa;Rrp1;Rrp15;Rrp1b;Rrp8;Rrp9;Rrs1;Rsl1d1;Ruvbl1;Ruvbl2;Sart1;Sart3;Sbds;Sdad1;Sfswap;Slu7;Snrnp200;Snrpb;Srfbp1;Surf6;Tbl3;Trmt112;Tsr1;Usp36;Usp4;Utp11;Utp14a;Utp3;Utp6;Wbp11;Wdr18;Wdr46;Wdr74;Wdr75;Ythdc1
GO:0008380	RNA splicing	http://amigo.geneontology.org/amigo/term/GO:0008380	0.48025741070769173	2.3757056298227432	0	0	310	./Project_wg_result1568404195_GSEA/GO_0008380.png	122	54633;67302;170791;227707;66921;71514;22608;67039;217207;19134;67684;66070;51796;64340;20637;66354;66078;20926;56215;24010;20227;319322;53610;231769;68592;70616;80744;53890;72459;100336;13992;75956;22687;71702;72462;65105;70248;236732;68879;50783;66983;76265;193116;22258;70312;209416;218543;72935;56403;192170;232314;55934;53609;66978;22185;108121;67493;53607;54723;74111;60321;78943;102414;320632;73473;57905;16969;27374;219158;237859;75062;69192;76938;66381;18949;53861;68272;53817;68035;67178;107829;14300;18148;214572;20624;231386;51810;100034361;386612;16549;192160;110213;69131;69562;15481;67106;67755;19656;19653;56541;67229;70650;19383;56031;69207;98758;11652;19712;69269;76936;230596;66585;20638;209003;233208;216766;68981;331401;67040;70767;103284;54451	Acin1;Akt2;Arl6ip4;BC005624;Cactin;Casc3;Ccar2;Cdc5l;Cdk12;Cdk13;Clasrp;Clk3;Cpsf3;Cwc15;Cwc22;Dazap1;Ddx17;Ddx39b;Ddx41;Ddx47;Dhx16;Dhx38;Dhx8;Eftud2;Eif4a3;Ern1;Frg1;Gemin5;Gpkow;Habp4;Hnrnpf;Hnrnpm;Hnrnpu;Hspa8;Htatsf1;Ik;Isy1;Iws1;Khdrbs3;Khsrp;Lsm4;Luc7l;Luc7l3;Mettl16;Mfap1b;Nono;Npm1;Nsrp1;Pnn;Ppie;Ppp1r8;Ppp4r2;Pqbp1;Prmt5;Prmt7;Prpf18;Prpf3;Prpf38a;Prpf38b;Prpf4b;Prpf6;Raly;Rbm10;Rbm17;Rbm19;Rbm25;Rbm28;Rbm39;Rbm4;Rbm42;Rbmx2;Rbmxl1;Rest;Rnf113a2;Rp9;Rrp1b;Sart1;Sart3;Scaf1;Scnm1;Sf3a3;Sf3b2;Sfpq;Sfswap;Slu7;Snrnp200;Snrnp40;Snrnp70;Snrpa;Snrpa1;Snrpb;Snw1;Srek1;Srrm1;Srrm2;Srsf11;Sugp1;Supt6;Syf2;Syncrip;Tfip11;Thoc2;Thoc5;Thoc6;Tmbim6;Tsen34;Tsen54;U2af1;U2af2;Usp4;Wbp11;Ybx1;Ythdc1;Zbtb7a;Zbtb8os;Zc3h10;Zc3h13;Zcchc8;Zfp830;Zmat5;Zpr1;Zranb2
GO:0034660	ncRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0034660	0.46867663621090627	2.371963085895882	0	0	408	./Project_wg_result1568404195_GSEA/GO_0034660.png	141	20586;70769;19941;21453;76130;20116;59014;228889;56463;26914;83701;67115;213895;20044;14113;56095;100929;97961;66078;320790;18572;20227;75416;67973;50912;68077;67025;103136;70333;72462;68626;68731;68544;216987;72344;76265;17975;192170;65961;71957;233863;16785;71807;67493;218333;72554;64934;57315;66489;60321;67239;68147;14911;227715;110816;216443;27176;236511;224805;56361;85305;67222;20068;66711;72634;68730;20088;245474;56200;27267;20054;66381;67223;56417;22059;22375;66246;208144;50911;71989;213773;67205;22321;229543;12181;18033;211064;14300;14791;217995;107508;18148;76357;104662;17089;27966;68510;106248;16549;107071;67724;227656;17299;74097;213550;107271;18114;67106;215193;94223;241624;67755;53414;68966;73674;110960;217431;52705;69955;78697;231413;328572;18813;19697;20019;68260;101867;107045;66409;17257;353172;328162;216156;67674;78890;20085;67040;75284;69072;69821;54451	Aars2;Adar;Ago1;Alkbh1;Bcdin3d;Bms1;Bop1;Bysl;Cars;Cd3eap;Chd7;Cpsf3;Ddx17;Ddx21;Ddx27;Ddx47;Dgcr8;Dhx37;Diexf;Dis3l;Dkc1;Dus1l;Ebna1bp2;Eif4a3;Elac2;Emg1;Ep300;Eprs;Exd1;Exosc10;Exosc2;Exosc9;Fars2;Fbl;Frg1;Ftsj3;Gar1;Gars;Grsf1;Gtf3c1;H2afy;Heatr1;Ice1;Ints1;Ints11;Ints3;Kars;Khsrp;Krr1;Lars;Las1l;Lyar;Mars;Mecp2;Mettl1;Mettl16;Mphosph10;Mterf4;Ncl;Nfkb1;Ngdn;Nol10;Nol12;Nolc1;Nop14;Nop53;Npm1;Osgep;Pa2g4;Pdcd11;Pes1;Polr1a;Pop1;Pop7;Pus1;Pus7;Pwp1;Pwp2;Qtrt2;Rbfa;Rela;Rexo4;Rnf113a2;Rpf2;Rpl11;Rpl14;Rpl26;Rpl35;Rpl7a;Rps14;Rps15;Rps17;Rps19;Rps24;Rps8;Rpsa;Rpusd4;Rrp1;Rrp15;Rrp1b;Rrp8;Rrp9;Rrs1;Rsl1d1;Sart1;Sbds;Smarca4;Snd1;Srfbp1;Srrt;Tars;Tars2;Tbl3;Tcof1;Tdrkh;Thumpd3;Trir;Trmt112;Trmt12;Trmt44;Trmt5;Trmt61a;Trp53;Tsen34;Tsen54;Tsr1;Tyw1;Usp36;Utp11;Utp14a;Utp3;Utp6;Vars;Wars;Wbp11;Wdr18;Wdr46;Wdr74;Wdr75;Yars;Zbtb8os
GO:0006397	mRNA processing	http://amigo.geneontology.org/amigo/term/GO:0006397	0.4668271577532817	2.35384620053766	0	0	380	./Project_wg_result1568404195_GSEA/GO_0006397.png	143	54633;67302;170791;227707;66921;71514;224903;22608;67039;217207;19134;67684;66070;12537;51796;83701;64340;20637;224902;66354;235497;27632;66078;20926;56215;24010;18572;54624;20227;319322;53610;231769;68592;70616;80744;20924;53890;72459;100336;94230;233900;54196;67471;66660;13992;75956;22687;71702;72462;65105;70248;236732;68879;50783;66983;76265;193116;22258;70312;209416;218543;72935;56403;192170;232314;66899;53609;66978;22185;108121;67493;53607;101471;54723;74111;60321;78943;320632;73473;57905;16969;27374;219158;237859;75062;69192;76938;18949;56417;53861;68272;53817;109331;68035;67178;107829;18789;14300;20492;18148;214572;20624;231386;23983;51810;100034361;386612;16549;192160;69131;69562;15481;72587;223642;67755;19656;19653;56541;67229;70650;15499;19383;56031;98758;19712;231413;69269;76936;230596;66585;20638;209003;233208;216766;68981;331401;67040;70767;68991;103284;54451;11810;66094	Acin1;Adar;Apobec1;Arl6ip4;BC005624;Cactin;Casc3;Ccar2;Cdc5l;Cdk11b;Cdk12;Cdk13;Clasrp;Cpsf1;Cpsf3;Cwc15;Cwc22;Dazap1;Ddx17;Ddx39b;Ddx41;Ddx47;Dhx16;Dhx38;Dhx8;Eftud2;Eif4a3;Ern1;Fip1l1;Frg1;Gemin5;Gpatch1;Gpkow;Grsf1;Habp4;Hnrnpf;Hnrnpm;Hnrnpu;Hsf1;Hspa8;Htatsf1;Ik;Isy1;Iws1;Khdrbs3;Khsrp;Leo1;Lsm4;Lsm7;Luc7l;Luc7l3;Mettl16;Mfap1b;Nelfe;Nono;Npm1;Nsrp1;Pabpn1;Paf1;Pan3;Papola;Pcbp1;Pdcd11;Phrf1;Pnn;Ppie;Ppp1r8;Ppp4r2;Pqbp1;Prmt5;Prmt7;Prpf18;Prpf3;Prpf38a;Prpf38b;Prpf4b;Prpf6;Raly;Rbm10;Rbm17;Rbm19;Rbm25;Rbm28;Rbm39;Rbm4;Rbm42;Rbmx2;Rbmxl1;Rest;Rnf20;Rnf40;Rrp1b;Safb;Safb2;Sart1;Sart3;Scaf1;Scnm1;Sf3a3;Sf3b2;Sfpq;Sfswap;Slbp;Sltm;Slu7;Snrnp200;Snrnp40;Snrnp70;Snrpa;Snrpa1;Snrpb;Snw1;Srek1;Srrm1;Srrm2;Srrt;Ssu72;Sugp1;Supt5;Supt6;Syf2;Syncrip;Tfip11;Thoc2;Thoc5;Thoc6;Tsen34;Tsen54;U2af1;U2af2;Usp4;Wbp11;Ybx1;Ythdc1;Zbtb7a;Zc3h10;Zc3h13;Zc3h3;Zcchc8;Zfp830;Zmat5;Zpr1;Zranb2
GO:0006338	chromatin remodeling	http://amigo.geneontology.org/amigo/term/GO:0006338	0.5087509343355977	2.1962529154113466	0	0	101	./Project_wg_result1568404195_GSEA/GO_0006338.png	34	20586;68094;56505;21427;239985;20174;100043597;320790;67155;15353;269610;23808;83796;12648;23942;68058;66471;19231;21761;20588;57376;233532;68703;22130;68142;16969;231151;22385;66993;18148;22589;58230;17869;70103	Anp32e;Arid1b;Ash2l;Atrx;Baz1b;Chd1;Chd1l;Chd5;Chd7;Hmg20b;Ino80;Morf4l1;Mta2;Myc;Npm1;Ptma;Rere;Rnf8;Rsf1;Ruvbl1;Ruvbl2;Smarca2;Smarca4;Smarcc1;Smarcc2;Smarcd2;Smarcd3;Smarce1;Srcap;Tada2b;Ttf1;Vps72;Zbtb7a;Znhit1
GO:0040029	regulation of gene expression, epigenetic	http://amigo.geneontology.org/amigo/term/GO:0040029	0.4728383844240019	2.160906890907391	0	1.8516403069243135e-4	167	./Project_wg_result1568404195_GSEA/GO_0040029.png	64	13435;20586;13433;17192;20602;208643;26914;83701;19720;238247;98999;233833;50912;100336;19704;23808;26396;21761;236511;56397;76793;18676;50709;56417;224826;22059;94246;50708;20848;116870;19729;18033;214572;231386;20286;51810;21803;217827;52463;433759;13982;94223;19653;217351;20375;208266;328572;101543;70999;101867;17257;50721;75284;71148;30951;103284;14775;208727;11810;16598;80913;14958;664799;68675	Adar;Ago1;Apobec1;Arid4a;Arid4b;Ash2l;Bcdin3d;Cbx8;Ctcfl;Dgcr8;Dnmt1;Dnmt3a;Dot1l;Eif4g1;Ep300;Esr1;Exosc10;Fam172a;Gpx1;H1f0;H2afy;Hdac1;Hdac4;Hist1h1c;Hist1h1e;Hnrnpu;Klf2;Map2k2;Mbd3;Mecp2;Mier1;Morf4l1;Morf4l2;Mta1;Naa40;Ncor2;Nfkb1;Nrde2;Phf2;Ppp1r8;Prmt7;Pum2;Rbm4;Rrp8;Sirt6;Slc50a1;Smarca4;Snip1;Spi1;Srrt;Stat3;Tet1;Tgfb1;Tnrc6a;Tnrc6c;Trim27;Trp53;Ubr2;Upf1;Wtip;Ythdc1;Zc3h10;Zc3h7b;Znfx1
GO:0006354	DNA-templated transcription, elongation	http://amigo.geneontology.org/amigo/term/GO:0006354	0.54577558812881	2.095687546282688	0	9.522721578467898e-4	56	./Project_wg_result1568404195_GSEA/GO_0006354.png	24	66505;98053;66266;57261;235497;27632;20926;54624;20924;16825;56436;219158;27224;53817;170472;107829;13132;58230;51810;114741;67673;69131;69562;70238	Adrm1;Brd4;Ccar2;Cdk12;Cdk13;Dab2;Ddx39b;Eapp;Eloa;Elob;Gtf2f1;Hnrnpu;Ldb1;Leo1;Nelfe;Paf1;Recql5;Rnf168;Rnf8;Supt16;Supt5;Supt6;Thoc5;Zmynd11
GO:0016569	covalent chromatin modification	http://amigo.geneontology.org/amigo/term/GO:0016569	0.4076493169089842	2.0606048214254784	0	0.001110984184154588	407	./Project_wg_result1568404195_GSEA/GO_0016569.png	148	13435;20586;13433;26992;17192;56505;71514;71954;30841;56613;208043;26914;57261;20174;18627;238247;66354;14113;235497;77683;27632;223770;20926;54624;53890;16825;230674;76901;216825;233900;194388;103136;74322;14897;20591;101206;21423;226976;269610;23808;72344;110147;107392;12648;23942;24075;75410;60406;14245;21761;74026;233532;64383;69612;13016;15161;73473;78783;56397;81601;27374;14534;320795;71458;66464;18676;67367;50709;224826;22059;94246;50708;20874;67956;109331;231151;109689;116870;22385;75560;214162;246198;228829;30941;214899;22589;58230;214572;104416;70103;21803;52463;208146;433759;234135;268936;70238;22209;75565;18750;110616;68911;72895;20375;208266;19821;193796;19712;213464;70427;17283;328572;20787;19763;70999;13163;17257;72195;50721;79221;51812;214855;246103;71148;30951;64050;208727;216805;81703;11810;66262;69188;235626;664799;73251;22724;66233;12190;24116;107817;226830;228790;107951;22339;99890;269424;59035;67773	Apobec1;Arid4a;Arid4b;Arid5a;Arrb1;Ash2l;Asxl1;Atrx;Atxn3;Atxn7;Bap1;Baz1b;Bcor;Brca2;Brd1;Brd4;Brd7;Brms1;Brpf1;Brpf3;Carm1;Cbx8;Cdk9;Chd1;Chd5;Ctbp1;Ctcfl;Cxxc1;Daxx;Dmap1;Dnmt1;Dnmt3a;Dot1l;Ehmt1;Ehmt2;Ep300;Ep400;Fbl;Flcn;H2afy;Hcfc1;Hdac1;Hdac4;Hdac9;Hist1h1c;Hist1h1e;Ing5;Iws1;Jade1;Jade2;Jdp2;Jmjd6;Kansl2;Kansl3;Kat2a;Kat5;Kat8;Kdm2b;Kdm4a;Kdm4b;Kdm5a;Kdm5c;Kmt2a;Kmt2b;Kmt2e;Kmt5a;Ldb1;Leo1;Lpin1;Mbd3;Mcrs1;Mecp2;Men1;Mier1;Mier2;Mllt6;Morf4l1;Morf4l2;Msl1;Mta1;Mta2;Naa40;Nelfa;Nelfe;Nsd3;Paf1;Paxbp1;Per2;Phf2;Phf20;Pkn1;Prkca;Prmt5;Prmt6;Prmt7;Pwp1;Pygo2;Rbbp5;Rest;Ring1;Rnf168;Rnf2;Rnf20;Rnf40;Rnf8;Rps6ka4;Rsf1;Ruvbl1;Ruvbl2;Sap30;Sart3;Setd1b;Setd2;Setd5;Setd7;Sfpq;Sgf29;Sirt2;Sirt6;Slk;Smarca4;Smyd2;Snw1;Spi1;Srebf1;Suds3;Supt6;Supt7l;Tada2b;Tada3;Taf10;Taf12;Tcf3;Tet1;Tet3;Tgfb1;Trip12;Trp53;Ube2a;Ubr2;Usp21;Usp22;Usp36;Vegfa;Yeats2;Yeats4;Zbtb7b;Znhit1
GO:0006360	transcription by RNA polymerase I	http://amigo.geneontology.org/amigo/term/GO:0006360	0.553567231288839	2.077499982279948	0	0.0012344268712828755	55	./Project_wg_result1568404195_GSEA/GO_0006360.png	26	20586;21453;26914;16890;68077;103136;70333;66420;17975;66136;216443;20018;22130;217995;19014;192176;11911;12606;245841;73674;13666;21341;20019;69833;56717;21339	Atf4;Cd3eap;Cebpa;Eif2ak3;Flna;H2afy;Heatr1;Lipe;Mars;Med1;Mtor;Ncl;Nop53;Polr1a;Polr1d;Polr2e;Polr2f;Polr2h;Pwp1;Smarca4;Taf1a;Taf1c;Tcof1;Ttf1;Wdr75;Znrd1
GO:0006909	phagocytosis	http://amigo.geneontology.org/amigo/term/GO:0006909	0.46251049981500203	2.0923920095725888	0	0.0012498572071739118	147	./Project_wg_result1568404195_GSEA/GO_0006909.png	73	360013;12317;99237;67943;107746;14456;22157;17886;56208;69165;13430;12988;75415;70450;21817;18439;57912;22324;19261;27403;11350;13057;246746;15162;17089;109934;214585;12721;17921;15900;21803;105855;23790;16971;12798;233571;15481;11629;330662;20401;94176;20963;83382;104759;14129;227541;19376;66890;17289;11744;11745;105722;20778;140792;16414;83433;140579;18173;170758;110351;69288;107817;14694;17972;22040;110279;14130;11891;18613;217303;66824;19271;226421	Abca7;Abl1;Abr;Aif1;Ano6;Anxa11;Anxa3;Arhgap12;Bcr;Becn1;Calr;Camk1d;Cd209b;Cd300a;Cd300lf;Cdc42se1;Cnn2;Colec12;Coro1a;Coro1c;Csk;Cyba;Dnm2;Dock1;Dock2;Elmo2;Fcgr1;Fcgr2b;Gas6;Hck;Hspa8;Irf8;Itgb2;Jmjd6;Lman2;Lrp1;Lyar;Mertk;Mesd;Myh9;Myo18a;Myo7a;Ncf4;Nckap1l;P2rx7;P2ry6;Pecam1;Pld4;Ptprj;Pycard;Rab27a;Rab34;Rab7b;Rac3;Rack1;Rap1gap;Rapgef1;Rhobtb1;Scarb1;Sh3bp1;Siglece;Sirpa;Slc11a1;Spg11;Syk;Tgfb1;Tgm2;Tm9sf4;Trem2;Trex1;Tulp1;Unc13d;Vav1
