geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0019843	rRNA binding	http://amigo.geneontology.org/amigo/term/GO:0019843	0.61675723117462955	2.4278806975198055	0	0	66	./Project_wg_result1568404208_GSEA/GO_0019843.png	27	19921;30841;59014;27367;20044;16890;97961;26961;68077;67025;76846;17975;20084;269261;20102;67239;20103;235036;66711;13629;56200;20005;19988;14791;18148;215193;66596	Ddx21;Diexf;Eef2;Emg1;Gtf3a;Kdm2b;Lipe;Ncl;Nol12;Nop53;Npm1;Ppan;Rpf2;Rpl11;Rpl12;Rpl19;Rpl3;Rpl6;Rpl8;Rpl9;Rps14;Rps18;Rps4x;Rps5;Rps9;Rrs1;Sbds
GO:0003735	structural constituent of ribosome	http://amigo.geneontology.org/amigo/term/GO:0003735	0.5396583129861457	2.373660680583571	0	0	134	./Project_wg_result1568404208_GSEA/GO_0003735.png	55	19941;19921;22121;19944;20116;19934;270106;67115;27367;20044;26961;68193;67025;76846;20084;269261;16785;20102;68537;66489;20103;22186;19899;20068;20088;66163;94062;20054;76808;20005;68836;19988;67308;56040;19982;20091;19943;78294;27397;67891;74600;67097;79044;67186;66242;67671;20085;56280;66416;27207;27398;66229;66973;19935;56282	Mrpl12;Mrpl13;Mrpl17;Mrpl2;Mrpl23;Mrpl3;Mrpl37;Mrpl4;Mrpl46;Mrpl47;Mrpl52;Mrps16;Mrps18b;Mrps34;Ndufa7;Rpl11;Rpl12;Rpl13;Rpl13a;Rpl14;Rpl18;Rpl18a;Rpl19;Rpl22;Rpl24;Rpl26;Rpl28;Rpl29;Rpl3;Rpl35;Rpl36a;Rpl38;Rpl4;Rpl6;Rpl7l1;Rpl8;Rpl9;Rplp1;Rplp2;Rps10;Rps11;Rps14;Rps15;Rps17;Rps18;Rps19;Rps24;Rps27a;Rps3a1;Rps4x;Rps5;Rps8;Rps9;Rpsa;Uba52
GO:0030515	snoRNA binding	http://amigo.geneontology.org/amigo/term/GO:0030515	0.6743470177327281	2.2054971401265386	0	0	28	./Project_wg_result1568404208_GSEA/GO_0030515.png	17	70769;213895;75416;216987;68147;110816;67134;245474;56200;213773;66911;217995;104662;27966;215193;53414;55989	Bms1;Bysl;Ddx21;Diexf;Dkc1;Gar1;Heatr1;Nolc1;Nop14;Nop56;Nop58;Nudt16l1;Pwp2;Rrp9;Tbl3;Tsr1;Utp6
GO:0070063	RNA polymerase binding	http://amigo.geneontology.org/amigo/term/GO:0070063	0.544992639785764	2.1441390639871853	0	0	56	./Project_wg_result1568404208_GSEA/GO_0070063.png	19	70769;21453;57261;18627;235497;54624;67628;54196;30948;24075;56070;101471;19035;236511;219158;68877;170472;70571;51810	Ago1;Anp32b;Bin1;Brd4;Ccar2;Hnrnpu;Leo1;Maf1;Nolc1;Pabpn1;Paf1;Per2;Phrf1;Ppib;Recql5;Taf10;Tcerg1;Tcerg1l;Tcof1
GO:0030594	neurotransmitter receptor activity	http://amigo.geneontology.org/amigo/term/GO:0030594	-0.5770837100648676	-2.421617493037958	0	0	89	./Project_wg_result1568404208_GSEA/GO_0030594.png	42	100043474;14404;54393;15562;14400;15550;14396;15566;108043;108015;14806;53623;258770;14406;11435;11444;110835;258939;14394;108071;14812;110834;15558;242443;110886;15557;11438;257891;12671;243764;258369;14407;237213;14401;14397;15560;14804;14402;15563;110304;14405;14658	Chrm2;Chrm3;Chrna1;Chrna3;Chrna4;Chrna5;Chrnb2;Chrnb3;Chrnb4;Gabbr1;Gabra1;Gabra3;Gabra4;Gabra5;Gabrb1;Gabrb2;Gabrb3;Gabre;Gabrg1;Gabrg2;Gabrg3;Glra2;Glra3;Glrb;Gria3;Grid2;Grik2;Grin2b;Grin3a;Grm5;Htr1a;Htr1f;Htr2a;Htr2c;Htr4;Htr5a;Htr7;Olfr1564;Olfr472;Olfr479;Olfr509;Olfr63
GO:0005549	odorant binding	http://amigo.geneontology.org/amigo/term/GO:0005549	-0.5664607842690035	-2.559569092362943	0	0	135	./Project_wg_result1568404208_GSEA/GO_0005549.png	103	258845;258956;258105;18312;18345;258679;258028;258840;404324;258288;258373;258103;258385;259013;258568;18373;258154;57271;258764;258410;258824;257938;258927;258573;258672;258587;258420;258409;258433;258883;258783;258412;258733;258570;258297;258403;258561;257912;258086;258625;258747;258777;258963;258525;258684;258492;259002;117004;404312;258372;258565;18344;258626;257899;80706;258999;258800;258763;258632;258392;258231;257908;258291;258328;259014;257906;258628;258583;258928;258690;259016;258629;258333;258782;258101;404329;257916;258780;258151;258400;258797;404313;258415;258686;257978;258117;258869;258323;258801;258833;259040;258799;258729;258727;258850;258580;258643;259082;258762;258871;257959;257936;258287	Olfr1000;Olfr1009;Olfr1012;Olfr1020;Olfr1023;Olfr1028;Olfr1029;Olfr1031;Olfr1043;Olfr1044;Olfr1047;Olfr1048;Olfr1051;Olfr1062;Olfr1065;Olfr1085;Olfr1097;Olfr1099;Olfr1100;Olfr1104;Olfr1106;Olfr1109;Olfr1132;Olfr1137;Olfr1138;Olfr115;Olfr1152;Olfr116;Olfr1160;Olfr1161;Olfr1162;Olfr1167;Olfr1170;Olfr1173;Olfr125;Olfr1322;Olfr1323;Olfr1416;Olfr1419;Olfr1431;Olfr1437;Olfr1440;Olfr1457;Olfr1459;Olfr1467;Olfr1469;Olfr147;Olfr1471;Olfr1484;Olfr1487;Olfr1489;Olfr15;Olfr1501;Olfr1505;Olfr1509;Olfr1537;Olfr160;Olfr173;Olfr178;Olfr190;Olfr221;Olfr228;Olfr250;Olfr251;Olfr291;Olfr293;Olfr295;Olfr323;Olfr45;Olfr46;Olfr477;Olfr478;Olfr481;Olfr484;Olfr488;Olfr497;Olfr535;Olfr539;Olfr73;Olfr825;Olfr827;Olfr876;Olfr877;Olfr887;Olfr893;Olfr898;Olfr9;Olfr901;Olfr904;Olfr905;Olfr906;Olfr907;Olfr914;Olfr916;Olfr918;Olfr920;Olfr922;Olfr933;Olfr943;Olfr948;Olfr954;Olfr967;Olfr983
GO:0099589	serotonin receptor activity	http://amigo.geneontology.org/amigo/term/GO:0099589	-0.6868264832550548	-2.189292087310642	0	4.2329633116806057e-4	25	./Project_wg_result1568404208_GSEA/GO_0099589.png	14	100043474;15562;15550;15566;258770;258939;15558;15557;257891;12671;243764;258369;15560;15563	Chrm2;Chrm3;Htr1a;Htr1f;Htr2a;Htr2c;Htr4;Htr5a;Htr7;Olfr1564;Olfr472;Olfr479;Olfr509;Olfr63
GO:0042165	neurotransmitter binding	http://amigo.geneontology.org/amigo/term/GO:0042165	-0.5774941399219493	-2.192085346080728	0	5.643951082240807e-4	52	./Project_wg_result1568404208_GSEA/GO_0042165.png	24	12919;15550;18082;108043;108015;11435;11444;110835;14812;110834;15558;243616;242443;15557;63993;11438;17161;12671;12038;237213;15560;15563;110304;14658	Bche;Chrm3;Chrna1;Chrna3;Chrna4;Chrna5;Chrnb2;Chrnb3;Chrnb4;Crhbp;Glra2;Glra3;Glrb;Grin2b;Grin3a;Htr1a;Htr1f;Htr2a;Htr2c;Htr5a;Maoa;Nipsnap1;Slc5a7;Slc6a11
GO:0003779	actin binding	http://amigo.geneontology.org/amigo/term/GO:0003779	0.4152221147023471	2.0874493190354593	0	0.001133156148917321	351	./Project_wg_result1568404208_GSEA/GO_0003779.png	122	360013;26936;230872;70549;140781;194401;17357;13169;22157;17886;269587;14248;60595;16796;65970;225115;16332;218194;17913;76580;16985;13822;217124;30948;434204;21894;17909;21953;100169;13821;14086;76448;217692;56378;20743;22350;68089;59003;14026;171580;12345;59069;63873;22388;80297;94190;21961;71960;23999;68142;13629;238276;15163;217169;57778;77113;70292;11350;231637;68767;22376;326618;77569;12631;11749;231148;22323;226594;11867;14300;20430;19230;12385;12721;11838;17921;51810;237860;58234;286940;338355;228545;23790;74376;17996;192176;12798;18826;544963;21952;171531;17754;72042;11629;12331;110253;14260;74189;237891;242687;18301;77963;17912;74117;18810;64099;26365;17698;22379;18016;245049;109711;213556;11519;21345;22003;170736;17906;13518;14158;20742;217125	Abl1;Ablim2;Actn1;Actn4;Actr3;Add2;Afap1;Aif1;Akap5;Anxa6;Arc;Arpc1b;Arpc3;Arpc4;Bin1;Cap1;Capzb;Ceacam1;Cfl1;Cnn2;Coro1a;Coro1c;Cotl1;Crocc;Ctnna1;Cyfip1;Dbnl;Dst;Eef2;Epb41;Epb41l1;Epb41l2;Evl;Ezr;Fer;Fkbp15;Flii;Flna;Flnb;Fmn1;Fmnl1;Fmnl3;Frg1;Fscn1;Fxyd5;Gas2l2;Hcls1;Hnrnpu;Hook1;Ino80;Inppl1;Iqgap2;Klhl2;Lasp1;Lcp1;Lima1;Limch1;Lsp1;Maea;Map1a;Marcksl1;Mib2;Mical1;Mical3;Mlph;Mprip;Msn;Myh14;Myh7;Myh9;Myl2;Myo10;Myo18a;Myo18b;Myo1b;Myo1c;Myo7a;Myrip;Neb;Nf2;Ophn1;Parvb;Parvg;Phactr1;Phactr3;Phactr4;Plec;Plekhh2;Ppp1r18;Ppp1r9b;Rcsd1;Samd14;Shank3;Sipa1l1;Sptbn1;Sptbn2;Sptbn4;Ssh1;Ssh2;Svil;Tagln;Tln1;Tln2;Tnni1;Tnni2;Tns1;Tns4;Tpm1;Tpm3;Tpm4;Triobp;Trpv4;Tulp1;Twf1;Twf2;Vasp;Vps18;Was;Wasf2;Washc1;Wdr1;Whamm
GO:0016917	GABA receptor activity	http://amigo.geneontology.org/amigo/term/GO:0016917	-0.6989321670509815	-2.081707679081689	0	0.0011852297272705694	19	./Project_wg_result1568404208_GSEA/GO_0016917.png	13	14404;54393;14400;14396;57249;14406;14394;110886;14407;14401;14397;14402;14405	Gabbr1;Gabra1;Gabra3;Gabra4;Gabra5;Gabrb1;Gabrb2;Gabrb3;Gabre;Gabrg1;Gabrg2;Gabrg3;Gabrq
