geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
mmu03010	Ribosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu03010+22121+19941+19921+22186+19933+19944+66483+68193+26961+20084+19934+67025+269261+76846+27367+16785+20044+68537+68436+20102+19899+270106+20104+20116+353242+20103+20068+67186+76808+19896+20005+54217+56040+66163+27176+56282+77721+67115+19943+94062+319195+66242+110954+20091+57808+68611+78294+19935+27397+20054+27398+66475+27207+67891+19988+27370+66258+16898+107734+20088+67097+118451	0.6591712252200196	2.8883899556567463	0	0	125	./Project_wg_result1568401781_GSEA/mmu03010.png	62	22121;19941;19921;22186;19933;19944;66483;68193;26961;20084;19934;67025;269261;76846;27367;16785;20044;68537;68436;20102;19899;270106;20104;20116;353242;20103;20068;67186;76808;19896;20005;54217;56040;66163;27176;56282;77721;67115;19943;94062;319195;66242;110954;20091;57808;68611;78294;19935;27397;20054;27398;66475;27207;67891;19988;27370;66258;16898;107734;20088;67097;118451	Mrpl12;Mrpl13;Mrpl17;Mrpl2;Mrpl21;Mrpl23;Mrpl28;Mrpl3;Mrpl30;Mrpl4;Mrps16;Mrps17;Mrps2;Mrps5;Rpl10;Rpl10a;Rpl11;Rpl12;Rpl13;Rpl13a;Rpl14;Rpl17;Rpl18;Rpl18a;Rpl19;Rpl21;Rpl22;Rpl24;Rpl26;Rpl28;Rpl29;Rpl3;Rpl34;Rpl35a;Rpl36;Rpl36al;Rpl4;Rpl6;Rpl7a;Rpl8;Rpl9;Rplp1;Rplp2;Rps10;Rps11;Rps14;Rps15;Rps17;Rps18;Rps2;Rps23;Rps24;Rps26;Rps27a;Rps3a1;Rps4x;Rps5;Rps6;Rps8;Rps9;Rpsa;Uba52
mmu03040	Spliceosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu03040+54633+67039+74351+66921+57317+66070+67959+217207+20222+15481+68879+60321+20637+50783+319322+57905+193116+64340+53607+108121+27967+56070+20227+22185+66642+68592+320632+20624+75062+70767+107686+66354+55934+72047+71702+53817+67229+192170+28000+19656+76938+230596+15511+51810+76936+233073+23983+72654+69192+20630	0.55300398740971	2.3517673834642854	0	0	124	./Project_wg_result1568401781_GSEA/mmu03040.png	50	54633;67039;74351;66921;57317;66070;67959;217207;20222;15481;68879;60321;20637;50783;319322;57905;193116;64340;53607;108121;27967;56070;20227;22185;66642;68592;320632;20624;75062;70767;107686;66354;55934;72047;71702;53817;67229;192170;28000;19656;76938;230596;15511;51810;76936;233073;23983;72654;69192;20630	Ccdc12;Cdc5l;Cherp;Ctnnbl1;Cwc15;Ddx23;Ddx39b;Ddx42;Dhx16;Dhx38;Dhx8;Eftud2;Eif4a3;Hnrnpm;Hnrnpu;Hspa1b;Hspa8;Isy1;Lsm4;Pcbp1;Pqbp1;Prpf18;Prpf19;Prpf3;Prpf38a;Prpf38b;Prpf6;Puf60;Rbm17;Rbm25;Rbmxl1;Rp9;Sart1;Sf3a2;Sf3a3;Sf3b2;Slu7;Snrnp200;Snrnp70;Snrpa;Snrpc;Snrpd2;Snw1;Srsf4;Syf2;Tcerg1;U2af1;U2af1l4;U2af2;Wbp11
mmu03008	Ribosome biogenesis in eukaryotes	http://www.kegg.jp/kegg-bin/show_pathway?mmu03008+21453+213895+14113+67973+74097+245474+216987+72554+67134+213773+73674+68147+66711+230737+195434+52530+170722+110816+55989+74778+227522+237730+53319+14791+19428+68272+224092+237107+71340+269470+13001+67724+14000+67619+19384	0.5522283648695782	2.1754225115417962	0	0	71	./Project_wg_result1568401781_GSEA/mmu03008.png	35	21453;213895;14113;67973;74097;245474;216987;72554;67134;213773;73674;68147;66711;230737;195434;52530;170722;110816;55989;74778;227522;237730;53319;14791;19428;68272;224092;237107;71340;269470;13001;67724;14000;67619;19384	Bms1;Csnk2b;Dkc1;Drosha;Emg1;Fbl;Fbll1;Gar1;Gnl2;Gnl3l;Lsg1;Mphosph10;Nhp2;Nob1;Nop56;Nop58;Nxf1;Nxf7;Pop1;Pop7;Pwp2;Ran;Rasl2-9;Rbm28;Riok1;Rpp38;Rrp7a;Sbds;Tbl3;Tcof1;Utp14a;Utp14b;Utp6;Wdr3;Wdr75
mmu04740	Olfactory transduction	http://www.kegg.jp/kegg-bin/show_pathway?mmu04740+258478+258776+108058+258331+258394+259024+18329+259159+257898+258374+258675+14919+258039+258292+384732+18344+258206+257665+258910+259048+404325+258502+258215+258835+238384+258544+258640+258297+258956+258538+258684+258918+258461+258816+18322+258475+258645+259002+258147+258352+110891+258963+258969+100038860+258455+18330+258569+258941+258380+258495+258390+258456+258869+258303+258282+259014+18312+258283+258817+258289+258347+259016+257882+404336+258308+18367+258218+259115+259036+259069+258466+259046+258103+18310+258148+258928+258983+18348+258324+258263+258778+258789+258326+258519+258377+258565+258180+258468+259119+257906+258677+258328+258410+258800+258908+258934+258154+258724+258930+258679+258711+258788+259099+258686+258705+258917+258980+258999+258656+258494+258825+258883+258745+257979+80706+258559+258628+258168+258327+258340+257915+259074+258600+259009+258453+258608+258746+258783+258022+258927+258624+243634+258974+258661+258942+170639+258389+258463+258554+258770+18317+258056+100043474+259033+258629+258247+259118+258203+257909+258648+257884+257978+404329+258481+258902+258315+258801+259030+258279+258939+259008+259078+404317+258415+258497+258547+258797+259010+257662+257667+258398+259027+259104+259087+258762+404312+258391+100038859+258343+258302+404330+257875+259040+258669+258832+384703+258372+236509+258330+258727+258151+258583+258799+258626+258907+259148+258780+259050+258690+258580+259165+258316+235256+259034+258369+258815+258729+258658+258323+258454+258231+258782+258944+277562+258501+258287+258952+257891+259106+259031+258802+257959+259035+258560+258898+18357+259082+257956+258967+258871+258359+258275+258333+257936+259088+258850+258643+258459+404313+258859+18366+258232+258189+258949+258968+258441+259122+258375+258808+258621	-0.6300295540780784	-3.2249004926667357	0	0	372	./Project_wg_result1568401781_GSEA/mmu04740.png	250	258478;258776;108058;258331;258394;259024;18329;259159;257898;258374;258675;14919;258039;258292;384732;18344;258206;257665;258910;259048;404325;258502;258215;258835;238384;258544;258640;258297;258956;258538;258684;258918;258461;258816;18322;258475;258645;259002;258147;258352;110891;258963;258969;100038860;258455;18330;258569;258941;258380;258495;258390;258456;258869;258303;258282;259014;18312;258283;258817;258289;258347;259016;257882;404336;258308;18367;258218;259115;259036;259069;258466;259046;258103;18310;258148;258928;258983;18348;258324;258263;258778;258789;258326;258519;258377;258565;258180;258468;259119;257906;258677;258328;258410;258800;258908;258934;258154;258724;258930;258679;258711;258788;259099;258686;258705;258917;258980;258999;258656;258494;258825;258883;258745;257979;80706;258559;258628;258168;258327;258340;257915;259074;258600;259009;258453;258608;258746;258783;258022;258927;258624;243634;258974;258661;258942;170639;258389;258463;258554;258770;18317;258056;100043474;259033;258629;258247;259118;258203;257909;258648;257884;257978;404329;258481;258902;258315;258801;259030;258279;258939;259008;259078;404317;258415;258497;258547;258797;259010;257662;257667;258398;259027;259104;259087;258762;404312;258391;100038859;258343;258302;404330;257875;259040;258669;258832;384703;258372;236509;258330;258727;258151;258583;258799;258626;258907;259148;258780;259050;258690;258580;259165;258316;235256;259034;258369;258815;258729;258658;258323;258454;258231;258782;258944;277562;258501;258287;258952;257891;259106;259031;258802;257959;259035;258560;258898;18357;259082;257956;258967;258871;258359;258275;258333;257936;259088;258850;258643;258459;404313;258859;18366;258232;258189;258949;258968;258441;259122;258375;258808;258621	Ano2;Camk2d;Gucy2e;Olfr1009;Olfr1016;Olfr102;Olfr1023;Olfr1028;Olfr1029;Olfr1047;Olfr1048;Olfr1057;Olfr1062;Olfr1085;Olfr109;Olfr1109;Olfr1116;Olfr1120;Olfr1122;Olfr1123;Olfr1124;Olfr1130;Olfr1152;Olfr1160;Olfr117;Olfr1173;Olfr1178;Olfr1196;Olfr1198;Olfr120;Olfr1202;Olfr1204;Olfr1205;Olfr1209;Olfr1218;Olfr1220;Olfr1226;Olfr1233;Olfr1246;Olfr1247;Olfr125;Olfr1250;Olfr1254;Olfr1258;Olfr1260;Olfr1261;Olfr1264;Olfr1265;Olfr127;Olfr1271;Olfr1274-ps;Olfr1276;Olfr1277;Olfr1278;Olfr1280;Olfr1281;Olfr1286;Olfr129;Olfr1290;Olfr1295;Olfr13;Olfr1307;Olfr1310;Olfr1312;Olfr1318;Olfr1322;Olfr1324;Olfr1328;Olfr1330;Olfr1336;Olfr1344;Olfr1346;Olfr1352;Olfr137;Olfr1380;Olfr1381;Olfr1388;Olfr1389;Olfr1393;Olfr1416;Olfr1423;Olfr143;Olfr1440;Olfr1459;Olfr1467;Olfr1469;Olfr147;Olfr1471;Olfr1487;Olfr1489;Olfr149;Olfr15;Olfr1501;Olfr1505;Olfr1506;Olfr152;Olfr1537;Olfr1564;Olfr160;Olfr161;Olfr173;Olfr178;Olfr183;Olfr2;Olfr237-ps1;Olfr239;Olfr24;Olfr250;Olfr251;Olfr270;Olfr279;Olfr291;Olfr293;Olfr295;Olfr30;Olfr31;Olfr318;Olfr328;Olfr329-ps;Olfr338;Olfr341;Olfr344;Olfr351;Olfr352;Olfr354;Olfr365;Olfr366;Olfr380;Olfr381;Olfr392;Olfr393;Olfr394;Olfr397;Olfr398;Olfr418;Olfr420;Olfr432;Olfr446;Olfr45;Olfr459;Olfr461;Olfr466;Olfr472;Olfr477;Olfr478;Olfr479;Olfr481;Olfr488;Olfr49;Olfr506;Olfr509;Olfr510;Olfr518;Olfr533;Olfr535;Olfr539;Olfr55;Olfr552;Olfr566;Olfr57;Olfr575;Olfr578;Olfr586;Olfr592;Olfr600;Olfr613;Olfr620;Olfr622;Olfr624;Olfr628;Olfr63;Olfr635;Olfr639;Olfr64;Olfr642;Olfr645;Olfr648;Olfr652;Olfr654;Olfr655;Olfr656;Olfr66;Olfr670;Olfr675;Olfr676;Olfr679;Olfr689;Olfr692;Olfr699;Olfr705;Olfr713;Olfr714;Olfr715;Olfr715b;Olfr727;Olfr728;Olfr729;Olfr734;Olfr735;Olfr740;Olfr744;Olfr76;Olfr767;Olfr769;Olfr774;Olfr775;Olfr78;Olfr784;Olfr788;Olfr789;Olfr794;Olfr801;Olfr802;Olfr803;Olfr808;Olfr814;Olfr824;Olfr827;Olfr830;Olfr843;Olfr846;Olfr851;Olfr853;Olfr859;Olfr867;Olfr873;Olfr876;Olfr887;Olfr889;Olfr893;Olfr898;Olfr904;Olfr905;Olfr906;Olfr907;Olfr914;Olfr916;Olfr918;Olfr920;Olfr921;Olfr943;Olfr954;Olfr958;Olfr959;Olfr961;Olfr975;Olfr981;Olfr986;Slc24a4;Slc8a2
mmu04080	Neuroactive ligand-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?mmu04080+108043+13609+17202+108068+226304+239336+18386+14397+12062+22095+11607+15565+14600+58861+12267+13618+14406+110834+14394+14404+14396+14427+15562+11551+15558+11548+11549+243764+14823+14765+15566+11438+18216+14805+14395+18166+53978+14608+14062+110886+18167+14804+53623+15550+21338+15563+242443+14654+21390+12671+14428+104443+14407+15557+18389+18101+14402+230777+22045+19218+57249+67168+19214+15560+19220+381489+237213+14401+245526+108015+18387+14658+14405+110304+12801+78134	-0.44453847672161345	-2.1147257512792903	0	0.0019468146798111176	190	./Project_wg_result1568401781_GSEA/mmu04080.png	76	108043;13609;17202;108068;226304;239336;18386;14397;12062;22095;11607;15565;14600;58861;12267;13618;14406;110834;14394;14404;14396;14427;15562;11551;15558;11548;11549;243764;14823;14765;15566;11438;18216;14805;14395;18166;53978;14608;14062;110886;18167;14804;53623;15550;21338;15563;242443;14654;21390;12671;14428;104443;14407;15557;18389;18101;14402;230777;22045;19218;57249;67168;19214;15560;19220;381489;237213;14401;245526;108015;18387;14658;14405;110304;12801;78134	Adra1a;Adra1b;Adra2a;Agtr1a;Bdkrb2;C3ar1;Chrm2;Chrm3;Chrna3;Chrna4;Chrnb3;Chrnb4;Cnr1;Cysltr1;Ednrb;F2r;Gabra1;Gabra2;Gabra3;Gabra4;Gabra5;Gabrb2;Gabrb3;Gabre;Gabrg1;Gabrg2;Gabrg3;Gabrq;Galr1;Galr2;Ghr;Glra1;Glra2;Glra3;Glrb;Gpr50;Gpr83;Gria3;Grid2;Grik1;Grin3a;Grm2;Grm8;Hcrtr1;Htr1a;Htr1f;Htr2a;Htr2c;Htr4;Htr5a;Htr6;Htr7;Lpar2;Lpar4;Lpar6;Mc4r;Nmbr;Npbwr1;Npffr2;Npy1r;Npy2r;Ntsr1;Oprd1;Oprk1;Oprl1;Pgr15l;Ptgdr;Ptger3;Ptgfr;Rxfp1;Rxfp3;S1pr1;Tacr3;Tbxa2r;Trhr;Tshr
mmu00970	Aminoacyl-tRNA biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?mmu00970+85305+27267+107271+104458+22321+353172+20226+107508+22375+224805+102436+97541+216443+110960+71807+70560+234734+226539+69955	0.5720883077711273	2.034911872037247	0	0.003321887130486713	40	./Project_wg_result1568401781_GSEA/mmu00970.png	19	85305;27267;107271;104458;22321;353172;20226;107508;22375;224805;102436;97541;216443;110960;71807;70560;234734;226539;69955	Aars;Aars2;Cars;Dars2;Eprs;Fars2;Gars;Kars;Lars2;Mars;Qars;Rars;Sars;Tars;Tars2;Vars;Wars;Wars2;Yars
mmu00600	Sphingolipid metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu00600+50877+11883+268656+241159+20698+11605+241447+77626+50784+22239+19012+433323+67260+66190+11886+13244+14420+54447+70750+56386+81535+22234	-0.565176823155676	-2.0356860178434633	0	0.004542567586225941	42	./Project_wg_result1568401781_GSEA/mmu00600.png	22	50877;11883;268656;241159;20698;11605;241447;77626;50784;22239;19012;433323;67260;66190;11886;13244;14420;54447;70750;56386;81535;22234	Acer3;Arsa;Asah1;Asah2;B4galt6;Cers4;Cers6;Degs1;Galc;Gla;Kdsr;Neu3;Neu4;Plpp1;Plpp2;Sgpp1;Sgpp2;Smpd4;Sphk1;Sptlc1;Ugcg;Ugt8a
mmu05033	Nicotine addiction	http://www.kegg.jp/kegg-bin/show_pathway?mmu05033+14397+14406+72961+14394+14404+14396+11438+14395+110886+140919+53623+242443+14407+14402+57249+14401+14405	-0.5850871244383165	-1.9788775665182192	0	0.006083795874409742	34	./Project_wg_result1568401781_GSEA/mmu05033.png	17	14397;14406;72961;14394;14404;14396;11438;14395;110886;140919;53623;242443;14407;14402;57249;14401;14405	Chrna4;Gabra1;Gabra2;Gabra3;Gabra4;Gabra5;Gabrb2;Gabrb3;Gabre;Gabrg1;Gabrg2;Gabrg3;Gabrq;Gria3;Grin3a;Slc17a6;Slc17a7
mmu04915	Estrogen signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04915+14228+15516+15481+15519+18709+107656+11652+12913+14281+12315+17978+20418+11651+11911+12314+14229+55960+26396+20683+16438+16522+12915+26395+18797+12912+15511+16668+231991+14784+16476+22027+18796+20416+16440	0.4497096905535604	1.897115291306114	0	0.015536210579507086	107	./Project_wg_result1568401781_GSEA/mmu04915.png	34	14228;15516;15481;15519;18709;107656;11652;12913;14281;12315;17978;20418;11651;11911;12314;14229;55960;26396;20683;16438;16522;12915;26395;18797;12912;15511;16668;231991;14784;16476;22027;18796;20416;16440	Akt1;Akt2;Atf4;Atf6b;Calm2;Calm3;Creb1;Creb3;Creb5;Ebag9;Fkbp4;Fkbp5;Fos;Grb2;Hsp90aa1;Hsp90ab1;Hsp90b1;Hspa1b;Hspa8;Itpr1;Itpr3;Jun;Kcnj6;Krt18;Krt9;Map2k1;Map2k2;Ncoa2;Pik3r2;Plcb2;Plcb3;Shc1;Shc3;Sp1
mmu03050	Proteasome	http://www.kegg.jp/kegg-bin/show_pathway?mmu03050+19185+17463+19182+23996+19179+69077+56436+19170+26442+19186+19184+22123+19181+26443+19173+19188+66997+26441+21762+19175+19177	0.5121832531865421	1.8673180073650915	0.003875968984736494	0.01856849729348983	45	./Project_wg_result1568401781_GSEA/mmu03050.png	21	19185;17463;19182;23996;19179;69077;56436;19170;26442;19186;19184;22123;19181;26443;19173;19188;66997;26441;21762;19175;19177	Adrm1;Psma4;Psma5;Psma6;Psmb1;Psmb5;Psmb6;Psmb7;Psmc1;Psmc2;Psmc3;Psmc4;Psmc5;Psmd11;Psmd12;Psmd2;Psmd3;Psmd4;Psmd7;Psme1;Psme2
