geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
R-MMU-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	http://reactome.org/PathwayBrowser/#/R-MMU-6791226	0.6286643171225782	2.6641869039867605	0	0	101	./Project_wg_result1568401789_GSEA/R_MMU_6791226.png	58	76130;213895;20084;14113;67973;17975;76846;75416;65961;18572;20044;234374;27966;216987;70683;72554;50911;67134;20103;12181;227715;213773;53414;73674;57315;104662;50912;195434;56200;110816;55989;67205;74778;227522;52705;20091;75273;14791;27373;208144;71340;269470;223499;57750;66475;27207;64934;27370;67619;16898;69072;78394;67755;215193;30877;216156;217995;100608	Bms1;Bop1;Bysl;Csnk1e;Dcaf13;Ddx21;Ddx47;Ddx49;Ddx52;Dhx37;Diexf;Ebna1bp2;Emg1;Exosc10;Exosc2;Exosc9;Fbl;Gnl3;Heatr1;Krr1;Las1l;Mphosph10;Ncl;Nob1;Noc4l;Nop14;Nop56;Nop58;Pdcd11;Pelp1;Pes1;Pwp2;Riok1;Rpp38;Rps11;Rps14;Rps18;Rps2;Rps23;Rps26;Rps3a1;Rps5;Rps9;Rrp7a;Rrp9;Tbl3;Tsr1;Utp11;Utp14a;Utp14b;Utp20;Utp3;Utp6;Wdr12;Wdr18;Wdr3;Wdr46;Wdr75
R-MMU-72312	rRNA processing	http://reactome.org/PathwayBrowser/#/R-MMU-72312	0.6286643171225782	2.6641869039867605	0	0	101	./Project_wg_result1568401789_GSEA/R_MMU_72312.png	58	76130;213895;20084;14113;67973;17975;76846;75416;65961;18572;20044;234374;27966;216987;70683;72554;50911;67134;20103;12181;227715;213773;53414;73674;57315;104662;50912;195434;56200;110816;55989;67205;74778;227522;52705;20091;75273;14791;27373;208144;71340;269470;223499;57750;66475;27207;64934;27370;67619;16898;69072;78394;67755;215193;30877;216156;217995;100608	Bms1;Bop1;Bysl;Csnk1e;Dcaf13;Ddx21;Ddx47;Ddx49;Ddx52;Dhx37;Diexf;Ebna1bp2;Emg1;Exosc10;Exosc2;Exosc9;Fbl;Gnl3;Heatr1;Krr1;Las1l;Mphosph10;Ncl;Nob1;Noc4l;Nop14;Nop56;Nop58;Pdcd11;Pelp1;Pes1;Pwp2;Riok1;Rpp38;Rps11;Rps14;Rps18;Rps2;Rps23;Rps26;Rps3a1;Rps5;Rps9;Rrp7a;Rrp9;Tbl3;Tsr1;Utp11;Utp14a;Utp14b;Utp20;Utp3;Utp6;Wdr12;Wdr18;Wdr3;Wdr46;Wdr75
R-MMU-8868773	rRNA processing in the nucleus and cytosol	http://reactome.org/PathwayBrowser/#/R-MMU-8868773	0.6286643171225782	2.6641869039867605	0	0	101	./Project_wg_result1568401789_GSEA/R_MMU_8868773.png	58	76130;213895;20084;14113;67973;17975;76846;75416;65961;18572;20044;234374;27966;216987;70683;72554;50911;67134;20103;12181;227715;213773;53414;73674;57315;104662;50912;195434;56200;110816;55989;67205;74778;227522;52705;20091;75273;14791;27373;208144;71340;269470;223499;57750;66475;27207;64934;27370;67619;16898;69072;78394;67755;215193;30877;216156;217995;100608	Bms1;Bop1;Bysl;Csnk1e;Dcaf13;Ddx21;Ddx47;Ddx49;Ddx52;Dhx37;Diexf;Ebna1bp2;Emg1;Exosc10;Exosc2;Exosc9;Fbl;Gnl3;Heatr1;Krr1;Las1l;Mphosph10;Ncl;Nob1;Noc4l;Nop14;Nop56;Nop58;Pdcd11;Pelp1;Pes1;Pwp2;Riok1;Rpp38;Rps11;Rps14;Rps18;Rps2;Rps23;Rps26;Rps3a1;Rps5;Rps9;Rrp7a;Rrp9;Tbl3;Tsr1;Utp11;Utp14a;Utp14b;Utp20;Utp3;Utp6;Wdr12;Wdr18;Wdr3;Wdr46;Wdr75
R-MMU-72613	Eukaryotic Translation Initiation	http://reactome.org/PathwayBrowser/#/R-MMU-72613	0.7001091396904326	2.5324690064825672	0	0	46	./Project_wg_result1568401789_GSEA/R_MMU_72613.png	23	56347;27979;53356;13667;217715;208643;20084;76846;20044;55944;54709;73830;13669;108067;20103;223691;75705;20091;224045;66475;27207;27370;16898	Eif2b2;Eif2b3;Eif2b4;Eif2b5;Eif3a;Eif3b;Eif3c;Eif3d;Eif3g;Eif3i;Eif3k;Eif3l;Eif4b;Eif4g1;Rps11;Rps14;Rps18;Rps2;Rps23;Rps26;Rps3a1;Rps5;Rps9
R-MMU-72737	Cap-dependent Translation Initiation	http://reactome.org/PathwayBrowser/#/R-MMU-72737	0.7001091396904326	2.5324690064825672	0	0	46	./Project_wg_result1568401789_GSEA/R_MMU_72737.png	23	56347;27979;53356;13667;217715;208643;20084;76846;20044;55944;54709;73830;13669;108067;20103;223691;75705;20091;224045;66475;27207;27370;16898	Eif2b2;Eif2b3;Eif2b4;Eif2b5;Eif3a;Eif3b;Eif3c;Eif3d;Eif3g;Eif3i;Eif3k;Eif3l;Eif4b;Eif4g1;Rps11;Rps14;Rps18;Rps2;Rps23;Rps26;Rps3a1;Rps5;Rps9
R-MMU-8953854	Metabolism of RNA	http://reactome.org/PathwayBrowser/#/R-MMU-8953854	0.49946283454485263	2.506214393083368	0	0	439	./Project_wg_result1568401789_GSEA/R_MMU_8953854.png	161	98053;22184;51796;54633;74351;57317;19185;68598;66070;76130;67959;83701;17463;20222;22186;22608;68879;60321;75956;208643;20637;213895;80744;20084;228140;50996;14113;67973;73826;17975;22190;50783;11737;19182;23996;319322;57905;76846;19179;75416;20924;193116;65961;70616;69077;18572;64340;53607;209416;20044;27967;234374;27966;20227;22185;66642;68592;320632;94230;216987;70683;107829;72554;232791;50911;20624;67134;20103;68188;66420;75062;11651;12181;227715;216766;213773;53414;70767;56417;66118;107686;232989;66354;73674;57315;19170;104662;50912;18750;72047;195434;26442;19186;71702;19069;170722;53817;56200;110816;386612;67480;56422;55989;18226;67205;192170;74778;227522;28000;108989;76938;230596;52705;56698;75705;69833;53319;13872;20091;15511;19184;75273;51810;22123;14791;19181;27373;208144;26443;76936;19704;20492;71340;269470;108077;223499;70233;71978;57750;66475;69583;27207;64934;19173;74326;19188;233073;23983;245841;27370;67619;69192;16898;67178;69072;20630;66997;54401;14885;19826;192160	Adar;Akt1;Anp32a;Bms1;Bop1;Bysl;Casc3;Cd2bp2;Cdc5l;Cherp;Cnot3;Cpsf1;Csnk1e;Ctnnbl1;Cwc15;Cwc22;Cwc25;Dcaf13;Ddx21;Ddx23;Ddx39b;Ddx42;Ddx49;Dhx16;Dhx37;Dhx38;Dnajc8;Ebna1bp2;Eftud2;Eif4a3;Eif4b;Eif4g1;Emg1;Ercc3;Exosc10;Exosc2;Exosc9;Fbl;Gemin5;Gpkow;Gtf2f1;Gtf2h4;Hbs1l;Hnrnpm;Hnrnpr;Hnrnpu;Hnrnpul1;Hspa1b;Isy1;Krr1;Las1l;Lsm4;Mphosph10;Ncl;Nob1;Nop14;Nop56;Nop58;Nup62;Nup88;Nxf1;Nxf7;Pcbp1;Pdcd11;Pdcd7;Pelp1;Pes1;Phax;Poldip3;Polr2e;Polr2f;Polr2h;Ppp2r2a;Pqbp1;Prkca;Prpf19;Prpf3;Prpf38a;Prpf6;Psma5;Psma6;Psmb1;Psmb5;Psmc1;Psmc2;Psmc3;Psmc4;Psmc5;Psmd11;Psmd12;Psmd3;Psmd4;Psmd7;Psme1;Psme2;Puf60;Pwp2;Rbm17;Riok1;Rnps1;Rpp38;Rps11;Rps14;Rps18;Rps2;Rps23;Rps26;Rps3a1;Rps5;Rps9;Rrp7a;Rrp9;Sarnp;Sart1;Sf3a2;Sf3a3;Sf3b2;Skiv2l;Slbp;Slu7;Snrnp200;Snrnp70;Snrpa;Snrpc;Snrpd2;Snw1;Srrm1;Srrm2;Srrt;Srsf4;Sugp1;Supt5;Syf2;Sympk;Tbl3;Thoc5;Thoc6;Tnfsf13;Tnks1bp1;Tpr;Tsr1;U2af1l4;U2af2;Uba52;Ubc;Upf1;Utp11;Utp14a;Utp14b;Utp20;Utp3;Utp6;Wbp11;Wdr12;Wdr3;Wdr46;Wdr75;Ybx1;Ywhab;Zmat5;Zrsr2
R-MMU-72766	Translation	http://reactome.org/PathwayBrowser/#/R-MMU-72766	0.5619250065817007	2.4818868467748283	0	0	140	./Project_wg_result1568401789_GSEA/R_MMU_72766.png	56	56347;27979;53356;13667;217715;208643;20084;13629;67308;76846;20044;55944;54709;73830;68537;13669;68836;99045;60441;108067;74600;353242;20103;223691;66163;18100;56282;79044;52443;77721;66493;94062;66973;66242;102060;75705;66047;20091;68611;218506;19935;27397;107733;69089;27398;56280;224045;64658;66475;27207;27370;66258;16898;107734;118451;65111	Dap3;Eef2;Eif2b2;Eif2b3;Eif2b4;Eif2b5;Eif3a;Eif3b;Eif3c;Eif3d;Eif3g;Eif3i;Eif3k;Eif3l;Eif4b;Eif4g1;Gadd45gip1;Mrpl12;Mrpl13;Mrpl17;Mrpl2;Mrpl21;Mrpl23;Mrpl28;Mrpl3;Mrpl30;Mrpl37;Mrpl38;Mrpl4;Mrpl40;Mrpl41;Mrpl46;Mrpl47;Mrpl48;Mrpl51;Mrpl52;Mrpl54;Mrps16;Mrps17;Mrps18b;Mrps2;Mrps25;Mrps26;Mrps27;Mrps34;Mrps5;Oxa1l;Rps11;Rps14;Rps18;Rps2;Rps23;Rps26;Rps3a1;Rps5;Rps9
R-MMU-72689	Formation of a pool of free 40S subunits	http://reactome.org/PathwayBrowser/#/R-MMU-72689	0.7101578050856939	2.4127799711014912	0	0	34	./Project_wg_result1568401789_GSEA/R_MMU_72689.png	17	56347;27979;53356;20084;76846;20044;55944;54709;73830;13669;20103;223691;20091;66475;27207;27370;16898	Eif3a;Eif3b;Eif3c;Eif3d;Eif3g;Eif3i;Eif3k;Eif3l;Rps11;Rps14;Rps18;Rps2;Rps23;Rps26;Rps3a1;Rps5;Rps9
R-MMU-72172	mRNA Splicing	http://reactome.org/PathwayBrowser/#/R-MMU-72172	0.5268495295605359	2.383533138671853	0	0	163	./Project_wg_result1568401789_GSEA/R_MMU_72172.png	59	98053;22184;51796;54633;74351;57317;68598;66070;67959;83701;20222;22608;68879;60321;75956;20637;80744;50996;50783;319322;57905;70616;64340;53607;209416;27967;20227;22185;66642;68592;320632;94230;20624;68188;66420;75062;70767;107686;232989;66354;72047;71702;67480;192170;28000;76938;230596;69833;51810;76936;70233;74326;233073;23983;245841;69192;67178;20630;19826	Cd2bp2;Cdc5l;Cherp;Cpsf1;Ctnnbl1;Cwc15;Cwc22;Cwc25;Ddx23;Ddx42;Dhx16;Dhx38;Dnajc8;Eftud2;Eif4a3;Gpkow;Gtf2f1;Hnrnpm;Hnrnpr;Hnrnpu;Hnrnpul1;Isy1;Lsm4;Pcbp1;Pdcd7;Polr2e;Polr2f;Polr2h;Pqbp1;Prpf19;Prpf3;Prpf38a;Prpf6;Puf60;Rbm17;Rnps1;Sart1;Sf3a2;Sf3a3;Sf3b2;Snrnp200;Snrnp70;Snrpa;Snrpc;Snrpd2;Snw1;Srrm1;Srrm2;Srrt;Srsf4;Sugp1;Syf2;Sympk;U2af1l4;U2af2;Wbp11;Ybx1;Zmat5;Zrsr2
R-MMU-156827	L13a-mediated translational silencing of Ceruloplasmin expression	http://reactome.org/PathwayBrowser/#/R-MMU-156827	0.6788478076409861	2.381136909483098	0	0	40	./Project_wg_result1568401789_GSEA/R_MMU_156827.png	19	56347;27979;53356;208643;20084;76846;20044;55944;54709;73830;13669;20103;223691;75705;20091;66475;27207;27370;16898	Eif3a;Eif3b;Eif3c;Eif3d;Eif3g;Eif3i;Eif3k;Eif3l;Eif4b;Eif4g1;Rps11;Rps14;Rps18;Rps2;Rps23;Rps26;Rps3a1;Rps5;Rps9
