geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0002443	leukocyte mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002443	0.6065506079530365	2.5891828962440613	0	0	268	./Project_wg_result1568160464_GSEA/GO_0002443.png	112	15170;20912;16414;19264;12229;74048;18439;16331;12523;14129;74131;12262;16859;18173;12259;22376;16768;14159;19354;15894;16190;15015;11745;17969;22324;14972;14130;13032;246177;230073;81897;171285;24088;216799;21803;104709;16197;20963;21355;12260;21898;12010;14991;216869;268564;17096;15040;50723;21938;11765;14127;69150;13036;21354;19204;16453;14082;217303;69550;26365;110557;18733;57914;18950;20852;20619;16149;228607;56743;56200;266632;15216;22388;240354;12772;12402;12611;11891;380732;27218;30925;12721;17688;12268;12042;12946;232371;56708;20302;77777;51869;14191;17131;50909;18987;142980;20737;16173;56532;20926;20947;20911;22034;20955;12458;13383;54123;12051;70450;18753;19294;12487	Anxa3;Ap1g1;Arrb2;B2m;Bcl10;Bcl3;Bst2;Btk;C1qa;C1qb;C1qc;C1ra;C1rl;C4b;Cbl;Ccl3;Ccr2;Ccr6;Cd28;Cd300a;Cd74;Cd84;Ceacam1;Cebpg;Clcf1;Coro1a;Cr1l;Crlf2;Ctsc;Ctsh;Ddx21;Ddx58;Dlg1;Fadd;Fcer1g;Fcgr1;Fcgr2b;Fes;Fgr;H2-K1;H2-M3;H2-Q4;H2-Q6;H2-T23;Havcr2;Hfe;Icam1;Icosl;Il18;Il4ra;Il7r;Inpp5d;Irak4;Irf7;Itgb2;Jak3;Lag3;Lat2;Lgals9;Lyn;Malt1;Mavs;Milr1;Msh6;Myo1g;Ncf1;Nectin2;Nlrp3;P2rx7;Pik3r6;Pirb;Pnp;Pou2f2;Prkcd;Ptafr;Ptpn6;Ptprc;Rab27a;Rac2;Rif1;Ripk3;Sash3;Slamf1;Slamf6;Slc11a1;Smad7;Snap23;Snx4;Spn;Stat6;Stxbp2;Stxbp3;Supt6;Swap70;Syk;Tap1;Tap2;Tgfb1;Tlr2;Tlr3;Tlr4;Tlr9;Tnfrsf1b;Traf6;Ulbp1;Unc13d;Vamp7;Vav1;Vsir;Was;Wdr1;Zbtb1
GO:0002274	myeloid leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0002274	0.6407554666987815	2.5871728611429243	0	0	157	./Project_wg_result1568160464_GSEA/GO_0002274.png	74	20912;16414;12229;13051;23880;16822;12523;16859;18173;20375;14159;19354;16190;11745;14130;11629;81897;171285;24088;170743;21803;12362;20963;21898;12506;17096;12493;66824;21813;74734;22177;21899;14127;94176;17082;12802;69150;19204;217303;11487;18733;246256;57914;18129;20619;56743;19664;12606;19267;16364;11920;12772;12402;380732;59027;27218;12042;170744;20302;77777;14191;27027;142980;16173;20911;22034;20955;70450;19164;18753;19294;216161;53314;14256	Adam10;Aif1;Anxa3;Atm;Batf;Bcl10;Btk;Casp1;Cbl;Ccl3;Ccr2;Cd300a;Cd37;Cd48;Cd84;Cebpa;Cnr2;Crlf2;Cx3cr1;Dock2;Fcer1g;Fcgr2b;Fcgr4;Fes;Fgr;Flt3l;Fyb;Havcr2;Il18;Il1rl1;Il4ra;Irf4;Itgb2;Lat2;Lcp2;Lgals9;Lyn;Milr1;Nampt;Nectin2;Notch2;Pirb;Prkcd;Psen1;Ptafr;Ptpre;Pycard;Rac2;Rbpj;Rhoh;Sbno2;Slamf1;Slc11a1;Snap23;Snx4;Spi1;Stxbp2;Stxbp3;Syk;Tgfb1;Tgfbr2;Tlr2;Tlr3;Tlr4;Tlr6;Tlr7;Tlr8;Tlr9;Traf6;Tspan32;Tyrobp;Ulbp1;Unc13d;Vamp7
GO:0042742	defense response to bacterium	http://amigo.geneontology.org/amigo/term/GO:0042742	0.6463654993332574	2.5763657155289605	0	0	135	./Project_wg_result1568160464_GSEA/GO_0042742.png	56	17476;18439;14129;15162;15900;16859;18173;11745;17969;14972;106869;81897;171285;24088;216799;332579;20963;21898;17948;14991;66824;229900;15040;12491;236573;14127;195046;22249;13836;17951;12273;13057;14469;56480;11491;60440;97165;17952;18129;228607;55932;19664;232286;53791;74748;68365;78416;100702;12608;17105;192656;20416;319179;21425;14191;20737	Adam17;Anxa3;C5ar1;Card9;Cd36;Cebpb;Cyba;Epha2;Fcer1g;Fcgr1;Fgr;Gbp2;Gbp3;Gbp6;Gbp7;Gbp9;H2-K1;H2-M3;H2-T23;Havcr2;Hck;Hist1h2be;Hmgb2;Iigp1;Irf8;Lgals9;Lyz2;Mavs;Mpeg1;Naip2;Naip5;Naip6;Ncf1;Nlrp1a;Nlrp3;Notch2;P2rx7;Pycard;Rab14;Rbpj;Ripk2;Rnase6;Shc1;Slamf8;Slc11a1;Spn;Syk;Tbk1;Tfeb;Tlr2;Tlr4;Tlr5;Tlr9;Tmf1;Tnfaip8;Unc13b
GO:0006909	phagocytosis	http://amigo.geneontology.org/amigo/term/GO:0006909	0.62678402576934	2.5522412280071114	0	0	146	./Project_wg_result1568160464_GSEA/GO_0006909.png	67	16414;19264;18439;14129;15162;15900;17970;18173;16971;11745;83433;22324;83382;14130;11629;246177;105855;24088;104759;21803;20963;233571;11303;19128;16412;66824;12491;14127;330662;19353;94176;17886;13057;75415;17289;217303;232201;69288;105722;13430;16416;19261;17972;17089;19271;16410;20288;66205;12772;11891;68365;12540;27218;12721;27403;73182;14456;17921;14191;12317;19332;72392;226421;18706;69165;20955;140580	Abca1;Abca7;Aif1;Ano6;Anxa3;Arhgap12;Arhgap25;Calr;Ccr2;Cd209b;Cd300a;Cd302;Cd36;Cdc42;Coro1a;Cyba;Dnm2;Dock1;Dock2;Elmo1;Fcer1g;Fcgr1;Fcgr2b;Fgr;Gas6;Hck;Irf8;Itgav;Itgb1;Itgb2;Itgb3;Lrp1;Lyar;Mertk;Msr1;Myh9;Myo1g;Myo7a;Ncf2;Ncf4;Nckap1l;P2rx7;P2ry6;Pear1;Pik3ca;Pld4;Pros1;Ptprc;Ptprj;Pycard;Rab14;Rab20;Rab27a;Rab7b;Rac1;Rhobtb1;Siglece;Sirpa;Slamf1;Slc11a1;Syk;Tgfb1;Tlr2;Tmem175;Trem2;Vamp7;Vav1
GO:0032635	interleukin-6 production	http://amigo.geneontology.org/amigo/term/GO:0032635	0.6341219397960438	2.5091032495075023	0	0	121	./Project_wg_result1568160464_GSEA/GO_0032635.png	50	15170;20128;18439;16331;12523;16859;16194;319430;71586;54445;230073;81897;171285;105855;24088;170743;332579;242248;21898;216869;66824;21899;12491;14127;225471;13057;19204;14466;107527;16175;232801;19261;228607;12774;13211;27218;12608;17975;17164;57781;170744;192656;14456;142980;20848;16173;217305;226421;63873;22034	Arrb2;Bank1;C5ar2;Card9;Ccr5;Cd200r1;Cd300ld;Cd36;Cd84;Cebpb;Cyba;Ddx58;Dhx9;Fcer1g;Gas6;Gba;Havcr2;Ifih1;Il18;Il1a;Il1rl2;Il6ra;Inpp5d;Lgals9;Lilra5;Mapkapk2;Mavs;Nckap1l;Ncl;P2rx7;Ptafr;Ptpn6;Pycard;Rab7b;Ripk2;Sirpa;Slamf1;Stat3;Ticam2;Tlr2;Tlr3;Tlr4;Tlr6;Tlr7;Tlr8;Tlr9;Traf6;Trim30a;Trpv4;Unc93b1
GO:0002250	adaptive immune response	http://amigo.geneontology.org/amigo/term/GO:0002250	0.5764683283555895	2.477706577622576	0	0	296	./Project_wg_result1568160464_GSEA/GO_0002250.png	124	15170;19264;67742;239743;12229;74048;321019;18439;16331;12523;14129;74131;12262;16859;18173;16194;12259;22376;15894;16190;15015;21934;14972;54445;14130;13032;15284;246177;13733;171285;216799;12267;21803;16197;20963;21355;12260;12010;14991;12506;268564;17096;66824;15040;50723;21938;14127;17085;11513;18707;12524;17082;13036;21354;16453;14082;11491;21682;26365;80898;110557;18733;57914;18950;227525;20852;16149;209446;56743;94212;15216;109305;16362;17999;240354;16364;15985;12772;11891;21935;27218;30925;14728;17688;12268;12042;12946;232371;24099;192656;56708;26888;16452;77777;51869;21425;17131;50909;18987;20848;20737;16173;57916;229603;56532;17260;20926;20947;320795;56620;22034;18761;12142;12458;13383;54123;12051;70450;18753;19294;12487;21929;243958;53314	Adam17;Adcy7;Adgre1;B2m;Batf;Bcl10;Bcl3;Btk;C1qa;C1qb;C1qc;C1ra;C1rl;C3ar1;C4b;Ccr2;Ccr6;Cd28;Cd48;Cd74;Cd79b;Cd84;Cd86;Ceacam1;Clcf1;Clec4a2;Clec4n;Cr1l;Crlf2;Ctsc;Ctsh;Dclre1c;Dlg1;Erap1;Fadd;Fcer1g;Fcgr1;Fcgr2b;Gpr183;H2-K1;H2-M3;H2-Q4;H2-Q6;H2-T23;Havcr2;Hfe;Hlx;Icam1;Icosl;Il18;Il1rl1;Il4ra;Il6ra;Il7r;Inpp5d;Irf1;Irf4;Irf7;Jak2;Jak3;Klhl6;Lat2;Lgals9;Lilrb4a;Ly9;Lyn;Malt1;Mef2c;Msh6;Myo1g;Nectin2;Nedd4;Nlrp3;Orai1;Otud7b;P2rx7;Pag1;Pik3cd;Pirb;Pkn1;Pnp;Pou2f2;Prdm1;Prkcd;Prkcq;Ptpn6;Ptprc;Pycard;Rab27a;Rif1;Ripk2;Ripk3;Samsn1;Sash3;Siglecg;Slamf1;Slamf6;Slc11a1;Smad7;Spn;Stat3;Stat6;Supt6;Swap70;Syk;Tap1;Tap2;Tec;Tfe3;Tfeb;Tgfb1;Tnfaip3;Tnfrsf11a;Tnfrsf13b;Tnfrsf17;Tnfrsf1b;Tnfsf13b;Traf6;Ulbp1;Unc13d;Unc93b1;Vsir;Was;Zbtb1
GO:0002263	cell activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002263	0.5943085790194261	2.4614047973162276	0	0	193	./Project_wg_result1568160464_GSEA/GO_0002263.png	79	20912;16414;17079;234779;19264;12229;321019;12523;16859;75974;18173;14159;19354;11977;15894;16190;11745;15284;54519;171285;18826;216799;21803;20963;21898;14991;17096;66824;50723;22177;11765;14127;17085;94176;69150;19204;16453;217303;26365;210293;20852;18129;20619;56743;16362;240354;16364;12772;12402;11891;380732;27218;30925;22059;12721;17688;192656;56708;20302;51869;14191;17131;20848;20737;16173;20926;20947;224860;20911;20955;12458;16848;12051;70450;19164;12487;21929;216161;53314	Anxa3;Ap1g1;Apbb1ip;Atp7a;Batf;Bcl3;Btk;Cbl;Ccl3;Ccr2;Ccr6;Cd180;Cd28;Cd300a;Cd84;Ceacam1;Clcf1;Coro1a;Dock10;Dock11;Dock2;Fcer1g;Fes;Fgr;Gpr183;H2-M3;Havcr2;Hlx;Icam1;Icosl;Il18;Il4ra;Irf1;Irf4;Itgb2;Jak3;Lat2;Lcp1;Lfng;Lgals9;Ly9;Lyn;Malt1;Milr1;Msh6;Nlrp3;Notch2;Plcg2;Plcl2;Psen1;Ptafr;Ptprc;Pycard;Rab27a;Rac2;Rif1;Ripk2;Sbno2;Slamf1;Slamf6;Slc11a1;Smad7;Snap23;Snx4;Spn;Stat3;Stat6;Stxbp2;Stxbp3;Supt6;Swap70;Syk;Tgfb1;Tlr4;Tnfaip3;Trp53;Tyrobp;Unc13d;Vamp7
GO:0010324	membrane invagination	http://amigo.geneontology.org/amigo/term/GO:0010324	0.6845586322617624	2.4392221509983547	0	0	54	./Project_wg_result1568160464_GSEA/GO_0010324.png	26	16414;14129;83433;83382;14130;11629;105855;11303;12491;14127;19353;66616;17886;75415;217303;232201;69288;105722;19261;11848;20288;218503;12540;27403;15239;75788	Abca1;Abca7;Aif1;Ano6;Arhgap12;Arhgap25;Cd300a;Cd36;Cdc42;Fcer1g;Fcgr1;Fcgr2b;Fcho2;Hgs;Itgb2;Msr1;Myh9;Nckap1l;Rac1;Rhoa;Rhobtb1;Siglece;Sirpa;Smurf1;Snx9;Trem2
GO:0045088	regulation of innate immune response	http://amigo.geneontology.org/amigo/term/GO:0045088	0.5731606560228835	2.418648821124254	0	0	221	./Project_wg_result1568160464_GSEA/GO_0045088.png	105	20128;72512;16859;12475;279572;16768;78781;71586;22324;70312;54445;384059;230073;81897;171285;24088;13982;170743;19090;56045;332579;104709;21355;21898;319236;14991;216869;17096;667823;66824;15040;15944;21899;226691;12491;11765;211550;236312;12524;383619;225471;547253;13057;21354;56480;14082;54131;217303;26365;97165;83490;12768;66645;432940;16149;80861;228607;13211;59079;381308;15216;16362;53791;16364;64685;14133;74748;11845;71514;102639543;30925;17164;12042;56275;170744;192656;67245;77777;21425;14191;142980;18035;15516;20466;19697;226421;108960;67065;268857;54123;73945;19294;15950;21929;58203;243655;270151;80913;73914;56310;12539;80285;17184;20850;70428	Aim2;Ap1g1;Arf6;Arrb2;Bcl10;Cactin;Card9;Ccr1;Cd14;Cd300a;Cd36;Cd74;Cd86;Cdc37;Ceacam1;Cyba;Ddx58;Dhx58;Dhx9;Erbin;Esr1;Fadd;Fcna;Fgr;Gps2;H2-M3;H2-T23;Havcr2;Hfe;Hmgb2;Hsp90ab1;Ifi203;Ifi206;Ifi207;Ifi209;Ifi211;Ifih1;Irak2;Irak3;Irf1;Irf3;Irf4;Irf7;Irgm1;Klre1;Lag3;Lgals9;Lyn;Mapkapk2;Matr3;Mavs;Nectin2;Nfkbia;Nlrc3;Nlrx1;Nmi;Otud4;Otulin;Parp14;Parp9;Peli1;Pik3ap1;Pik3r6;Polr3b;Polr3d;Prkdc;Pspc1;Pum2;Pycard;Rab7b;Rbm14;Rela;Ripk2;Samhd1;Sfpq;Sin3a;Slamf6;Slamf8;Stat5a;Tap1;Tap2;Tbk1;Tfeb;Ticam2;Tifa;Tlr12;Tlr13;Tlr2;Tlr3;Tlr4;Tlr5;Tlr6;Tlr7;Tlr8;Tlr9;Tmem173;Tnfaip3;Trim12c;Trim30a;Trim5;Ulbp1;Unc93b1;Vav1;Zbp1;Zc3hav1
GO:0070661	leukocyte proliferation	http://amigo.geneontology.org/amigo/term/GO:0070661	0.5666278815636248	2.3980350352765285	0	0	240	./Project_wg_result1568160464_GSEA/GO_0070661.png	98	15170;16414;17079;19264;12229;74048;17698;321019;18439;16331;320484;76088;74131;16859;18173;16194;19354;78317;14130;11629;81897;171285;105855;21803;16197;20963;21898;14991;12367;17096;12483;66824;15040;16411;21813;50723;56501;13641;21938;50498;94176;12524;16396;56480;16453;14082;217303;26365;229473;18950;12519;16149;16362;240354;12520;16168;11920;12772;20293;27218;30925;22059;12608;17120;12721;24099;192656;67245;56708;108723;68767;20737;16173;57916;12144;56532;17260;14732;230979;320795;224860;22034;18761;18019;16195;12767;13383;12575;27050;18753;12487;170786;243958;15201;14256;18162;60533;15205	Aif1;Atm;Blm;Btk;Card11;Casp3;Ccdc88b;Ccl12;Ccr2;Cd180;Cd209a;Cd22;Cd274;Cd28;Cd300a;Cd74;Cd80;Cd81;Cd86;Cdkn1a;Ceacam1;Cebpb;Clcf1;Coro1a;Cxcr4;Dlg1;Dock2;Dock8;Ebi3;Efnb1;Elf4;Fadd;Fcgr2b;Flt3l;Gpam;Gpr183;H2-M3;H2-T23;Havcr2;Hells;Hes1;Icosl;Il15;Il18;Il6ra;Il6st;Il7r;Inpp5d;Irf1;Itch;Itgax;Itgb2;Jak3;Lgals9;Lyn;Mad1l1;Malt1;Mef2c;Msn;Nckap1l;Nfatc2;Npr3;P2rx7;Peli1;Pkn1;Plcl2;Pnp;Prkcd;Prkcq;Ptpn6;Ptprc;Pycard;Rac2;Rasal3;Ripk2;Ripk3;Rps3;Sash3;Siglecg;Slamf1;Slamf6;Slc11a1;Spn;Syk;Tbk1;Tgfb1;Tgfbr2;Tlr4;Tlr9;Tmem131l;Tnfrsf13b;Tnfrsf14;Tnfrsf1b;Tnfsf13b;Traf6;Trp53;Vsir;Washc1
