geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
mmu05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05150+16409+16414+14129+12262+12628+12259+15894+14130+12267+12260+14999+14969+14131+12273+19204+15002+15001+246256+14960+20345+14961+12268+50909	0.780867258323551	2.5982599123506414	0	0	38	./Project_wg_result1568160481_GSEA/mmu05150.png	23	16409;16414;14129;12262;12628;12259;15894;14130;12267;12260;14999;14969;14131;12273;19204;15002;15001;246256;14960;20345;14961;12268;50909	C1qa;C1qb;C1qc;C1ra;C3ar1;C4b;C5ar1;Cfh;Fcgr1;Fcgr2b;Fcgr3;Fcgr4;H2-Aa;H2-Ab1;H2-DMb1;H2-Eb1;H2-Oa;H2-Ob;Icam1;Itgam;Itgb2;Ptafr;Selplg
mmu05140	Leishmaniasis	http://www.kegg.jp/kegg-bin/show_pathway?mmu05140+16409+15170+16414+14129+17970+17969+13058+16451+24088+21803+21898+14999+16412+15979+14969+14131+13057+15002+16175+15001+20846+246256+18033+14960+17972+266632+16401+14961+16452+18035+68652+19697+22034+14998	0.7114317225628408	2.551550309630422	0	0	60	./Project_wg_result1568160481_GSEA/mmu05140.png	34	16409;15170;16414;14129;17970;17969;13058;16451;24088;21803;21898;14999;16412;15979;14969;14131;13057;15002;16175;15001;20846;246256;18033;14960;17972;266632;16401;14961;16452;18035;68652;19697;22034;14998	Cyba;Cybb;Fcgr1;Fcgr3;Fcgr4;H2-Aa;H2-Ab1;H2-DMa;H2-DMb1;H2-Eb1;H2-Oa;H2-Ob;Ifngr1;Il1a;Irak4;Itga4;Itgam;Itgb1;Itgb2;Jak1;Jak2;Ncf1;Ncf2;Ncf4;Nfkb1;Nfkbia;Ptpn6;Rela;Stat1;Tab2;Tgfb1;Tlr2;Tlr4;Traf6
mmu04145	Phagosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu04145+16409+16414+13040+14129+17533+17970+12475+15015+17969+16419+14972+14130+13058+27060+24088+21355+13427+21825+21898+14999+14991+16412+17534+15040+21899+14969+13424+12491+19353+14131+13057+21354+12330+15002+110557+15001+246256+16416+13039+16784+14960+17972+16410+20288+14964+18711+53421+21871+14961+69142+12721+15239+11974+50909+11461+12317+22154+53331+67951+226421+14998	0.6334902880060663	2.527753294702095	0	0	139	./Project_wg_result1568160481_GSEA/mmu04145.png	61	16409;16414;13040;14129;17533;17970;12475;15015;17969;16419;14972;14130;13058;27060;24088;21355;13427;21825;21898;14999;14991;16412;17534;15040;21899;14969;13424;12491;19353;14131;13057;21354;12330;15002;110557;15001;246256;16416;13039;16784;14960;17972;16410;20288;14964;18711;53421;21871;14961;69142;12721;15239;11974;50909;11461;12317;22154;53331;67951;226421;14998	Actb;Atp6v0a2;Atp6v0e;C1ra;Calr;Canx;Cd14;Cd209f;Cd36;Coro1a;Ctsl;Ctss;Cyba;Cybb;Dync1h1;Dync1i2;Fcgr1;Fcgr2b;Fcgr3;Fcgr4;H2-Aa;H2-Ab1;H2-D1;H2-DMa;H2-DMb1;H2-Eb1;H2-K1;H2-M3;H2-Oa;H2-Ob;H2-Q4;H2-Q6;H2-T23;Hgs;Itgam;Itgav;Itgb1;Itgb2;Itgb3;Itgb5;Lamp2;Mrc1;Mrc2;Msr1;Ncf1;Ncf2;Ncf4;Pikfyve;Rab7b;Rac1;Sec61a1;Stx7;Tap1;Tap2;Tcirg1;Thbs1;Tlr2;Tlr4;Tlr6;Tubb5;Tubb6
mmu05169	Epstein-Barr virus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05169+234779+12229+12370+15894+15015+14972+230073+16451+24088+20963+21355+14999+12010+14991+12367+17096+15040+14969+15976+19353+18707+19766+17060+18037+19106+21354+56480+16453+12495+14082+12443+54131+15002+16391+246730+66354+110557+15001+20846+21356+18033+17869+433759+14960+228607+19664+252870+266632+54721+17999+19645+12566+14964+66935+22059+14827+14961+22033+20848+18035+12317+16150+12428+16151+68652+21762+20466+19697+22034+14998+246727+18706+20847+18708+54123+71609+12575+15945+60406+21929+242705+12571+12675+15205+12125+19698+12122+107986+16476+15018	0.6045846723527282	2.499281541243326	0	0	181	./Project_wg_result1568160481_GSEA/mmu05169.png	90	234779;12229;12370;15894;15015;14972;230073;16451;24088;20963;21355;14999;12010;14991;12367;17096;15040;14969;15976;19353;18707;19766;17060;18037;19106;21354;56480;16453;12495;14082;12443;54131;15002;16391;246730;66354;110557;15001;20846;21356;18033;17869;433759;14960;228607;19664;252870;266632;54721;17999;19645;12566;14964;66935;22059;14827;14961;22033;20848;18035;12317;16150;12428;16151;68652;21762;20466;19697;22034;14998;246727;18706;20847;18708;54123;71609;12575;15945;60406;21929;242705;12571;12675;15205;12125;19698;12122;107986;16476;15018	B2m;Bcl2l11;Bid;Blnk;Btk;Calr;Casp3;Casp8;Ccna2;Ccnd1;Cdk2;Cdk6;Cdkn1a;Chuk;Cir1;Cxcl10;Ddb2;Ddx58;E2f2;Eif2ak2;Entpd1;Fadd;H2-Aa;H2-Ab1;H2-D1;H2-DMa;H2-DMb1;H2-Eb1;H2-K1;H2-M3;H2-Oa;H2-Ob;H2-Q4;H2-Q6;H2-Q7;H2-T23;Hdac1;Hes1;Icam1;Ifnar2;Ikbkb;Ikbkg;Irak4;Irf3;Irf7;Irf9;Jak1;Jak3;Jun;Lyn;Mavs;Myc;Nedd4;Nfkb1;Nfkbia;Nfkbie;Oas1a;Oas3;Pdia3;Pik3ca;Pik3cd;Pik3r1;Plcg2;Psmd2;Rac1;Rb1;Rbpj;Rela;Relb;Ripk1;Sap30;Sin3a;Snw1;Stat1;Stat2;Stat3;Syk;Tab2;Tap1;Tap2;Tapbp;Tbk1;Tlr2;Tnfaip3;Tradd;Traf5;Traf6;Trp53;Tyk2;Usp7
mmu04640	Hematopoietic cell lineage	http://www.kegg.jp/kegg-bin/show_pathway?mmu04640+16409+12978+16403+14129+12986+16194+12475+16190+12489+233274+16197+14999+12483+12493+14969+12491+15002+16175+15001+16416+14960+12527+12982+54368+16401+14961	0.6728648560520573	2.4976435242208965	0	0	74	./Project_wg_result1568160481_GSEA/mmu04640.png	26	16409;12978;16403;14129;12986;16194;12475;16190;12489;233274;16197;14999;12483;12493;14969;12491;15002;16175;15001;16416;14960;12527;12982;54368;16401;14961	Cd14;Cd22;Cd33;Cd36;Cd37;Cd9;Csf1r;Csf2ra;Csf3r;Fcgr1;Gp9;H2-Aa;H2-Ab1;H2-DMb1;H2-Eb1;H2-Oa;H2-Ob;Il1a;Il4ra;Il6ra;Il7r;Itga4;Itga6;Itgam;Itgb3;Siglech
mmu05152	Tuberculosis	http://www.kegg.jp/kegg-bin/show_pathway?mmu05152+16409+16414+13040+14129+12370+17533+12475+14130+81897+16451+27060+24088+13033+332579+21803+20963+21898+14999+16155+12367+17534+15979+16411+16154+21899+14969+16985+14127+14131+14082+15002+16175+15001+20846+246256+18033+16784+14960+16149+11848+266632+240354+12611+21871+12608+14961+69142+12721+12042+15526+19727+192656+16452+16173+12914+19697+22034+14998+108960+69165+71609+108058+170786	0.6050161957665966	2.479907551153968	0	0	144	./Project_wg_result1568160481_GSEA/mmu05152.png	63	16409;16414;13040;14129;12370;17533;12475;14130;81897;16451;27060;24088;13033;332579;21803;20963;21898;14999;16155;12367;17534;15979;16411;16154;21899;14969;16985;14127;14131;14082;15002;16175;15001;20846;246256;18033;16784;14960;16149;11848;266632;240354;12611;21871;12608;14961;69142;12721;12042;15526;19727;192656;16452;16173;12914;19697;22034;14998;108960;69165;71609;108058;170786	Atp6v0a2;Bcl10;Camk2d;Card9;Casp3;Casp8;Cd14;Cd209a;Cd209b;Cd209f;Cd74;Cebpb;Cebpg;Coro1a;Crebbp;Ctsd;Ctss;Fadd;Fcer1g;Fcgr1;Fcgr2b;Fcgr3;Fcgr4;H2-Aa;H2-Ab1;H2-DMa;H2-DMb1;H2-Eb1;H2-Oa;H2-Ob;Hspa9;Ifngr1;Il10ra;Il10rb;Il18;Il1a;Irak2;Irak4;Itgam;Itgax;Itgb2;Jak1;Jak2;Lamp2;Lsp1;Malt1;Mrc1;Mrc2;Nfkb1;Rela;Rfxank;Rhoa;Ripk2;Stat1;Syk;Tcirg1;Tgfb1;Tlr2;Tlr4;Tlr6;Tlr9;Tradd;Traf6
mmu04380	Osteoclast differentiation	http://www.kegg.jp/kegg-bin/show_pathway?mmu04380+12978+234779+12229+16822+14129+21812+17970+20375+21934+83433+17969+14130+16451+21803+20963+15979+21813+22177+15976+19353+18707+17060+14131+13057+14389+16391+16175+21682+232801+18018+20846+18733+246256+18033+16416+19261+17972+54721+14728+18035+16150+17342+16151+68652+19697+22034+18019+18706+20847+18708+14784+12675+18725+19698+16476	0.6192167455439042	2.464827401395367	0	0	113	./Project_wg_result1568160481_GSEA/mmu04380.png	55	12978;234779;12229;16822;14129;21812;17970;20375;21934;83433;17969;14130;16451;21803;20963;15979;21813;22177;15976;19353;18707;17060;14131;13057;14389;16391;16175;21682;232801;18018;20846;18733;246256;18033;16416;19261;17972;54721;14728;18035;16150;17342;16151;68652;19697;22034;18019;18706;20847;18708;14784;12675;18725;19698;16476	Blnk;Btk;Chuk;Csf1r;Cyba;Fcgr1;Fcgr2b;Fcgr3;Fcgr4;Gab2;Grb2;Ifnar2;Ifngr1;Ikbkb;Ikbkg;Il1a;Irf9;Itgb3;Jak1;Jun;Lcp2;Lilra5;Lilrb4a;Mitf;Ncf1;Ncf2;Ncf4;Nfatc1;Nfatc2;Nfkb1;Nfkbia;Pik3ca;Pik3cd;Pik3r1;Pira2;Pirb;Plcg2;Rac1;Rela;Relb;Sirpa;Spi1;Stat1;Stat2;Syk;Tab2;Tec;Tgfb1;Tgfbr1;Tgfbr2;Tnfrsf11a;Traf6;Trem2;Tyk2;Tyrobp
mmu04662	B cell receptor signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04662+15170+234779+12229+16331+19354+22325+22324+14130+20963+17096+12483+240168+19353+18707+17060+18037+18018+18733+26377+18033+83490+12517+240354+12520+15985+12042+108723+18035+16150+16151+19697+18019+18706+18708+14784+16653+12675	0.6675200487670856	2.4231277851650432	0	0	67	./Project_wg_result1568160481_GSEA/mmu04662.png	37	15170;234779;12229;16331;19354;22325;22324;14130;20963;17096;12483;240168;19353;18707;17060;18037;18018;18733;26377;18033;83490;12517;240354;12520;15985;12042;108723;18035;16150;16151;19697;18019;18706;18708;14784;16653;12675	Bcl10;Blnk;Btk;Card11;Cd22;Cd72;Cd79b;Cd81;Chuk;Dapp1;Fcgr2b;Grb2;Ikbkb;Ikbkg;Inpp5d;Kras;Lyn;Malt1;Nfatc1;Nfatc2;Nfkb1;Nfkbia;Nfkbie;Pik3ap1;Pik3ca;Pik3cd;Pik3r1;Pirb;Plcg2;Ptpn6;Rac1;Rac2;Rasgrp3;Rela;Syk;Vav1;Vav2
mmu05162	Measles	http://www.kegg.jp/kegg-bin/show_pathway?mmu05162+17698+71586+14130+230073+81897+16451+24088+170743+21898+15979+15976+18707+19106+13448+56480+16453+12443+54131+16391+16175+246730+20846+18033+228607+266632+13665+54721+22035+12566+27218+22059+69142+16452+20848+18035+68652+19697+22034+18761+246727+18706+20847+69165+18708+54123+12487+170786+21929+16186+12571+12675	0.618376813082597	2.421199592500603	0	0	109	./Project_wg_result1568160481_GSEA/mmu05162.png	51	17698;71586;14130;230073;81897;16451;24088;170743;21898;15979;15976;18707;19106;13448;56480;16453;12443;54131;16391;16175;246730;20846;18033;228607;266632;13665;54721;22035;12566;27218;22059;69142;16452;20848;18035;68652;19697;22034;18761;246727;18706;20847;69165;18708;54123;12487;170786;21929;16186;12571;12675	Ccnd1;Cd209a;Cd209b;Cd209f;Cd28;Cdk2;Cdk6;Chuk;Ddx58;Dok1;Eif2ak2;Eif2s1;Fcgr2b;Ifih1;Ifnar2;Ifngr1;Il1a;Il2rg;Irak4;Irf3;Irf7;Irf9;Jak1;Jak2;Jak3;Mavs;Msn;Nfkb1;Nfkbia;Oas1a;Oas3;Pik3ca;Pik3cd;Pik3r1;Prkcq;Rela;Slamf1;Stat1;Stat2;Stat3;Tab2;Tbk1;Tlr2;Tlr4;Tlr7;Tlr9;Tnfaip3;Tnfsf10;Traf6;Trp53;Tyk2
mmu05321	Inflammatory bowel disease (IBD)	http://www.kegg.jp/kegg-bin/show_pathway?mmu05321+16190+24088+21803+21898+14999+17132+15979+14969+60504+15002+16175+18018+15001+20846+18033+20852+14960+53791+14961+20848+16173+17126+19697+14998+16162+16186+17127+16476+257630+21809+16161+257632	0.6934329148018964	2.40673383022875	0	0	48	./Project_wg_result1568160481_GSEA/mmu05321.png	32	16190;24088;21803;21898;14999;17132;15979;14969;60504;15002;16175;18018;15001;20846;18033;20852;14960;53791;14961;20848;16173;17126;19697;14998;16162;16186;17127;16476;257630;21809;16161;257632	H2-Aa;H2-Ab1;H2-DMa;H2-DMb1;H2-Eb1;H2-Oa;H2-Ob;Ifngr1;Il12rb1;Il12rb2;Il17f;Il18;Il1a;Il21r;Il2rg;Il4ra;Jun;Maf;Nfatc1;Nfkb1;Nod2;Rela;Smad2;Smad3;Stat1;Stat3;Stat6;Tgfb1;Tgfb3;Tlr2;Tlr4;Tlr5
