userId	geneSymbol	geneName	entrezgene	score	gLink
0610009B22Rik	0610009B22Rik	RIKEN cDNA 0610009B22 gene	66050	0.810683559	https://www.ncbi.nlm.nih.gov/gene/?term=66050
0610010F05Rik	0610010F05Rik	RIKEN cDNA 0610010F05 gene	71675	1.189181611	https://www.ncbi.nlm.nih.gov/gene/?term=71675
0610010K14Rik	0610010K14Rik	RIKEN cDNA 0610010K14 gene	104457	1.696485624	https://www.ncbi.nlm.nih.gov/gene/?term=104457
0610012G03Rik	0610012G03Rik	RIKEN cDNA 0610012G03 gene	106264	-2.614857567	https://www.ncbi.nlm.nih.gov/gene/?term=106264
0610030E20Rik	0610030E20Rik	RIKEN cDNA 0610030E20 gene	68364	1.761471766	https://www.ncbi.nlm.nih.gov/gene/?term=68364
0610037L13Rik	0610037L13Rik	RIKEN cDNA 0610037L13 gene	74098	0.261108199	https://www.ncbi.nlm.nih.gov/gene/?term=74098
0610040J01Rik	0610040J01Rik	RIKEN cDNA 0610040J01 gene	76261	4.476171473	https://www.ncbi.nlm.nih.gov/gene/?term=76261
1110004F10Rik	1110004F10Rik	RIKEN cDNA 1110004F10 gene	56372	0.565234523	https://www.ncbi.nlm.nih.gov/gene/?term=56372
1110008L16Rik	1110008L16Rik	RIKEN cDNA 1110008L16 gene	66132	5.047683684	https://www.ncbi.nlm.nih.gov/gene/?term=66132
1110008P14Rik	1110008P14Rik	RIKEN cDNA 1110008P14 gene	73737	-3.111258565	https://www.ncbi.nlm.nih.gov/gene/?term=73737
1110012L19Rik	1110012L19Rik	RIKEN cDNA 1110012L19 gene	68618	-0.132717981	https://www.ncbi.nlm.nih.gov/gene/?term=68618
1110017D15Rik	1110017D15Rik	RIKEN cDNA 1110017D15 gene	73721	2.531505805	https://www.ncbi.nlm.nih.gov/gene/?term=73721
1110032A03Rik	1110032A03Rik	RIKEN cDNA 1110032A03 gene	68721	0.782752733	https://www.ncbi.nlm.nih.gov/gene/?term=68721
1110032F04Rik	1110032F04Rik	RIKEN cDNA 1110032F04 gene	68725	-1.634503692	https://www.ncbi.nlm.nih.gov/gene/?term=68725
1110038F14Rik	1110038F14Rik	RIKEN cDNA 1110038F14 gene	117171	-2.189509414	https://www.ncbi.nlm.nih.gov/gene/?term=117171
1110051M20Rik	1110051M20Rik	RIKEN cDNA 1110051M20 gene	228356	-3.427633044	https://www.ncbi.nlm.nih.gov/gene/?term=228356
1110059E24Rik	1110059E24Rik	RIKEN cDNA 1110059E24 gene	66206	-0.815679897	https://www.ncbi.nlm.nih.gov/gene/?term=66206
1110059G10Rik	1110059G10Rik	RIKEN cDNA 1110059G10 gene	66202	1.079196981	https://www.ncbi.nlm.nih.gov/gene/?term=66202
1110065P20Rik	1110065P20Rik	RIKEN cDNA 1110065P20 gene	68920	-3.120236835	https://www.ncbi.nlm.nih.gov/gene/?term=68920
1190002N15Rik	1190002N15Rik	RIKEN cDNA 1190002N15 gene	68861	-0.775858376	https://www.ncbi.nlm.nih.gov/gene/?term=68861
1190005I06Rik	1190005I06Rik	RIKEN cDNA 1190005I06 gene	68918	-3.369497274	https://www.ncbi.nlm.nih.gov/gene/?term=68918
1190007I07Rik	1190007I07Rik	RIKEN cDNA 1190007I07 gene	544717	-1.775238275	https://www.ncbi.nlm.nih.gov/gene/?term=544717
1300017J02Rik	1300017J02Rik	RIKEN cDNA 1300017J02 gene	71775	0.277298705	https://www.ncbi.nlm.nih.gov/gene/?term=71775
1500009C09Rik	1500009C09Rik	RIKEN cDNA 1500009C09 gene	76505	-2.131631358	https://www.ncbi.nlm.nih.gov/gene/?term=76505
1500009L16Rik	1500009L16Rik	RIKEN cDNA 1500009L16 gene	69784	-1.108248734	https://www.ncbi.nlm.nih.gov/gene/?term=69784
1500011B03Rik	1500011B03Rik	RIKEN cDNA 1500011B03 gene	66236	-3.599618763	https://www.ncbi.nlm.nih.gov/gene/?term=66236
1500015O10Rik	1500015O10Rik	RIKEN cDNA 1500015O10 gene	78896	-2.289622565	https://www.ncbi.nlm.nih.gov/gene/?term=78896
1600002K03Rik	1600002K03Rik	RIKEN cDNA 1600002K03 gene	69770	3.21465538	https://www.ncbi.nlm.nih.gov/gene/?term=69770
1600012H06Rik	1600012H06Rik	RIKEN cDNA 1600012H06 gene	67912	3.12539594	https://www.ncbi.nlm.nih.gov/gene/?term=67912
1600014C10Rik	1600014C10Rik	RIKEN cDNA 1600014C10 gene	72244	-1.485344914	https://www.ncbi.nlm.nih.gov/gene/?term=72244
1700001C02Rik	1700001C02Rik	RIKEN cDNA 1700001C02 gene	75434	1.350036331	https://www.ncbi.nlm.nih.gov/gene/?term=75434
1700001C19Rik	1700001C19Rik	RIKEN cDNA 1700001C19 gene	75462	2.67025839	https://www.ncbi.nlm.nih.gov/gene/?term=75462
1700001L19Rik	1700001L19Rik	RIKEN cDNA 1700001L19 gene	69315	-2.982730546	https://www.ncbi.nlm.nih.gov/gene/?term=69315
1700001O22Rik	1700001O22Rik	RIKEN cDNA 1700001O22 gene	73598	0.31202864	https://www.ncbi.nlm.nih.gov/gene/?term=73598
1700003E16Rik	1700003E16Rik	RIKEN cDNA 1700003E16 gene	71837	-1.810340291	https://www.ncbi.nlm.nih.gov/gene/?term=71837
1700003F12Rik	1700003F12Rik	RIKEN cDNA 1700003F12 gene	75480	2.085815196	https://www.ncbi.nlm.nih.gov/gene/?term=75480
1700007K13Rik	1700007K13Rik	RIKEN cDNA 1700007K13 gene	69327	0.609485973	https://www.ncbi.nlm.nih.gov/gene/?term=69327
1700008O03Rik	1700008O03Rik	RIKEN cDNA 1700008O03 gene	69349	0.757106465	https://www.ncbi.nlm.nih.gov/gene/?term=69349
1700010I14Rik	1700010I14Rik	RIKEN cDNA 1700010I14 gene	66931	1.062294708	https://www.ncbi.nlm.nih.gov/gene/?term=66931
1700012B09Rik	1700012B09Rik	RIKEN cDNA 1700012B09 gene	69325	-0.322791551	https://www.ncbi.nlm.nih.gov/gene/?term=69325
1700013F07Rik	1700013F07Rik	RIKEN cDNA 1700013F07 gene	75504	-0.692720289	https://www.ncbi.nlm.nih.gov/gene/?term=75504
1700014D04Rik	1700014D04Rik	RIKEN cDNA 1700014D04 gene	102638268	2.162127584	https://www.ncbi.nlm.nih.gov/gene/?term=102638268
1700016D06Rik	1700016D06Rik	RIKEN cDNA 1700016D06 gene	76413	0.733880479	https://www.ncbi.nlm.nih.gov/gene/?term=76413
1700016K19Rik	1700016K19Rik	RIKEN cDNA 1700016K19 gene	74230	-0.190132846	https://www.ncbi.nlm.nih.gov/gene/?term=74230
1700017B05Rik	1700017B05Rik	RIKEN cDNA 1700017B05 gene	74211	1.982009654	https://www.ncbi.nlm.nih.gov/gene/?term=74211
1700017D01Rik	1700017D01Rik	RIKEN cDNA 1700017D01 gene	69369	0.144958707	https://www.ncbi.nlm.nih.gov/gene/?term=69369
1700019A02Rik	1700019A02Rik	RIKEN cDNA 1700019A02 gene	69397	1.046661642	https://www.ncbi.nlm.nih.gov/gene/?term=69397
1700019D03Rik	1700019D03Rik	RIKEN cDNA 1700019D03 gene	67080	-0.257844455	https://www.ncbi.nlm.nih.gov/gene/?term=67080
1700020D05Rik	1700020D05Rik	RIKEN cDNA 1700020D05 gene	75555	-0.188181714	https://www.ncbi.nlm.nih.gov/gene/?term=75555
1700020L24Rik	1700020L24Rik	RIKEN cDNA 1700020L24 gene	66330	2.120293103	https://www.ncbi.nlm.nih.gov/gene/?term=66330
1700020N01Rik	1700020N01Rik	RIKEN cDNA 1700020N01 gene	67692	0.95430862	https://www.ncbi.nlm.nih.gov/gene/?term=67692
1700021F05Rik	1700021F05Rik	RIKEN cDNA 1700021F05 gene	67851	-1.174689898	https://www.ncbi.nlm.nih.gov/gene/?term=67851
1700022I11Rik	1700022I11Rik	RIKEN cDNA 1700022I11 gene	67317	-0.65680515	https://www.ncbi.nlm.nih.gov/gene/?term=67317
1700023F06Rik	1700023F06Rik	RIKEN cDNA 1700023F06 gene	69441	-0.814994548	https://www.ncbi.nlm.nih.gov/gene/?term=69441
1700024B05Rik	1700024B05Rik	RIKEN cDNA 1700024B05 gene	100503856	1.609510675	https://www.ncbi.nlm.nih.gov/gene/?term=100503856
1700025G04Rik	1700025G04Rik	RIKEN cDNA 1700025G04 gene	69399	-1.442640149	https://www.ncbi.nlm.nih.gov/gene/?term=69399
1700028J19Rik	1700028J19Rik	RIKEN cDNA 1700028J19 gene	70004	1.644792756	https://www.ncbi.nlm.nih.gov/gene/?term=70004
1700028K03Rik	1700028K03Rik	RIKEN cDNA 1700028K03 gene	76421	0.598418371	https://www.ncbi.nlm.nih.gov/gene/?term=76421
1700028P14Rik	1700028P14Rik	RIKEN cDNA 1700028P14 gene	67483	1.127720571	https://www.ncbi.nlm.nih.gov/gene/?term=67483
1700029F12Rik	1700029F12Rik	RIKEN cDNA 1700029F12 gene	66479	0.998697925	https://www.ncbi.nlm.nih.gov/gene/?term=66479
