geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0004896	cytokine receptor activity	http://amigo.geneontology.org/amigo/term/GO:0004896	0.5933903755205632	2.1903702256396294	0	0	72	./Project_wg_result1568160471_GSEA/GO_0004896.png	27	13051;12986;16194;16190;16197;16154;12983;15976;50498;17082;12984;60504;16172;107527;16164;57914;12768;16149;12774;12982;12772;54199;16195;12769;12767;16162;12458	Ccr1;Ccr2;Ccr5;Ccr6;Ccr9;Ccrl2;Cd74;Crlf2;Csf2ra;Csf2rb;Csf2rb2;Csf3r;Cx3cr1;Cxcr4;Ebi3;Ifnar2;Il10ra;Il12rb2;Il13ra1;Il17ra;Il1rl1;Il1rl2;Il21r;Il4ra;Il6ra;Il6st;Il7r
GO:0004386	helicase activity	http://amigo.geneontology.org/amigo/term/GO:0004386	0.5362617019954434	2.11221181181979	0	0	125	./Project_wg_result1568160471_GSEA/GO_0004386.png	62	212880;17215;71586;230073;268281;13205;12648;68058;170472;19704;13204;17216;236930;80861;13872;67040;56200;66942;13211;208144;12544;53975;17217;78394;108077;67848;72935;77591;93762;71723;12144;320209;72047;227674;53817;17454;13681;229003;13680;20174;19366;217207;64340;320790;15201;240255;20586;100048658;69270;107932;109151;228889;13990;76251;77987;269254;69663;109145;117599;13209;20585;66634	Ascc3;Blm;Cdc45;Chd1;Chd1l;Chd4;Chd7;Chd9;Ddx10;Ddx11;Ddx17;Ddx18;Ddx19a;Ddx20;Ddx21;Ddx27;Ddx31;Ddx39b;Ddx3x;Ddx41;Ddx42;Ddx43;Ddx46;Ddx51;Ddx52;Ddx55;Ddx58;Ddx6;Dhx15;Dhx34;Dhx37;Dhx38;Dhx58;Dhx8;Dhx9;Eif4a1;Ercc3;Ercc6l;Ercc6l2;Gins1;Gins4;Helb;Hells;Helz2;Hltf;Ifih1;Mcm2;Mcm3;Mcm4;Mcm8;Mov10;Rad54l;Recql5;Ruvbl2;Setx;Shprh;Skiv2l;Smarca4;Smarca5;Smarcad1;Upf1;Ythdc2
GO:0019955	cytokine binding	http://amigo.geneontology.org/amigo/term/GO:0019955	0.5313721545045489	2.0748415664832076	0	0	107	./Project_wg_result1568160471_GSEA/GO_0019955.png	45	12978;13051;21812;12986;16194;21934;16412;15979;21813;16154;21938;12491;15976;50498;13805;22695;16164;16416;57914;12768;16149;12774;12982;16410;16401;12772;54199;94092;16195;12769;12767;16162;12458;16186;11482;226541;16880;12168;15587;257630;26754;12771;16161;268977;224109	Acvrl1;Bmpr2;Ccr1;Ccr2;Ccr3;Ccr5;Ccr6;Ccr9;Ccrl2;Cd36;Cd74;Cops5;Crlf2;Csf1r;Csf2ra;Csf3r;Cx3cr1;Cxcr4;Ebi3;Eng;Hyal2;Ifnar2;Ifngr1;Il10ra;Il12rb1;Il12rb2;Il13ra1;Il17f;Il2rg;Il6ra;Il6st;Itga4;Itgav;Itgb1;Itgb3;Klhl20;Lifr;Ltbp1;Nrros;Tgfbr1;Tgfbr2;Tnfrsf11a;Tnfrsf1b;Trim16;Zfp36
GO:0015002	heme-copper terminal oxidase activity	http://amigo.geneontology.org/amigo/term/GO:0015002	-0.7392906008628927	-2.309262936412994	0	0	16	./Project_wg_result1568160471_GSEA/GO_0015002.png	10	12866;70383;12867;12858;66142;12868;17992;12857;12861;12864	Cox10;Cox4i1;Cox5a;Cox6a1;Cox6c;Cox7a2;Cox7b;Cox7c;Cox8a;Ndufa4
GO:0016675	oxidoreductase activity, acting on a heme group of donors	http://amigo.geneontology.org/amigo/term/GO:0016675	-0.7461347657786986	-2.3530075090847977	0	0	17	./Project_wg_result1568160471_GSEA/GO_0016675.png	11	12866;70383;12867;18984;12858;66142;12868;17992;12857;12861;12864	Cox10;Cox4i1;Cox5a;Cox6a1;Cox6c;Cox7a2;Cox7b;Cox7c;Cox8a;Ndufa4;Por
GO:0016798	hydrolase activity, acting on glycosyl bonds	http://amigo.geneontology.org/amigo/term/GO:0016798	0.5334514546495734	2.0683564373779473	0	2.447089017839162e-4	90	./Project_wg_result1568160471_GSEA/GO_0016798.png	51	15212;17155;66190;14466;50877;17159;110006;17160;192193;73744;74185;14667;17105;17939;19156;14376;212974;57377;12091;110173;74245;15211;17156;76055;18538;15442;27050;18294;70603;27426;244757;107227;15587;12182;71665;381101;230815;628870;11722;69032;234258;66848;382913;74577;80982;11544;17158;77559;234072;14420;11872	Acer3;Adprh;Adprhl1;Agl;Amy1;Art2b;Bst1;Cemip;Ctbs;Dnph1;Edem1;Fuca1;Fuca2;Galc;Ganab;Gba;Gbe1;Glb1;Glb1l;Glb1l2;Gm2a;Gusb;Hexa;Hexb;Hpse;Hyal2;Lyz2;Lyzl4;Macrod1;Man1a;Man1a2;Man1c1;Man2a1;Man2b1;Man2b2;Man2c1;Manba;Mgea5;Mogs;Mutyh;Naga;Nagpa;Neil2;Neil3;Neu3;Ogg1;Otogl;Pcna;Pgghg;Psap;Rps3
GO:0044325	ion channel binding	http://amigo.geneontology.org/amigo/term/GO:0044325	-0.4467477300196126	-2.1926363722632023	0	2.6965432055809746e-4	122	./Project_wg_result1568160471_GSEA/GO_0044325.png	53	76757;223864;27967;70357;56461;56188;109689;235281;20927;217893;16500;16502;14167;19122;18125;16514;74251;55991;66725;109676;217124;241770;20907;268345;193003;11735;22318;213539;11472;75454;109711;66168;20614;19052;14225;18578;242662;399548;20779;60595;14360;19042;56543;11603;12313;14199;15902;57814;100503659;238871;80906;20266;13854	Abcc8;Actn1;Actn2;Actn4;Agrn;Ank2;Ank3;Ankrd9;Arrb1;Bag2;Calm1;Cbarp;Cherp;Epn1;Fgf12;Fhl1;Fkbp1a;Fxyd1;Fyn;Grina;Id2;Kcnb1;Kcnc1;Kcnc2;Kcnd3;Kcne4;Kcnip1;Kcnip2;Kcnip3;Kcnj11;Lrrk2;Nos1;Pacs2;Panx1;Pde4b;Pde4d;Phpt1;Pirt;Ppm1a;Ppp1r9b;Ppp2ca;Prnp;Rapgef3;Rims3;Rims4;Scn1b;Scn3b;Scn4b;Snap25;Src;Stx1a;Trdn;Vamp2
GO:0016247	channel regulator activity	http://amigo.geneontology.org/amigo/term/GO:0016247	-0.46111749219570686	-2.2121725450132743	0	3.5953909407746324e-4	108	./Project_wg_result1568160471_GSEA/GO_0016247.png	46	70357;56461;12299;56188;235281;69847;81904;18189;14693;72978;67161;69179;14167;18125;109676;20907;17846;54377;16526;12794;100043272;75454;13483;72821;14694;69106;54376;229715;59046;22218;100986;59095;399548;12297;66300;100102;12313;18762;170638;27681;57814;57780;80906;20266;23936;56205	Akap9;Amigo1;Ank2;Arpp19;Cacnb3;Cacng1;Cacng3;Cacng4;Cacng7;Calm1;Cnih2;Cnih3;Commd1;Dpp6;Ensa;Fgf12;Fxyd1;Fxyd6;Fxyd7;Gnb2;Hpcal4;Inafm1;Inafm2;Kcne4;Kcnip1;Kcnip2;Kcnip3;Kcnk2;Lynx1;Nos1;Nrxn1;Pcsk9;Phpt1;Prkcz;Rack1;Sclt1;Scn1b;Scn2b;Scn3b;Scn4b;Snf8;Stoml1;Stx1a;Sumo1;Tmem110;Wnk4
GO:0042287	MHC protein binding	http://amigo.geneontology.org/amigo/term/GO:0042287	0.6937191649378028	1.9670268460890172	0	0.0016313926785594412	20	./Project_wg_result1568160471_GSEA/GO_0042287.png	13	16768;21355;15040;231805;21354;16149;12824;14827;677296;22154;269523;223601;16643	Cd74;Col2a1;Fam49b;Fcrl6;H2-T23;Klrd1;Lag3;Pdia3;Pilra;Tap1;Tap2;Tubb5;Vcp
GO:0009055	electron transfer activity	http://amigo.geneontology.org/amigo/term/GO:0009055	-0.48568791812944345	-2.096080208204213	0	0.0017257876515718235	57	./Project_wg_result1568160471_GSEA/GO_0009055.png	24	71361;110826;67680;12866;70383;13063;66152;93692;12867;69367;18984;18105;14782;12858;50493;66142;22272;66594;12868;17992;12857;12861;109006;12864	Aifm2;Ciapin1;Cox10;Cox4i1;Cox5a;Cox6a1;Cox6c;Cox7a2;Cox7b;Cox7c;Cox8a;Cycs;Etfb;Glrx;Glrx2;Gsr;Ndufa4;Nqo2;Por;Sdhb;Txnrd1;Uqcr10;Uqcr11;Uqcrq
