geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
P00010	B cell activation	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00010	0.6036992634008075	2.100957458114119	0	7.560516165408716e-4	51	./Project_wg_result1568160487_GSEA/P00010.png	15	15170;234779;30955;12229;71520;16440;19354;22325;22324;20963;17096;12483;19353;18707;17060	Blnk;Btk;Cd22;Grap;Itpr3;Lyn;Pik3cd;Pik3cg;Plcg2;Ptpn6;Rac1;Rac2;Syk;Vav1;Vav2
P00031	Inflammation mediated by chemokine and cytokine signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00031	0.47697710408054533	1.9692914029295698	0	0.002268154849622615	179	./Project_wg_result1568160487_GSEA/P00031.png	66	16414;234779;30955;13051;11867;14676;16440;19354;19224;22324;12267;216869;16412;15979;18797;19353;18707;18037;17886;12273;19877;56212;277360;19204;104099;17001;18033;11690;12768;20852;11848;12774;54721;16401;12772;18803;12540;50778;20293;76709;18783;20416;70584;20302;16452;12818;20848;11461;18035;16150;56744;14700;224860;19697;64214;20307;18706;12769;12767;67771;17882;14678;12458;12051;15945;108058	Actb;Alox5ap;Arpc1b;Arpc2;Arpc5;Arrb2;Bcl3;C3ar1;C5ar1;Camk2d;Ccl12;Ccl3;Ccl8;Ccr1;Ccr2;Ccr5;Ccr6;Ccr9;Cdc42;Col14a1;Cx3cr1;Cxcl10;Cxcr4;Gna15;Gnai2;Gng10;Ifngr1;Ikbkb;Itga4;Itga9;Itgb1;Itgb2;Itpr3;Jak2;Ltc4s;Myh2;Myh9;Nfkb1;Nfkbia;Nfkbie;Pak4;Pf4;Pik3ca;Pik3cd;Pik3cg;Pla2g4a;Plcb3;Plcg1;Plcg2;Plcl2;Prex1;Ptafr;Ptgs1;Rac1;Rac2;Rela;Rgs1;Rgs18;Rhoa;Rhog;Rock1;Shc1;Stat3;Stat6;Tyk2;Vav1
P00053	T cell activation	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00053	0.5388916055658993	1.938343047206296	0	0.0025201720551362387	62	./Project_wg_result1568160487_GSEA/P00053.png	25	30955;16822;22376;19354;22325;22324;12010;19353;18707;12524;15001;18033;12519;16149;18803;12540;18035;16150;18761;18706;18708;14784;12487;16476;12988	B2m;Cd28;Cd74;Cd80;Cd86;Cdc42;Csk;Grb2;H2-Oa;Ikbkb;Jun;Lcp2;Nfkb1;Nfkbia;Pik3ca;Pik3cd;Pik3cg;Pik3r1;Plcg1;Prkcq;Rac1;Rac2;Vav1;Vav2;Was
P00006	Apoptosis signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00006	0.4789917032610019	1.8381756583299602	0	0.009639658110896114	94	./Project_wg_result1568160487_GSEA/P00006.png	40	30955;12370;12367;21938;12045;18707;19766;19106;14082;11796;11910;14828;18033;29810;12633;12044;13665;22035;225028;22059;26926;18035;16150;12905;19697;12047;18761;399510;18706;17210;71609;18753;66593;12125;19698;26408;16476;53859;18750;26397	Aifm1;Atf3;Bag3;Bcl2a1a;Bcl2a1b;Bcl2a1d;Bcl2l11;Birc3;Casp3;Casp8;Cflar;Cradd;Diablo;Eif2ak2;Eif2s1;Fadd;Hspa5;Ikbkb;Jun;Map2k3;Map3k14;Map3k5;Map4k3;Map4k5;Mcl1;Nfkb1;Nfkbia;Pik3ca;Pik3cd;Pik3cg;Prkca;Prkcd;Prkcq;Rela;Relb;Ripk1;Tnfrsf1b;Tnfsf10;Tradd;Trp53
P00017	DNA replication	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00017	0.5444213178310923	1.7153429889570946	0.009575923379513102	0.02656981395272206	29	./Project_wg_result1568160487_GSEA/P00017.png	15	24128;21973;319148;69263;97908;319150;106344;260423;72151;18538;19076;15081;21969;97114;360198	H3f3b;Hist1h3a;Hist1h3b;Hist1h3c;Hist1h3f;Hist1h3g;Hist2h3c2;Pcna;Prim2;Rfc3;Rfc4;Rfc5;Top1;Top2a;Xrn2
P00047	PDGF signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00047	0.44116535560029113	1.7224367626308839	0	0.02923399583958037	107	./Project_wg_result1568160487_GSEA/P00047.png	36	234779;30955;71520;14247;16440;22325;22324;56501;18707;17346;94190;75415;16453;17869;20852;109333;544817;18803;18591;14270;236920;17164;20416;16452;23871;20848;16150;14390;18706;18708;14784;13709;117600;23939;20111;16476	Arhgap12;Arhgap27;Elf1;Elf4;Ets1;Fli1;Gabpa;Grap;Grb2;Ikbkb;Itpr3;Jak2;Jak3;Jun;Mapk7;Mapkapk2;Mknk1;Myc;Ophn1;Pdgfb;Pik3ca;Pik3cd;Pik3cg;Pik3r1;Pkn2;Plcg1;Plcg2;Rps6ka1;Shc1;Srgap1;Srgap2;Stard8;Stat3;Stat6;Vav1;Vav2
P00054	Toll receptor signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00054	0.5262925402917743	1.727568223965128	0.008486562930004861	0.033266271127798355	35	./Project_wg_result1568160487_GSEA/P00054.png	19	12475;81897;24088;170743;21898;21899;225471;56480;54131;26410;266632;18035;16150;21929;16476;26397;26416;26409;17087	Cd14;Ikbkb;Irak4;Irf3;Jun;Ly96;Map2k3;Map3k7;Map3k8;Mapk14;Nfkbia;Tbk1;Ticam2;Tlr2;Tlr4;Tlr6;Tlr7;Tlr9;Tnfaip3
P05734	Synaptic vesicle trafficking	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05734	-0.5810348266073183	-1.957256041512816	0	0.038755934502470696	23	./Project_wg_result1568160487_GSEA/P05734.png	14	20910;19339;54524;229521;20980;20977;20964;20907;20614;56216;18195;20965;171180;54525	Nsf;Rab3a;Snap25;Stx1a;Stx1b;Stxbp1;Syn1;Syn2;Syp;Syt11;Syt12;Syt2;Syt6;Syt7
P00038	JAK/STAT signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00038	0.6578705083171688	1.6657648793352806	0.01726844581276539	0.03889465538426928	12	./Project_wg_result1568160487_GSEA/P00038.png	9	16453;20852;16452;20848;20850;26416;56469;229615;59004	Jak2;Jak3;Mapk14;Pias1;Pias3;Pias4;Stat3;Stat5a;Stat6
P04398	p53 pathway feedback loops 2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04398	0.5051506298227684	1.6742377413066212	0.009497964708957985	0.03940919051219294	39	./Project_wg_result1568160487_GSEA/P04398.png	13	30955;19650;18707;17869;19645;11920;22059;12428;18706;18708;12575;16653;18704	Atm;Ccna2;Cdkn1a;Kras;Myc;Pik3c2a;Pik3ca;Pik3cd;Pik3cg;Pik3r1;Rb1;Rbl1;Trp53
