geneSet	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
STTTCRNTTT_IRF_Q6	http://www.broadinstitute.org/gsea/msigdb/cards/STTTCRNTTT_IRF_Q6	0.44349730922152986	1.8836255150140693	0	0.0028906236325766193	254	./Project_wg_result1568160504_GSEA/STTTCRNTTT_IRF_Q6.png	87	16414;16971;17969;230073;27060;13982;12362;20821;108670;12010;53312;209200;12367;16412;73341;71398;69748;16970;79362;11855;65221;21354;12443;242521;22201;69550;53872;100040531;18018;12369;21356;667370;109333;16913;80861;54650;16973;621823;17999;14011;26403;107723;12580;12824;19039;59027;228790;27224;21871;67996;11669;22778;269181;232334;57781;192786;24099;57317;12825;80281;373864;71458;12832;320795;107581;17454;24110;263803;14265;18708;69562;74153;15945;76073;327959;14256;58203;18162;12571;69131;26358;268567;24136;18413;69146;68904;94217	5430427O19Rik;Abhd13;Aldh16a1;Aldh1a7;Aldh2;Arhgap5;Arhgef6;Asxl1;Atp6v0a2;B2m;Bcor;Bhlhe41;Bst2;Caprin1;Casp1;Casp3;Casp7;Ccnd1;Cd200r1;Cdk12;Cdk13;Cdk6;Cdkn2c;Col16a1;Col27a1;Col2a1;Col3a1;Col5a2;Cttnbp2nl;Cxcl10;Ddx58;Dhx58;Dtx3l;Dynlt1f;Eloa;Epsti1;Esr1;Etv6;Flt3l;Fmr1;Gsdmd;Ifit3b;Ikzf1;Itgb1;Itgb2;Klhl9;Lgals3bp;Lrmp;Lrp1;Lrp1b;Lrp5;Map3k11;Mgat4a;Mov10;Nampt;Ncf1;Nedd4;Nfatc1;Npr3;Nub1;Osm;Pcgf5;Pik3r1;Pkn1;Pkn2;Pkn3;Psmb8;Psme2b;Rapgef6;Sfmbt1;Slc12a6;Slc15a3;Srsf4;Srsf6;Tap1;Tapbp;Tcirg1;Tmem229b;Tnfsf13b;Trim21;Uba1;Uba7;Usp18;Vgll4;Xaf1;Zbp1;Zeb2
IRF_Q6	http://www.broadinstitute.org/gsea/msigdb/cards/IRF_Q6	0.4160783303161706	1.8025403777743247	0	0.0038541648434354927	346	./Project_wg_result1568160504_GSEA/IRF_Q6.png	109	16414;16859;18173;56485;279572;14247;15015;17084;11542;17969;14972;14130;13058;27060;13982;170743;243771;98878;21825;20821;12010;53312;209200;14991;225876;12367;16412;73341;15040;16985;211550;50498;16909;53945;14131;16363;11855;18186;65221;12443;242521;69550;16391;81910;18018;110557;67775;12369;21356;26377;107182;20852;16913;12519;80861;18718;70790;17999;14011;70110;26403;14964;53975;27224;21871;21372;22778;192786;170744;545370;19277;24099;677296;18187;71458;433256;70508;17454;13681;12767;14265;170759;665700;15945;108058;20843;76073;227541;58203;18162;12571;20842;326622;68607;268567;56791;24136;18413;15018;238564;52163;69146;104156;15412;15257;21969;20229;225791;211945	Acsl5;Adora3;Arhgap5;Arhgef6;Atp13a1;Atp6v0a2;B2m;Bbx;Bcor;Bst2;Btaf1;Camk1;Camk1d;Camk2d;Casp3;Casp7;Ccnd1;Cd80;Cdk6;Cxcl10;Cxcr4;Cybb;Dapp1;Ddx20;Dhx58;Dtx3l;Ebi3;Ehd4;Eif4a1;Eloa;Esr1;Etv5;Etv6;Fcgr2b;Fcgr3;Fcrl6;Fli1;Fmr1;Gsdmd;H2-D1;H2-K1;H2-M3;H2-Q4;H2-Q6;H2-Q7;H2-T23;Hipk1;Hmcn1;Hmcn2;Hoxb4;Ifi35;Ikzf1;Irf2;Irf9;Itgb1;Itgb2;Kdm2a;Klhl9;Lgals9;Lmo2;Lsp1;Ly86;Map3k11;Mov10;Mylk4;Ncf1;Nedd4;Nfatc1;Npr3;Nrp1;Nrp2;Nub1;Osm;Parp12;Pcgf5;Pip4k2a;Plekhh1;Psmb8;Ptpro;Rapgef6;Rrbp1;Rtp4;Sat1;Serhl;Slc11a1;Slc15a3;Slc2a5;Slc40a1;Stag1;Stag2;Stat6;Tapbp;Tbl1x;Tcirg1;Thbs1;Tifa;Tlr13;Tlr7;Tlr8;Tmem229b;Tnfsf13b;Top1;Trim21;Ube2l6;Ubr5;Upf2;Zadh2;Zbp1;Zeb2
ELF1_Q6	http://www.broadinstitute.org/gsea/msigdb/cards/ELF1_Q6	0.435013233102949	1.8965945808135196	0	0.00513888645791399	370	./Project_wg_result1568160504_GSEA/ELF1_Q6.png	120	16414;67742;192187;20308;15900;21894;171504;12259;22376;16768;16440;19354;22325;78317;331004;66610;12335;22324;26382;11629;246177;217578;14710;20305;105855;107769;332579;21803;78816;16197;21898;17948;54598;216869;16412;12493;56501;114741;17913;22177;240168;18797;229499;14127;245638;170768;19353;18707;17951;18186;215243;114584;17118;21682;73847;109245;26377;11690;17952;20852;109333;209446;59079;12388;67064;621823;17999;26403;15985;67804;69171;66552;225028;11857;76709;229593;19696;22778;50790;53313;64143;231464;66844;104570;404710;16150;22025;17342;19820;244650;18187;13685;19025;12914;320795;433256;19697;18458;213573;399510;18706;233204;263803;140580;14784;108058;227541;60533;50927;12675;230721;80913;229776;56445;238564;52163;27360;52430;270198;17912	Abi3;Acsl4;Acsl5;Add3;Aif1;Alox5ap;Apobr;Arhgdib;Arpc2;Arrb2;Atp2a3;Baz1a;C1qa;Calcrl;Camk1;Camk1d;Camk2d;Capn3;Card9;Ccdc88b;Ccl6;Ccl9;Cd274;Cd37;Cd79b;Cdc14a;Chmp1b;Chuk;Clic1;Cnot6l;Cnppd1;Cracr2b;Crebbp;Ctnnd1;Ctsa;Dapp1;Dnaja2;Echdc2;Eif4ebp1;Elf4;Elmo1;Erbin;Fam110a;Fcer1g;Fcrl1;Fgd2;Gmip;Gngt2;Golph3l;Grb2;Ikbkb;Ikzf1;Il7r;Iqgap3;Irf8;Itgb1;Itgb2;Itpr3;Lag3;Lrrc39;Map3k11;Map4k3;Map4k5;Marcks;Mitf;Mylk4;Myo1b;Myo1c;Myo1g;Naip2;Naip5;Naip6;Nasp;Nckap1l;Nedd4;Nr2c1;Nrp1;Nrp2;Ormdl2;Pabpc1;Pabpc4;Pfkfb3;Pfkfb4;Phlpp2;Pik3ca;Pik3cd;Pkn1;Pkn2;Pkn3;Plcb3;Ppp4r3b;Psme2b;Pum2;Rac1;Rac2;Ralb;Rasgrp3;Rel;Rela;Rlim;Samsn1;Slc9a9;Snx2;Sppl2a;Stab1;Stat6;Supt16;Tbc1d17;Tbc1d8b;Tec;Tfe3;Tgfb1;Tln1;Tlr4;Tm6sf1;Traf3ip3;Tyrobp;Vav1;Vav2;Was
IRF2_01	http://www.broadinstitute.org/gsea/msigdb/cards/IRF2_01	0.4264372130382711	1.7285830345532018	0	0.006937496718183886	155	./Project_wg_result1568160504_GSEA/IRF2_01.png	63	15162;230073;27060;13982;12010;209200;13207;17096;73341;20469;71398;19878;13205;19877;11855;21354;69550;53872;11910;21356;16913;108829;67040;26403;53975;21871;19696;22778;232334;277250;192786;24099;17342;67760;75292;19697;70508;211896;24110;71745;13681;13383;15945;76073;327959;14256;18162;12571;326622;268567;18413;69146;68904;246277;18423;72607;21809;16912;18703;66634;16169;80893;110304	5430427O19Rik;Abhd13;Arhgap5;Arhgef6;Atf3;Atp6v0a2;B2m;Bbx;Bst2;Caprin1;Cdk6;Csad;Cul2;Cxcl10;Ddx17;Ddx20;Ddx3x;Ddx5;Ddx58;Depdc7;Dlg1;Dtx3l;Eif4a1;Esr1;Flt3l;Glra3;Gsdmd;Hck;Ikzf1;Il15ra;Jmjd1c;Kdm3b;Lyn;Map3k11;Mcm8;Mitf;Npr3;Osm;Otx1;Pcgf5;Pigr;Prkd3;Psmb8;Psmb9;Rapgef6;Rel;Rela;Rock1;Rock2;Sipa1;Slc38a2;Tap1;Tapbp;Tcirg1;Tgfb3;Tmem229b;Tmprss5;Tnfsf13b;Upf2;Usp13;Usp18;Vgll4;Xaf1
PEA3_Q6	http://www.broadinstitute.org/gsea/msigdb/cards/PEA3_Q6	0.40102556540898365	1.7546945853770657	0	0.007226559081441549	359	./Project_wg_result1568160504_GSEA/PEA3_Q6.png	104	15170;19264;108101;13040;12508;16331;12523;15162;17970;20375;14247;16768;16440;78317;226652;54445;27060;216799;107321;15242;12362;63913;54616;17096;20469;18797;229499;195046;98365;17060;13836;16970;233489;18186;56212;93671;14389;21953;226519;668218;24014;66681;637515;109168;246256;106952;66950;12343;227525;266632;244864;12331;12580;12402;66921;14156;27224;225028;246694;21871;13017;11857;229593;17164;80281;56338;320404;16173;19303;228136;224088;12289;18187;235461;77038;433256;19324;98732;72691;399510;69745;226151;78895;27050;66073;108058;12340;227541;242687;231002;226548;80913;20111;229776;83924;226182;225929;52163;319934;74351;230657;269855;11504;64213	Acsl5;Adamts1;Aph1a;Arap3;Arfgap2;Arhgap30;Arhgdib;Atl3;Atp13a3;Atp6v0a2;Bin2;Blnk;Cacna1d;Calhm2;Camk1;Camk1d;Camk2d;Cap1;Capza1;Capza2;Casp1;Cbl;Ccdc88b;Cd163;Cd53;Cd84;Cdc14a;Cdkn2c;Ctbp2;Ctss;Cttnbp2nl;Dclre1c;Ddx23;Eloa;Epha2;Extl3;Fam129a;Fcgr4;Fcrl1;Fen1;Fermt3;Fli1;Gab2;Golph3l;Gpr137b;Hck;Hhex;Hps5;Il18;Inpp5d;Irak4;Itpkb;Itpr3;Lag3;Lamc1;Layn;Lpxn;Lrmp;Lyn;Map4k3;Map4k5;Mapkapk2;Mindy2;Ncf2;Nlrp1a;Nlrp1b;Nlrp3;Nrp1;Nrp2;Patl1;Pgm1;Picalm;Plcb3;Plekhn1;Pold4;Prpf38b;Ptpn6;Ptprc;Pum2;Pus7l;Pxn;Rab1a;Rab3gap2;Rhog;Rnasel;Rps3;Rps6ka1;Sbf2;Sipa1;Slamf9;Slf2;Spi1;Ssc5d;St7;Taf5;Tcirg1;Tmem206;Tmem69;Tnni2;Txndc12;Txnip;Unc93b1;Wasf2;Zdhhc5
SEF1_C	http://www.broadinstitute.org/gsea/msigdb/cards/SEF1_C	-0.7503578628679766	-1.9272353292601077	0	0.013144259612762476	10	./Project_wg_result1568160504_GSEA/SEF1_C.png	7	18993;240332;11909;16885;17268;18991;16886	Atf2;Limk1;Limk2;Meis1;Pou3f1;Pou3f3;Slc6a7
ICSBP_Q6	http://www.broadinstitute.org/gsea/msigdb/cards/ICSBP_Q6	0.3775072418006468	1.6469482150463863	0	0.02012730529349646	382	./Project_wg_result1568160504_GSEA/ICSBP_Q6.png	114	109032;13040;18173;279572;16440;14159;16971;71586;17084;11629;27060;13982;170743;243771;21825;74191;242248;12010;209200;225876;12367;73341;30940;13424;69748;50498;434484;16970;65221;21354;12495;74326;242521;22201;69550;81910;320940;12369;21356;26377;107182;18033;667370;20852;21815;16913;16973;70110;26403;107723;12580;21935;12824;63955;56403;21871;217864;11669;22778;269181;232334;192786;170744;545370;24099;192656;12825;66102;373864;50709;319997;22154;235323;56805;12289;72313;12832;67951;71175;107581;70508;17454;24110;213573;12767;14265;319767;18708;13383;74153;110082;574428;665700;320790;58203;18162;56702;12571;68795;26358;24136;107986;110521;109151;18605;227933;11980;69146;94217;246277;21969;620078;26397;18423	A630001G21Rik;Aif1;Aldh16a1;Aldh1a7;Aldh2;Arhgef6;Atp10b;Atp11c;Atp6v0a2;Atp8a1;B2m;Bank1;Bbx;Bst2;Btaf1;C130026I21Rik;Cables1;Cacna1d;Casp3;Casp7;Ccdc148;Cdk6;Cdkn2c;Chd7;Chd9;Col16a1;Col27a1;Col2a1;Col3a1;Col5a2;Cracr2b;Csad;Ctss;Cxcl16;Cxcr4;Dapp1;Ddb2;Dlg1;Dnah5;Dtx3l;Dync1h1;Ebi3;Enpp1;Entpd1;Esr1;Fes;Fmr1;Fryl;Gsdmd;Hist1h1b;Hist1h1e;Hivep1;Hmcn1;Hmcn2;Hnrnpr;Ifi35;Ifih1;Ifit3b;Ikzf1;Itpr3;Kdm2a;Klhl9;Lrmp;Lrp1;Lrp1b;Lrp5;Ly86;Map2k3;Map3k11;Mgat4a;Mov10;Nfkb1;Nipbl;Npr3;Otx1;P2ry13;Parp12;Pik3r1;Psmb8;Rapgef6;Rcor1;Ripk2;Rrbp1;Slc11a1;Slc12a6;Slc15a3;Sp110;Sp140;Stat6;Syncrip;Tap1;Tapbp;Tcirg1;Tgif1;Thbs1;Tlr13;Tlr7;Tlr8;Tnfrsf17;Tnfsf13b;Top1;Tubb5;Tubb6;Uba1;Uba7;Ubr3;Usp18;Usp25;Usp28;Vgll4;Zbp1;Zbtb33;Zeb2;Zmynd15
GTTRYCATRR_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/GTTRYCATRR_UNKNOWN	-0.32729420528600095	-1.7951006898883635	0	0.026288519225524953	263	./Project_wg_result1568160504_GSEA/GTTRYCATRR_UNKNOWN.png	78	16559;97387;22278;64291;269116;56524;14813;101568;26950;54524;70456;13446;228983;14788;208727;18125;243961;18415;26562;109676;72393;69876;13528;140721;18739;11735;26419;72349;75735;68961;93843;76183;20681;216618;20682;109593;16570;71691;224674;71137;73728;14811;15505;108013;320116;59095;245269;101148;78779;15184;102747;20779;26414;27223;215303;217732;66075;14360;216439;68375;140579;223726;76161;77015;15166;69660;100972;216856;170638;68566;11944;30052;67946;80906;69684;64296;213990;11769	Aarsd1;Abhd8;Agap2;Agap3;Ank2;Ank3;Ap1s1;Atp4a;Bmt2;Caly;Camk1g;Caskin2;Celf4;Celf6;Cfap36;Chchd3;Cipc;Doc2a;Dtnb;Dusp3;Elmo2;Faim2;Fndc9;Fxyd6;Fyn;Gpr162;Grin2a;Grin2c;Hcn2;Hdac4;Hdac5;Hpcal4;Hspa4l;Hsph1;Kcnip2;Kif17;Kif3c;Lamp5;Lmo3;Lrrc49;Mapk10;Mapk8;Mpc2;Mpp6;Mpped1;Mpped2;Ncdn;Ndufa8;Nfasc;Nim1k;Nlgn2;Nos1;Osbpl1a;Osbpl2;Pank1;Pcsk1n;Phkg2;Pitpnm1;Pnck;Pnmal1;Psd;Rab28;Rfx4;Shank1;Slc37a1;Sox8;Sox9;Spata2l;Spata6;Src;Strn4;Syt6;Thap3;Tmbim1;Trp53bp1;Usf1;Vrk3;Vsnl1
YGTCCTTGR_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/YGTCCTTGR_UNKNOWN	-0.3645470452119862	-1.8433590259525234	0	0.026288519225524953	144	./Project_wg_result1568160504_GSEA/YGTCCTTGR_UNKNOWN.png	41	14751;18755;78908;110886;19730;22318;170930;13063;75735;110854;19731;21833;72821;70911;77605;381677;225742;14396;18754;56468;18747;101772;108099;237868;55992;224132;17751;15569;104069;214968;14200;20610;99296;18844;233065;15902;192174;225392;16517;74192;54525	Alkbh6;Ano1;Arpc5l;Cycs;Dirc2;Elavl2;Fhl2;Gabra3;Gabra5;Gpi1;H2afv;Hrh3;Id2;Igsf3;Kcnj16;Mt3;Pank1;Phyhipl;Plxna1;Prkaca;Prkag2;Prkce;Prkch;Ptpa;Ralgds;Rell2;Rgl1;Rwdd4a;Sarm1;Scn2b;Sema6d;Sncb;Socs5;St8sia5;Sumo2;Sumo3;Syt7;Thra;Trim3;Vamp2;Vgf
NRSF_01	http://www.broadinstitute.org/gsea/msigdb/cards/NRSF_01	-0.38229821140556963	-1.9314937966527173	0	0.026288519225524953	149	./Project_wg_result1568160504_GSEA/NRSF_01.png	61	12569;237213;225872;56807;12064;94280;11941;13004;19275;14657;20983;381921;235281;380684;328789;269116;14407;16512;14167;54524;30959;14405;56747;227325;19276;330863;12826;19418;12581;18377;12307;14823;20370;19894;104885;20614;70911;381677;12652;13489;26913;20498;269788;76498;108013;20257;15571;237868;22353;56710;94090;20604;22360;15166;228858;11785;78784;14057;80906;268510;51799	Apbb1;Atp2b2;Bdnf;Brinp1;Calb1;Cdk5r1;Cdkn2d;Celf3;Celf4;Chga;Col4a1;Ddx25;Dner;Drd2;Elavl3;Fgf12;Gabrg1;Gabrg3;Gdap1l1;Glra2;Glra4;Gprin1;Grm8;Hcn2;Kcnh3;Kcnip2;Lhfpl4;Lhfpl5;Mgat5b;Ncan;Nefh;Nfasc;Npas4;Nrsn1;Omg;Paqr4;Phyhipl;Ptprn;Ptprn2;Rasgrf2;Rph3a;Rundc3a;Sarm1;Scamp5;Scn3b;Sez6;Sez6l;Sfxn1;Sfxn3;Slc12a4;Snap25;Sst;Stmn2;Syt4;Syt6;Taok2;Tmem179;Trim67;Trim9;Vgf;Vip
