geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
WP3626	Microglia Pathogen Phagocytosis Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3626&label[]=Arpc1b&label[]=C1qa&label[]=C1qb&label[]=C1qc&label[]=Cyba&label[]=Cybb&label[]=Fcer1g&label[]=Fcgr1&label[]=Hck&label[]=Itgam&label[]=Itgb2&label[]=Lyn&label[]=Ncf1&label[]=Ncf2&label[]=Nckap1l&label[]=Pik3cd&label[]=Pik3cg&label[]=Pik3r6&label[]=Plcg2&label[]=Ptpn6&label[]=Rac1&label[]=Rac2&label[]=Siglece&label[]=Syk&label[]=Trem2&label[]=Tyrobp&label[]=Vav1&label[]=Vav2&colors=%2374A1C6,%237DA7CA,%238EB3D1,%2374A1C6,%23A0BFD8,%2387AECE,%239ABBD6,%23709EC5,%23719FC5,%234682B4,%23588EBB,%2394B7D3,%2384ACCD,%237AA5C9,%2389AFCF,%239BBCD6,%236496C0,%238DB2D0,%236496C0,%235088B8,%239BBCD6,%237EA8CB,%2384ACCD,%238EB3D1,%2383ABCC,%2397B9D5,%2384ACCD,%2380A9CB	0.8857718009754033	2.8886226910417143	0	0	39	./Project_wg_result1568160492_GSEA/WP3626.png	28	16409;15170;16414;234779;30955;14129;15162;12262;11867;17970;12259;19354;22325;83433;17969;22324;83382;13058;105855;104709;20963;12260;17096;22177;14127;19353;18707;13057	Arpc1b;C1qa;C1qb;C1qc;Cyba;Cybb;Fcer1g;Fcgr1;Hck;Itgam;Itgb2;Lyn;Ncf1;Ncf2;Nckap1l;Pik3cd;Pik3cg;Pik3r6;Plcg2;Ptpn6;Rac1;Rac2;Siglece;Syk;Trem2;Tyrobp;Vav1;Vav2
WP3625	TYROBP Causal Network	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3625&label[]=Adap2&label[]=Apbb1ip&label[]=Bin2&label[]=C1qc&label[]=Capg&label[]=Cd37&label[]=Cd84&label[]=Cxcl16&label[]=Elf4&label[]=Gal3st4&label[]=Hcls1&label[]=Hlx&label[]=Igsf6&label[]=Il10ra&label[]=Il13ra1&label[]=Il18&label[]=Itgam&label[]=Itgax&label[]=Itgb2&label[]=Lhfpl2&label[]=Lyl1&label[]=Maf&label[]=Ncf2&label[]=Nckap1l&label[]=Npc2&label[]=Plek&label[]=Ppp1r18&label[]=Pycard&label[]=Rbm47&label[]=Rgs1&label[]=Rnase6&label[]=Samsn1&label[]=Sft2d2&label[]=Slc7a7&label[]=Tcirg1&label[]=Tgfbr1&label[]=Tmem106a&label[]=Tnfrsf1b&label[]=Tyrobp&label[]=Zfp36l2&colors=%239DBDD7,%2389AFCF,%23A6C2DA,%2374A1C6,%2394B7D3,%2394B7D3,%23709EC5,%23C1D5E6,%2397B9D5,%23AEC8DE,%2376A2C7,%2387AECE,%2391B5D2,%2396B8D4,%23A9C4DC,%23C3D6E6,%234682B4,%2396B8D4,%23588EBB,%23A4C1DA,%23BDD2E4,%2391B5D2,%237AA5C9,%2389AFCF,%23ABC6DD,%2393B6D3,%2386ADCD,%2396B8D4,%2381AACC,%23B7CEE2,%23B9CFE2,%236697C0,%23B7CEE2,%23ABC6DD,%2389AFCF,%2374A1C6,%23A1C0D9,%2399BAD5,%2397B9D5,%23B3CBE0	0.7945431163131369	2.7949083652931335	0	0	55	./Project_wg_result1568160492_GSEA/WP3625.png	40	16409;16414;67742;12523;21812;12262;15163;17970;245945;76448;15284;54519;27060;105855;17132;80719;56193;12332;12493;66824;16411;16154;56501;22177;21938;216991;217203;218454;668218;16164;67963;20540;330217;12193;50778;108735;78416;17095;66102;16173	Adap2;Apbb1ip;Bin2;C1qc;Capg;Cd37;Cd84;Cxcl16;Elf4;Gal3st4;Hcls1;Hlx;Igsf6;Il10ra;Il13ra1;Il18;Itgam;Itgax;Itgb2;Lhfpl2;Lyl1;Maf;Ncf2;Nckap1l;Npc2;Plek;Ppp1r18;Pycard;Rbm47;Rgs1;Rnase6;Samsn1;Sft2d2;Slc7a7;Tcirg1;Tgfbr1;Tmem106a;Tnfrsf1b;Tyrobp;Zfp36l2
WP1254	Apoptosis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1254&label[]=Bcl2l11&label[]=Bid&label[]=Birc3&label[]=Birc5&label[]=Casp1&label[]=Casp3&label[]=Casp4&label[]=Casp6&label[]=Casp7&label[]=Casp8&label[]=Cflar&label[]=Chuk&label[]=Cradd&label[]=Dffb&label[]=Diablo&label[]=Fadd&label[]=Hells&label[]=Ikbkb&label[]=Ikbkg&label[]=Irf1&label[]=Irf2&label[]=Irf3&label[]=Irf4&label[]=Irf5&label[]=Irf7&label[]=Jun&label[]=Map3k1&label[]=Mcl1&label[]=Myc&label[]=Nfkb1&label[]=Nfkbia&label[]=Nfkbie&label[]=Pik3r1&label[]=Rela&label[]=Ripk1&label[]=Scaf11&label[]=Tnfrsf1b&label[]=Tnfsf10&label[]=Tradd&label[]=Trp53&colors=%23C3D6E6,%23C4D7E7,%2389AFCF,%2396B8D4,%236B9BC3,%2373A0C6,%23BBD1E3,%23B9CFE2,%238BB1D0,%234682B4,%2394B7D3,%23C1D5E6,%23B4CCE0,%23B7CEE2,%23C0D4E5,%2384ACCD,%23C0D4E5,%23B0C9DF,%23B1CADF,%239ABBD6,%2381AACC,%2386ADCD,%239ABBD6,%236798C1,%23BDD2E4,%23C4D7E7,%238BB1D0,%23BBD1E3,%2393B6D3,%2390B4D2,%23B0C9DF,%237DA7CA,%23BDD2E4,%23B7CEE2,%237DA7CA,%237AA5C9,%2378A4C8,%239BBCD6,%23BDD2E4,%23A4C1DA	0.6122785725290293	2.280861255215497	0	0	75	./Project_wg_result1568160492_GSEA/WP1254.png	40	12370;27056;12362;12367;21938;72193;19766;18037;16363;14082;54131;11796;12369;26401;18033;17869;12633;11799;16362;16364;22035;22059;18035;16150;16151;12905;13368;19697;12368;12363;17210;18708;54123;71609;66593;15201;12675;12125;12122;16476	Bcl2l11;Bid;Birc3;Birc5;Casp1;Casp3;Casp4;Casp6;Casp7;Casp8;Cflar;Chuk;Cradd;Dffb;Diablo;Fadd;Hells;Ikbkb;Ikbkg;Irf1;Irf2;Irf3;Irf4;Irf5;Irf7;Jun;Map3k1;Mcl1;Myc;Nfkb1;Nfkbia;Nfkbie;Pik3r1;Rela;Ripk1;Scaf11;Tnfrsf1b;Tnfsf10;Tradd;Trp53
WP151	IL-5 Signaling Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP151&label[]=Alox5&label[]=Alox5ap&label[]=Btk&label[]=Cbl&label[]=Csf2rb&label[]=Dnm2&label[]=Grb2&label[]=Hck&label[]=Hcls1&label[]=Icam1&label[]=Itgam&label[]=Itgb2&label[]=Jak1&label[]=Jak2&label[]=Jun&label[]=Kras&label[]=Lyn&label[]=Nfkb1&label[]=Nfkbia&label[]=Pik3cg&label[]=Pik3r1&label[]=Pim1&label[]=Pla2g4a&label[]=Prkcd&label[]=Ptpn6&label[]=Rac1&label[]=Rps6ka1&label[]=Sdcbp&label[]=Sh2b2&label[]=Shc1&label[]=Sox4&label[]=Stat1&label[]=Stat3&label[]=Syk&label[]=Vav1&colors=%238AB0CF,%23AAC5DC,%236B9BC3,%23B4CCE0,%2397B9D5,%23AAC5DC,%23CDDDEA,%23719FC5,%2376A2C7,%237EA8CB,%234682B4,%23588EBB,%2389AFCF,%23C0D4E5,%23D3E1ED,%23D0DFEC,%2394B7D3,%23AAC5DC,%23C3D6E6,%236496C0,%23CCDCEA,%23CEDEEB,%23BDD2E4,%23CDDDEA,%235088B8,%239BBCD6,%23D1E0EC,%23C7D9E8,%23A0BFD8,%23BED3E5,%2380A9CB,%23A7C3DB,%23C3D6E6,%238EB3D1,%2384ACCD	0.619825537187507	2.249146364421838	0	0	66	./Project_wg_result1568160492_GSEA/WP151.png	35	16409;15170;16414;30955;12229;15162;15163;15894;20677;22324;16451;11689;20963;17096;12983;19353;23921;20846;13430;18033;11690;12402;18783;20416;16452;20848;18035;53378;18708;14784;18753;18712;16653;20111;16476	Alox5;Alox5ap;Btk;Cbl;Csf2rb;Dnm2;Grb2;Hck;Hcls1;Icam1;Itgam;Itgb2;Jak1;Jak2;Jun;Kras;Lyn;Nfkb1;Nfkbia;Pik3cg;Pik3r1;Pim1;Pla2g4a;Prkcd;Ptpn6;Rac1;Rps6ka1;Sdcbp;Sh2b2;Shc1;Sox4;Stat1;Stat3;Syk;Vav1
WP88	Toll Like Receptor signaling	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP88&label[]=Casp3&label[]=Casp8&label[]=Chuk&label[]=Eif2ak2&label[]=Fadd&label[]=Ikbkb&label[]=Ikbkg&label[]=Irak2&label[]=Irak3&label[]=Irak4&label[]=Irf3&label[]=Nfkb1&label[]=Tab2&label[]=Tbk1&label[]=Ticam2&label[]=Tlr2&label[]=Tlr3&label[]=Tlr4&label[]=Traf6&colors=%2373A0C6,%234682B4,%23C1D5E6,%237EA8CB,%2384ACCD,%23B0C9DF,%23B1CADF,%23BAD0E3,%23C4D7E7,%2399BAD5,%2386ADCD,%2390B4D2,%23B3CBE0,%2383ABCC,%2380A9CB,%236697C0,%23AEC8DE,%236D9CC3,%23B9CFE2	0.6944318793490767	2.225553145034904	0	0	33	./Project_wg_result1568160492_GSEA/WP88.png	19	12370;24088;21898;12367;19106;225471;56480;14082;54131;18033;266632;142980;16150;16151;68652;22034;108960;12675;73914	Casp3;Casp8;Chuk;Eif2ak2;Fadd;Ikbkb;Ikbkg;Irak2;Irak3;Irak4;Irf3;Nfkb1;Tab2;Tbk1;Ticam2;Tlr2;Tlr3;Tlr4;Traf6
WP1248	Oxidative phosphorylation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1248&label[]=Atp5d&label[]=Atp5e&label[]=Atp5g3&label[]=Atp5h&label[]=Atp5j&label[]=Atp5o&label[]=Atp6ap2&label[]=Ndufa10&label[]=Ndufa11&label[]=Ndufa3&label[]=Ndufa4&label[]=Ndufa5&label[]=Ndufa6&label[]=Ndufa8&label[]=Ndufb10&label[]=Ndufb2&label[]=Ndufb5&label[]=Ndufb6&label[]=Ndufb7&label[]=Ndufb8&label[]=Ndufb9&label[]=Ndufc1&label[]=Ndufs1&label[]=Ndufs2&label[]=Ndufs3&label[]=Ndufs4&label[]=Ndufs5&label[]=Ndufs8&label[]=Ndufv2&colors=%23FF971A,%23FFD19A,%23FFB152,%23FFD9AC,%23FFD7A6,%23FFBB6A,%23FFCA8A,%23FFDEB6,%23FFB65E,%23FFD7A6,%23FFAB46,%23FFDFB8,%23FFA840,%23FFB964,%23FF8C00,%23FFE1BC,%23FFBC6C,%23FFBC6C,%23FFBB68,%23FFE0BA,%23FFC784,%23FFDBB0,%23FFDEB6,%23FFC176,%23FFD5A2,%23FFBF72,%23FFB050,%23FFDFB8,%23FFBA66	-0.6750484897074459	-2.7614988723727736	0	0	47	./Project_wg_result1568160492_GSEA/WP1248.png	29	68198;67264;68202;225887;227197;67273;66377;71679;66091;11957;68349;67126;70495;66218;226646;17993;230075;66046;28080;66916;72900;68375;69875;228033;595136;17992;67130;66043;68342	Atp5d;Atp5e;Atp5g3;Atp5h;Atp5j;Atp5o;Atp6ap2;Ndufa10;Ndufa11;Ndufa3;Ndufa4;Ndufa5;Ndufa6;Ndufa8;Ndufb10;Ndufb2;Ndufb5;Ndufb6;Ndufb7;Ndufb8;Ndufb9;Ndufc1;Ndufs1;Ndufs2;Ndufs3;Ndufs4;Ndufs5;Ndufs8;Ndufv2
WP295	Electron Transport Chain	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP295&label[]=Atp5d&label[]=Atp5e&label[]=Atp5g3&label[]=Atp5h&label[]=Atp5j&label[]=Atp5o&label[]=Cox4i1&label[]=Cox5a&label[]=Cox5b&label[]=Cox6a1&label[]=Cox6b1&label[]=Cox6c&label[]=Cox7a2&label[]=Cox7b&label[]=Cox8a&label[]=Ndufa1&label[]=Ndufa10&label[]=Ndufa3&label[]=Ndufa4&label[]=Ndufa5&label[]=Ndufa6&label[]=Ndufa8&label[]=Ndufab1&label[]=Ndufb10&label[]=Ndufb2&label[]=Ndufb4&label[]=Ndufb5&label[]=Ndufb6&label[]=Ndufb7&label[]=Ndufb9&label[]=Ndufc1&label[]=Ndufs1&label[]=Ndufs2&label[]=Ndufs3&label[]=Ndufs4&label[]=Ndufs5&label[]=Ndufs8&label[]=Ndufv2&label[]=Sdhb&label[]=Slc25a14&label[]=Slc25a4&label[]=Uqcr10&label[]=Uqcr11&label[]=Uqcrb&label[]=Uqcrq&colors=%23FF9A20,%23FFD29C,%23FFB256,%23FFDAAE,%23FFD7A6,%23FFBD6E,%23FFA73C,%23FFBE70,%23FFC886,%23FF9516,%23FFAF4E,%23FF8C00,%23FFD8AA,%23FFB152,%23FFAE4C,%23FFC580,%23FFDFB8,%23FFD8A8,%23FFAD4A,%23FFE0BA,%23FFAA44,%23FFBA66,%23FFD19A,%23FF8D04,%23FFE2BE,%23FF9412,%23FFBD6E,%23FFBE70,%23FFBC6C,%23FFC988,%23FFDBB0,%23FFDFB8,%23FFC37A,%23FFD6A4,%23FFC074,%23FFB254,%23FFE0BA,%23FFBB6A,%23FFD9AC,%23FFC988,%23FFD8A8,%23FFD29C,%23FFAF4E,%23FFD29C,%23FFB050	-0.6158692325838264	-2.8374953686818727	0	0	82	./Project_wg_result1568160492_GSEA/WP295.png	45	68198;68202;225887;227197;67273;66377;71679;67680;12866;66091;11739;11957;68349;67126;66152;67530;70316;20523;66218;12859;54405;226646;17993;12858;230075;66046;28080;66916;72900;68375;228033;595136;66142;22272;110323;66594;12868;17992;67130;12857;66043;12861;68194;68342;12864	Atp5d;Atp5e;Atp5g3;Atp5h;Atp5j;Atp5o;Cox4i1;Cox5a;Cox5b;Cox6a1;Cox6b1;Cox6c;Cox7a2;Cox7b;Cox8a;Ndufa1;Ndufa10;Ndufa3;Ndufa4;Ndufa5;Ndufa6;Ndufa8;Ndufab1;Ndufb10;Ndufb2;Ndufb4;Ndufb5;Ndufb6;Ndufb7;Ndufb9;Ndufc1;Ndufs1;Ndufs2;Ndufs3;Ndufs4;Ndufs5;Ndufs8;Ndufv2;Sdhb;Slc25a14;Slc25a4;Uqcr10;Uqcr11;Uqcrb;Uqcrq
WP449	Complement and Coagulation Cascades	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP449&label[]=C1qa&label[]=C1qb&label[]=C1qc&label[]=C1ra&label[]=C3ar1&label[]=C4b&label[]=C5ar1&label[]=Cfh&label[]=Cr1l&label[]=F9&label[]=Plau&label[]=Plaur&label[]=Pros1&label[]=Serpine1&label[]=Tfpi&colors=%235189B8,%236899C2,%234682B4,%23ABC6DD,%236496C0,%23A6C2DA,%237DA7CA,%235088B8,%23A7C3DB,%2386ADCD,%23ABC6DD,%23AEC8DE,%236B9BC3,%23B0C9DF,%237DA7CA	0.6214269089238389	2.0633990458693177	0	1.1874234633063487e-4	40	./Project_wg_result1568160492_GSEA/WP449.png	15	12262;12628;12259;12267;12260;19128;12273;21788;14071;12268;12946;18792;50909;18793;18787	C1qa;C1qb;C1qc;C1ra;C3ar1;C4b;C5ar1;Cfh;Cr1l;F9;Plau;Plaur;Pros1;Serpine1;Tfpi
WP450	IL-2 Signaling Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP450&label[]=Cbl&label[]=Cd53&label[]=Chuk&label[]=Eif3b&label[]=Ets1&label[]=Gab2&label[]=Grb2&label[]=Hsp90aa1&label[]=Icam1&label[]=Il2rg&label[]=Itm2b&label[]=Jak1&label[]=Jak2&label[]=Jak3&label[]=Kras&label[]=Lyn&label[]=Mapkapk2&label[]=Mknk1&label[]=Nfkb1&label[]=Nmi&label[]=Nr3c1&label[]=Pik3ca&label[]=Pik3cd&label[]=Pik3cg&label[]=Pik3r1&label[]=Ptpn6&label[]=Rela&label[]=Shc1&label[]=Stat1&label[]=Stat3&label[]=Syk&label[]=Vav1&label[]=Ybx1&colors=%23B0C9DF,%236697C0,%23CDDDEA,%23CCDCEA,%23BBD1E3,%239DBDD7,%23C9DAE9,%23CCDCEA,%2376A2C7,%23CDDDEA,%23ABC6DD,%2381AACC,%23BBD1E3,%239ABBD6,%23CDDDEA,%238DB2D0,%23B9CFE2,%2396B8D4,%23A4C1DA,%23ADC7DD,%23ADC7DD,%23C7D9E8,%2396B8D4,%235A8FBC,%23C9DAE9,%234682B4,%23C6D8E7,%23BBD1E3,%23A1C0D9,%23BED3E5,%2387AECE,%237BA6C9,%23CDDDEA	0.5629801241775725	2.0675190946208133	0	1.3358513962196425e-4	71	./Project_wg_result1568160492_GSEA/WP450.png	33	15170;30955;12508;15894;22324;16451;20963;17096;18707;17346;16453;14389;20846;18033;16432;64685;14815;12402;17164;20416;16452;23871;20848;19697;18706;18708;14784;27979;15519;22608;16653;16186;12675	Cbl;Cd53;Chuk;Eif3b;Ets1;Gab2;Grb2;Hsp90aa1;Icam1;Il2rg;Itm2b;Jak1;Jak2;Jak3;Kras;Lyn;Mapkapk2;Mknk1;Nfkb1;Nmi;Nr3c1;Pik3ca;Pik3cd;Pik3cg;Pik3r1;Ptpn6;Rela;Shc1;Stat1;Stat3;Syk;Vav1;Ybx1
WP407	Kit Receptor Signaling Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP407&label[]=Btk&label[]=Cbl&label[]=Cltc&label[]=Csf2rb&label[]=Dok1&label[]=Fes&label[]=Fgr&label[]=Grap&label[]=Hck&label[]=Inpp5d&label[]=Jak2&label[]=Lyn&label[]=Mitf&label[]=Pik3cg&label[]=Plcg1&label[]=Ptpn6&label[]=Sh2b2&label[]=Shc1&label[]=Socs4&label[]=Stat1&label[]=Stat3&label[]=Tec&label[]=Vav1&label[]=Vav2&colors=%236395BF,%23B0C9DF,%2374A1C6,%2390B4D2,%2399BAD5,%2376A2C7,%23BDD2E4,%236D9CC3,%236798C1,%236798C1,%23BBD1E3,%238DB2D0,%23C0D4E5,%235A8FBC,%23B0C9DF,%234682B4,%239ABBD6,%23BBD1E3,%23ADC7DD,%23A1C0D9,%23BED3E5,%239EBED8,%237BA6C9,%2377A3C8	0.5798549060057903	2.07164237954976	0	1.5266873099653057e-4	65	./Project_wg_result1568160492_GSEA/WP407.png	24	15170;30955;12229;16331;15162;71520;67300;14159;22325;22324;17096;12983;13448;23921;21682;20846;67296;12402;18803;20416;16452;14191;20848;17342	Btk;Cbl;Cltc;Csf2rb;Dok1;Fes;Fgr;Grap;Hck;Inpp5d;Jak2;Lyn;Mitf;Pik3cg;Plcg1;Ptpn6;Sh2b2;Shc1;Socs4;Stat1;Stat3;Tec;Vav1;Vav2
WP1253	Type II interferon signaling (IFNG)	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1253&label[]=Cxcl10&label[]=Cxcl9&label[]=Cybb&label[]=Eif2ak2&label[]=Icam1&label[]=Ifngr1&label[]=Irf1&label[]=Irf2&label[]=Irf4&label[]=Irf8&label[]=Irf9&label[]=Jak1&label[]=Jak2&label[]=Prkcd&label[]=Spi1&label[]=Stat1&label[]=Stat2&label[]=Tap1&colors=%23BDD2E4,%23ADC7DD,%235E92BE,%237BA6C9,%23548BB9,%23709EC5,%2397B9D5,%237EA8CB,%2399BAD5,%234682B4,%2386ADCD,%236194BF,%23ABC6DD,%23BDD2E4,%235088B8,%238AB0CF,%23BAD0E3,%2380A9CB	0.6898840724905275	2.175431415332425	0	1.7811351949595234e-4	31	./Project_wg_result1568160492_GSEA/WP1253.png	18	15900;20375;15894;13058;16451;15979;19106;16363;21354;16391;20846;16362;16364;16452;17329;20847;18753;15945	Cxcl10;Cxcl9;Cybb;Eif2ak2;Icam1;Ifngr1;Irf1;Irf2;Irf4;Irf8;Irf9;Jak1;Jak2;Prkcd;Spi1;Stat1;Stat2;Tap1
WP571	FAS pathway and Stress induction of HSP regulation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP571&label[]=Apaf1&label[]=Arhgdib&label[]=Casp3&label[]=Casp6&label[]=Casp7&label[]=Casp8&label[]=Cflar&label[]=Dffb&label[]=Fadd&label[]=Faf1&label[]=Il1a&label[]=Jun&label[]=Lmnb1&label[]=Map3k1&label[]=Map3k7&label[]=Mapkapk2&label[]=Pak2&label[]=Prkdc&label[]=Ptpn13&label[]=Rb1&label[]=Ripk2&colors=%23D0DFEC,%23A7C3DB,%2373A0C6,%23B9CFE2,%238BB1D0,%234682B4,%2394B7D3,%23B7CEE2,%2384ACCD,%23CADBE9,%2389AFCF,%23C4D7E7,%239ABBD6,%238BB1D0,%23CEDEEB,%23A7C3DB,%23CEDEEB,%236798C1,%23C6D8E7,%239BBCD6,%23ABC6DD	0.6082239255959074	2.0003378453194314	0	3.206043350927142e-4	35	./Project_wg_result1568160492_GSEA/WP571.png	21	12370;19090;12367;14082;16175;12369;26401;12633;16906;19645;11857;17164;192656;13368;12368;16476;19249;14084;26409;224105;11783	Apaf1;Arhgdib;Casp3;Casp6;Casp7;Casp8;Cflar;Dffb;Fadd;Faf1;Il1a;Jun;Lmnb1;Map3k1;Map3k7;Mapkapk2;Pak2;Prkdc;Ptpn13;Rb1;Ripk2
WP413	G1 to S cell cycle control	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP413&label[]=Atm&label[]=Ccnd1&label[]=Cdc45&label[]=Cdk1&label[]=Cdk2&label[]=Cdk6&label[]=Cdkn1a&label[]=Cdkn2c&label[]=E2f2&label[]=E2f4&label[]=Mcm2&label[]=Mcm3&label[]=Mcm4&label[]=Myc&label[]=Orc1&label[]=Orc2&label[]=Pcna&label[]=Pola2&label[]=Pole&label[]=Prim2&label[]=Rb1&label[]=Rbl1&label[]=Rpa1&label[]=Trp53&colors=%23A4C1DA,%238EB3D1,%23A7C3DB,%23C0D4E5,%23A4C1DA,%23C6D8E7,%23C3D6E6,%23A4C1DA,%23C6D8E7,%23C7D9E8,%239DBDD7,%234682B4,%23AAC5DC,%239ABBD6,%23C7D9E8,%23C6D8E7,%23C0D4E5,%23C9DAE9,%23B4CCE0,%23C4D7E7,%23A3C0D9,%235D91BD,%23B3CBE0,%23ABC6DD	0.5616800481566496	1.9947843570147554	0	3.88611315263896e-4	58	./Project_wg_result1568160492_GSEA/WP413.png	24	17215;19650;12443;17869;17216;19645;12566;12580;11920;12544;17217;22059;68275;18973;12534;18538;12575;19076;242705;18393;12571;18392;104394;18969	Atm;Ccnd1;Cdc45;Cdk1;Cdk2;Cdk6;Cdkn1a;Cdkn2c;E2f2;E2f4;Mcm2;Mcm3;Mcm4;Myc;Orc1;Orc2;Pcna;Pola2;Pole;Prim2;Rb1;Rbl1;Rpa1;Trp53
WP2292	Chemokine signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2292&label[]=Adcy7&label[]=Arrb2&label[]=Ccl12&label[]=Ccl24&label[]=Ccl3&label[]=Ccl6&label[]=Ccl8&label[]=Ccl9&label[]=Ccr1&label[]=Ccr2&label[]=Ccr5&label[]=Ccr6&label[]=Ccr9&label[]=Cdc42&label[]=Chuk&label[]=Cx3cr1&label[]=Cxcl10&label[]=Cxcl16&label[]=Cxcl9&label[]=Cxcr4&label[]=Dock2&label[]=Elmo1&label[]=Fgr&label[]=Gnai2&label[]=Gng10&label[]=Gngt2&label[]=Grb2&label[]=Hck&label[]=Ikbkb&label[]=Ikbkg&label[]=Jak2&label[]=Jak3&label[]=Kras&label[]=Lyn&label[]=Ncf1&label[]=Nfkb1&label[]=Nfkbia&label[]=Pf4&label[]=Pik3ca&label[]=Pik3cd&label[]=Pik3cg&label[]=Pik3r1&label[]=Pik3r5&label[]=Plcb3&label[]=Prex1&label[]=Prkcd&label[]=Pxn&label[]=Rac1&label[]=Rac2&label[]=Rap1a&label[]=Rap1b&label[]=Rela&label[]=Rhoa&label[]=Rock1&label[]=Rock2&label[]=Shc1&label[]=Stat1&label[]=Stat2&label[]=Stat3&label[]=Vav1&label[]=Vav2&label[]=Was&colors=%2387AECE,%237DA7CA,%23A9C4DC,%23BBD1E3,%23B3CBE0,%23709EC5,%23C0D4E5,%23568CBA,%239BBCD6,%23A6C2DA,%23A0BFD8,%23C1D5E6,%23C1D5E6,%23A7C3DB,%23C7D9E8,%235088B8,%23C4D7E7,%23B4CCE0,%23B4CCE0,%23C1D5E6,%2387AECE,%23C1D5E6,%23B4CCE0,%23C1D5E6,%23BBD1E3,%23709EC5,%23C3D6E6,%23548BB9,%23B6CDE1,%23B9CFE2,%23B3CBE0,%238DB2D0,%23C6D8E7,%237EA8CB,%236A9AC2,%2399BAD5,%23B6CDE1,%23BAD0E3,%23C0D4E5,%2387AECE,%234682B4,%23C1D5E6,%23A7C3DB,%2386ADCD,%238BB1D0,%23C3D6E6,%23B7CEE2,%2387AECE,%236496C0,%23C7D9E8,%2397B9D5,%23BDD2E4,%239EBED8,%238BB1D0,%2383ABCC,%23B1CADF,%2396B8D4,%23C1D5E6,%23B6CDE1,%236A9AC2,%236697C0,%236395BF	0.4811567316267301	1.9526298027460685	0	5.34340558487857e-4	160	./Project_wg_result1568160492_GSEA/WP2292.png	62	30955;13051;15162;20308;22376;19354;22325;17969;22324;14710;20305;216869;17096;19878;18797;19353;11513;18707;94176;19877;277360;16453;20846;215449;18033;12768;11848;12774;12772;320207;12540;20293;20416;20302;16452;66102;14191;17329;20848;18035;16150;19303;16151;56744;56221;14700;19697;20307;18706;20847;12769;12767;14678;140580;18708;12458;14784;18753;15945;16653;12675;109905	Adcy7;Arrb2;Ccl12;Ccl24;Ccl3;Ccl6;Ccl8;Ccl9;Ccr1;Ccr2;Ccr5;Ccr6;Ccr9;Cdc42;Chuk;Cx3cr1;Cxcl10;Cxcl16;Cxcl9;Cxcr4;Dock2;Elmo1;Fgr;Gnai2;Gng10;Gngt2;Grb2;Hck;Ikbkb;Ikbkg;Jak2;Jak3;Kras;Lyn;Ncf1;Nfkb1;Nfkbia;Pf4;Pik3ca;Pik3cd;Pik3cg;Pik3r1;Pik3r5;Plcb3;Prex1;Prkcd;Pxn;Rac1;Rac2;Rap1a;Rap1b;Rela;Rhoa;Rock1;Rock2;Shc1;Stat1;Stat2;Stat3;Vav1;Vav2;Was
WP1496	Oxidative Damage	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1496&label[]=C1qa&label[]=C1qb&label[]=C1qc&label[]=C1ra&label[]=C3ar1&label[]=C4b&label[]=C5ar1&label[]=Casp3&label[]=Cdc42&label[]=Cdkn1a&label[]=Map3k1&label[]=Nfkb1&label[]=Nfkbie&label[]=Pcna&label[]=Tnfrsf1b&label[]=Traf6&colors=%235189B8,%236899C2,%234682B4,%23ABC6DD,%236496C0,%23A6C2DA,%237DA7CA,%236E9DC4,%239DBDD7,%23BBD1E3,%238AB0CF,%238DB2D0,%237AA5C9,%23B9CFE2,%2374A1C6,%23B7CEE2	0.5779900002888828	1.9144887595540576	0.0013568521012797122	0.0012330935965104393	38	./Project_wg_result1568160492_GSEA/WP1496.png	16	12262;12259;12267;12260;12367;21938;18037;12273;26401;18033;12540;12268;50909;22034;18538;12575	C1qa;C1qb;C1qc;C1ra;C3ar1;C4b;C5ar1;Casp3;Cdc42;Cdkn1a;Map3k1;Nfkb1;Nfkbie;Pcna;Tnfrsf1b;Traf6
