geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0097028	dendritic cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0097028	0.6739633426256593	2.3390891837959984	0	0	25	./Project_wg_result1568400062_GSEA/GO_0097028.png	20	12608;14456;19664;17000;19164;28240;14991;21803;19698;18129;65963;20375;21813;83433;16364;17096;381319;27215;18733;66058	Azi2;Batf3;Cebpb;Gas6;H2-M3;Irf4;Ltbr;Lyn;Notch2;Pirb;Psen1;Rbpj;Relb;Spi1;Tgfb1;Tgfbr2;Tmem176a;Tmem176b;Trem2;Trpm2
GO:0007626	locomotory behavior	http://amigo.geneontology.org/amigo/term/GO:0007626	-0.43786993252249806	-2.2143536361218046	0	0	198	./Project_wg_result1568400062_GSEA/GO_0007626.png	87	54713;268860;21916;170719;109205;93688;241656;214084;12444;12725;56747;18216;101490;110834;20655;20370;12307;18754;13860;98660;231380;14658;19056;11438;14814;17268;18227;20618;11784;21367;108071;11682;20315;243914;14810;72129;56320;12661;268890;268980;16508;15560;75141;22771;239250;14816;233878;109294;13385;320840;18574;64297;211323;244723;15930;16513;64378;14681;11804;232975;26414;13488;14169;12298;15572;21960;11540;13643;20617;17762;74342;14167;11444;11820;14415;53901;57754;20614;13653;13838;18619;20656;22223;19049;14763;18472;12799	Abat;Adora2a;Alk;Apba2;Aplp2;App;Atp1a2;Atp1a3;Cacnb4;Calb1;Ccnd2;Cend1;Chl1;Chrna3;Chrna4;Chrnb2;Clcn3;Cnp;Cntn2;Cxcl12;Dbn1;Dlg4;Drd1;Efnb3;Egr1;Elavl4;Epha4;Eps8;Fezf2;Fgf12;Fgf14;Gad1;Glrb;Gnao1;Gpr37;Gpr88;Gprc5b;Grin1;Grin2d;Grm1;Grm5;Htr2c;Ido1;Inpp5f;Kcnd2;Kcnj10;Klhl1;Lgi4;Lrrtm1;Lsamp;Mapk10;Mapt;Meis1;Negr1;Nr4a2;Nrg1;Ntsr1;Olfm2;Oxr1;Pafah1b1;Pak7;Pde1b;Penk;Pex13;Ppp1r1b;Ppp3cb;Prex2;Prkce;Rasd2;Rcan2;Sez6;Sez6l;Sez6l2;Slc18a2;Slitrk6;Snap25;Snca;Sncg;Sobp;Sod1;Sod2;Strn;Tmod1;Tnr;Uba6;Uchl1;Zic1
GO:0015837	amine transport	http://amigo.geneontology.org/amigo/term/GO:0015837	-0.48963270603915104	-2.217411005847603	0	0	94	./Project_wg_result1568400062_GSEA/GO_0015837.png	45	12918;16490;268860;68943;13195;14573;214084;69908;11441;15558;18441;18751;20910;319508;18216;110834;12801;232333;64051;11438;20618;53420;27220;80976;20315;54393;20980;15560;14812;12652;229521;20983;20907;20979;54524;64008;60510;11541;68585;18546;11540;20617;11444;12424;19736	Abat;Adora2a;Adora2b;Aqp9;Cartpt;Cck;Chga;Chrna3;Chrna4;Chrna7;Chrnb2;Cnr1;Crh;Cxcl12;Ddc;Gabbr1;Gdnf;Grin2b;Htr2a;Htr2c;Kcna2;Ntsr1;P2ry1;Pcp4;Pink1;Prkcb;Rab3b;Rgs4;Rtn4;Slc18a2;Slc6a1;Snca;Sncg;Stx1a;Stxbp1;Sv2a;Syt1;Syt11;Syt13;Syt15;Syt2;Syt4;Syt5;Syt6;Syt9
GO:0030534	adult behavior	http://amigo.geneontology.org/amigo/term/GO:0030534	-0.46089461646834956	-2.226583434164954	0	0	140	./Project_wg_result1568400062_GSEA/GO_0030534.png	66	268860;21916;170719;93688;14406;11441;15558;12444;12725;56747;18216;101490;110834;18189;20370;102774;13860;98660;14658;76965;11438;26557;14814;18227;20618;21367;18125;11682;27220;20315;109648;243914;14810;12919;12661;20511;69727;15560;22771;219228;239250;233878;110835;109294;16513;18124;12568;232975;13488;66797;14169;12298;231290;13643;20617;17762;14167;11444;11820;57754;13838;26556;22223;19049;18472;12799	Abat;Alk;App;Atp1a2;Atp1a3;Bbs4;Cacnb4;Cartpt;Ccnd2;Cdk5;Cend1;Chl1;Chrna3;Chrna4;Chrna5;Chrna7;Chrnb2;Clcn3;Cnp;Cntn2;Cntnap2;Crhbp;Cxcl12;Drd1;Efnb3;Epha4;Eps8;Fgf12;Fgf14;Gabrg2;Glrb;Grin1;Grin2d;Homer1;Homer2;Htr2a;Htr2c;Inpp5f;Kcnj10;Klhl1;Lgi4;Mapt;Nos1;Npy;Nr4a2;Nr4a3;Nrxn1;Ntsr1;Oxr1;Pafah1b1;Pcdh17;Ppp1r1b;Prex2;Sez6;Sez6l;Sez6l2;Slc10a4;Slc1a2;Slitrk1;Slitrk6;Snca;Sncg;Tmod1;Uchl1;Usp46;Zic1
GO:0099504	synaptic vesicle cycle	http://amigo.geneontology.org/amigo/term/GO:0099504	-0.4339309103905425	-2.2276711564536855	0	0	209	./Project_wg_result1568400062_GSEA/GO_0099504.png	91	271457;13195;54645;214084;69908;11441;15558;18441;69017;18751;12725;20910;68404;110834;18189;110524;12801;18754;140919;20964;12484;22421;64051;19056;11438;13002;80718;18191;75734;11784;22317;72685;53420;80976;268934;103967;218038;320127;109880;12296;94090;242662;20980;56807;53330;11465;219228;243764;229521;20983;20907;110835;22348;56216;433485;17957;19085;20979;12889;235415;74006;54524;12558;12568;12569;13542;13488;18645;60510;11541;104069;14169;12298;216227;231290;29873;23969;11540;20617;22318;100226;12313;11444;11938;102866;20614;67826;213760;20404;18752;19339	Actg1;Adora2a;Adora2b;Amph;Apba2;Atp2a2;Braf;Cacnb2;Cacnb4;Calm1;Cd24a;Cdh2;Cdk5;Cdk5r1;Chrm2;Chrna3;Chrna4;Chrna5;Chrna7;Chrnb2;Clcn3;Cnr1;Cplx1;Cplx3;Cspg5;Ddc;Dgki;Dgkq;Dnajc5;Dnajc6;Dnm1l;Dnm3;Drd1;Dvl1;Fgf14;Gripap1;Grm4;Htr2a;Mff;Napb;Nrn1;Nrxn1;Nrxn3;P2ry1;Pacsin1;Pcdh17;Pfn2;Pls3;Ppp3cb;Prepl;Prkar1b;Prkcb;Prkce;Prkcg;Prrt2;Rab27b;Rab3a;Rab3b;Rab5a;Rims3;Scamp5;Sh3gl2;Slc10a4;Slc17a6;Slc17a8;Slc18a2;Slc32a1;Snap25;Snap47;Snca;Sncb;Stx12;Stx1a;Stx1b;Stxbp1;Sv2a;Syn1;Syndig1;Syt1;Syt11;Syt13;Syt2;Syt4;Syt5;Syt6;Syt9;Trim9;Vamp1;Vamp2;Vamp4;Wnt7a
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	http://amigo.geneontology.org/amigo/term/GO:0098742	-0.4424194462537292	-2.241684021914247	0	0	199	./Project_wg_result1568400062_GSEA/GO_0098742.png	111	21808;320772;93874;93893;12156;19268;229715;93892;105827;16181;12561;239096;215654;353236;192167;71436;93878;320865;13511;192161;233651;12737;353234;241568;12941;93881;277432;12939;73173;14735;230868;20312;94332;245578;18189;80883;18530;64085;225875;192198;93873;12484;19713;93714;93883;76965;93708;12404;192164;93702;386750;13640;93891;241201;93842;18526;93888;93882;53870;12942;93722;17391;93876;93723;13723;93712;19266;12661;65945;68810;54216;16180;232370;219257;93879;11658;219228;93890;93887;93884;93715;12554;227485;353237;23836;211712;93717;12563;12937;93724;93875;93889;93880;245450;93706;12558;93877;93885;14804;64945;20320;67703;13602;17136;84004;58187;16579;319504;12564;18417;17196	Alcam;Amigo1;Amigo2;Bmp2;Cadm3;Cbln1;Cd24a;Cdh12;Cdh13;Cdh18;Cdh19;Cdh2;Cdh20;Cdh24;Cdh4;Cdh6;Cdh7;Cdh8;Chl1;Cldn1;Cldn10;Cldn11;Cldn12;Clstn1;Clstn2;Clstn3;Cntn6;Cx3cl1;Dchs1;Dsg2;Efna5;Emb;Flrt3;Gpc4;Grid2;Igsf21;Igsf9;Il1rap;Il1rn;Kifap3;Kirrel3;Lrfn4;Lrrc4;Lrrc4c;Mag;Mbp;Mcam;Mdga2;Mmp24;Nexn;Nlgn1;Nptn;Nrcam;Nrxn1;Ntng1;Pcdh10;Pcdh11x;Pcdh17;Pcdh18;Pcdh20;Pcdh7;Pcdh8;Pcdh9;Pcdha11;Pcdha12;Pcdha2;Pcdha5;Pcdha6;Pcdha7;Pcdha9;Pcdhac1;Pcdhac2;Pcdhb10;Pcdhb11;Pcdhb12;Pcdhb13;Pcdhb14;Pcdhb16;Pcdhb17;Pcdhb18;Pcdhb19;Pcdhb2;Pcdhb20;Pcdhb21;Pcdhb22;Pcdhb3;Pcdhb4;Pcdhb5;Pcdhb6;Pcdhb7;Pcdhb8;Pcdhb9;Pcdhga10;Pcdhga11;Pcdhga12;Pcdhga4;Pcdhga6;Pcdhga7;Pcdhga9;Pcdhgb5;Pcdhgc3;Pcdhgc5;Ptprd;Ptprf;Ret;Slitrk1;Slitrk2;Slitrk3;Sparcl1;Tgfb2;Vstm2l
GO:0009123	nucleoside monophosphate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0009123	-0.43752056090242886	-2.2673808212050277	0	0	244	./Project_wg_result1568400062_GSEA/GO_0009123.png	113	14450;71679;226265;320685;67942;66114;319801;67267;26395;71207;17257;14555;12867;66592;56409;227731;231327;12866;73078;57423;68943;11636;66445;103850;12862;68375;15558;215951;74246;26380;60530;66052;12861;23918;108147;226646;66043;13382;98660;56217;56421;110074;68870;68197;11516;14751;67264;12064;22272;229363;11949;68055;230718;17319;19017;52815;66152;11958;11966;70556;227197;12183;225887;11946;16828;67054;15275;18642;80752;22273;23959;78830;102216272;11964;66576;56248;11950;102954;74006;17995;54391;28080;11951;19139;23917;66218;108079;103172;407785;228033;67059;11674;13806;13807;20617;12850;66694;67273;18746;230075;11676;11947;72900;18648;12858;27425;11639;11931;18655;21991;15481;11534;13063	Adcyap1;Adk;Afg1l;Ak1;Ak3;Ak4;Ak6;Ak8;Aldoa;Aldoc;Atic;Atp1a2;Atp1b1;Atp5a1;Atp5b;Atp5c1;Atp5d;Atp5f1;Atp5g1;Atp5g2;Atp5g3;Atp5h;Atp5j2;Atp5k;Atp5l;Atp5o;Atp5s;Atp6v1a;Atp6v1b2;Bdnf;Bpgm;Chchd10;Coq7;Cox5a;Cox6a1;Cox6a2;Cox7a2;Cox7c;Cyc1;Cycs;Dctd;Dld;Dnajc30;Dnm1l;Dut;Eno1;Eno2;Eno4;Esrrb;Fam20c;Fignl1;Gale;Gart;Gmps;Gpd1;Gpi1;Hk1;Hspa8;Htr2a;Impdh1;Impdh2;Ldha;Ldhd;Map2k1;Mecp2;Mif;Mpp5;Ndufa10;Ndufa8;Ndufb6;Ndufb8;Ndufb9;Ndufc2;Ndufs1;Ndufs2;Ndufs6;Ndufs8;Ndufv1;Ndufv2;Nt5c1a;Nt5e;Nt5m;Nudt10;Nudt3;Nudt4;Ola1;Paics;Pfkm;Pfkp;Pgam1;Pgk1;Pink1;Pkm;Pmpcb;Ppargc1a;Ppat;Prkaa2;Prps1;Rfk;Sdhc;Slc25a12;Slc25a25;Slc25a33;Snca;Stoml2;Tigar;Tpi1;Uqcc2;Uqcr10;Uqcrc1;Uqcrfs1;Uqcrh;Uqcrq
GO:0010257	NADH dehydrogenase complex assembly	http://amigo.geneontology.org/amigo/term/GO:0010257	-0.5951321859465744	-2.2994378816006416	0	0	39	./Project_wg_result1568400062_GSEA/GO_0010257.png	19	76947;17993;68197;67264;69487;66108;54405;225887;66916;67184;66218;66046;70316;66377;104130;67273;66495;230075;595136	Ndufa1;Ndufa10;Ndufa13;Ndufa9;Ndufab1;Ndufaf5;Ndufaf6;Ndufb11;Ndufb3;Ndufb5;Ndufb6;Ndufb7;Ndufb8;Ndufb9;Ndufc1;Ndufc2;Ndufs4;Ndufs5;Ndufs8
GO:0007215	glutamate receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007215	-0.5162205066530824	-2.3265267415560884	0	0	88	./Project_wg_result1568400062_GSEA/GO_0007215.png	45	192167;19739;382018;26558;12918;14806;14823;18795;68943;170935;20312;230235;14813;13844;14682;14803;246317;26557;14814;14802;380702;108071;268934;14810;12919;19017;11838;14812;14816;72555;13385;12300;117148;14672;12569;232975;14804;54376;11820;108069;26556;60597;74513;14360;19122	App;Arc;Atp1a3;Cacng2;Cacng3;Cdk5r1;Crh;Crhbp;Cx3cl1;Dlg4;Ephb2;Frrs1l;Fyn;Gna11;Gnaq;Gria4;Grid1;Grid2;Grid2ip;Grik2;Grin1;Grin2b;Grin2c;Grin2d;Grm1;Grm3;Grm4;Grm5;Grm8;Homer1;Homer2;Homer3;Mapk8ip2;Necab2;Neto1;Neto2;Nlgn1;Pink1;Plcb1;Ppargc1a;Prnp;Rgs9;Shisa6;Shisa9;Unc13a
GO:0072347	response to anesthetic	http://amigo.geneontology.org/amigo/term/GO:0072347	-0.5544524483945498	-2.359797365488062	0	0	68	./Project_wg_result1568400062_GSEA/GO_0072347.png	38	13492;15558;27364;12801;18754;232333;140483;26557;18611;14282;22215;66734;14751;18125;14810;12919;15510;21338;13385;71978;19060;20597;18667;17967;14719;12568;14681;15516;13488;21333;20617;11444;18619;26556;18752;19049;15444;15519	Cdk5;Chrnb2;Cnr1;Crhbp;Dlg4;Drd1;Drd5;Fosb;Gnao1;Got2;Gpi1;Grin1;Hnmt;Homer1;Homer2;Hpca;Hsp90aa1;Hsp90ab1;Hspd1;Htr2a;Map1lc3a;Ncam1;Nos1;Pea15a;Penk;Pgr;Ppp1r1b;Ppp2r2a;Ppp5c;Prkce;Prkcg;Slc6a1;Smpd1;Snca;Srr;Tac1;Tacr3;Ube3a
