geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
mmu05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05150+14962+15001+14130+16408+14131+14998+19204+12263+20345+14129+50909+246256+12260+12259+12262+14999+14969+16414+15002+14961+12267+15000+14960+12628+12268	0.6508415774879698	2.3701530671009943	0	0	32	./Project_wg_result1568400103_GSEA/mmu05150.png	25	14962;15001;14130;16408;14131;14998;19204;12263;20345;14129;50909;246256;12260;12259;12262;14999;14969;16414;15002;14961;12267;15000;14960;12628;12268	C1qa;C1qb;C1qc;C1ra;C2;C3ar1;C4b;Cfb;Cfh;Fcgr1;Fcgr2b;Fcgr3;Fcgr4;H2-Aa;H2-Ab1;H2-DMa;H2-DMb1;H2-DMb2;H2-Eb1;H2-Oa;H2-Ob;Itgal;Itgb2;Ptafr;Selplg
mmu05321	Inflammatory bowel disease (IBD)	http://www.kegg.jp/kegg-bin/show_pathway?mmu05321+15001+16162+15980+16174+17127+257632+18018+20849+16476+14998+15979+21803+20852+60504+18033+21898+17132+16161+19697+20848+16190+14999+53791+14969+15002+14961+15000+14960	0.5949030346795663	2.2901984495782255	0	0	40	./Project_wg_result1568400103_GSEA/mmu05321.png	28	15001;16162;15980;16174;17127;257632;18018;20849;16476;14998;15979;21803;20852;60504;18033;21898;17132;16161;19697;20848;16190;14999;53791;14969;15002;14961;15000;14960	H2-Aa;H2-Ab1;H2-DMa;H2-DMb1;H2-DMb2;H2-Eb1;H2-Oa;H2-Ob;Ifngr1;Ifngr2;Il12rb1;Il12rb2;Il18rap;Il21r;Il4ra;Jun;Maf;Nfatc1;Nfkb1;Nod2;Rela;Smad3;Stat3;Stat4;Stat6;Tgfb1;Tlr4;Tlr5
mmu04672	Intestinal immune network for IgA production	http://www.kegg.jp/kegg-bin/show_pathway?mmu04672+15001+21939+16168+17000+24099+16401+57916+16169+50723+12519+14998+21803+12524+21935+14999+14969+15002+14961+15000+14960	0.6310568965879444	2.2272508999575433	0	0	28	./Project_wg_result1568400103_GSEA/mmu04672.png	20	15001;21939;16168;17000;24099;16401;57916;16169;50723;12519;14998;21803;12524;21935;14999;14969;15002;14961;15000;14960	Cd40;Cd80;Cd86;H2-Aa;H2-Ab1;H2-DMa;H2-DMb1;H2-DMb2;H2-Eb1;H2-Oa;H2-Ob;Icosl;Il15;Il15ra;Itga4;Ltbr;Tgfb1;Tnfrsf13b;Tnfrsf17;Tnfsf13b
mmu04260	Cardiac muscle contraction	http://www.kegg.jp/kegg-bin/show_pathway?mmu04260+12867+12866+11928+21956+12293+319734+12297+66445+12862+17896+12861+67003+98660+22272+56808+12296+66152+12864+66142+22273+66576+12294+66594+12300+232975+12298+66694+54376+12295+22003+11938+11932+12858+12859+11931	-0.5512770510018875	-2.310961947201128	0	0	58	./Project_wg_result1568400103_GSEA/mmu04260.png	35	12867;12866;11928;21956;12293;319734;12297;66445;12862;17896;12861;67003;98660;22272;56808;12296;66152;12864;66142;22273;66576;12294;66594;12300;232975;12298;66694;54376;12295;22003;11938;11932;12858;12859;11931	Atp1a1;Atp1a2;Atp1a3;Atp1b1;Atp1b2;Atp2a2;Cacna2d1;Cacna2d2;Cacna2d3;Cacna2d4;Cacnb1;Cacnb2;Cacnb3;Cacnb4;Cacng2;Cacng3;Cox5a;Cox5b;Cox6a1;Cox6a2;Cox6c;Cox7a2;Cox7b;Cox7c;Cyc1;Myl4;Tnnt2;Tpm1;Uqcr10;Uqcr11;Uqcrc1;Uqcrc2;Uqcrfs1;Uqcrh;Uqcrq
mmu01230	Biosynthesis of amino acids	http://www.kegg.jp/kegg-bin/show_pathway?mmu01230+76282+15929+56421+12974+170718+12035+11429+18642+108682+67834+14718+14719+19139+11674+433182+13806+13807+18746+27053+14433+11676+12411+18648+107272+18655+21991+11898	-0.5656891067054267	-2.329079811829534	0	0	60	./Project_wg_result1568400103_GSEA/mmu01230.png	27	76282;15929;56421;12974;170718;12035;11429;18642;108682;67834;14718;14719;19139;11674;433182;13806;13807;18746;27053;14433;11676;12411;18648;107272;18655;21991;11898	Aco2;Aldoa;Aldoc;Asns;Ass1;Bcat1;Cbs;Cs;Eno1;Eno1b;Eno2;Gapdh;Got1;Got2;Gpt;Gpt2;Idh3a;Idh3b;Idh3g;Pfkm;Pfkp;Pgam1;Pgk1;Pkm;Prps1;Psat1;Tpi1
mmu05031	Amphetamine addiction	http://www.kegg.jp/kegg-bin/show_pathway?mmu05031+13195+214084+18751+14813+17161+19056+14814+14802+14282+231991+14810+18749+14281+18747+11838+11909+14812+20907+19055+12315+12314+13488+109731+12313+19046+19058+12326+18752+19049	-0.5661567854195078	-2.3311203804848466	0	0	57	./Project_wg_result1568400103_GSEA/mmu05031.png	29	13195;214084;18751;14813;17161;19056;14814;14802;14282;231991;14810;18749;14281;18747;11838;11909;14812;20907;19055;12315;12314;13488;109731;12313;19046;19058;12326;18752;19049	Arc;Atf2;Calm1;Calm2;Calm3;Camk4;Creb5;Ddc;Drd1;Fos;Fosb;Gria4;Grin1;Grin2b;Grin2c;Grin2d;Maoa;Maob;Ppp1cb;Ppp1r1b;Ppp3ca;Ppp3cb;Ppp3r1;Prkaca;Prkacb;Prkcb;Prkcg;Slc18a2;Stx1a
mmu04723	Retrograde endocannabinoid signaling	http://www.kegg.jp/kegg-bin/show_pathway?mmu04723+68375+14406+18751+26413+18798+226646+12801+140919+19094+14682+17993+14802+68197+14696+108071+67264+68349+18749+66108+66066+227197+242864+18747+54405+14816+14704+225887+66916+68194+22348+14708+14405+67184+17995+69875+14681+66218+407785+14403+26414+66046+70316+216227+66377+67130+104130+67273+66495+14677+14697+230075+14400+72900+595136+18752+14397+17992	-0.491867047841075	-2.353870102258569	0	0	126	./Project_wg_result1568400103_GSEA/mmu04723.png	57	68375;14406;18751;26413;18798;226646;12801;140919;19094;14682;17993;14802;68197;14696;108071;67264;68349;18749;66108;66066;227197;242864;18747;54405;14816;14704;225887;66916;68194;22348;14708;14405;67184;17995;69875;14681;66218;407785;14403;26414;66046;70316;216227;66377;67130;104130;67273;66495;14677;14697;230075;14400;72900;595136;18752;14397;17992	Cnr1;Gabra4;Gabrb1;Gabrd;Gabrg1;Gabrg2;Gnai1;Gnao1;Gnaq;Gnb4;Gnb5;Gng11;Gng3;Gng7;Gria4;Grm1;Grm5;Mapk1;Mapk10;Mapk11;Napepld;Ndufa1;Ndufa10;Ndufa11;Ndufa13;Ndufa4;Ndufa6;Ndufa8;Ndufa9;Ndufab1;Ndufb11;Ndufb3;Ndufb4;Ndufb5;Ndufb6;Ndufb7;Ndufb8;Ndufb9;Ndufc1;Ndufc2;Ndufs1;Ndufs2;Ndufs3;Ndufs4;Ndufs5;Ndufs6;Ndufs8;Ndufv1;Ndufv2;Plcb4;Prkaca;Prkacb;Prkcb;Prkcg;Slc17a6;Slc17a8;Slc32a1
mmu05016	Huntington disease	http://www.kegg.jp/kegg-bin/show_pathway?mmu05016+18798+66052+12861+20655+226646+66043+67003+14682+13191+17993+67680+73916+68197+100101919+75563+231991+108071+67264+69920+12064+22272+68349+11949+14810+19017+66152+66108+227197+12864+66142+14812+54405+225887+11946+66916+68194+11771+13385+21780+22273+66576+11950+67184+17995+66594+28080+11951+69875+66218+407785+228033+71770+22333+66046+11739+70316+66377+67130+104130+105000+66694+67273+66495+230075+11947+72900+595136+12858+12859+20656+17992+13063	-0.4918162804897574	-2.4385084797378593	0	0	169	./Project_wg_result1568400103_GSEA/mmu05016.png	72	18798;66052;12861;20655;226646;66043;67003;14682;13191;17993;67680;73916;68197;100101919;75563;231991;108071;67264;69920;12064;22272;68349;11949;14810;19017;66152;66108;227197;12864;66142;14812;54405;225887;11946;66916;68194;11771;13385;21780;22273;66576;11950;67184;17995;66594;28080;11951;69875;66218;407785;228033;71770;22333;66046;11739;70316;66377;67130;104130;105000;66694;67273;66495;230075;11947;72900;595136;12858;12859;20656;17992;13063	Ap2a1;Ap2b1;Atp5a1;Atp5b;Atp5c1;Atp5d;Atp5f1;Atp5g1;Atp5g3;Atp5o;Bdnf;Cox5a;Cox5b;Cox6a1;Cox6c;Cox7b;Creb5;Cycs;Dctn1;Dlg4;Dnah7c;Dnal1;Dnali1;Gnaq;Grin1;Grin2b;Grm5;Ift57;Ndufa1;Ndufa10;Ndufa11;Ndufa13;Ndufa4;Ndufa6;Ndufa9;Ndufab1;Ndufb11;Ndufb3;Ndufb4;Ndufb5;Ndufb6;Ndufb7;Ndufb8;Ndufb9;Ndufc1;Ndufc2;Ndufs1;Ndufs2;Ndufs3;Ndufs4;Ndufs5;Ndufs6;Ndufs8;Ndufv1;Ndufv2;Plcb4;Polr2i;Ppargc1a;Sdhb;Sdhc;Slc25a4;Sod1;Sod2;Tfam;Uqcr10;Uqcr11;Uqcrc1;Uqcrc2;Uqcrfs1;Uqcrh;Uqcrq;Vdac1
mmu01200	Carbon metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu01200+66052+434437+14194+13382+76282+13885+235339+67680+20916+15929+56421+12974+170718+67078+68133+14751+104174+11429+239017+14661+68263+15275+73724+18642+108682+18597+67834+14718+56451+14719+17436+19139+11674+433182+13806+13807+18746+17448+14433+11676+18648+107272+17449+18655+21991	-0.5343274476039823	-2.450586059798909	0	0	99	./Project_wg_result1568400103_GSEA/mmu01200.png	45	66052;434437;14194;13382;76282;13885;235339;67680;20916;15929;56421;12974;170718;67078;68133;14751;104174;11429;239017;14661;68263;15275;73724;18642;108682;18597;67834;14718;56451;14719;17436;19139;11674;433182;13806;13807;18746;17448;14433;11676;18648;107272;17449;18655;21991	Aco2;Aldoa;Aldoc;Amt;Cs;Dlat;Dld;Eno1;Eno1b;Eno2;Esd;Fh1;Gapdh;Gcsh;Gldc;Glud1;Got1;Got2;Gpi1;Gpt;Gpt2;Hk1;Idh3a;Idh3b;Idh3g;Mcee;Mdh1;Mdh2;Me1;Ogdhl;Pdha1;Pdhb;Pfkm;Pfkp;Pgam1;Pgk1;Pgp;Pkm;Prps1;Psat1;Sdhb;Sdhc;Sucla2;Suclg1;Tpi1
mmu05010	Alzheimer disease	http://www.kegg.jp/kegg-bin/show_pathway?mmu05010+18798+66052+14813+12861+226646+66043+67003+14682+17993+19056+67680+14814+68197+67264+18125+17380+22272+68349+11949+14810+66152+66108+227197+12864+66142+14812+20168+54405+225887+11946+66916+68194+68318+22273+19055+66576+12315+11950+12314+67184+17995+66594+28080+11951+12568+69875+66218+12569+407785+228033+208117+66046+70316+68585+66377+67130+104130+56175+20617+66694+67273+17762+12313+66495+14433+11820+230075+11938+11947+72900+19058+595136+11785+12858+12859+17992+13063	-0.540597168481173	-2.6493183148403414	0	0	147	./Project_wg_result1568400103_GSEA/mmu05010.png	77	18798;66052;14813;12861;226646;66043;67003;14682;17993;19056;67680;14814;68197;67264;18125;17380;22272;68349;11949;14810;66152;66108;227197;12864;66142;14812;20168;54405;225887;11946;66916;68194;68318;22273;19055;66576;12315;11950;12314;67184;17995;66594;28080;11951;12568;69875;66218;12569;407785;228033;208117;66046;70316;68585;66377;67130;104130;56175;20617;66694;67273;17762;12313;66495;14433;11820;230075;11938;11947;72900;19058;595136;11785;12858;12859;17992;13063	Apbb1;Aph1b;Aph1c;App;Atp2a2;Atp5a1;Atp5b;Atp5c1;Atp5d;Atp5f1;Atp5g1;Atp5g3;Atp5o;Bace2;Calm1;Calm2;Calm3;Cdk5;Cdk5r1;Cox5a;Cox5b;Cox6a1;Cox6c;Cox7b;Cycs;Gapdh;Gnaq;Grin1;Grin2b;Grin2c;Grin2d;Mapt;Mme;Ndufa1;Ndufa10;Ndufa11;Ndufa13;Ndufa4;Ndufa6;Ndufa9;Ndufab1;Ndufb11;Ndufb3;Ndufb4;Ndufb5;Ndufb6;Ndufb7;Ndufb8;Ndufb9;Ndufc1;Ndufc2;Ndufs1;Ndufs2;Ndufs3;Ndufs4;Ndufs5;Ndufs6;Ndufs8;Ndufv1;Ndufv2;Nos1;Plcb4;Ppp3ca;Ppp3cb;Ppp3r1;Rtn3;Rtn4;Sdhb;Sdhc;Snca;Uqcr10;Uqcr11;Uqcrc1;Uqcrc2;Uqcrfs1;Uqcrh;Uqcrq
