geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0016247	channel regulator activity	http://amigo.geneontology.org/amigo/term/GO:0016247	-0.49709472754067635	-2.2910349753423467	0	0	102	./Project_wg_result1568400084_GSEA/GO_0016247.png	42	170638;269109;12297;116873;13483;241528;22627;75454;11441;18751;18189;72821;23936;399548;18191;18125;14694;18762;27219;12296;80334;56188;70357;22218;235281;545622;12043;20907;59095;16498;12300;57780;17999;54376;12313;14167;72413;16497;108069;16538;14168;59046	Arpp19;Bcl2;Cacnb2;Cacnb3;Cacng2;Cacng3;Calm1;Chrna7;Dpp10;Dpp6;Fgf12;Fgf13;Fxyd1;Fxyd6;Fxyd7;Grm3;Hpcal4;Kcnab1;Kcnab2;Kcnip1;Kcnip4;Kcnmb2;Kcns1;Lrrc55;Lynx1;Nedd4;Nos1;Nrxn1;Nrxn3;Phpt1;Prkcb;Prkcz;Ptpn3;Rack1;Scn2b;Scn3b;Scn4b;Sgk2;Stim2;Stx1a;Sumo1;Ywhae
GO:0042165	neurotransmitter binding	http://amigo.geneontology.org/amigo/term/GO:0042165	-0.549771683329868	-2.186918340572255	0	7.601236276541581e-4	46	./Project_wg_result1568400084_GSEA/GO_0042165.png	24	11441;15558;27364;110834;11435;232333;14658;17161;15563;11438;15552;14814;18082;14810;243616;12919;63993;104174;15560;14812;110835;12038;11444;12411	Bche;Cbs;Chrna1;Chrna3;Chrna4;Chrna5;Chrna7;Chrnb2;Crhbp;Gldc;Glrb;Grin1;Grin2b;Grin2d;Htr1d;Htr2a;Htr2c;Htr5a;Maoa;Nipsnap1;Slc5a7;Slc6a1;Slc6a11;Srr
GO:0004896	cytokine receptor activity	http://amigo.geneontology.org/amigo/term/GO:0004896	0.5176916610581678	2.1668825998220496	0	8.513937772236961e-4	56	./Project_wg_result1568400084_GSEA/GO_0004896.png	29	12984;12768;16195;16157;16172;16162;12983;12986;17082;16174;12982;50498;12772;16154;13051;16194;16164;16880;15975;60504;12774;171095;107527;16161;57914;16149;16190;16197;15976	Ccr1;Ccr2;Ccr5;Cd74;Crlf2;Csf2ra;Csf2rb;Csf2rb2;Csf3r;Cx3cr1;Ebi3;Ifnar1;Ifnar2;Il10ra;Il11ra1;Il12rb1;Il12rb2;Il13ra1;Il17ra;Il17rc;Il18rap;Il1rl1;Il1rl2;Il21r;Il4ra;Il6ra;Il6st;Il7r;Lifr
GO:0019955	cytokine binding	http://amigo.geneontology.org/amigo/term/GO:0019955	0.4670883099474747	2.126949785226327	0	0.0011351917029649283	83	./Project_wg_result1568400084_GSEA/GO_0019955.png	37	14366;224109;94092;12768;16195;16157;246154;16416;16162;12986;22695;16401;21934;11477;12982;50498;12772;13805;21937;16154;13051;16194;21938;16164;16880;15975;15979;12774;12978;21812;16161;16412;21813;57914;16149;15976;12491	Acvr1;Ccr1;Ccr2;Ccr5;Cd36;Cd74;Crlf2;Csf1r;Csf2ra;Csf3r;Cx3cr1;Ebi3;Eng;Fzd4;Ifnar1;Ifnar2;Ifngr1;Il10ra;Il11ra1;Il12rb1;Il12rb2;Il13ra1;Il6ra;Il6st;Itga4;Itgb1;Itgb3;Lifr;Nrros;Tgfbr1;Tgfbr2;Tnfrsf11a;Tnfrsf1a;Tnfrsf1b;Trim16;Vasn;Zfp36
GO:0044325	ion channel binding	http://amigo.geneontology.org/amigo/term/GO:0044325	-0.4673876885493306	-2.197444876463725	0	0.0011401854414812371	114	./Project_wg_result1568400084_GSEA/GO_0044325.png	48	56543;66168;64209;27967;269109;20194;16502;241528;22627;75454;15114;223864;14199;399548;20840;19052;50997;77574;18125;100503659;242662;22063;56188;70357;235281;20907;110862;66050;268345;16498;11472;15516;66733;22333;66797;22318;12313;14167;22631;16497;20614;14168;26556;22630;14225;14360;15519;19122	0610009B22Rik;Actn2;Calm1;Cbarp;Cherp;Cntnap2;Dpp10;Fgf12;Fgf13;Fhl1;Fkbp1a;Fxyd1;Fyn;Grina;Hap1;Herpud1;Homer1;Hsp90aa1;Hsp90ab1;Kcnab1;Kcnab2;Kcnc1;Kcnc2;Kcnd3;Kcng4;Kcnip1;Kcnq3;Lrrc55;Mpp2;Nos1;Phpt1;Ppp2ca;Prnp;Rapgef3;Rims3;S100a10;Scn3b;Scn4b;Snap25;Stac;Stx1a;Tcaf1;Trpc1;Vamp2;Vdac1;Ywhae;Ywhaq;Ywhaz
GO:0032451	demethylase activity	http://amigo.geneontology.org/amigo/term/GO:0032451	0.5981626656909048	2.177608613114011	0	0.0017027875544473922	31	./Project_wg_result1568400084_GSEA/GO_0032451.png	20	67096;108829;18676;216850;69113;268420;211064;30841;20591;230674;71952;104263;214899;16468;75605;22289;338523;193796;225876;231642	Alkbh1;Alkbh2;Alkbh3;Alkbh5;Jarid2;Jmjd1c;Kdm2a;Kdm2b;Kdm3a;Kdm4a;Kdm4b;Kdm5a;Kdm5b;Kdm5c;Kdm6a;Kdm6b;Kdm7a;Mmachc;Phf2;Riox1
GO:0008066	glutamate receptor activity	http://amigo.geneontology.org/amigo/term/GO:0008066	-0.629423415249827	-2.09436551937866	0	0.0017102781622218555	23	./Project_wg_result1568400084_GSEA/GO_0008066.png	13	14806;14823;14813;14803;14814;14802;108071;268934;14810;14812;14816;14804;108069	Gria4;Grid1;Grid2;Grik2;Grin1;Grin2b;Grin2c;Grin2d;Grm1;Grm3;Grm4;Grm5;Grm8
GO:0048156	tau protein binding	http://amigo.geneontology.org/amigo/term/GO:0048156	-0.6093248453190484	-2.041304330550145	0	0.002736445059554969	22	./Project_wg_result1568400084_GSEA/GO_0048156.png	9	71978;15516;15512;20617;11785;20203;14360;15519;12759	Apbb1;Clu;Fyn;Hsp90aa1;Hsp90ab1;Hspa2;Ppp2r2a;S100b;Snca
GO:0015002	heme-copper terminal oxidase activity	http://amigo.geneontology.org/amigo/term/GO:0015002	-0.6890590336440628	-1.9698633658047846	0	0.0052733576668507216	14	./Project_wg_result1568400084_GSEA/GO_0015002.png	8	12867;12866;12862;12861;12864;66142;12858;17992	Cox5a;Cox6a1;Cox6a2;Cox6c;Cox7a2;Cox7b;Cox7c;Ndufa4
GO:0051082	unfolded protein binding	http://amigo.geneontology.org/amigo/term/GO:0051082	-0.43507814618818286	-1.9570754917839097	0	0.005447552664854799	84	./Project_wg_result1568400084_GSEA/GO_0051082.png	27	227290;12465;58233;67952;12462;81489;56445;15510;268373;15526;67072;12469;56812;56351;21454;17713;15516;12955;15512;67738;12406;15528;15502;67035;20394;15481;15519	Aamp;Cct3;Cct5;Cct8;Cdc37l1;Cryab;Dnaja1;Dnaja2;Dnaja4;Dnajb1;Dnajb2;Dnajb4;Grpel1;Hsp90aa1;Hsp90ab1;Hspa2;Hspa8;Hspa9;Hspd1;Hspe1;Ppia;Ppid;Ptges3;Scg5;Serpinh1;Tcp1;Tomm20
