geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
P00012	Cadherin signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00012	-0.49643337833456996	-2.2740016045584066	0	0	98	./Project_wg_result1568400109_GSEA/P00012.png	62	22422;93874;93893;93892;12561;239096;215654;22419;14362;21415;93878;320865;233651;13866;56637;12995;22413;93881;22408;73173;13649;57265;21416;22409;14365;18530;93873;22421;93897;93883;93708;13869;241201;18526;93888;14371;93882;93876;54216;219257;11465;93879;93890;93887;93884;12554;23836;211712;13867;12563;22415;93875;93889;93880;12386;12558;93877;93885;16842;216033;14360;12564	Actg1;Cdh12;Cdh13;Cdh18;Cdh2;Cdh20;Cdh24;Cdh4;Cdh6;Cdh7;Cdh8;Csnk2a1;Ctnna2;Ctnna3;Dchs1;Egfr;Erbb2;Erbb3;Erbb4;Fyn;Fzd1;Fzd10;Fzd2;Fzd3;Fzd9;Gsk3b;Lef1;Pcdh10;Pcdh18;Pcdh20;Pcdh7;Pcdh8;Pcdh9;Pcdhb10;Pcdhb11;Pcdhb12;Pcdhb13;Pcdhb14;Pcdhb16;Pcdhb17;Pcdhb18;Pcdhb19;Pcdhb2;Pcdhb21;Pcdhb22;Pcdhb3;Pcdhb4;Pcdhb5;Pcdhb6;Pcdhb7;Pcdhb8;Pcdhb9;Pcdhgc5;Tcf7l1;Tcf7l2;Wnt1;Wnt10a;Wnt2;Wnt3;Wnt5b;Wnt7a;Wnt7b
P00024	Glycolysis	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00024	-0.8230394282012647	-2.4969387790619093	0	0	17	./Project_wg_result1568400109_GSEA/P00024.png	13	14751;12183;15275;18642;11674;433182;13806;13807;18746;14433;18648;18655;21991	Aldoa;Bpgm;Eno1;Eno1b;Eno2;Gapdh;Gpi1;Hk1;Pfkm;Pgam1;Pgk1;Pkm;Tpi1
P00039	Metabotropic glutamate receptor group III pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00039	-0.5397798680296364	-2.1787291308419765	0	4.488054397678508e-4	54	./Project_wg_result1568400109_GSEA/P00039.png	25	14814;14802;22317;14696;108071;268934;14810;18749;19084;20511;18747;14812;14816;14704;20907;56216;20510;19085;19088;20512;22318;12295;14677;14697;20614	Cacnb1;Gnai1;Gnb4;Gnb5;Gng3;Gria4;Grin1;Grin2b;Grin2d;Grm1;Grm4;Grm5;Prkaca;Prkacb;Prkar1a;Prkar1b;Prkar2b;Slc1a1;Slc1a2;Slc1a3;Snap25;Stx1a;Stx1b;Vamp1;Vamp2
P00036	Interleukin signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00036	0.4999268414199276	2.1305725198320316	0	6.441589935963017e-4	61	./Project_wg_result1568400109_GSEA/P00036.png	32	26407;16150;74769;12984;16195;16157;16162;12983;56484;16169;20663;20849;16154;17164;17346;20850;16194;16164;13713;20852;16170;20416;16453;16161;110157;20848;11651;20375;20111;218397;16190;20851	Akt1;Csf2rb;Csf2rb2;Elk3;Foxo3;Ikbkb;Il10ra;Il11ra1;Il12rb1;Il12rb2;Il13ra1;Il15ra;Il16;Il4ra;Il6ra;Il6st;Jak3;Map3k4;Mapkapk2;Mknk1;Pik3cb;Raf1;Rasa1;Rps6ka1;Shc1;Sos2;Spi1;Stat3;Stat4;Stat5a;Stat5b;Stat6
P00042	Muscarinic acetylcholine receptor 1 and 3 signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00042	-0.5275634664593242	-2.096713007997713	0	7.693807538877442e-4	49	./Project_wg_result1568400109_GSEA/P00042.png	23	18751;18798;14813;18761;18754;14682;14814;22317;14696;18762;14810;63993;66066;14812;14704;20907;12038;56216;14672;22318;14697;20614;18752	Bche;Gna11;Gnaq;Gnb4;Gnb5;Gng11;Gng3;Grin1;Grin2b;Grin2c;Grin2d;Plcb4;Prkcb;Prkce;Prkcg;Prkcq;Prkcz;Slc5a7;Snap25;Stx1a;Stx1b;Vamp1;Vamp2
P00041	Metabotropic glutamate receptor group I pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00041	-0.6645813294142544	-2.1521581924709303	0	8.976108795357016e-4	22	./Project_wg_result1568400109_GSEA/P00041.png	16	66168;18751;18798;14813;14682;14814;108071;14810;18749;19084;18747;14812;14816;19085;14672;26556	Gna11;Gnaq;Grin1;Grin2b;Grin2c;Grin2d;Grina;Grm1;Grm5;Homer1;Plcb4;Prkaca;Prkacb;Prkar1a;Prkar1b;Prkcb
P05734	Synaptic vesicle trafficking	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05734	-0.6373528932001035	-2.1529755474091026	0	0.0010771330554428418	23	./Project_wg_result1568400109_GSEA/P05734.png	15	20977;20910;319508;20964;22317;53420;20980;229521;20907;56216;20979;54524;18195;20614;19339	Nsf;Rab3a;Snap25;Stx1a;Stx1b;Stxbp1;Syn1;Syp;Syt1;Syt11;Syt15;Syt2;Syt5;Syt6;Vamp1
P00040	Metabotropic glutamate receptor group II pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00040	-0.5930665161173382	-2.157338253703259	0	0.0013464163193035524	34	./Project_wg_result1568400109_GSEA/P00040.png	19	22317;14696;12064;18749;19084;66066;18747;14704;20907;56216;19085;14681;19088;22318;12295;14677;14697;108069;20614	Bdnf;Cacnb1;Gnai1;Gnao1;Gnb4;Gnb5;Gng11;Gng3;Grm3;Prkaca;Prkacb;Prkar1a;Prkar1b;Prkar2b;Snap25;Stx1a;Stx1b;Vamp1;Vamp2
P00043	Muscarinic acetylcholine receptor 2 and 4 signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00043	-0.5009291949506952	-1.9164291189177864	0.0019685039331328665	0.0060588734368659854	44	./Project_wg_result1568400109_GSEA/P00043.png	18	22317;14696;18749;63993;19084;66066;18747;243764;14704;12038;56216;19085;14681;19088;22318;14677;14697;20614	Bche;Chrm2;Gnai1;Gnao1;Gnb4;Gnb5;Gng11;Gng3;Prkaca;Prkacb;Prkar1a;Prkar1b;Prkar2b;Slc5a7;Snap25;Stx1b;Vamp1;Vamp2
P00038	JAK/STAT signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00038	0.6855902613796528	1.9135761355986145	0.002004008012016016	0.008159347252219822	12	./Project_wg_result1568400109_GSEA/P00038.png	11	16452;26416;20849;20850;20852;16453;20848;56469;20851;17344;59004	Jak2;Jak3;Mapk14;Pias1;Pias2;Pias4;Stat3;Stat4;Stat5a;Stat5b;Stat6
