geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
R-MMU-451927	Interleukin-2 family signaling	http://reactome.org/PathwayBrowser/#/R-MMU-451927	0.6248971795829188	2.247436219806604	0	0	31	./Project_wg_result1568400113_GSEA/R_MMU_451927.png	19	16452;74769;12984;18707;16168;12983;12982;16169;20663;20849;18708;20850;60504;20416;16453;20848;20963;20851;16331	Csf2ra;Csf2rb;Csf2rb2;Il15;Il15ra;Il21r;Inpp5d;Jak2;Jak3;Pik3cb;Pik3cd;Pik3r1;Shc1;Sos2;Stat3;Stat4;Stat5a;Stat5b;Syk
R-MMU-190861	Gap junction assembly	http://reactome.org/PathwayBrowser/#/R-MMU-190861	-0.7614351877984709	-2.4310899238938553	0	0	19	./Project_wg_result1568400113_GSEA/R_MMU_190861.png	13	14623;22145;22142;14613;73710;22153;118454;22151;14618;14609;22152;227613;14615	Gja1;Gja5;Gjb1;Gjb6;Gjc1;Gjc2;Tuba1a;Tuba4a;Tubb2a;Tubb2b;Tubb3;Tubb4a;Tubb4b
R-MMU-112315	Transmission across Chemical Synapses	http://reactome.org/PathwayBrowser/#/R-MMU-112315	-0.49079495922212685	-2.501651170191089	0	0	183	./Project_wg_result1568400113_GSEA/R_MMU_112315.png	86	14394;14806;22342;12361;18795;16524;268860;20112;12297;18039;214579;14406;17920;214084;11441;18751;26413;20910;110834;14813;11435;232333;16517;20964;14658;15461;17161;238276;11438;13002;14417;14814;14802;14696;236915;56808;109880;14810;243616;12296;54393;63993;12647;20511;66066;14812;14704;20907;110835;22348;11771;12038;13385;108030;20510;23859;12315;20979;12314;12889;16513;18195;11472;12300;21912;71770;20512;12298;54376;22318;12295;12313;11444;14677;14697;14415;14680;53310;14400;20614;52589;12326;18752;19339;14397;20508	Abat;Actn2;Akap5;Aldh5a1;Ap2a1;Ap2b1;Arhgef9;Bche;Braf;Cacna2d2;Cacnb1;Cacnb2;Cacnb3;Cacnb4;Cacng2;Cacng3;Calm1;Calm2;Calm3;Camk4;Cask;Chat;Chrna1;Chrna3;Chrna4;Chrna5;Chrna7;Chrnb2;Cplx1;Dlg2;Dlg3;Dlg4;Dnajc5;Gabbr1;Gabra1;Gabra4;Gabrb1;Gabrg2;Gad1;Gad2;Glrb;Gnai1;Gnal;Gnb4;Gnb5;Gng11;Gng3;Gria4;Grik2;Grin1;Grin2b;Grin2c;Grin2d;Hras;Kcnj10;Kcnj16;Kcnj9;Lin7a;Lin7b;Maoa;Mapk1;Myo6;Ncald;Nefl;Nsf;Plcb1;Prkcb;Prkcg;Rab3a;Rps6ka2;Slc18a2;Slc18a3;Slc1a1;Slc1a2;Slc1a3;Slc32a1;Slc5a7;Slc6a1;Slc6a11;Snap25;Stx1a;Stxbp1;Syn1;Syt1;Tspan7;Vamp2
R-MMU-112316	Neuronal System	http://reactome.org/PathwayBrowser/#/R-MMU-112316	-0.46972279133679284	-2.5302285547663383	0	0	298	./Project_wg_result1568400113_GSEA/R_MMU_112316.png	136	140493;14407;244310;330953;26558;16527;14645;16511;18213;14394;14806;16490;22342;12361;331461;242667;56543;18795;16493;16524;268860;20112;12297;18039;214579;16502;14406;17920;214084;11441;16528;18751;26413;16504;20910;110834;18189;14813;11435;225875;232333;16517;20964;14658;15461;17161;238276;76965;11438;13002;14417;26557;14814;14802;386750;18191;14696;236915;108071;241794;56808;67498;109880;14810;216028;243616;12296;16539;19266;54393;63993;12647;20511;16508;66066;16180;239250;14812;20168;14816;14704;20907;110835;22348;110862;11771;12038;13385;108030;20510;23859;268345;16498;16525;12315;20979;245450;12314;12889;16513;18195;11472;12300;66733;21912;71770;20512;16492;12298;16523;54376;13823;22318;74342;12295;12313;72413;11444;14677;14697;14415;16497;14680;53310;14400;107065;14615;20614;16538;26556;52589;12326;18752;19339;14397;20508	Abat;Actn2;Akap5;Aldh5a1;Ap2a1;Ap2b1;Arhgef9;Bche;Braf;Cacna2d2;Cacnb1;Cacnb2;Cacnb3;Cacnb4;Cacng2;Cacng3;Calm1;Calm2;Calm3;Camk4;Cask;Chat;Chrna1;Chrna3;Chrna4;Chrna5;Chrna7;Chrnb2;Cplx1;Dlg2;Dlg3;Dlg4;Dlgap2;Dlgap3;Dnajc5;Epb41l3;Gabbr1;Gabra1;Gabra4;Gabrb1;Gabrg2;Gabrg3;Gad1;Gad2;Gjc1;Glrb;Glul;Gnai1;Gnal;Gnb4;Gnb5;Gng11;Gng3;Gria4;Grik2;Grin1;Grin2b;Grin2c;Grin2d;Grm1;Grm5;Hcn4;Homer1;Homer2;Homer3;Hras;Il1rap;Il1rapl1;Kcna2;Kcna4;Kcna5;Kcnab1;Kcnab2;Kcnc1;Kcnc2;Kcnc3;Kcnd2;Kcnd3;Kcng1;Kcng4;Kcnh2;Kcnj10;Kcnj16;Kcnj8;Kcnj9;Kcnk1;Kcnk3;Kcnk4;Kcnmb2;Kcnn3;Kcnq3;Kcns1;Kcns2;Kcnv1;Lin7a;Lin7b;Lrfn4;Lrrtm1;Lrrtm2;Lrrtm3;Maoa;Mapk1;Myo6;Ncald;Nefl;Nrxn1;Nrxn3;Nsf;Ntrk3;Plcb1;Prkcb;Prkcg;Ptprd;Rab3a;Rps6ka2;Rtn3;Slc18a2;Slc18a3;Slc1a1;Slc1a2;Slc1a3;Slc32a1;Slc5a7;Slc6a1;Slc6a11;Slitrk1;Slitrk2;Slitrk3;Slitrk6;Snap25;Stx1a;Stxbp1;Syn1;Syt1;Tspan7;Vamp2
R-MMU-70263	Gluconeogenesis	http://reactome.org/PathwayBrowser/#/R-MMU-70263	-0.7366777562203339	-2.5575331830660826	0	0	27	./Project_wg_result1568400113_GSEA/R_MMU_70263.png	13	78830;14718;14719;11674;433182;13806;13807;17448;11676;18648;17449;18655;21991	Aldoa;Aldoc;Eno1;Eno1b;Eno2;Got1;Got2;Mdh1;Mdh2;Pgam1;Pgk1;Slc25a12;Tpi1
R-MMU-611105	Respiratory electron transport	http://reactome.org/PathwayBrowser/#/R-MMU-611105	-0.660300361624828	-2.6226552730813184	0	0	53	./Project_wg_result1568400113_GSEA/R_MMU_611105.png	30	226646;76947;17993;68197;67876;67264;68349;69487;66108;227197;54405;225887;66916;68194;67184;17995;69875;66218;407785;66046;70316;66377;76916;67130;104130;67273;66495;230075;72900;595136	Coq10b;Ndufa1;Ndufa10;Ndufa11;Ndufa13;Ndufa6;Ndufa9;Ndufab1;Ndufaf5;Ndufaf6;Ndufb11;Ndufb3;Ndufb4;Ndufb5;Ndufb6;Ndufb7;Ndufb8;Ndufb9;Ndufc1;Ndufc2;Ndufs1;Ndufs2;Ndufs3;Ndufs4;Ndufs5;Ndufs6;Ndufs8;Ndufv1;Ndufv2;Timmdc1
R-MMU-1428517	The citric acid (TCA) cycle and respiratory electron transport	http://reactome.org/PathwayBrowser/#/R-MMU-1428517	-0.5697237208952884	-2.682674594404642	0	0	118	./Project_wg_result1568400113_GSEA/R_MMU_1428517.png	70	17991;210582;16832;14874;57423;68375;66052;14194;226646;66043;20523;13382;76947;17993;235339;67680;20916;27402;15929;18604;12974;170718;68197;67876;67264;68349;11949;69487;68055;236900;11958;66108;227197;11429;54405;225887;11946;68263;16828;66916;68194;18597;67834;11950;14651;27273;56451;67184;17436;17995;69875;66218;407785;228033;66046;70316;66377;76916;67130;109801;104130;67273;17448;66495;230075;11947;72900;595136;381511;27425	Aco2;Atp5a1;Atp5b;Atp5c1;Atp5d;Atp5f1;Atp5g3;Atp5j2;Atp5k;Atp5l;Atp5s;Coq10a;Coq10b;Cs;Dlat;Dld;Fh1;Glo1;Gstz1;Hagh;Idh3a;Idh3b;Idh3g;Ldha;Ldhb;Mdh2;Me1;Ndufa1;Ndufa10;Ndufa11;Ndufa13;Ndufa2;Ndufa6;Ndufa8;Ndufa9;Ndufab1;Ndufaf5;Ndufaf6;Ndufb11;Ndufb3;Ndufb4;Ndufb5;Ndufb6;Ndufb7;Ndufb8;Ndufb9;Ndufc1;Ndufc2;Ndufs1;Ndufs2;Ndufs3;Ndufs4;Ndufs5;Ndufs6;Ndufs8;Ndufv1;Ndufv2;Pdha1;Pdhb;Pdhx;Pdk2;Pdk3;Pdk4;Pdp1;Sdhb;Sdhc;Slc25a14;Sucla2;Suclg1;Timmdc1
R-MMU-6799198	Complex I biogenesis	http://reactome.org/PathwayBrowser/#/R-MMU-6799198	-0.6899506246369342	-2.7022212829015304	0	0	48	./Project_wg_result1568400113_GSEA/R_MMU_6799198.png	29	226646;76947;17993;68197;67264;68349;69487;66108;227197;54405;225887;66916;68194;67184;17995;69875;66218;407785;66046;70316;66377;76916;67130;104130;67273;66495;230075;72900;595136	Ndufa1;Ndufa10;Ndufa11;Ndufa13;Ndufa6;Ndufa9;Ndufab1;Ndufaf5;Ndufaf6;Ndufb11;Ndufb3;Ndufb4;Ndufb5;Ndufb6;Ndufb7;Ndufb8;Ndufb9;Ndufc1;Ndufc2;Ndufs1;Ndufs2;Ndufs3;Ndufs4;Ndufs5;Ndufs6;Ndufs8;Ndufv1;Ndufv2;Timmdc1
R-MMU-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	http://reactome.org/PathwayBrowser/#/R-MMU-163200	-0.6407569768936197	-2.7337222542163246	0	0	71	./Project_wg_result1568400113_GSEA/R_MMU_163200.png	40	226646;66043;20523;76947;17993;68197;67876;67264;68349;11949;69487;68055;11958;66108;227197;54405;225887;11946;66916;68194;11950;67184;17995;69875;66218;407785;228033;66046;70316;66377;76916;67130;104130;67273;66495;230075;11947;72900;595136;27425	Atp5a1;Atp5b;Atp5c1;Atp5d;Atp5f1;Atp5g3;Atp5k;Atp5l;Atp5s;Coq10b;Ndufa1;Ndufa10;Ndufa11;Ndufa13;Ndufa6;Ndufa9;Ndufab1;Ndufaf5;Ndufaf6;Ndufb11;Ndufb3;Ndufb4;Ndufb5;Ndufb6;Ndufb7;Ndufb8;Ndufb9;Ndufc1;Ndufc2;Ndufs1;Ndufs2;Ndufs3;Ndufs4;Ndufs5;Ndufs6;Ndufs8;Ndufv1;Ndufv2;Slc25a14;Timmdc1
R-MMU-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR)	http://reactome.org/PathwayBrowser/#/R-MMU-3371497	-0.5788354122363311	-2.2850874769455825	0	1.0791467733044314e-4	44	./Project_wg_result1568400113_GSEA/R_MMU_3371497.png	21	58233;81489;56445;235661;22145;22142;56444;56351;73710;18667;13426;22153;11835;22151;15516;20867;53598;15512;22152;227613;15519	Actr10;Ar;Dctn3;Dnaja2;Dnaja4;Dnajb1;Dync1i1;Dync1li1;Hsp90aa1;Hsp90ab1;Hspa2;Pgr;Ptges3;Stip1;Tuba1a;Tuba4a;Tubb2a;Tubb2b;Tubb3;Tubb4a;Tubb4b
