geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
mmu03010	Ribosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu03010+19941+19921+22121+19933+19944+20116+19934+66483+270106+67115+27367+20044+20104+26961+68193+67025+68436+76846+19896+20084+269261+16785+20102+68537+66489+20103+319195+22186+27176+19899+20068+20088+66163+94062+20054+76808+20005+54217+19988+56040+19982+20091+19943+78294+27397+67891+67097+67186+66242+67671+20085+27207+27398+19935+56282	0.5888175912277378	2.6107482425626425	0	0	128	./Project_wg_result1568404424_GSEA/mmu03010.png	55	19941;19921;22121;19933;19944;20116;19934;66483;270106;67115;27367;20044;20104;26961;68193;67025;68436;76846;19896;20084;269261;16785;20102;68537;66489;20103;319195;22186;27176;19899;20068;20088;66163;94062;20054;76808;20005;54217;19988;56040;19982;20091;19943;78294;27397;67891;67097;67186;66242;67671;20085;27207;27398;19935;56282	Mrpl12;Mrpl13;Mrpl17;Mrpl2;Mrpl23;Mrpl3;Mrpl4;Mrps16;Rpl10a;Rpl11;Rpl12;Rpl13;Rpl13a;Rpl14;Rpl17;Rpl18;Rpl18a;Rpl19;Rpl21;Rpl22;Rpl24;Rpl26;Rpl28;Rpl29;Rpl3;Rpl34;Rpl35;Rpl36;Rpl36a;Rpl36al;Rpl38;Rpl4;Rpl6;Rpl7a;Rpl8;Rpl9;Rplp1;Rplp2;Rps10;Rps11;Rps14;Rps15;Rps17;Rps18;Rps19;Rps24;Rps27a;Rps3a1;Rps4x;Rps5;Rps6;Rps8;Rps9;Rpsa;Uba52
mmu03040	Spliceosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu03040+54633+74351+66921+57317+67039+217207+66070+64340+20637+66354+20222+56215+20227+319322+68592+71702+68879+50783+193116+192170+55934+56070+22185+108121+53607+60321+320632+72047+57905+75062+69192+66642+76938+15511+27967+53817+20624+23983+51810+72654+15481+19656+67229+56031+76936+230596+66585+20638+68981+331401+70767	0.5197540231856427	2.270859783627418	0	0	125	./Project_wg_result1568404424_GSEA/mmu03040.png	51	54633;74351;66921;57317;67039;217207;66070;64340;20637;66354;20222;56215;20227;319322;68592;71702;68879;50783;193116;192170;55934;56070;22185;108121;53607;60321;320632;72047;57905;75062;69192;66642;76938;15511;27967;53817;20624;23983;51810;72654;15481;19656;67229;56031;76936;230596;66585;20638;68981;331401;70767	Acin1;Ccdc12;Cdc5l;Cherp;Ctnnbl1;Cwc15;Ddx23;Ddx39b;Ddx42;Dhx16;Dhx38;Dhx8;Eftud2;Eif4a3;Hnrnpm;Hnrnpu;Hspa1b;Hspa8;Isy1;Lsm4;Pcbp1;Ppie;Pqbp1;Prpf18;Prpf3;Prpf38a;Prpf38b;Prpf6;Rbm17;Rbm25;Rbmxl1;Rp9;Sart1;Sf3a2;Sf3a3;Sf3b2;Slu7;Snrnp200;Snrnp40;Snrnp70;Snrpa;Snrpa1;Snrpb;Snw1;Srsf4;Syf2;Tcerg1;Thoc2;U2af1;U2af2;Wbp11
mmu04612	Antigen processing and presentation	http://www.kegg.jp/kegg-bin/show_pathway?mmu04612+12317+12330+15516+170767+18044+19727+18046+19186+15511+15042+21355+19188+13039+65972+21356+13030+15481+15519+12912+19141+15040+21354+14972+14991+621823+14999+14964+110557+53970+14998+15001+14969+16643+16149+15039+14828+15015+14827	0.5891836703775845	2.2485980426714165	0	0	59	./Project_wg_result1568404424_GSEA/mmu04612.png	38	12317;12330;15516;170767;18044;19727;18046;19186;15511;15042;21355;19188;13039;65972;21356;13030;15481;15519;12912;19141;15040;21354;14972;14991;621823;14999;14964;110557;53970;14998;15001;14969;16643;16149;15039;14828;15015;14827	Calr;Canx;Cd74;Creb1;Ctsb;Ctsl;H2-D1;H2-DMa;H2-DMb1;H2-Eb1;H2-K1;H2-M3;H2-Oa;H2-Q4;H2-Q6;H2-T22;H2-T23;H2-T24;Hsp90aa1;Hsp90ab1;Hspa1b;Hspa5;Hspa8;Ifi30;Klrd1;Lgmn;Nfya;Nfyc;Pdia3;Psme1;Psme2;Psme2b;Rfx5;Rfxank;Rfxap;Tap1;Tap2;Tapbp
mmu04080	Neuroactive ligand-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?mmu04080+14600+15551+14429+114229+11539+93896+14061+239336+17201+14800+11441+11607+21336+387285+14403+14654+11552+226304+11551+17202+14803+18386+18441+213527+14404+108068+54393+15562+20609+11549+11608+14400+230777+14805+13617+15550+18217+14396+15566+18167+108043+22095+57249+11548+108015+14806+53623+108069+14745+14406+11435+245526+11444+67168+14608+11609+19214+110835+18166+14427+14394+108071+11550+14812+67373+13618+19220+110834+11541+15558+242443+110886+15557+14829+11438+94226+14823+381489+13609+14062+12671+18389+18216+243764+14407+21338+18387+237213+14401+14397+15560+22045+14804+14402+15563+110304+78134+14405+14658+12801	-0.4849674974845913	-2.332568394004691	0	0	213	./Project_wg_result1568404424_GSEA/mmu04080.png	100	14600;15551;14429;114229;11539;93896;14061;239336;17201;14800;11441;11607;21336;387285;14403;14654;11552;226304;11551;17202;14803;18386;18441;213527;14404;108068;54393;15562;20609;11549;11608;14400;230777;14805;13617;15550;18217;14396;15566;18167;108043;22095;57249;11548;108015;14806;53623;108069;14745;14406;11435;245526;11444;67168;14608;11609;19214;110835;18166;14427;14394;108071;11550;14812;67373;13618;19220;110834;11541;15558;242443;110886;15557;14829;11438;94226;14823;381489;13609;14062;12671;18389;18216;243764;14407;21338;18387;237213;14401;14397;15560;22045;14804;14402;15563;110304;78134;14405;14658;12801	2210010C04Rik;Adora1;Adora2b;Adra1a;Adra1b;Adra1d;Adra2a;Adra2b;Agtr1a;Agtr1b;Agtr2;Chrm2;Chrm3;Chrna1;Chrna3;Chrna4;Chrna5;Chrna7;Chrnb2;Chrnb3;Chrnb4;Cnr1;Ednra;Ednrb;F2;F2r;Gabbr1;Gabra1;Gabra3;Gabra4;Gabra5;Gabrb1;Gabrb2;Gabrb3;Gabrd;Gabre;Gabrg1;Gabrg2;Gabrg3;Gabrq;Galr1;Galr3;Ghr;Glp2r;Glra1;Glra2;Glra3;Glrb;Gpr83;Gria2;Gria3;Grid1;Grid2;Grik1;Grik2;Grin2b;Grin3a;Grm2;Grm3;Grm5;Grm8;Grpr;Hcrtr1;Hcrtr2;Htr1a;Htr1b;Htr1f;Htr2a;Htr2c;Htr4;Htr5a;Htr7;Kiss1r;Lpar1;Lpar4;Lpar6;Mc3r;Mc4r;Npbwr1;Npy1r;Npy2r;Ntsr1;Ntsr2;Oprd1;Oprk1;Oprl1;P2ry1;Pgr15l;Ptgdr;Ptgfr;Pth2r;Rxfp1;Rxfp3;S1pr1;S1pr5;Sstr5;Tacr1;Tacr3;Trhr;Tshr
mmu04740	Olfactory transduction	http://www.kegg.jp/kegg-bin/show_pathway?mmu04740+258587+18367+258420+258389+258322+258422+258409+258433+258549+258148+18330+258701+258930+258390+404330+100042690+258883+258281+258783+258412+258347+404319+258912+258737+258016+258712+258733+258853+258570+258238+258746+259035+56860+258297+259024+258403+545205+57250+258561+258667+259097+257912+404315+258086+259008+170639+233649+259099+258625+259069+258747+258645+258969+100041187+258460+258497+258597+258494+258777+258821+218066+257665+258206+18348+258724+258963+258955+258302+258525+258280+258352+258684+243634+258624+259159+258835+258075+258492+100043474+259070+384732+258463+258614+258501+258951+258292+258475+258336+634104+259002+259050+117004+14680+14919+258296+258815+259009+259048+258776+258247+258908+110891+258711+258056+257902+259046+259148+404312+258461+258608+258372+258565+259033+258380+18344+258666+257979+258626+258980+258330+258289+258656+80706+404317+258999+258778+18368+258456+257887+258832+258538+258974+257915+258788+258069+257909+258554+258800+18747+258763+258828+18749+258944+259119+404337+258663+258941+257882+258632+258770+258392+258263+258983+258231+259089+258677+259118+257961+258291+258328+259014+257906+258316+258628+258583+258928+259115+258952+258661+258702+258474+258690+259016+258218+258279+258629+258315+258333+258782+258101+258917+404329+257916+277562+258340+258022+258780+258398+258939+258151+257662+258453+259165+258455+258481+257884+258343+258658+258468+258802+258203+236509+257667+258797+404313+18317+235256+258789+258326+258519+258415+258189+258898+258686+258942+259034+233670+100038859+257978+257898+258117+18357+257891+258869+258323+258801+12313+258833+258454+258902+258391+259104+259030+259040+258459+259031+259051+259087+258180+258799+259010+259078+258729+258547+258907+259007+257875+258375+258727+258369+258850+258560+18366+258359+258580+257956+258643+259082+258762+258871+258275+258859+258441+259106+258967+258968+259088+257959+257936+259122+258232+258621+258808+258949+258287	-0.5249737807093303	-2.7798199702354944	0	0	509	./Project_wg_result1568404424_GSEA/mmu04740.png	275	258587;18367;258420;258389;258322;258422;258409;258433;258549;258148;18330;258701;258930;258390;404330;100042690;258883;258281;258783;258412;258347;404319;258912;258737;258016;258712;258733;258853;258570;258238;258746;259035;56860;258297;259024;258403;545205;57250;258561;258667;259097;257912;404315;258086;259008;170639;233649;259099;258625;259069;258747;258645;258969;100041187;258460;258497;258597;258494;258777;258821;218066;257665;258206;18348;258724;258963;258955;258302;258525;258280;258352;258684;243634;258624;259159;258835;258075;258492;100043474;259070;384732;258463;258614;258501;258951;258292;258475;258336;634104;259002;259050;117004;14680;14919;258296;258815;259009;259048;258776;258247;258908;110891;258711;258056;257902;259046;259148;404312;258461;258608;258372;258565;259033;258380;18344;258666;257979;258626;258980;258330;258289;258656;80706;404317;258999;258778;18368;258456;257887;258832;258538;258974;257915;258788;258069;257909;258554;258800;18747;258763;258828;18749;258944;259119;404337;258663;258941;257882;258632;258770;258392;258263;258983;258231;259089;258677;259118;257961;258291;258328;259014;257906;258316;258628;258583;258928;259115;258952;258661;258702;258474;258690;259016;258218;258279;258629;258315;258333;258782;258101;258917;404329;257916;277562;258340;258022;258780;258398;258939;258151;257662;258453;259165;258455;258481;257884;258343;258658;258468;258802;258203;236509;257667;258797;404313;18317;235256;258789;258326;258519;258415;258189;258898;258686;258942;259034;233670;100038859;257978;257898;258117;18357;257891;258869;258323;258801;12313;258833;258454;258902;258391;259104;259030;259040;258459;259031;259051;259087;258180;258799;259010;259078;258729;258547;258907;259007;257875;258375;258727;258369;258850;258560;18366;258359;258580;257956;258643;259082;258762;258871;258275;258859;258441;259106;258967;258968;259088;257959;257936;259122;258232;258621;258808;258949;258287	Ano2;Calm1;Cnga4;Gm13769;Gnal;Gucy2e;Olfr1009;Olfr1012;Olfr1016;Olfr102;Olfr1023;Olfr1028;Olfr1031;Olfr1043;Olfr1047;Olfr1048;Olfr1062;Olfr1065;Olfr1085;Olfr109;Olfr11;Olfr1100;Olfr1104;Olfr1106;Olfr1109;Olfr111;Olfr1116;Olfr1120;Olfr1122;Olfr1123;Olfr1124;Olfr1130;Olfr1132;Olfr1137;Olfr1138;Olfr116;Olfr1160;Olfr1167;Olfr117;Olfr1170;Olfr1173;Olfr1178;Olfr1196;Olfr1198;Olfr120;Olfr1200;Olfr1202;Olfr1204;Olfr1205;Olfr1209;Olfr1218;Olfr1220;Olfr1226;Olfr1233;Olfr1246;Olfr1247;Olfr125;Olfr1250;Olfr1254;Olfr1258;Olfr1260;Olfr1264;Olfr1265;Olfr1271;Olfr1274-ps;Olfr1276;Olfr1277;Olfr1278;Olfr1281;Olfr1286;Olfr1290;Olfr1295;Olfr1307;Olfr1310;Olfr1312;Olfr1316;Olfr1318;Olfr1322;Olfr1324;Olfr133;Olfr1336;Olfr1344;Olfr1366;Olfr137;Olfr1378;Olfr1381;Olfr1383;Olfr1388;Olfr1389;Olfr1391;Olfr1393;Olfr1416;Olfr143;Olfr1431;Olfr1432;Olfr1437;Olfr1459;Olfr1467;Olfr1469;Olfr147;Olfr1471;Olfr1487;Olfr1489;Olfr149;Olfr1501;Olfr1505;Olfr1506;Olfr1537;Olfr1564;Olfr160;Olfr161;Olfr173;Olfr178;Olfr190;Olfr2;Olfr221;Olfr250;Olfr251;Olfr273;Olfr287;Olfr293;Olfr295;Olfr308;Olfr31;Olfr318;Olfr329-ps;Olfr338;Olfr339;Olfr341;Olfr344;Olfr351;Olfr352;Olfr354;Olfr365;Olfr366;Olfr372;Olfr381;Olfr392;Olfr393;Olfr394;Olfr395;Olfr397;Olfr401;Olfr410;Olfr417;Olfr418;Olfr420;Olfr432;Olfr433;Olfr446;Olfr45;Olfr453;Olfr461;Olfr472;Olfr477;Olfr478;Olfr479;Olfr484;Olfr488;Olfr49;Olfr497;Olfr509;Olfr531;Olfr533;Olfr539;Olfr55;Olfr552;Olfr554;Olfr558;Olfr57;Olfr571;Olfr575;Olfr578;Olfr586;Olfr592;Olfr596;Olfr6;Olfr600;Olfr613;Olfr620;Olfr622;Olfr624;Olfr628;Olfr63;Olfr635;Olfr639;Olfr64;Olfr642;Olfr645;Olfr648;Olfr652;Olfr653;Olfr656;Olfr658;Olfr66;Olfr67;Olfr676;Olfr679;Olfr690;Olfr692;Olfr699;Olfr704;Olfr705;Olfr714;Olfr715;Olfr715b;Olfr716;Olfr727;Olfr729;Olfr73;Olfr734;Olfr735;Olfr739;Olfr740;Olfr742;Olfr744;Olfr745;Olfr750;Olfr76;Olfr767;Olfr769;Olfr77;Olfr774;Olfr775;Olfr78;Olfr780;Olfr784;Olfr787;Olfr789;Olfr794;Olfr798;Olfr803;Olfr808;Olfr814;Olfr816;Olfr822;Olfr827;Olfr829;Olfr832;Olfr843;Olfr846;Olfr851;Olfr853;Olfr859;Olfr867;Olfr873;Olfr876;Olfr877;Olfr887;Olfr889;Olfr890;Olfr893;Olfr898;Olfr904;Olfr905;Olfr906;Olfr907;Olfr914;Olfr916;Olfr918;Olfr920;Olfr921;Olfr922;Olfr933;Olfr943;Olfr948;Olfr954;Olfr959;Olfr961;Olfr967;Olfr982;Olfr986;Prkaca;Prkacb;Slc8a2
mmu05169	Epstein-Barr virus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05169+17463+12317+19185+20602+16151+66354+11651+16150+18709+16179+56436+69077+19182+23996+60406+26416+16476+19184+15042+18707+12571+22059+21355+12443+20848+19664+18033+53859+66513+19179+12370+21356+17869+12018+15894+433759+12495+16453+21929+19181+234779+54131+17874+11652+20963+66997+15040+19697+13197+21354+22123+18034+22030+19766+14972+57296+21762+56489+18037+16391+22033+12122+19106+14991+17060+14999+15975+246730+20846+54721+12500+71609+242705+15976+12229+14964+26397+266632+230073+12371+16408+19698+12028+14082+26400+18036+228607+17096+18708+110557+12503+14998+15001+11783+14969+22031+22352+12567+12566	0.44682924833674037	2.0655585880385936	0	0.0015328955869051955	181	./Project_wg_result1568404424_GSEA/mmu05169.png	99	17463;12317;19185;20602;16151;66354;11651;16150;18709;16179;56436;69077;19182;23996;60406;26416;16476;19184;15042;18707;12571;22059;21355;12443;20848;19664;18033;53859;66513;19179;12370;21356;17869;12018;15894;433759;12495;16453;21929;19181;234779;54131;17874;11652;20963;66997;15040;19697;13197;21354;22123;18034;22030;19766;14972;57296;21762;56489;18037;16391;22033;12122;19106;14991;17060;14999;15975;246730;20846;54721;12500;71609;242705;15976;12229;14964;26397;266632;230073;12371;16408;19698;12028;14082;26400;18036;228607;17096;18708;110557;12503;14998;15001;11783;14969;22031;22352;12567;12566	Adrm1;Akt1;Akt2;Apaf1;Bak1;Bax;Bid;Blnk;Btk;Calr;Casp8;Casp9;Ccnd1;Cd247;Cd3d;Cdk2;Cdk4;Cdk6;Ddx58;E2f2;Eif2ak2;Entpd1;Fadd;Gadd45a;H2-D1;H2-DMa;H2-DMb1;H2-Eb1;H2-K1;H2-M3;H2-Oa;H2-Q6;H2-T23;H2-T24;Hdac1;Icam1;Ifnar1;Ifnar2;Ikbkb;Ikbke;Ikbkg;Irak1;Irak4;Irf3;Irf9;Itgal;Jak3;Jun;Lyn;Map2k3;Map2k7;Map3k14;Mapk14;Mavs;Myc;Myd88;Ncor2;Nfkb1;Nfkb2;Nfkbib;Nfkbie;Oas1a;Pik3cd;Pik3r1;Pik3r2;Plcg2;Psmc1;Psmc2;Psmc3;Psmc4;Psmc5;Psmd11;Psmd12;Psmd2;Psmd3;Psmd4;Psmd7;Psmd8;Rbpj;Rela;Relb;Ripk1;Sap30;Snw1;Stat1;Stat3;Syk;Tab1;Tap1;Tap2;Tapbp;Tnfaip3;Tradd;Traf2;Traf3;Traf5;Trp53;Tyk2;Vim
mmu04064	NF-kappa B signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04064+11545+12048+16151+16150+18803+16179+111173+18033+53859+66513+108723+15894+21929+234779+22196+17874+20963+12633+19697+17000+18034+22030+19766+217069+13001+21937+22033+18792+17060+225471+18829+71609+12047+59004+12229+12475+266632+230073+13000+19698+240354+17096+21934+22031+12044+57913+12675+12045+11796+100504346+18035+18761+106759+24099	0.4836232833050414	2.006808040210924	0	0.0020438607825402607	88	./Project_wg_result1568404424_GSEA/mmu04064.png	54	11545;12048;16151;16150;18803;16179;111173;18033;53859;66513;108723;15894;21929;234779;22196;17874;20963;12633;19697;17000;18034;22030;19766;217069;13001;21937;22033;18792;17060;225471;18829;71609;12047;59004;12229;12475;266632;230073;13000;19698;240354;17096;21934;22031;12044;57913;12675;12045;11796;100504346;18035;18761;106759;24099	Bcl2a1a;Bcl2a1b;Bcl2a1d;Bcl2l1;Birc3;Blnk;Btk;Card11;Ccl21a;Cd14;Cflar;Chuk;Csnk2a2;Csnk2b;Ddx58;Erc1;Gm13304;Icam1;Ikbkb;Ikbkg;Irak1;Irak4;Ltbr;Lyn;Malt1;Map3k14;Myd88;Nfkb1;Nfkb2;Nfkbia;Parp1;Pias4;Pidd1;Plau;Plcg1;Plcg2;Prkcq;Rela;Relb;Ripk1;Syk;Tab1;Ticam1;Ticam2;Tnfaip3;Tnfrsf11a;Tnfrsf1a;Tnfsf13b;Tradd;Traf2;Traf3;Traf5;Trim25;Ube2i
mmu05033	Nicotine addiction	http://www.kegg.jp/kegg-bin/show_pathway?mmu05033+14800+216227+11441+22348+72961+14403+14404+14400+14396+57249+53623+14406+11444+14394+14812+140919+242443+110886+11438+14407+14401+14397+14402+14405	-0.5771543000436379	-2.022870927379396	0	0.002924684335794102	36	./Project_wg_result1568404424_GSEA/mmu05033.png	24	14800;216227;11441;22348;72961;14403;14404;14400;14396;57249;53623;14406;11444;14394;14812;140919;242443;110886;11438;14407;14401;14397;14402;14405	Chrna4;Chrna7;Chrnb2;Gabra1;Gabra3;Gabra4;Gabra5;Gabrb1;Gabrb2;Gabrb3;Gabrd;Gabre;Gabrg1;Gabrg2;Gabrg3;Gabrq;Gria2;Gria3;Grin2b;Grin3a;Slc17a6;Slc17a7;Slc17a8;Slc32a1
mmu00900	Terpenoid backbone biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?mmu00900+230709+319554+52014+66881+208715	-0.6583744704767975	-1.998603615564718	0	0.003168408030443611	21	./Project_wg_result1568404424_GSEA/mmu00900.png	5	230709;319554;52014;66881;208715	Hmgcs1;Idi1;Nus1;Pcyox1;Zmpste24
mmu05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05150+14962+20345+12260+12259+15894+14131+12262+14129+19204+17175+16414+14130+14999+12268+16408+14998+15001+14969+16409+246256+12273	0.5372368525885908	1.921060229097338	0	0.008345764862039399	39	./Project_wg_result1568404424_GSEA/mmu05150.png	21	14962;20345;12260;12259;15894;14131;12262;14129;19204;17175;16414;14130;14999;12268;16408;14998;15001;14969;16409;246256;12273	C1qa;C1qb;C1qc;C4b;C5ar1;Cfb;Fcgr1;Fcgr2b;Fcgr3;Fcgr4;H2-DMa;H2-DMb1;H2-Eb1;H2-Oa;Icam1;Itgal;Itgam;Itgb2;Masp2;Ptafr;Selplg
