geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
CTACTAG_MIR325	http://www.broadinstitute.org/gsea/msigdb/cards/CTACTAG_MIR325	http://www.broadinstitute.org/gsea/msigdb/cards/CTACTAG_MIR325	-0.7259522440513172	-2.277216945418579	0	0	21	./Project_wg_result1568404486_GSEA/CTACTAG_MIR325.png	9	224132;237213;320265;75869;110304;75423;105522;105171;72020	Ankrd28;Arl5a;Arl5b;Arrdc3;Dirc2;Fam19a1;Glra2;Glra3;Zfp654
ATATGCA_MIR448	http://www.broadinstitute.org/gsea/msigdb/cards/ATATGCA_MIR448	http://www.broadinstitute.org/gsea/msigdb/cards/ATATGCA_MIR448	-0.38681474446797354	-1.97853278814819	0	3.7933544530905586e-4	350	./Project_wg_result1568404486_GSEA/ATATGCA_MIR448.png	124	20404;68292;93710;12939;80892;329152;16835;77015;269784;12936;14400;93703;93711;13838;93873;14805;13446;16367;50794;93683;78334;93717;327987;74213;11865;93699;20965;268566;93709;242570;14806;12234;30945;110876;74012;24046;76295;93878;56468;13527;17882;12805;13839;93702;50758;93886;20269;93724;59021;328234;93713;107449;11980;192167;381511;74201;93883;53870;20272;21386;93707;192163;19883;320940;93874;219257;26570;192161;18488;56195;76338;93723;353237;211712;226419;93884;16649;93888;20315;225998;12725;20666;66637;93882;76108;242553;170738;93688;208922;93759;93716;78757;72065;231207;14677;27360;20687;22253;14401;93885;70611;237052;14402;245578;72413;100710;19290;67579;22344;14265;107568;66884;93887;74125;66799;101148;16648;18645;234267;242291;105559;216344;19084;67117	Add3;Appbp2;Armc8;Arntl;Atp11b;Atp11c;Atp8a1;Bmt2;Btrc;Cdk19;Cep97;Clcn3;Cntn1;Cntn3;Cntn4;Cntn6;Cpeb2;Cpeb3;Cpeb4;Cxcl12;Doc2a;Dtna;Dynlt3;Dyrk3;Epha4;Epha5;Fbxl17;Fbxo33;Fmr1;Gabrb1;Gabrb2;Gabrb3;Glce;Gnai1;Gphn;Gpm6a;Grik1;Grik2;Hecw2;Impad1;Irs1;Kank4;Kcnh7;Kcnmb2;Klf13;Klhl1;Kpna3;Kpna4;Ldlr;Mbnl2;Med13;Mpped2;Myh2;Nlgn1;Pcdh11x;Pcdh20;Pcdh9;Pcdha3;Pcdha4;Pcdha7;Pcdha9;Pcdhac2;Pcdhb11;Pcdhb12;Pcdhb13;Pcdhb14;Pcdhb15;Pcdhb16;Pcdhb17;Pcdhb2;Pcdhb3;Pcdhb7;Pcdhga1;Pcdhga11;Pcdhga12;Pcdhga2;Pcdhga3;Pcdhga5;Pcdhga8;Pcdhga9;Pcdhgb1;Pcdhgb5;Pcdhgb6;Pcdhgc4;Pdp1;Pds5b;Pfn2;Prkar1a;Ptbp2;Pura;Rab21;Rab2a;Rab2b;Rap2a;Rap2b;Rap2c;Raver2;Rbm26;Rictor;Rnf182;Rnf19a;Rora;Rorb;Scn11a;Scn2a;Scn3a;Scn7a;Sh3gl2;Sirt1;Slc7a11;Socs5;Sox11;Sp3;Stt3b;Syn2;Tbx3;Tceal1;Tsen15;Ube2w;Unc5b;Unc5c;Vezf1;Wwp1;Zfhx4
CATGTAA_MIR496	http://www.broadinstitute.org/gsea/msigdb/cards/CATGTAA_MIR496	http://www.broadinstitute.org/gsea/msigdb/cards/CATGTAA_MIR496	-0.4044018593611253	-2.0626355452909837	0	5.057805937454078e-4	316	./Project_wg_result1568404486_GSEA/CATGTAA_MIR496.png	101	243931;18012;142682;68558;22771;22772;56522;210503;214968;407812;100642166;22720;53623;211739;380728;252838;74012;70556;13839;67607;100041734;112415;17268;238690;268902;22709;243574;77853;26420;240041;233058;192287;192216;238680;245450;26419;386750;170571;22718;66629;70620;13134;239250;52635;18232;380664;626832;76007;18231;76499;636808;668923;22318;19317;20358;320714;75409;665211;229759;21402;76108;269473;224585;93688;208922;72065;231207;228012;209462;13486;67057;73132;208292;28185;219135;18472;16979;245446;12064;67579;19058;22344;216578;237010;70604;26405;69276;19344;66799;67128;218613;11600;233280;12858;56386;208715;271457;70675;383295;12662;107065	4930522L14Rik;Angpt1;Ankra2;B4galt6;Bdnf;Chm;Clasp2;Cntnap3;Cntnap4;Cntnap5a;Cox5a;Cpeb2;Cpeb3;Cpeb4;Dach1;Dnajb14;Dr1;Epha5;Esyt2;Gm14326;Gm15446;Gm6710;Golph3;Gria3;Hace1;Hmgcs1;Kbtbd8;Kcnh4;Klhl1;Klhl4;Lemd3;Lrig2;Lrrn1;Lrrtm2;Map3k2;Mapk8;Mapk9;Meis1;Mier3;Msl2;Mtmr6;Neurod1;Nipa1;Nxph1;Nxph2;Olfm3;Pafah1b1;Papolb;Papolg;Ppp3r1;Qk;Rab5a;Rab5b;Rap2a;Rap2b;Rap2c;Robo2;Sec62;Sema6a;Sema6d;Skp1a;Slc25a16;Slc25a33;Slc25a36;Slitrk2;Slitrk3;Slitrk4;Slitrk5;Slitrk6;Tlk1;Tmem47;Tomm70a;Tox;Trappc11;Tshz3;Ube2g1;Ube2v2;Ube2w;Vamp2;Vcpip1;Vezf1;Vstm2a;Yaf2;Ypel5;Zcchc14;Zfp160;Zfp420;Zfp442;Zfp458;Zfp51;Zfp60;Zfp607b;Zfp62;Zfp677;Zfp788;Zfp871;Zfp941;Zfp945;Zic1;Zic2;Zmym2
ACCAATC_MIR509	http://www.broadinstitute.org/gsea/msigdb/cards/ACCAATC_MIR509	http://www.broadinstitute.org/gsea/msigdb/cards/ACCAATC_MIR509	-0.49674281646265844	-2.1056448638229037	0	7.586708906181117e-4	91	./Project_wg_result1568404486_GSEA/ACCAATC_MIR509.png	41	14417;72999;93710;12939;12936;93703;93711;12928;18606;93717;93699;93709;18605;60599;93702;93724;17268;93713;20674;93707;192163;192161;93723;100604;353237;209558;353236;433926;93716;18823;74249;22344;12753;19344;19211;320184;231070;18099;271457;19291;69227	Clock;Crk;Enpp1;Enpp2;Enpp3;Gad2;Insig1;Insig2;Lrrc2;Lrrc58;Lrrc8b;Lrrc8c;Meis1;Nlk;Pcdha3;Pcdha4;Pcdha7;Pcdha9;Pcdhac1;Pcdhac2;Pcdhga1;Pcdhga11;Pcdhga12;Pcdhga2;Pcdhga3;Pcdhga5;Pcdhga8;Pcdhga9;Pcdhgb1;Pcdhgb5;Pcdhgb6;Pcdhgc4;Plp1;Pten;Purb;Rab5a;Rab5b;Selenot;Sox2;Trp53inp1;Vezf1
AATGGAG_MIR136	http://www.broadinstitute.org/gsea/msigdb/cards/AATGGAG_MIR136	http://www.broadinstitute.org/gsea/msigdb/cards/AATGGAG_MIR136	-0.42325436919591364	-1.8424735624543127	0	0.0068280380155630056	100	./Project_wg_result1568404486_GSEA/AATGGAG_MIR136.png	37	75841;103554;66673;74012;14704;22773;77853;67895;13003;13712;11989;110809;19283;74776;244585;70380;26381;19736;71833;18983;207375;56772;76108;208922;16508;231986;72065;58193;231207;107358;226442;67579;14265;67128;19291;14489;68473	Cnot7;Cpeb2;Cpeb3;Cpeb4;Dcaf7;Elk1;Esrrg;Extl2;Fam120c;Fmr1;Gng3;Jazf1;Kcnd2;Mllt11;Mob1b;Mospd1;Msl2;Mtpn;Ppa1;Ppa2;Psme4;Ptprz1;Purb;Rap2a;Rap2b;Rap2c;Rgs4;Rnf139;Rpgrip1l;Slc7a3;Sorcs3;Srsf1;Tm9sf3;Ube2g1;Vcan;Zfp281;Zic3
CACGTTT_MIR302A	http://www.broadinstitute.org/gsea/msigdb/cards/CACGTTT_MIR302A	http://www.broadinstitute.org/gsea/msigdb/cards/CACGTTT_MIR302A	-0.4726736597422125	-1.830031895109521	0	0.0073699457945759425	56	./Project_wg_result1568404486_GSEA/CACGTTT_MIR302A.png	16	67144;13134;100604;380664;56637;433926;76108;72065;59079;71745;27528;74249;19290;105171;68904;56392	Abhd13;Arrdc3;Cul2;Dach1;Erbin;Gsk3b;Lemd3;Lrrc2;Lrrc40;Lrrc8b;Lrrc8c;Nrep;Pura;Rap2a;Rap2c;Shoc2
ATTACAT_MIR3803P	http://www.broadinstitute.org/gsea/msigdb/cards/ATTACAT_MIR3803P	http://www.broadinstitute.org/gsea/msigdb/cards/ATTACAT_MIR3803P	-0.41017284106968616	-1.8492303173782756	0	0.007586708906181117	145	./Project_wg_result1568404486_GSEA/ATTACAT_MIR3803P.png	52	14168;13690;74213;15566;19212;219228;60344;21372;76295;73998;16410;53621;22290;11980;20614;224836;18751;22762;320940;68942;192196;227867;103098;18227;228410;212391;93688;208922;319817;75717;399568;231207;78913;268859;243499;279653;60367;14169;18752;210973;59027;12064;399558;67579;207214;237010;101148;14167;56386;216344;100040244;70974	Atp11b;Atp11c;Atp8a1;B4galt6;BC052040;Bdnf;Bmt2;Chmp2b;Cnot4;Cpeb2;Cpeb3;Cpeb4;Cstf3;Cul5;Eif4g2;Epc2;Fgf12;Fgf13;Fgf14;Fign;Flrt2;Gm14698;Herc3;Htr7;Il1rapl2;Itgav;Kbtbd2;Klhl1;Klhl4;Larp4;Lcor;Lrrtm4;Ltn1;Luc7l2;Nampt;Nr4a2;Pcdh17;Pcdh19;Pgm2l1;Prkcb;Prkcg;Pter;Rab21;Rbfox1;Rbm26;Rc3h2;Slc6a15;Snap25;Tbl1x;Usp49;Uty;Zfpm2
AAGGGAT_MIR188	http://www.broadinstitute.org/gsea/msigdb/cards/AAGGGAT_MIR188	http://www.broadinstitute.org/gsea/msigdb/cards/AAGGGAT_MIR188	-0.40152839031443227	-1.8066791110498719	0	0.008345379796799229	123	./Project_wg_result1568404486_GSEA/AAGGGAT_MIR188.png	44	15078;19341;13838;140486;66871;12667;225027;74012;54713;13839;15081;225055;20496;320560;245450;219257;107476;20744;227867;211712;68365;12793;16649;72949;114715;75409;76108;78757;72065;330908;245578;28185;226442;245446;13682;235132;26405;19211;216742;16648;252903;108012;69227;69981	Acaca;Ap1s2;Ap1s3;Ccnt2;Chrd;Cnih1;Cpne8;Dennd5b;Eif4a2;Epc2;Epha4;Epha5;Fbxo11;Fezf2;Fnip1;H3f3a;H3f3b;Igf2bp1;Kpna3;Kpna4;Map3k2;Opcml;Pcdh11x;Pcdh20;Pcdh9;Pten;Rab14;Rab4a;Rap2a;Rap2b;Rap2c;Rictor;Selenot;Slc12a2;Slitrk2;Slitrk4;Slitrk5;Spred1;Srsf7;Strbp;Tmem30a;Tomm70a;Zbtb44;Zfp281
CGTCTTA_MIR208	http://www.broadinstitute.org/gsea/msigdb/cards/CGTCTTA_MIR208	http://www.broadinstitute.org/gsea/msigdb/cards/CGTCTTA_MIR208	-0.6796997984714247	-1.7663322358248534	0.007797270939966333	0.01382466956237448	11	./Project_wg_result1568404486_GSEA/CGTCTTA_MIR208.png	4	19317;20687;218613;18099	Mier3;Nlk;Qk;Sp3
TAGCTTT_MIR9	http://www.broadinstitute.org/gsea/msigdb/cards/TAGCTTT_MIR9	http://www.broadinstitute.org/gsea/msigdb/cards/TAGCTTT_MIR9	-0.3374299620743237	-1.7379748024209565	0	0.01623555705922759	397	./Project_wg_result1568404486_GSEA/TAGCTTT_MIR9.png	134	18163;320100;239510;80892;225363;12933;269784;19341;21848;14400;13838;12928;227937;18555;22770;21419;15569;11865;69399;14396;268566;407819;22771;22772;219228;230908;60599;18996;72972;66673;74012;74342;140492;76295;54713;13865;241494;94093;12805;13839;22685;14853;83691;15463;93761;18701;14394;236900;12444;21859;238564;11819;11980;78100;12934;53870;17119;20674;271564;192216;223227;110886;22762;245450;320940;386750;77286;72685;68421;58243;18488;103466;239250;100604;68365;76007;194237;330450;13609;399603;70640;192198;18227;67288;19317;320714;75409;21402;433926;76108;16519;208922;21399;231986;72065;231207;14677;216080;18992;59079;13486;13193;14401;279653;320265;70611;15560;14402;67057;56550;12632;100710;11855;67296;74249;226442;245446;320840;67579;18519;19058;79264;15572;226352;53330;320184;66799;94227;18099;234267;20501;319263;70675;69981	1700025G04Rik;Agfg1;Arhgap5;Arntl;Atp11b;Atp11c;Atp8a1;BC031181;Ccnd2;Ccser2;Cdk16;Cfl2;Cntn1;Cntn3;Cntn4;Cntn6;Cpeb2;Cpeb3;Cpeb4;Crispld1;Crk;Crmp1;Ctnnd2;Dcp2;Dcx;Dnajc6;Dpysl2;Dr1;Elavl2;Elavl4;Epb41l5;Epha4;Epha5;Erbin;Etf1;Fam19a1;Fam84b;Far2;Fbxo33;Fezf2;Gabra1;Gabra3;Gabra5;Gabrb1;Gabrb2;Gabrb3;Gnai1;Gphn;Gpm6a;Gspt2;Htr2c;Jazf1;Kat2b;Kcnj3;Kcnn2;Krit1;Lmbrd1;Lrrc2;Lrrc4;Lrrc58;Lrrc8b;Lrrc8c;Lrrtm1;Msantd4;Mxd1;Mylk4;Nap1l5;Negr1;Nkrf;Nlk;Nr2f1;Nr2f2;Nr4a2;Nt5dc3;Pcdh17;Pcdh19;Pcmtd1;Pdk3;Pds5b;Phf20l1;Pi15;Pigf;Pkp4;Pou3f2;Pou4f1;Ppp3r1;Qk;Rab14;Rab4a;Rap2a;Rap2b;Rap2c;Relt;Rimkla;S1pr1;Skp1a;Slc16a1;Slitrk2;Slitrk3;Slitrk4;Slitrk5;Slitrk6;Smarca1;Socs4;Sorcs3;Sox2;Sox21;Srek1ip1;Tardbp;Tcea1;Tfap2b;Timp3;Tmem30a;Tmem47;Trappc11;Trim24;Trim33;Trp53inp1;Ube2d1;Ube2d2a;Ube2w;Vamp4;Vcpip1;Vps13a;Yaf2;Zfhx4;Zfp239;Zfp281;Zfp385b;Zfpm2;Zhx1;Zic1;Zic2;Zmym2
