geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0022613	ribonucleoprotein complex biogenesis	http://amigo.geneontology.org/amigo/term/GO:0022613	0.5174077404306245	2.5732587264386564	0	0	374	./Project_wg_result1568401769_GSEA/GO_0022613.png	173	59014;15516;56347;27979;56505;22121;53356;76130;228889;19941;67684;68879;224742;60321;15519;28126;68077;66978;68193;213895;20174;14113;67973;17975;67025;50783;231769;20935;269261;57905;27367;75416;67222;193116;65961;18432;18114;18572;68731;16785;20044;231386;55944;54709;73830;27966;53890;20227;56095;13669;320632;227290;231452;20116;235036;245474;216987;67239;227656;97961;214572;72554;50911;56321;67134;20103;20068;18148;72462;12181;223691;227715;27374;433864;216766;213773;53414;70767;56417;320790;107686;72344;73674;57315;68147;66711;104662;50912;27176;20239;230737;103136;195434;68327;68083;52530;66409;19069;53817;56200;67229;110816;107071;55989;67115;67205;67493;192170;74778;17089;237730;28000;67040;19656;110954;52705;75705;57808;22258;67223;101867;14791;208144;67070;20054;12121;18813;237107;14300;71340;68966;69821;223499;233871;57750;66475;64934;19988;14000;67619;16898;69072;13424;80913;20630;217431;76571;19384;23881;20088;52521;67097;118451;229937;319586;27756;20815;98956;68295;67755;215193;22384;66489;216156;268449;64930;67332;213550;217995;67671;67674;100608;108707	Aamp;Aar2;Aatf;Abcf1;Adar;Atxn2;Atxn2l;Bicd1;Bms1;Bop1;Bysl;Celf5;Chd7;Dcaf13;Ddx17;Ddx21;Ddx27;Ddx39b;Ddx47;Dhx37;Diexf;Dis3l;Dkc1;Drosha;Dync1h1;Ebna1bp2;Eif3a;Eif3b;Eif3c;Eif3d;Eif3g;Eif3i;Eif3k;Eif3l;Eif4a3;Eif4b;Eif4h;Emg1;Exosc10;Exosc2;Exosc9;Fam207a;Fbl;Fbll1;Frg1;Ftsj3;G3bp2;Gar1;Gemin5;Gnl2;Gnl3l;Heatr1;Hsp90aa1;Hsp90ab1;Isy1;Krr1;Las1l;Lsm14a;Lsm2;Lsm4;Luc7l;Luc7l3;Lyar;Mettl16;Mphosph10;Mrps2;Mterf4;Mybbp1a;Nat10;Ncl;Ngdn;Nhp2;Nob1;Noc4l;Nol10;Nol12;Nom1;Nop14;Nop16;Nop53;Nop56;Nop58;Npm1;Nup88;Pa2g4;Pak1ip1;Pdcd11;Pes1;Ppan;Prmt5;Prmt7;Prpf18;Prpf19;Prpf3;Prpf6;Pum2;Pwp1;Pwp2;Ran;Rbfa;Rbmxl1;Rexo4;Riok1;Rpf2;Rpl10;Rpl11;Rpl12;Rpl13a;Rpl14;Rpl23a;Rpl24;Rpl26;Rpl3;Rpl35;Rpl35a;Rpl38;Rpl6;Rpl7a;Rps10;Rps14;Rps15;Rps17;Rps2;Rps23;Rps24;Rps5;Rps8;Rpsa;Rrp1;Rrp15;Rrp1b;Rrp7a;Rrp8;Rrp9;Rrs1;Rsl1d1;Ruvbl1;Ruvbl2;Sart1;Sart3;Sbds;Sdad1;Sfswap;Slu7;Snrnp200;Snrpc;Snrpd2;Snrpd3;Srfbp1;Srpk1;Styxl1;Surf6;Tbl3;Trmt112;Tsc1;Tsr1;Tsr3;Usp36;Usp4;Utp11;Utp14a;Utp14b;Utp3;Utp6;Wbp11;Wdr12;Wdr18;Wdr46;Wdr74;Wdr75;Ythdc1;Zfp622;Znhit6
GO:0034660	ncRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0034660	0.49957251254592877	2.4825489781241963	0	0	404	./Project_wg_result1568401769_GSEA/GO_0034660.png	167	59014;70769;20586;66078;76130;83701;70333;228889;19941;56463;21453;60321;68077;213895;14113;67973;26914;17975;67025;100929;233863;75416;67222;68544;65961;85305;18114;18572;68731;16785;20044;94223;74097;27966;20227;27267;56095;107271;104458;20116;76265;245474;72634;216987;67239;227656;97961;22321;72554;50911;17257;14911;20068;68510;18148;72462;12181;227715;213773;231413;53414;76357;56417;320790;353172;56361;20226;72344;73674;57315;68147;66711;104662;50912;27176;107508;22375;103136;195434;68327;68730;52530;66409;69684;56200;110816;224805;66044;71957;107071;67115;67205;67493;17299;192170;74778;60507;17089;237730;67040;52705;57808;67223;101867;14791;208144;20054;328162;66381;18813;14300;71340;68966;69821;102436;97541;223499;71989;216443;57750;67724;224907;64934;28088;110960;14000;66246;229543;67619;404634;68205;69072;71807;75284;217431;20019;241624;70560;20587;56335;20088;68626;16549;229937;106248;67106;234734;68260;98956;226539;22059;67755;215193;18033;66489;66926;216156;213550;217995;67674;108707;381802;15461;59050;69955;231803;56717	Aars;Aars2;Aarsd1;Adar;Bcdin3d;Bms1;Bop1;Bysl;Cars;Cd3eap;Chd7;Dars2;Dcaf13;Ddx17;Ddx21;Ddx27;Ddx47;Dgcr8;Dhx37;Diexf;Dis3l;Dkc1;Drosha;Dtd1;Dus1l;Dus3l;Ebna1bp2;Eif4a3;Elac2;Emg1;Eprs;Exd1;Exosc10;Exosc2;Exosc9;Fam207a;Fars2;Fbl;Fbll1;Frg1;Ftsj3;Gar1;Gars;Grsf1;Gtf3c1;H2afy;H2afy2;Heatr1;Hras;Ints1;Ints11;Ints3;Kars;Khsrp;Krr1;Lars2;Las1l;Lyar;Mars;Mecp2;Mepce;Mettl1;Mettl16;Mettl3;Mphosph10;Mterf4;Mtor;Nat10;Ncl;Nfkb1;Ngdn;Nhp2;Nob1;Nol10;Nol12;Nolc1;Nop14;Nop53;Npm1;Nsa2;Osgep;Pa2g4;Pdcd11;Pes1;Polr1a;Pop1;Pop7;Pus1;Pwp1;Pwp2;Qars;Qtrt1;Qtrt2;Rars;Rbfa;Rexo4;Riok1;Rnf113a2;Rpf2;Rpl11;Rpl14;Rpl26;Rpl35;Rpl35a;Rpl7a;Rps14;Rps15;Rps17;Rps24;Rps8;Rpsa;Rpusd4;Rrp1;Rrp15;Rrp1b;Rrp7a;Rrp8;Rrp9;Rrs1;Rsl1d1;Rtcb;Sars;Sart1;Sbds;Smarca4;Smarcb1;Snd1;Srfbp1;Srrt;Tars;Tars2;Tbl3;Tcof1;Tdrkh;Thumpd3;Trir;Trmt112;Trmt12;Trmt5;Trmt6;Trmt61a;Trp53;Tsen2;Tsen34;Tsen54;Tsr1;Tsr3;Tyw1;Urm1;Usp36;Utp11;Utp14a;Utp14b;Utp3;Utp6;Vars;Wars;Wars2;Wbp11;Wdr12;Wdr18;Wdr46;Wdr74;Wdr75;Yars;Zbtb8os;Znhit6
GO:0006397	mRNA processing	http://amigo.geneontology.org/amigo/term/GO:0006397	0.4997269846639298	2.4684564202934824	0	0	374	./Project_wg_result1568401769_GSEA/GO_0006397.png	146	70312;67302;12537;227707;71514;51796;54633;67039;235497;66921;224903;19134;66078;66070;67959;83701;22687;170791;217207;15481;232314;22608;54624;67684;72459;68879;70248;20926;60321;224902;66978;75956;20637;53609;80744;27632;65105;50783;66660;231769;236732;319322;57905;66899;13992;20924;193116;70616;18572;64340;53607;209416;108121;72935;231386;74111;54196;53890;20227;22185;24010;233900;100336;209003;68592;53610;100034361;320632;76265;94230;66880;73473;107829;214572;66983;20624;219158;75062;18148;72462;27374;216766;231413;107817;70767;53861;56417;107686;66354;83703;230753;56403;71702;69269;101471;53817;67229;237859;386612;233208;16969;67493;192170;11803;28000;67040;19656;76938;230596;70650;11820;109331;51810;68035;22258;56541;68272;76936;20492;218543;14300;54723;70233;67471;20218;105859;68991;233073;23983;19383;69192;67178;20630;19826;192160;69562;15499;56335;16549;319586;18949;74157;103284;27756;20815;66618	Adar;Aplp1;App;Arl6ip4;BC005624;Cactin;Casc3;Ccar2;Cd2bp2;Cdc5l;Cdk11b;Cdk13;Celf5;Clasrp;Cmtr1;Cpsf1;Csdc2;Cwc15;Cwc22;Dazap1;Dbr1;Ddx17;Ddx39b;Ddx41;Dhx16;Dhx38;Dhx8;Eftud2;Eif4a3;Fip1l1;Frg1;Gemin5;Gpatch1;Gpkow;Grsf1;Habp4;Hnrnpm;Hnrnpu;Hsf1;Hspa8;Htatsf1;Ik;Isy1;Iws1;Jmjd6;Khdrbs1;Khdrbs3;Khsrp;Leo1;Lsm2;Lsm4;Luc7l;Luc7l3;Mettl16;Mettl3;Mfap1b;Nelfe;Nono;Npm1;Nsrp1;Pabpn1;Paf1;Pcbp1;Pdcd11;Phrf1;Pnn;Ppp1r8;Ppp4r2;Pqbp1;Prmt5;Prmt7;Prpf18;Prpf19;Prpf3;Prpf38a;Prpf38b;Prpf4b;Prpf6;Puf60;Raly;Rbm10;Rbm17;Rbm19;Rbm25;Rbm28;Rbm39;Rbm42;Rbmx2;Rbmxl1;Rnf20;Rnf40;Rnps1;Rrp1b;Rsrc1;Safb;Safb2;Sart1;Sart3;Scaf1;Scnm1;Sf3a3;Sf3b2;Sfpq;Sfswap;Slbp;Sltm;Slu7;Snrnp200;Snrnp27;Snrnp70;Snrpa;Snrpc;Snrpd2;Snw1;Srek1;Srpk1;Srrm1;Srrm2;Srrt;Ssu72;Sugp1;Supt5;Supt6;Syf2;Syncrip;Tfip11;Thoc5;Thoc6;Thrap3;Tsen34;Tsen54;U2af1;U2af1l4;U2af2;Usp4;Wbp11;Ybx1;Ythdc1;Zbtb7a;Zc3h10;Zc3h13;Zcchc8;Zfp830;Zmat5;Zpr1;Zranb2
GO:0008380	RNA splicing	http://amigo.geneontology.org/amigo/term/GO:0008380	0.5105805822260928	2.4681579313926667	0	0	308	./Project_wg_result1568401769_GSEA/GO_0008380.png	125	70312;67302;227707;71514;51796;54633;67039;66921;19134;66078;66070;67959;22687;170791;217207;15481;232314;22608;67684;72459;68879;70248;20926;60321;66978;75956;20637;53609;80744;65105;50783;231769;236732;319322;57905;13992;193116;70616;11652;64340;53607;209416;108121;72935;231386;74111;102414;53890;20227;22185;24010;100336;209003;68592;53610;100034361;320632;76265;66880;73473;107829;214572;66983;20624;219158;75062;18148;72462;27374;216766;107817;70767;53861;107686;66354;55934;83703;230753;56403;71702;69269;53817;67229;237859;386612;233208;16969;67493;192170;28000;67040;19656;76938;230596;70650;51810;68035;22258;56541;68272;76936;66381;218543;14300;54723;70233;20218;28088;233073;27370;19383;69192;67178;20630;19826;192160;69562;56335;16549;319586;18949;103284;27756;20815;66618	Akt2;Arl6ip4;BC005624;Cactin;Casc3;Ccar2;Cd2bp2;Cdc5l;Cdk13;Celf5;Clasrp;Clk3;Cwc15;Cwc22;Dazap1;Dbr1;Ddx17;Ddx39b;Ddx41;Dhx16;Dhx38;Dhx8;Eftud2;Eif4a3;Frg1;Gemin5;Gpkow;Habp4;Hnrnpm;Hnrnpu;Hspa8;Htatsf1;Ik;Isy1;Iws1;Jmjd6;Khdrbs1;Khdrbs3;Khsrp;Lsm2;Lsm4;Luc7l;Luc7l3;Mettl16;Mettl3;Mfap1b;Nono;Npm1;Nsrp1;Pnn;Ppp1r8;Ppp4r2;Pqbp1;Prmt5;Prmt7;Prpf18;Prpf19;Prpf3;Prpf38a;Prpf38b;Prpf4b;Prpf6;Puf60;Raly;Rbm10;Rbm17;Rbm19;Rbm25;Rbm28;Rbm39;Rbm42;Rbmx2;Rbmxl1;Rnf113a2;Rnps1;Rp9;Rps26;Rrp1b;Rsrc1;Rtcb;Sart1;Sart3;Scaf1;Scnm1;Sf3a3;Sf3b2;Sfpq;Sfswap;Slu7;Snrnp200;Snrnp27;Snrnp70;Snrpa;Snrpc;Snrpd2;Snw1;Srek1;Srpk1;Srrm1;Srrm2;Sugp1;Supt6;Syf2;Syncrip;Tfip11;Thoc5;Thoc6;Thrap3;Tsen34;Tsen54;U2af1;U2af1l4;U2af2;Usp4;Wbp11;Ybx1;Ythdc1;Zbtb7a;Zc3h10;Zc3h13;Zcchc8;Zfp830;Zmat5;Zpr1;Zranb2
GO:0006457	protein folding	http://amigo.geneontology.org/amigo/term/GO:0006457	0.5097505166165477	2.191592889441265	0	1.897947162896224e-4	132	./Project_wg_result1568401769_GSEA/GO_0006457.png	42	56612;70356;14228;15516;18221;67943;12317;15481;12330;58233;15519;12468;67466;12539;12465;12462;56424;72726;228005;15502;68015;70369;56323;217737;52551;18637;15510;66053;12759;14229;81489;56354;56709;320360;12469;67838;68032;15511;12461;13418;12017;19035	Ahsa1;Bag1;Bag5;Calr;Canx;Cct2;Cct3;Cct5;Cct7;Cct8;Cdc37;Clu;Dnaja1;Dnaja4;Dnajb1;Dnajb11;Dnajb12;Dnajb5;Dnajc1;Dnajc7;Emc4;Fkbp4;Fkbp5;Hsp90aa1;Hsp90ab1;Hspa1b;Hspa8;Hspd1;Mesd;Nudc;Pdcl;Pfdn2;Pfdn5;Ppib;Ppig;Ppil2;Ric3;Sgta;St13;Stub1;Tbcc;Trap1
GO:0071826	ribonucleoprotein complex subunit organization	http://amigo.geneontology.org/amigo/term/GO:0071826	0.4735272202099757	2.1993067220235742	0	2.2775365954754687e-4	207	./Project_wg_result1568401769_GSEA/GO_0071826.png	74	59014;15516;56347;27979;56505;22121;53356;217207;67684;68879;15519;68077;66978;68193;20174;67025;50783;231769;20935;269261;57905;27367;193116;16785;20044;231386;55944;54709;73830;53890;13669;320632;235036;67239;214572;20103;12181;223691;27374;216766;70767;56417;107686;66711;20239;76366;53817;67229;74778;28000;19656;110954;75705;22258;67070;20054;12121;54723;69821;233871;66475;19988;16898;13424;80913;20630;76571;23881;67097;118451;229937;319586;27756;20815	Adar;Atxn2;Atxn2l;Bicd1;Bop1;Celf5;Ddx39b;Dhx8;Dync1h1;Eif3a;Eif3b;Eif3c;Eif3d;Eif3g;Eif3i;Eif3k;Eif3l;Eif4b;G3bp2;Gemin5;Hsp90aa1;Hsp90ab1;Isy1;Lsm14a;Lsm2;Lsm4;Luc7l;Luc7l3;Mrps2;Mterf4;Mtif3;Nop53;Ppan;Prmt5;Prmt7;Prpf18;Prpf19;Prpf3;Prpf6;Pum2;Rbmxl1;Rpf2;Rpl10;Rpl11;Rpl12;Rpl13a;Rpl24;Rpl3;Rpl6;Rps10;Rps14;Rps15;Rps2;Rps23;Rps5;Rpsa;Rrp7a;Rrs1;Ruvbl1;Ruvbl2;Sart3;Sbds;Sfswap;Slu7;Snrnp200;Snrpc;Snrpd2;Srpk1;Styxl1;Surf6;Tfip11;Usp4;Ythdc1;Znhit6
GO:0002181	cytoplasmic translation	http://amigo.geneontology.org/amigo/term/GO:0002181	0.5294988922551804	2.1217110622543434	0	4.8804355617331467e-4	82	./Project_wg_result1568401769_GSEA/GO_0002181.png	40	56347;27979;22121;53356;19941;19921;19944;68193;26961;67025;13629;217331;55944;54709;73830;19899;13669;76071;76808;223691;20005;56040;69082;75705;57808;66475;19988;27370;16898;56335;234734;22384;29813;67671;19951;67248;19653;99349;68184;66480	Aars;Denr;Dnajc24;Eef2;Eif3a;Eif3b;Eif3c;Eif3d;Eif3g;Eif3i;Eif3k;Eif3l;Eif4b;Eif4h;Jakmip1;Mettl3;Rbm4;Rpl11;Rpl13a;Rpl15;Rpl18;Rpl18a;Rpl19;Rpl24;Rpl26;Rpl29;Rpl32;Rpl35a;Rpl38;Rpl39;Rpl6;Rpl8;Rpl9;Rplp1;Rps2;Rps23;Rps26;Unk;Zc3h15;Zfp385a
GO:0006338	chromatin remodeling	http://amigo.geneontology.org/amigo/term/GO:0006338	0.49030664990483896	2.052579136655461	0	0.0013918279194572308	99	./Project_wg_result1568401769_GSEA/GO_0006338.png	40	21427;56505;20586;68094;20174;67155;21761;239985;66993;17283;20588;70103;19231;269610;18148;68058;320790;66233;66471;57376;58230;100043597;15353;233532;23808;12648;16969;23942;108989;22385;13163;15354;83796;231151;70020;68703;17869;22589;208727;20587	Anp32e;Arid1b;Ash2l;Atrx;Baz1b;Chd1;Chd1l;Chd5;Chd7;Daxx;Dmap1;Hdac4;Hmg20b;Hmgb3;Ino80b;Men1;Morf4l1;Mta2;Myc;Npm1;Ptma;Rere;Rnf8;Rsf1;Ruvbl1;Ruvbl2;Smarca2;Smarca4;Smarcb1;Smarcc1;Smarcc2;Smarcd2;Smarcd3;Smarce1;Srcap;Tada2b;Tpr;Vps72;Zbtb7a;Znhit1
GO:0006354	DNA-templated transcription, elongation	http://amigo.geneontology.org/amigo/term/GO:0006354	0.5552726550751257	2.0702040535922492	0	0.0014234603721721677	55	./Project_wg_result1568401769_GSEA/GO_0006354.png	24	98053;66266;235497;54624;20926;27632;20924;66505;16825;57261;107829;219158;56436;58230;53817;170472;70238;67673;26395;51810;12005;20665;69562;52609	Adrm1;Axin1;Brd4;Cbx7;Ccar2;Cdk13;Ddx39b;Eapp;Elob;Gtf2f1;Hnrnpu;Ldb1;Leo1;Map2k1;Nelfe;Paf1;Recql5;Rnf168;Rnf8;Sox10;Supt5;Supt6;Thoc5;Zmynd11
GO:0006360	transcription by RNA polymerase I	http://amigo.geneontology.org/amigo/term/GO:0006360	0.5404150900759703	2.0073376722356633	0	0.0023914134252492423	54	./Project_wg_result1568401769_GSEA/GO_0006360.png	28	20586;70333;21453;68077;26914;17975;20018;66420;11911;16890;73674;103136;66136;69833;216443;245841;404634;20019;20587;17872;192176;22130;217995;56717;17749;19014;320595;21339	Atf4;Cd3eap;Flna;H2afy;H2afy2;Heatr1;Lipe;Mars;Med1;Mtor;Ncl;Nop53;Phf8;Polr1a;Polr1d;Polr2e;Polr2f;Polr2h;Polr2k;Ppp1r15a;Pwp1;Smarca4;Smarcb1;Taf1a;Tcof1;Ttf1;Wdr75;Znrd1
