geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0003735	structural constituent of ribosome	http://amigo.geneontology.org/amigo/term/GO:0003735	0.6364731391519545	2.7819913783941526	0	0	131	./Project_wg_result1568401775_GSEA/GO_0003735.png	78	22121;19941;19921;22186;19944;68193;26961;20084;19934;67025;67308;269261;76846;27367;16785;20044;68537;20102;19899;270106;20116;68836;74600;353242;20103;20068;67186;76808;20005;56040;66163;56282;79044;77721;67115;19943;66493;94062;66973;66242;110954;20091;57808;68611;78294;19935;27397;20054;107733;27398;56280;66416;64658;66475;27207;67891;19988;27370;66258;16898;107734;20088;67097;118451;65111;232536;66489;268449;67671;19951;64655;67248;225215;19982;24030;20085;66480;94064	Dap3;Mrpl12;Mrpl13;Mrpl17;Mrpl2;Mrpl21;Mrpl23;Mrpl27;Mrpl28;Mrpl3;Mrpl30;Mrpl37;Mrpl4;Mrpl41;Mrpl46;Mrpl47;Mrpl51;Mrpl52;Mrps12;Mrps16;Mrps17;Mrps18b;Mrps2;Mrps22;Mrps25;Mrps34;Mrps35;Mrps5;Ndufa7;Rpl10;Rpl11;Rpl12;Rpl13;Rpl13a;Rpl14;Rpl15;Rpl18;Rpl18a;Rpl19;Rpl22;Rpl23a;Rpl24;Rpl26;Rpl28;Rpl29;Rpl3;Rpl32;Rpl35;Rpl35a;Rpl36a;Rpl38;Rpl39;Rpl4;Rpl6;Rpl8;Rpl9;Rplp1;Rplp2;Rps10;Rps11;Rps14;Rps15;Rps17;Rps18;Rps19;Rps2;Rps23;Rps24;Rps26;Rps27a;Rps3a1;Rps4x;Rps5;Rps8;Rps9;Rpsa;Rsl24d1;Uba52
GO:0019843	rRNA binding	http://amigo.geneontology.org/amigo/term/GO:0019843	0.6408621316994418	2.4826117876687115	0	0	66	./Project_wg_result1568401775_GSEA/GO_0019843.png	30	59014;19921;68077;30841;26961;20084;17975;67025;13629;269261;76846;27367;20044;20102;235036;67239;97961;20103;18148;20005;16890;66711;56200;218506;14791;69821;27207;67891;19988;66258	Ddx21;Eef2;Emg1;Kdm2b;Lipe;Mrps17;Mrps27;Mterf4;Ncl;Nol12;Nop53;Npm1;Ppan;Rpf2;Rpl11;Rpl12;Rpl19;Rpl3;Rpl4;Rpl6;Rpl8;Rpl9;Rps11;Rps14;Rps18;Rps4x;Rps5;Rps9;Rrs1;Sbds
GO:0005549	odorant binding	http://amigo.geneontology.org/amigo/term/GO:0005549	-0.6865762964287704	-2.890885606054286	0	0	91	./Project_wg_result1568401775_GSEA/GO_0005549.png	66	258374;18344;404325;258215;258640;258297;258956;258684;257899;258816;259002;258963;257908;258869;259014;18312;259016;258308;258103;258928;258565;257906;258328;258410;258800;258154;258679;258686;258999;258883;80706;258628;258783;258927;258629;257978;404329;258801;258415;258797;258762;404312;259040;258669;258372;258727;258151;258583;258799;258626;258780;258690;258580;258729;258323;258231;258782;258287;257959;259082;258871;258333;257936;258850;258643;404313	Olfr1000;Olfr1009;Olfr1023;Olfr1028;Olfr1029;Olfr1047;Olfr1048;Olfr1057;Olfr1062;Olfr1085;Olfr1109;Olfr115;Olfr1152;Olfr1160;Olfr1173;Olfr125;Olfr127;Olfr1322;Olfr1416;Olfr1440;Olfr1459;Olfr1467;Olfr1469;Olfr147;Olfr1471;Olfr1487;Olfr1489;Olfr15;Olfr1501;Olfr1505;Olfr152;Olfr1537;Olfr160;Olfr173;Olfr178;Olfr250;Olfr251;Olfr291;Olfr293;Olfr295;Olfr45;Olfr466;Olfr477;Olfr478;Olfr481;Olfr488;Olfr506;Olfr510;Olfr535;Olfr539;Olfr824;Olfr827;Olfr876;Olfr887;Olfr893;Olfr898;Olfr904;Olfr905;Olfr906;Olfr907;Olfr914;Olfr916;Olfr918;Olfr920;Olfr943;Olfr954
GO:0030515	snoRNA binding	http://amigo.geneontology.org/amigo/term/GO:0030515	0.6806189965564483	2.195560042616144	0	3.8632196921482853e-4	28	./Project_wg_result1568401775_GSEA/GO_0030515.png	15	70769;213895;75416;27966;245474;216987;67134;213773;53414;68147;104662;52530;56200;110816;55989	Bms1;Bysl;Ddx21;Dkc1;Gar1;Nhp2;Nolc1;Nop14;Nop56;Nop58;Pwp2;Rrp9;Tbl3;Tsr1;Utp6
GO:0008135	translation factor activity, RNA binding	http://amigo.geneontology.org/amigo/term/GO:0008135	0.5288967353251679	2.1484909259669416	0	5.794829538222427e-4	79	./Project_wg_result1568401775_GSEA/GO_0008135.png	27	56347;66656;27979;53356;13667;217715;208643;13629;66104;218629;56055;55944;54709;73830;13669;108067;223691;13631;76366;56422;276770;72650;67160;75705;224045;230861;13628	2810006K23Rik;Dhx29;Eef1a2;Eef1d;Eef1g;Eef2;Eef2k;Eif2b2;Eif2b3;Eif2b4;Eif2b5;Eif3a;Eif3b;Eif3c;Eif3d;Eif3g;Eif3i;Eif3k;Eif3l;Eif4b;Eif4g1;Eif4g3;Eif5a;Gtpbp2;Hbs1l;Mtif3;Tceal6
GO:0043531	ADP binding	http://amigo.geneontology.org/amigo/term/GO:0043531	0.6072543261886933	2.1069834315296054	0	5.794829538222428e-4	36	./Project_wg_result1568401775_GSEA/GO_0043531.png	18	360013;56505;15481;74142;20174;109754;18746;11947;17886;18655;11928;50709;14629;14661;110639;17688;269523;19060	Atp1a1;Atp5b;Cyb5r3;Gclc;Glud1;Hist1h1e;Hspa8;Lonp1;Msh6;Myh9;Myo18a;Pgk1;Pkm;Ppp5c;Prps2;Ruvbl1;Ruvbl2;Vcp
GO:0003779	actin binding	http://amigo.geneontology.org/amigo/term/GO:0003779	0.42934946514017164	2.0960452793151325	0	6.622662329397059e-4	329	./Project_wg_result1568401775_GSEA/GO_0003779.png	135	360013;230872;22350;12808;11838;60595;22003;17357;218194;13629;16796;16332;269587;238276;231148;70549;140781;194401;434204;14026;14248;59003;11472;217124;17886;71960;13823;13822;13169;70292;21953;13821;68810;22388;326618;109711;76580;59069;20743;80297;15444;21894;21956;26557;77113;268709;30948;63873;16985;17754;217125;77569;58234;18754;11519;51810;17996;80889;217692;56378;225115;18810;17913;23999;74376;11565;14300;70435;226251;235431;68794;13518;21961;57778;65970;76448;18301;12631;18826;68089;22629;12569;11749;245049;11867;68767;19230;76441;228545;29816;12345;237891;12331;19201;22628;12385;110253;227753;18016;242702;14158;171580;22323;17884;15163;99662;15185;21345;94190;13829;17755;52589;20742;226841;74117;192176;20617;71774;74189;22157;243725;14201;14086;17912;20430;98845;229474;19240;226594;72042;14260;212073;320878;12721;26936	Ablim1;Ablim2;Actn1;Actn2;Actn4;Actr3;Add2;Adssl1;Afap1;Akap5;Anxa6;Arc;Arpc1b;Arpc3;Arpc4;Bin1;Cap1;Capzb;Cdk5r1;Cfl1;Cobl;Coro1a;Coro2b;Cotl1;Crocc;Ctnna1;Cyfip1;Daam2;Dbnl;Dmtn;Dst;Eef2;Epb41;Epb41l1;Epb41l2;Epb41l3;Eps8l2;Eps8l3;Evl;Ezr;Fam107a;Fer;Fhdc1;Fhl3;Flii;Flna;Flnc;Fmn1;Fmnl1;Frg1;Fscn1;Fxyd5;Gas2l2;Gsn;Hcls1;Hdac6;Hip1r;Hnrnpu;Homer2;Hpca;Inf2;Inppl1;Klhl2;Lasp1;Lcp1;Lima1;Limch1;Lsp1;Maea;Map1a;Map1b;Marcksl1;Mib2;Mical1;Mical2;Mical3;Mprip;Myh14;Myh4;Myh7;Myh9;Myo18a;Myo18b;Myo1b;Myo1c;Myom3;Myrip;Ncald;Neb;Nexn;Nf2;Ophn1;Phactr1;Phactr3;Plec;Ppp1r18;Ppp1r9a;Ppp1r9b;Prkce;Pstpip2;Rcsd1;Samd14;Shank3;Shroom1;Sipa1l1;Snca;Sptbn1;Sptbn2;Sptbn4;Svil;Syne3;Tagln;Tln1;Tln2;Tlnrd1;Tmsb10;Tnni2;Tnnt2;Tns1;Tpm1;Tpm3;Tpm4;Triobp;Trpv4;Tulp1;Twf1;Twf2;Vash2;Vasp;Vps18;Washc1;Wdr1;Whamm;Ywhag;Ywhah
GO:0051082	unfolded protein binding	http://amigo.geneontology.org/amigo/term/GO:0051082	0.5287420639503091	2.123360350774083	0	6.953795445866914e-4	82	./Project_wg_result1568401775_GSEA/GO_0051082.png	28	56612;70356;15516;18221;12317;15481;12330;58233;15519;12468;12539;12465;12462;228005;15502;68015;56323;227290;18637;12406;18148;15510;81489;12469;67838;15511;12461;19035	Aamp;Calr;Canx;Cct2;Cct3;Cct5;Cct7;Cct8;Cdc37;Dnaja1;Dnaja4;Dnajb1;Dnajb11;Dnajb5;Hsp90aa1;Hsp90ab1;Hspa1b;Hspa8;Hspd1;Npm1;Nudc;Pfdn2;Pfdn5;Ppib;Ppig;Serpinh1;St13;Trap1
GO:0070063	RNA polymerase binding	http://amigo.geneontology.org/amigo/term/GO:0070063	0.5538217877829921	2.0781403940617977	0	7.243536922778034e-4	56	./Project_wg_result1568401775_GSEA/GO_0070063.png	20	235497;70769;21453;54624;18627;67628;54196;56070;57261;68877;219158;24075;101471;233208;70571;30948;170472;51810;19035;226830	Anp32b;Bin1;Brd4;Ccar2;Hnrnpu;Leo1;Maf1;Nolc1;Pabpn1;Paf1;Per2;Phrf1;Ppib;Recql5;Scaf1;Smyd2;Taf10;Tcerg1;Tcerg1l;Tcof1
GO:0099589	serotonin receptor activity	http://amigo.geneontology.org/amigo/term/GO:0099589	-0.6613332035657791	-2.1227505940571354	0	0.0010734226574330413	24	./Project_wg_result1568401775_GSEA/GO_0099589.png	14	15562;15558;243764;15566;15550;15563;12671;15557;258770;100043474;258939;15560;258369;257891	Chrm2;Chrm3;Htr1a;Htr1f;Htr2a;Htr2c;Htr4;Htr5a;Htr7;Olfr1564;Olfr472;Olfr479;Olfr509;Olfr63
