geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
P00024	Glycolysis	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00024	0.672102307817068	1.9078712595882512	0.002057613164490508	0.04098073555166374	16	./Project_wg_result1570572414_GSEA/P00024.png	12	14433;14751;18746;11674;18655;56012;21991;15275;18641;433182;18648;13807	Aldoa;Eno1b;Eno2;Gapdh;Gpi1;Hk1;Pfkl;Pgam1;Pgam2;Pgk1;Pkm;Tpi1
P00049	Parkinson disease	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00049	0.42151361477038274	1.6753171883552522	0.0018248175149182162	0.1756859311150029	76	./Project_wg_result1570572414_GSEA/P00049.png	40	15481;56424;110355;103236;22627;19170;26442;14360;22630;15511;23939;12988;27373;26443;13001;22629;26416;54401;30931;22628;26441;140499;22223;67847;104069;20617;15526;22631;19177;14828;20618;13000;171469;19171;15512;15162;14763;100226;20779;21823	Csk;Csnk1e;Csnk1g2;Csnk2a2;Csnk2b;Fyn;Gpr37;Gpr37l1;Grk2;Hck;Hspa1b;Hspa2;Hspa5;Hspa8;Hspa9;Mapk14;Mapk7;Psma4;Psma5;Psma6;Psmb1;Psmb10;Psmb7;Snca;Sncaip;Sncb;Sncg;Src;Stub1;Stx12;Th;Tor1a;Ube2j2;Uchl1;Ywhab;Ywhae;Ywhag;Ywhah;Ywhaq;Ywhaz
P05911	Angiotensin II-stimulated signaling through G proteins and beta-arrestin	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05911	0.5182414488744832	1.684982407425452	0.007207207194221249	0.23393169877408054	31	./Project_wg_result1570572414_GSEA/P05911.png	15	110355;18750;26396;13653;16438;109689;26395;18797;26385;18796;14710;16440;14697;66066;216869	Arrb1;Arrb2;Egr1;Gnb5;Gng11;Gngt2;Grk2;Grk6;Itpr1;Itpr3;Map2k1;Map2k2;Plcb2;Plcb3;Prkca
P00002	Alpha adrenergic receptor signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00002	0.538527501475593	1.5409338858282862	0.04727272718677686	0.2692206654991243	17	./Project_wg_result1570572414_GSEA/P00002.png	8	58244;18750;16438;18797;18754;14672;18796;22317	Gna11;Itpr1;Plcb2;Plcb3;Prkca;Prkce;Stx6;Vamp1
P05912	Dopamine receptor mediated signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05912	0.42279973876768145	1.5121507656730695	0.02018348620149819	0.2873530147610708	41	./Project_wg_result1570572414_GSEA/P05912.png	18	269587;19049;13821;19045;209195;109731;20619;67474;12846;13488;13490;22317;66066;22320;192176;19047;19088;13489	Clic6;Comt;Drd1;Drd2;Drd3;Epb41;Epb41l1;Flna;Gng11;Maob;Ppp1ca;Ppp1cc;Ppp1r1b;Prkar2b;Snap23;Snap29;Vamp1;Vamp8
P00013	Cell cycle	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00013	0.5827556382981985	1.5423514002461403	0.04081632645488622	0.3201050788091068	14	./Project_wg_result1570572414_GSEA/P00013.png	7	19185;17463;69077;22123;12443;66997;99152	Anapc2;Ccnd1;Psmd11;Psmd12;Psmd3;Psmd4;Psmd7
P00029	Huntington disease	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00029	0.3741957877690423	1.5667037231902046	0.005119453916178406	0.3360989492119089	105	./Project_wg_result1570572414_GSEA/P00029.png	34	74325;13191;14433;23969;11465;11652;23830;14281;20602;13385;11651;15114;73916;26400;19125;80981;20683;22151;73710;11844;16476;11845;235661;13424;11867;545486;29816;270097;11461;12370;13427;545156;17274;22059	Actb;Actg1;Akt1;Akt2;Arf5;Arf6;Arl4d;Arpc1b;Capn10;Casp8;Cltb;Dctn1;Dlg4;Dync1h1;Dync1i2;Dync1li1;Fos;Gapdh;Hap1;Hip1r;Ift57;Jun;Kalrn;Map2k7;Ncor2;Pacsin1;Prodh;Rab8a;Sp1;Trp53;Tubb1;Tubb2a;Tubb2b;Vat1l
P04398	p53 pathway feedback loops 2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04398	-0.4478470578658009	-1.5717300150906302	0.0045146726760391135	0.4145290581162325	39	./Project_wg_result1570572414_GSEA/P04398.png	8	20437;74769;19211;18706;19645;19052;12450;18704	Ccng1;Pik3c2a;Pik3ca;Pik3cb;Ppp2ca;Pten;Rb1;Siah1a
P02744	Fructose galactose metabolism	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02744	0.544199326258622	1.287393427916652	0.20750988101282633	0.5678108581436077	9	./Project_wg_result1570572414_GSEA/P02744.png	6	11674;74246;15275;16548;15277;11676	Aldoa;Aldoc;Gale;Hk1;Hk2;Khk
P00023	General transcription regulation	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00023	0.41779007476070973	1.3432633095656303	0.10444874254458657	0.5695908294857507	27	./Project_wg_result1570572414_GSEA/P00023.png	9	98053;66420;21343;66653;69833;68776;245841;66464;14885	Brf2;Gtf2f1;Gtf2h4;Polr2e;Polr2f;Polr2h;Taf11;Taf12;Taf6
