geneSet	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GGAANCGGAANY_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/GGAANCGGAANY_UNKNOWN	0.4627700005168611	2.01829912418348	0	0.001137366142320064	132	./Project_wg_result1568401860_GSEA/GGAANCGGAANY_UNKNOWN.png	58	225896;231887;22186;20926;213895;20174;53609;13854;81845;73830;104394;106039;22185;232337;104458;353242;14911;68953;70767;14694;70297;76793;224727;19265;24075;269997;23942;19943;320360;74451;116870;101023;78294;56529;66286;13001;72454;13480;69072;75284;233887;30931;30926;23881;17764;11973;20130;67671;218811;230676;80509;75620;30934;225207;68092;105980075;320011;57751	Atp6v1e1;Bag6;Bcdin3d;Bms1;Ccdc71;Chmp2a;Clasrp;Csnk2b;Dpm1;E2f4;Ebna1bp2;Eif3k;Epn1;G3bp2;Gcc2;Gga1;Glrx3;Gm20716;Gpank1;Kxd1;Med8;Mrpl21;Mta1;Mta2;Mtf1;Ncbp2;Pdap1;Pgs1;Prpf3;Ptprcap;Rack1;Rars;Ric3;Rnf25;Rpl28;Rpl38;Rps27a;Rras;Ruvbl2;Sec11a;Sec11c;Sec24c;Snip1;Supt6;Szt2;Taf10;Thumpd3;Tor1a;Tor1b;U2af2;Uba52;Ubxn1;Uggt1;Zfp513;Zfp521;Zfp553;Zfp637;Zfp747
GATGKMRGCG_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/GATGKMRGCG_UNKNOWN	0.4495721510645487	1.8417422605995077	0	0.01137366142320064	87	./Project_wg_result1568401860_GSEA/GATGKMRGCG_UNKNOWN.png	29	21429;621100;68193;13629;236732;65945;18541;53890;12914;60441;140743;232791;20624;22627;268980;13430;329251;68379;27176;22630;12912;56748;16179;232370;20841;268795;20933;71978;56808	Cacna2d2;Ciz1;Clstn1;Clstn3;Cnot3;Creb1;Crebbp;Dnm2;Eef2;Eftud2;Irak1;Med22;Mrpl38;Nfu1;Pcnt;Ppp1r12b;Ppp2r2a;Rbm10;Rem2;Rpl24;Rpl27-ps3;Rpl7a;Rpl7a-ps3;Sart3;Strn;Ubtf;Ywhae;Ywhaq;Zfp143
PPARG_01	http://www.broadinstitute.org/gsea/msigdb/cards/PPARG_01	0.4599810702776111	1.7517797300950437	0	0.018197858277121025	59	./Project_wg_result1568401860_GSEA/PPARG_01.png	23	66656;57317;621100;54214;26379;27223;21985;11764;54524;69269;14791;12804;319651;72454;67538;56445;70584;66230;17713;14979;77771;13864;55949	Ap1b1;Ccdc71;Cntfr;Csrnp3;Dnaja2;Eef1b2;Eef1d;Emg1;Esrra;Golga4;Grpel1;H2-Ke6;Mrps28;Nr2f6;Pak4;Rpl27-ps3;Scnm1;Srsf4;Syt6;Tpd52;Trp53bp1;Usp37;Zswim3
SRF_01	http://www.broadinstitute.org/gsea/msigdb/cards/SRF_01	0.457470015247631	1.759558586809605	0	0.021609956704081217	61	./Project_wg_result1568401860_GSEA/SRF_01.png	25	60595;22003;14281;21828;14282;58244;11472;17904;22388;109711;21827;59069;13653;18797;13654;68794;12631;18796;11749;109624;12331;11461;71711;74117;192176	Actb;Actn1;Actn2;Actn4;Actr3;Anxa6;Cald1;Cap1;Cfl1;Egr1;Egr2;Flna;Flnc;Fos;Fosb;Mus81;Myl6;Plcb2;Plcb3;Stx6;Thbs3;Thbs4;Tpm1;Tpm3;Wdr1
DR1_Q3	http://www.broadinstitute.org/gsea/msigdb/cards/DR1_Q3	0.3423784370953569	1.6655518126006064	0	0.022747322846401283	313	./Project_wg_result1568401860_GSEA/DR1_Q3.png	105	13435;66656;57317;12034;13191;208643;13498;54214;66660;108121;70673;26379;18746;140781;12315;194401;66592;320678;18124;71764;14184;17886;71960;80752;15510;107338;269881;71752;21953;12314;15370;14229;319278;11764;68083;57776;384071;216150;15469;69269;269997;11426;68323;217125;18802;13728;17996;14791;193736;18810;66152;54126;103694;13518;12804;13358;68703;319651;216197;260305;233073;57278;245841;237940;12724;13497;26562;67538;89867;69727;22295;16981;56445;171580;20668;17884;19270;118452;21853;22059;99382;17175;19647;330836;70584;213550;329628;16980;26403;230676;80509;232944;72349;17713;20333;14979;192652;56349;18654;243914;320878;268595;20655;77771;17888	A230050P20Rik;Abtb2;Aoc2;Ap1b1;Arhgef7;Atn1;Baalc;Bcam;C2cd2l;Calm2;Calm3;Cdc34;Cdh23;Ckap4;Clcn2;Cntfr;Csrnp3;D430019H16Rik;Dctn1;Dis3l;Dnaja2;Dnmt3a;Drp2;Dst;Dusp3;Eef1d;Eif4g1;Emg1;Esrra;Fam20c;Fat4;Fgfr3;Fkbp5;Gbf1;Golga4;Grpel1;Gtf3c2;H2-Ke6;Hspd1;Iffo1;Lgi4;Lrrn2;Lrrn3;Macf1;Map3k10;Map3k11;Mark2;Mark4;Masp2;Med8;Mical1;Mical2;Mical3;Myh14;Myh4;Myh6;Myh7;Myh9;Ncdn;Neb;Net1;Nphp4;Nr4a1;Nr4a3;Nudt22;Pak1ip1;Pak4;Pgf;Phb2;Pkm;Plcd4;Plec;Polr2h;Prdm16;Prmt1;Ptprg;Rbbp6;Rere;Samd14;Scnm1;Sec16b;Sec22b;Slc25a1;Slc25a34;Slc7a6;Sltm;Sod1;Sox13;Srsf4;Stoml2;Szt2;Timeless;Tmed4;Tnni2;Trp53;Ttyh1;U2af1;U2af1l4;Uqcr10;Usp37;Usp46;Wdr81;Zbtb12;Zfp747;Zswim3
SCGGAAGY_ELK1_02	http://www.broadinstitute.org/gsea/msigdb/cards/SCGGAAGY_ELK1_02	0.3069010853230681	1.6778273165805526	0	0.02331600591756131	1448	./Project_wg_result1568401860_GSEA/SCGGAAGY_ELK1_02.png	438	67302;13433;102122;22184;59014;15516;18221;66656;57317;56307;233876;66070;76130;67959;70333;19941;19921;22687;54645;225896;231887;66538;621100;217207;12048;22186;56463;21453;101206;67949;20926;58233;15519;269682;12034;217715;53333;12468;68077;66483;22273;12539;17256;53609;13854;22003;57741;20909;14433;20084;59042;72726;53869;67025;50783;13198;13629;74178;18627;231769;23996;19246;101612;233833;16796;19179;233863;338371;228005;20924;56208;65961;70616;11465;224705;78266;64340;81845;666311;20183;20044;15502;22225;74322;72055;269585;238247;228998;56613;27967;74111;76022;12626;56323;104394;234374;18738;106039;22260;12914;20227;22185;27267;67065;66642;233900;269639;226562;232337;66455;107271;20104;71901;235036;66592;68836;97961;58244;232791;20624;22627;56321;268980;14911;20103;67186;75062;67023;223691;68299;23918;66053;68953;66089;11769;17904;53861;232236;70297;76497;67811;68339;26412;56361;214552;15925;269881;76793;22122;66912;20591;12321;71752;57315;76233;240514;224727;83703;68147;19170;56715;56191;81489;18100;28135;19727;22375;230737;56354;72047;18475;81601;100210;110379;272027;11764;11674;22388;26442;319601;192236;59069;24075;73430;76916;67956;234729;12261;193043;53817;56200;67229;13653;211007;54198;338350;108083;51812;66394;67480;23942;107071;26894;360213;67769;94062;68323;12915;14450;70238;72029;17754;276770;28000;67040;74451;75430;53332;22757;116870;21647;52705;17536;54484;68032;69833;101023;58234;78586;64383;13728;72075;12856;13872;20091;70450;195040;227632;244219;13418;66867;109331;56440;240057;67223;98828;14791;217692;19035;71268;19181;27373;208144;226823;26443;224897;73825;54126;67414;237107;13660;16150;56529;319984;78816;13654;70020;216963;69721;14784;66286;69116;70233;13001;30951;59045;13358;276905;330171;170731;20497;216443;77040;208146;26431;212514;67235;68089;68991;72454;100732;13480;230721;54218;22027;68770;241490;14790;27681;19364;64294;68776;108857;19336;19988;232910;23983;245841;246198;11767;22278;22758;69837;67588;97287;21846;52708;69192;74241;67736;68205;69072;75284;28015;66997;14977;20416;26394;54401;60409;67803;19826;228545;233887;12724;67869;69047;69562;16363;22194;233905;171212;18207;19326;74407;78920;80281;12175;12331;19358;56690;21927;224619;76901;22340;75909;102626;78428;94275;105446;16434;26441;11461;233204;30957;66355;70078;94352;23821;68925;233805;66618;11991;22689;56626;66262;74717;214899;78246;17764;22646;67106;72590;66367;11429;15185;54197;66663;72607;17274;58249;65102;67465;17755;22059;67755;19345;19647;71834;380773;73075;270201;66548;66593;20130;66926;22130;71609;76889;114741;17169;19821;67674;18286;210135;22631;18107;57279;69085;15461;19951;218811;26403;230676;233824;319740;76932;80509;94246;17220;232196;57440;66320;109785;216618;13205;13681;210274	2310022A10Rik;Aatf;Acad12;Aco2;Actb;Actg1;Adamtsl5;Aldoa;Anapc15;Ankhd1;Ap1b1;Ap1m1;Ap1s1;Ap2s1;Arfgap1;Arfip2;Arhgef7;Arid4a;Arid4b;Armc7;Arpc4;Atf6b;Atg16l1;Atp2c2;B3galt4;Bace1;Bag6;Bcdin3d;Bcl2l1;Becn1;Bnip2;Bzw2;C1qbp;C87436;Calu;Cap1;Cars;Cbx8;Ccdc130;Ccdc174;Ccdc71;Ccdc85b;Ccdc88c;Cct7;Cd2bp2;Cd3eap;Cdc123;Cdc37;Cdk13;Cep164;Cep63;Cetn3;Cfap36;Cherp;Chmp2a;Chpf;Clasrp;Clcn2;Cnot3;Cnpy3;Cnpy4;Cog7;Cope;Cops7a;Coq8b;Cox17;Crebbp;Csnk1e;Csnk2b;Ctnnbl1;Cttnbp2nl;Cwc15;Cwc25;Cxxc1;Dbr1;Dcun1d3;Ddit3;Ddx17;Ddx21;Ddx39b;Ddx3x;Ddx42;Ddx47;Ddx49;Dhx16;Dhx37;Dhx38;Dhx8;Diablo;Dlst;Dnaja1;Dnaja4;Dnajb1;Dnajb5;Dnajc1;Dnajc7;Dnmt1;Dnttip1;Dpm1;Dpp9;E2f4;Ebna1bp2;Eef1d;Eef2;Eftud2;Egr1;Egr2;Ehd1;Ehd3;Eif2b2;Eif3l;Eif4a1;Eif5a;Emc4;Emg1;Endov;Epn1;Ercc3;Fam192a;Fam219a;Fibp;Galnt10;Gapdh;Gar1;Gart;Gcc2;Gga1;Git1;Git2;Gmip;Gmpr;Gmpr2;Gnl2;Gnl3l;Golga3;Gon4l;Gpank1;Gpatch2;Gpn2;Grb2;Grcc10;Gripap1;Grwd1;Gtf3c1;Gtf3c2;Hdac6;Hirip3;Hmg20a;Hnrnpd;Hps1;Hras;Hsp90aa1;Hsp90ab1;Hsp90b1;Ide;Ikbkb;Impdh2;Ing5;Ino80b;Irf2;Itm2c;Itpa;Jade2;Jph4;Kat5;Kcnt1;Kctd10;Kctd3;Kdm5a;Kdm5c;Klhl18;Kmt5a;Krr1;Las1l;Lasp1;Limd2;Loxl2;Lrrfip2;Lsm4;Lypla2;Maged1;Map1a;Map1b;Map3k10;Map3k11;Map4k2;Mapk8ip3;Mapkapk3;Mapre3;Mark2;Mark3;Mars;Mcm7;Mcrs1;Mea1;Med8;Meis2;Metap2;Mfn1;Mfn2;Mkrn1;Mllt6;Mlycd;Mrpl3;Mrpl40;Mrpl52;Mta1;Mta2;Mtf1;Mtmr1;Mtmr14;Myl6;Nif3l1;Nifk;Nkiras1;Nmt1;Noc2l;Nol12;Nol7;Nop53;Nosip;Nr1h2;Nthl1;Nudc;Nudt22;Odf2;Ogfr;Pabpc4;Pafah1b2;Paip2;Pcbp1;Pcgf1;Pdap1;Per2;Pgm3;Pgs1;Phb2;Phf23;Phtf2;Pip4k2b;Pitpna;Poldip2;Poll;Polr2f;Polr2h;Polr2m;Polr3d;Ppan;Ppib;Ppig;Ppil2;Ppil6;Ppme1;Ppp1r11;Ppp1r21;Prpf18;Prpf19;Prrc2c;Psma4;Psma5;Psma6;Psmb1;Psmc1;Psmc2;Psmc4;Psmd12;Ptpn1;Puf60;Pus1;Pym1;Rab11a;Rab11b;Rab24;Rab5c;Rab8a;Rabgef1;Rad23a;Rad51d;Rbbp6;Rbm19;Rbm45;Rfxank;Rmnd5b;Rnf168;Rnf2;Rnf20;Rnf40;Rnf41;Rnf5;Rnps1;Rpap1;Rpl11;Rpl19;Rpl26;Rpl27-ps3;Rpl32;Rpl36al;Rpl6;Rplp2;Rps14;Rps18;Rps19bp1;Rps3a1;Rps5;Rps6;Rps6ka4;Rras;Rrp15;Rrs1;Rxrg;Sart1;Sec11a;Sec11c;Sec13;Sec24c;Sf3a1;Sf3a3;Sfswap;Shank2;Shank3;Shc1;Sipa1l1;Sirt2;Slc12a3;Slc25a1;Slc25a20;Slc38a10;Slc39a7;Slirp;Snd1;Snf8;Snip1;Snrnp27;Snx1;Snx3;Spata17;Spice1;Srbd1;Srsf4;Ssu72;Stard3;Stk40;Stoml2;Strn;Stx4a;Stx6;Sugp1;Supt16;Supt5;Supt6;Syngap1;Szt2;Tada3;Taf10;Taf11;Tbc1d17;Tbcc;Tcof1;Tcte3;Thumpd3;Tie1;Timmdc1;Tmem199;Tmem208;Tnfaip1;Tnrc6a;Tomm40;Tpm1;Tpm3;Tradd;Traf7;Trappc4;Trim41;Trim46;Trmt112;Trmt6;Tro;Trp53;Tsta3;Tstd2;Ttc25;Ttf1;U2af2;Uba5;Uba52;Ube2e1;Ubr4;Ubxn1;Unc13d;Uqcrc1;Urm1;Use1;Usf1;Usp13;Usp5;Utp3;Vac14;Vegfb;Vmp1;Vps18;Vps52;Vps53;Wars;Wdr1;Wdr46;Wdr74;Yars;Yeats2;Ywhab;Ywhae;Ywhaz;Zbtb43;Zbtb8os;Zc3h13;Zcchc9;Zfp105;Zfp180;Zfp27;Zfp3;Zfp410;Zfp512;Zfp513;Zfp553;Zfp637;Zfp646;Zfp653;Zfp668;Zfp687;Zfp974;Zfyve27;Zkscan14;Zkscan5;Zpr1;Zranb2;Zrsr2;Zscan12;Zscan20;Zscan25
CACBINDINGPROTEIN_Q6	http://www.broadinstitute.org/gsea/msigdb/cards/CACBINDINGPROTEIN_Q6	0.32800709801112216	1.6132707423979584	0	0.027183050801449532	352	./Project_wg_result1568401860_GSEA/CACBINDINGPROTEIN_Q6.png	111	102122;208606;20586;22282;381677;13191;208643;53869;16796;67155;68544;11652;54196;226646;140781;54376;20853;21828;227290;76265;50932;18124;67971;268980;16562;17886;71960;11651;56695;94187;69202;58208;56191;18750;81601;54524;19045;21827;56403;80981;381979;22630;108083;16969;504193;16438;360213;269116;11482;11803;56044;17754;67040;16560;67160;13728;16569;68490;19724;16728;16570;268958;319984;19765;18208;83814;13628;70497;18515;11910;74326;140703;26385;14710;66049;75770;18715;241624;69562;16440;13497;18557;19326;26562;19725;67538;94275;16559;22295;319211;69186;17884;17755;22059;16568;29813;56449;74770;213498;74148;19047;233878;16011;73047;114741;12292;22209;329628;59024;74189;18107	Aamp;Acvrl1;Akt1;Akt2;Aplp1;Arhgap17;Arhgef11;Arl4d;Atf3;Bcl11b;Brsk1;Brsk2;Cacna1s;Cacng3;Camk2n2;Capn11;Cdh23;Cdk13;Cdk18;Cluh;Dctn1;Ddx17;Drp2;Eef1a2;Eef1g;Eif4g1;Emid1;Exd1;Fam192a;Fat4;Gngt2;Grk6;Hhatl;Hnrnpr;Igfbp5;Itpr1;Itpr3;Jph4;Kat5;Kif17;Kif1a;Kif1c;Kif3a;Kif3b;Kif3c;L1cam;Lasp1;Maged1;Map1a;Map1b;Mark2;Med12;Mink1;Myh14;Myh4;Myh7;Myh9;Ncdn;Ndufs2;Nedd4l;Nfasc;Nmt1;Nol4;Npcd;Nr4a3;Ntn1;Pabpn1;Pbx2;Phactr3;Pim2;Pip4k2b;Pnkd;Ppp1ca;Ppp1cc;Prkca;Ptms;Rab11a;Rab11b;Rala;Ralbp1;Rfx1;Rfx2;Rogdi;Rsrc2;Sez6l2;Smarca2;Smarca4;Stau1;Strn;Supt16;Syncrip;Syt6;Thbs3;Thbs4;Tmem256;Tppp3;Trim46;Trir;Tro;Trp53;Tsen54;Ube2a;Usf2;Vgf;Ybx3;Ywhaq;Zbtb7a;Zfp385a;Zfp423;Zfp579;Zswim3
GTTRYCATRR_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/GTTRYCATRR_UNKNOWN	0.3561268719942647	1.6784486543472596	0	0.02775173387260956	251	./Project_wg_result1568401860_GSEA/GTTRYCATRR_UNKNOWN.png	97	14433;228140;245038;228983;78266;20681;66075;209773;217201;27223;381290;15184;66592;16825;50932;18124;76071;22627;268980;11769;245469;18750;18739;74239;54524;269713;13619;69684;14360;22630;269116;235604;76217;56430;347722;56437;68566;22151;16569;217732;227541;11733;18125;57808;73710;16728;11928;16570;70020;207592;81910;216439;67235;68770;140579;14560;22278;229534;545486;54401;208727;18715;26562;16559;232975;56626;215303;18222;16568;52163;270201;320707;78779;59095;22631;73844;216618;50997;64291;72349;80906;99349;53314;69660;14979;22152;227613;59057;18712;56188;223775;433700;239618;78267;22154;98660;15525	Aarsd1;Agap1;Agap2;Ank1;Ankrd45;Ap1s1;Atp1a1;Atp1a2;Atp1a3;Atp2b3;Atp2b4;Batf;Caly;Camk1;Camk1d;Camk1g;Camkv;Cfap36;Chchd3;Cipc;Clip1;Clip2;Dclk3;Dennd2a;Dnajc24;Dusp3;Elmo2;Fxyd1;Fxyd6;Fyn;Gapdh;Gdf10;H2-Ke6;Hdac4;Hdac5;Hspa4;Ino80b;Iqce;Jakmip1;Jakmip2;Kcnip2;Kif17;Kif3a;Kif3b;Kif3c;Klhdc8b;Klhl18;L1cam;Ldb1;Mink1;Mpp2;Ncdn;Nfasc;Nos1;Nr4a3;Numb;Osbpl1a;Osbpl2;Pbxip1;Pdzd4;Pdzrn4;Phc1;Phtf2;Pim1;Pim2;Pim3;Pitpnm1;Poll;Prkca;Rpl35a;Rrad;Rrbp1;Rundc1;Sox8;Spag8;Spata2l;Stoml2;Strn;Syt6;Tbc1d16;Tmbim1;Tnks1bp1;Trp53bp1;Tubb1;Tubb2a;Tubb2b;Tubb3;Tubb4b;Tubb5;Usf1;Ywhab;Ywhae;Ywhaq;Ywhaz;Zfp24;Zfp687;Zkscan14
ETS2_B	http://www.broadinstitute.org/gsea/msigdb/cards/ETS2_B	0.3256114480812551	1.6311169769526295	0	0.028149812022421585	394	./Project_wg_result1568401860_GSEA/ETS2_B.png	127	224903;226169;12330;22668;224902;53869;245038;26360;78266;16201;228836;12913;50780;73830;70549;54196;56070;18738;140781;12757;233900;12315;21417;227290;16825;71679;24136;217124;17886;71960;20418;56695;23918;329251;269881;66912;12709;12380;21953;240514;26941;12314;11764;14421;98999;74246;21894;13653;14360;51799;18481;16969;69710;17931;16438;235604;276770;76900;17536;20194;213582;227541;664799;320127;109331;238317;240057;217692;16970;78317;54126;116848;13844;16150;20841;216963;68794;12804;18143;26431;18826;22724;140579;211945;387609;13836;18479;67803;171504;259172;69562;16440;19326;211232;102626;18553;105446;20353;66355;94352;231093;235312;13842;14605;170758;22646;22323;17884;208659;215303;66066;52163;71729;213498;74117;192176;12292;16421;16597;68588;26403;277463;171207;18187;56177;73847;11784	Aamp;Actr3;Agbl5;Angptl2;Ap1b1;Apba2;Apobr;Arap1;Arhgap4;Arhgef11;Arhgef7;Atp5h;B4galnt1;Baz2a;Bzw2;C1qtnf5;Cacna1s;Calm2;Calm3;Camk1;Camk1d;Camk1g;Camkv;Canx;Cast;Ccdc85b;Ccdc88b;Cdk13;Ckb;Clta;Cntfr;Cpne9;Creb3;Ctcfl;Cthrc1;Dclk3;Dgki;Dlgap4;Egr1;Eif3k;Eif5a;Elmo2;Elmsan1;Epha2;Epha8;Ephb2;Fam110a;Fam20a;Flna;Flnc;Fyn;Gale;Git1;Git2;Gmpr;Gmpr2;Gng11;Gpr107;Ikbkb;Ilf3;Impdh2;Itgb7;Itpr1;Itpr3;Klf12;Lcp1;Ldb1;Limd2;Loxl2;Lrmp;Map3k10;Map3k11;Map9;Mapkapk3;Meis2;Mfrp;Myh14;Myh4;Myh7;Myh9;Npas2;Nrp2;Olfm1;Pabpn1;Pak1;Pak3;Pcsk6;Pitpna;Plekhh1;Pnkd;Ppp1r12a;Ppp1r12b;Ppp1r9b;Pprc1;Rab11a;Rab11b;Rac3;Rgs12;Rgs3;Rnf20;Rnf40;Rundc3a;S100a10;Safb;Safb2;Sema4c;Sf1;Shc3;Sipa1l1;Slc9a3r1;Ssbp4;Syngap1;Tcerg1;Tln1;Tln2;Tnni2;Tsc22d3;Vasp;Zbtb7a;Zbtb7b;Zeb1;Zeb2;Zfp105;Zfp143;Zfp687;Zhx2;Znfx1
PPARA_01	http://www.broadinstitute.org/gsea/msigdb/cards/PPARA_01	0.4364304996968228	1.6168543591256284	0.003787878780704775	0.029066023637068308	54	./Project_wg_result1568401860_GSEA/PPARA_01.png	19	17120;19921;13498;110826;70673;26379;140781;12295;12224;17886;71960;217125;21961;68703;246198;56445;17884;19270;17175	Atn1;Cacnb1;Dnaja2;Esrra;Etfb;Klf5;Mad1l1;Masp2;Mllt6;Myh14;Myh4;Myh7;Myh9;Prdm16;Ptprg;Rere;Rpl19;Samd14;Tns1
