userId	geneSymbol	geneName	entrezgene	gLink
Use1	Use1	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	67023	https://www.ncbi.nlm.nih.gov/gene/?term=67023
Rundc3a	Rundc3a	RUN domain containing 3A	51799	https://www.ncbi.nlm.nih.gov/gene/?term=51799
Ppp1r1a	Ppp1r1a	protein phosphatase 1, regulatory inhibitor subunit 1A	58200	https://www.ncbi.nlm.nih.gov/gene/?term=58200
Rnf10	Rnf10	ring finger protein 10	50849	https://www.ncbi.nlm.nih.gov/gene/?term=50849
Cenpb	Cenpb	centromere protein B	12616	https://www.ncbi.nlm.nih.gov/gene/?term=12616
Nabp2	Nabp2	nucleic acid binding protein 2	69917	https://www.ncbi.nlm.nih.gov/gene/?term=69917
Akap9	Akap9	A kinase (PRKA) anchor protein (yotiao) 9	100986	https://www.ncbi.nlm.nih.gov/gene/?term=100986
Pop7	Pop7	processing of precursor 7, ribonuclease P family, (S. cerevisiae)	74097	https://www.ncbi.nlm.nih.gov/gene/?term=74097
Ubqln4	Ubqln4	ubiquilin 4	94232	https://www.ncbi.nlm.nih.gov/gene/?term=94232
Rpl24	Rpl24	ribosomal protein L24	68193	https://www.ncbi.nlm.nih.gov/gene/?term=68193
Rps18	Rps18	ribosomal protein S18	20084	https://www.ncbi.nlm.nih.gov/gene/?term=20084
Map3k10	Map3k10	mitogen-activated protein kinase kinase kinase 10	269881	https://www.ncbi.nlm.nih.gov/gene/?term=269881
Psmc5	Psmc5	protease (prosome, macropain) 26S subunit, ATPase 5	19184	https://www.ncbi.nlm.nih.gov/gene/?term=19184
Nab2	Nab2	Ngfi-A binding protein 2	17937	https://www.ncbi.nlm.nih.gov/gene/?term=17937
Rps4x	Rps4x	ribosomal protein S4, X-linked	20102	https://www.ncbi.nlm.nih.gov/gene/?term=20102
Klhl2	Klhl2	kelch-like 2, Mayven	77113	https://www.ncbi.nlm.nih.gov/gene/?term=77113
Kmt5a	Kmt5a	lysine methyltransferase 5A	67956	https://www.ncbi.nlm.nih.gov/gene/?term=67956
Erc2	Erc2	ELKS/RAB6-interacting/CAST family member 2	238988	https://www.ncbi.nlm.nih.gov/gene/?term=238988
Plekha5	Plekha5	pleckstrin homology domain containing, family A member 5	109135	https://www.ncbi.nlm.nih.gov/gene/?term=109135
Aff3	Aff3	AF4/FMR2 family, member 3	16764	https://www.ncbi.nlm.nih.gov/gene/?term=16764
Abhd17a	Abhd17a	abhydrolase domain containing 17A	216169	https://www.ncbi.nlm.nih.gov/gene/?term=216169
Zfp523	Zfp523	zinc finger protein 523	224656	https://www.ncbi.nlm.nih.gov/gene/?term=224656
Rps23	Rps23	ribosomal protein S23	66475	https://www.ncbi.nlm.nih.gov/gene/?term=66475
Stard10	Stard10	START domain containing 10	56018	https://www.ncbi.nlm.nih.gov/gene/?term=56018
Arc	Arc	activity regulated cytoskeletal-associated protein	11838	https://www.ncbi.nlm.nih.gov/gene/?term=11838
Pard3	Pard3	par-3 family cell polarity regulator	93742	https://www.ncbi.nlm.nih.gov/gene/?term=93742
Eef1g	Eef1g	eukaryotic translation elongation factor 1 gamma	67160	https://www.ncbi.nlm.nih.gov/gene/?term=67160
Asna1	Asna1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	56495	https://www.ncbi.nlm.nih.gov/gene/?term=56495
Nr4a3	Nr4a3	nuclear receptor subfamily 4, group A, member 3	18124	https://www.ncbi.nlm.nih.gov/gene/?term=18124
Sdhb	Sdhb	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	67680	https://www.ncbi.nlm.nih.gov/gene/?term=67680
Ap1s1	Ap1s1	adaptor protein complex AP-1, sigma 1	11769	https://www.ncbi.nlm.nih.gov/gene/?term=11769
Rpl12	Rpl12	ribosomal protein L12	269261	https://www.ncbi.nlm.nih.gov/gene/?term=269261
Arhgap10	Arhgap10	Rho GTPase activating protein 10	78514	https://www.ncbi.nlm.nih.gov/gene/?term=78514
Rps17	Rps17	ribosomal protein S17	20068	https://www.ncbi.nlm.nih.gov/gene/?term=20068
Csnk1g2	Csnk1g2	casein kinase 1, gamma 2	103236	https://www.ncbi.nlm.nih.gov/gene/?term=103236
Samd4b	Samd4b	sterile alpha motif domain containing 4B	233033	https://www.ncbi.nlm.nih.gov/gene/?term=233033
Limk2	Limk2	LIM motif-containing protein kinase 2	16886	https://www.ncbi.nlm.nih.gov/gene/?term=16886
Cplx2	Cplx2	complexin 2	12890	https://www.ncbi.nlm.nih.gov/gene/?term=12890
Npas2	Npas2	neuronal PAS domain protein 2	18143	https://www.ncbi.nlm.nih.gov/gene/?term=18143
Zfhx2	Zfhx2	zinc finger homeobox 2	239102	https://www.ncbi.nlm.nih.gov/gene/?term=239102
Mamld1	Mamld1	mastermind-like domain containing 1	333639	https://www.ncbi.nlm.nih.gov/gene/?term=333639
Maz	Maz	MYC-associated zinc finger protein (purine-binding transcription factor)	17188	https://www.ncbi.nlm.nih.gov/gene/?term=17188
Rhox8	Rhox8	reproductive homeobox 8	434768	https://www.ncbi.nlm.nih.gov/gene/?term=434768
Prr15	Prr15	proline rich 15	78004	https://www.ncbi.nlm.nih.gov/gene/?term=78004
Rai1	Rai1	retinoic acid induced 1	19377	https://www.ncbi.nlm.nih.gov/gene/?term=19377
Eif4enif1	Eif4enif1	eukaryotic translation initiation factor 4E nuclear import factor 1	74203	https://www.ncbi.nlm.nih.gov/gene/?term=74203
Srf	Srf	serum response factor	20807	https://www.ncbi.nlm.nih.gov/gene/?term=20807
Cldn19	Cldn19	claudin 19	242653	https://www.ncbi.nlm.nih.gov/gene/?term=242653
Ankrd37	Ankrd37	ankyrin repeat domain 37	654824	https://www.ncbi.nlm.nih.gov/gene/?term=654824
Mgat4b	Mgat4b	mannoside acetylglucosaminyltransferase 4, isoenzyme B	103534	https://www.ncbi.nlm.nih.gov/gene/?term=103534
Sipa1l1	Sipa1l1	signal-induced proliferation-associated 1 like 1	217692	https://www.ncbi.nlm.nih.gov/gene/?term=217692
B4galnt1	B4galnt1	beta-1,4-N-acetyl-galactosaminyl transferase 1	14421	https://www.ncbi.nlm.nih.gov/gene/?term=14421
Endov	Endov	endonuclease V	338371	https://www.ncbi.nlm.nih.gov/gene/?term=338371
Ptms	Ptms	parathymosin	69202	https://www.ncbi.nlm.nih.gov/gene/?term=69202
Stk16	Stk16	serine/threonine kinase 16	20872	https://www.ncbi.nlm.nih.gov/gene/?term=20872
Dnmt3a	Dnmt3a	DNA methyltransferase 3A	13435	https://www.ncbi.nlm.nih.gov/gene/?term=13435
Tet1	Tet1	tet methylcytosine dioxygenase 1	52463	https://www.ncbi.nlm.nih.gov/gene/?term=52463
Tcf20	Tcf20	transcription factor 20	21411	https://www.ncbi.nlm.nih.gov/gene/?term=21411
Kctd2	Kctd2	potassium channel tetramerisation domain containing 2	70382	https://www.ncbi.nlm.nih.gov/gene/?term=70382
Speg	Speg	SPEG complex locus	11790	https://www.ncbi.nlm.nih.gov/gene/?term=11790
Lpl	Lpl	lipoprotein lipase	16956	https://www.ncbi.nlm.nih.gov/gene/?term=16956
Ppil6	Ppil6	peptidylprolyl isomerase (cyclophilin)-like 6	73075	https://www.ncbi.nlm.nih.gov/gene/?term=73075
Ppp2r5c	Ppp2r5c	protein phosphatase 2, regulatory subunit B', gamma	26931	https://www.ncbi.nlm.nih.gov/gene/?term=26931
Hmgxb3	Hmgxb3	HMG box domain containing 3	106894	https://www.ncbi.nlm.nih.gov/gene/?term=106894
