userId	geneSymbol	geneName	entrezgene	gLink
Mapre2	Mapre2	microtubule-associated protein, RP/EB family, member 2	212307	https://www.ncbi.nlm.nih.gov/gene/?term=212307
Sqstm1	Sqstm1	sequestosome 1	18412	https://www.ncbi.nlm.nih.gov/gene/?term=18412
Akt2	Akt2	thymoma viral proto-oncogene 2	11652	https://www.ncbi.nlm.nih.gov/gene/?term=11652
Fam219a	Fam219a	family with sequence similarity 219, member A	71901	https://www.ncbi.nlm.nih.gov/gene/?term=71901
Eno1	Eno1	enolase 1, alpha non-neuron	13806	https://www.ncbi.nlm.nih.gov/gene/?term=13806
Ddx24	Ddx24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	27225	https://www.ncbi.nlm.nih.gov/gene/?term=27225
Add1	Add1	adducin 1 (alpha)	11518	https://www.ncbi.nlm.nih.gov/gene/?term=11518
Trim35	Trim35	tripartite motif-containing 35	66854	https://www.ncbi.nlm.nih.gov/gene/?term=66854
Bag5	Bag5	BCL2-associated athanogene 5	70369	https://www.ncbi.nlm.nih.gov/gene/?term=70369
Kazn	Kazn	kazrin, periplakin interacting protein	71529	https://www.ncbi.nlm.nih.gov/gene/?term=71529
Gstz1	Gstz1	glutathione transferase zeta 1 (maleylacetoacetate isomerase)	14874	https://www.ncbi.nlm.nih.gov/gene/?term=14874
Cplx1	Cplx1	complexin 1	12889	https://www.ncbi.nlm.nih.gov/gene/?term=12889
Luc7l	Luc7l	Luc7-like	66978	https://www.ncbi.nlm.nih.gov/gene/?term=66978
Rangap1	Rangap1	RAN GTPase activating protein 1	19387	https://www.ncbi.nlm.nih.gov/gene/?term=19387
Morf4l2	Morf4l2	mortality factor 4 like 2	56397	https://www.ncbi.nlm.nih.gov/gene/?term=56397
Dnaja1	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1	15502	https://www.ncbi.nlm.nih.gov/gene/?term=15502
Lrpap1	Lrpap1	low density lipoprotein receptor-related protein associated protein 1	16976	https://www.ncbi.nlm.nih.gov/gene/?term=16976
Srrm3	Srrm3	serine/arginine repetitive matrix 3	58212	https://www.ncbi.nlm.nih.gov/gene/?term=58212
Celf3	Celf3	CUGBP, Elav-like family member 3	78784	https://www.ncbi.nlm.nih.gov/gene/?term=78784
Ift57	Ift57	intraflagellar transport 57	73916	https://www.ncbi.nlm.nih.gov/gene/?term=73916
Clstn1	Clstn1	calsyntenin 1	65945	https://www.ncbi.nlm.nih.gov/gene/?term=65945
Atn1	Atn1	atrophin 1	13498	https://www.ncbi.nlm.nih.gov/gene/?term=13498
Hsp90aa1	Hsp90aa1	heat shock protein 90, alpha (cytosolic), class A member 1	15519	https://www.ncbi.nlm.nih.gov/gene/?term=15519
Cyth2	Cyth2	cytohesin 2	19158	https://www.ncbi.nlm.nih.gov/gene/?term=19158
Uqcrc1	Uqcrc1	ubiquinol-cytochrome c reductase core protein 1	22273	https://www.ncbi.nlm.nih.gov/gene/?term=22273
Poldip2	Poldip2	polymerase (DNA-directed), delta interacting protein 2	67811	https://www.ncbi.nlm.nih.gov/gene/?term=67811
Klc1	Klc1	kinesin light chain 1	16593	https://www.ncbi.nlm.nih.gov/gene/?term=16593
Rrp1	Rrp1	ribosomal RNA processing 1 homolog (S. cerevisiae)	18114	https://www.ncbi.nlm.nih.gov/gene/?term=18114
Abcf2	Abcf2	ATP-binding cassette, sub-family F (GCN20), member 2	27407	https://www.ncbi.nlm.nih.gov/gene/?term=27407
Gars	Gars	glycyl-tRNA synthetase	353172	https://www.ncbi.nlm.nih.gov/gene/?term=353172
Ctps	Ctps	cytidine 5'-triphosphate synthase	51797	https://www.ncbi.nlm.nih.gov/gene/?term=51797
Cit	Cit	citron	12704	https://www.ncbi.nlm.nih.gov/gene/?term=12704
Cbx4	Cbx4	chromobox 4	12418	https://www.ncbi.nlm.nih.gov/gene/?term=12418
Kpna1	Kpna1	karyopherin (importin) alpha 1	16646	https://www.ncbi.nlm.nih.gov/gene/?term=16646
Stip1	Stip1	stress-induced phosphoprotein 1	20867	https://www.ncbi.nlm.nih.gov/gene/?term=20867
Ccdc181	Ccdc181	coiled-coil domain containing 181	74895	https://www.ncbi.nlm.nih.gov/gene/?term=74895
Ndufs2	Ndufs2	NADH:ubiquinone oxidoreductase core subunit S2	226646	https://www.ncbi.nlm.nih.gov/gene/?term=226646
Cct7	Cct7	chaperonin containing Tcp1, subunit 7 (eta)	12468	https://www.ncbi.nlm.nih.gov/gene/?term=12468
Sumo3	Sumo3	small ubiquitin-like modifier 3	20610	https://www.ncbi.nlm.nih.gov/gene/?term=20610
Dnaja4	Dnaja4	DnaJ heat shock protein family (Hsp40) member A4	58233	https://www.ncbi.nlm.nih.gov/gene/?term=58233
Nudt3	Nudt3	nudix (nucleotide diphosphate linked moiety X)-type motif 3	56409	https://www.ncbi.nlm.nih.gov/gene/?term=56409
Gripap1	Gripap1	GRIP1 associated protein 1	54645	https://www.ncbi.nlm.nih.gov/gene/?term=54645
Safb	Safb	scaffold attachment factor B	224903	https://www.ncbi.nlm.nih.gov/gene/?term=224903
Kif5c	Kif5c	kinesin family member 5C	16574	https://www.ncbi.nlm.nih.gov/gene/?term=16574
Ubb	Ubb	ubiquitin B	22187	https://www.ncbi.nlm.nih.gov/gene/?term=22187
Hspa8	Hspa8	NA	15481	https://www.ncbi.nlm.nih.gov/gene/?term=15481
Fkbp8	Fkbp8	FK506 binding protein 8	14232	https://www.ncbi.nlm.nih.gov/gene/?term=14232
Hars	Hars	histidyl-tRNA synthetase	15115	https://www.ncbi.nlm.nih.gov/gene/?term=15115
Abr	Abr	active BCR-related gene	109934	https://www.ncbi.nlm.nih.gov/gene/?term=109934
Aurkaip1	Aurkaip1	aurora kinase A interacting protein 1	66077	https://www.ncbi.nlm.nih.gov/gene/?term=66077
Eef2	Eef2	eukaryotic translation elongation factor 2	13629	https://www.ncbi.nlm.nih.gov/gene/?term=13629
Hagh	Hagh	hydroxyacyl glutathione hydrolase	14651	https://www.ncbi.nlm.nih.gov/gene/?term=14651
Arfgap1	Arfgap1	ADP-ribosylation factor GTPase activating protein 1	228998	https://www.ncbi.nlm.nih.gov/gene/?term=228998
Pde4dip	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)	83679	https://www.ncbi.nlm.nih.gov/gene/?term=83679
Rundc1	Rundc1	RUN domain containing 1	217201	https://www.ncbi.nlm.nih.gov/gene/?term=217201
Cltb	Cltb	clathrin, light polypeptide (Lcb)	74325	https://www.ncbi.nlm.nih.gov/gene/?term=74325
Ndufb10	Ndufb10	NADH:ubiquinone oxidoreductase subunit B10	68342	https://www.ncbi.nlm.nih.gov/gene/?term=68342
Psmc4	Psmc4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	23996	https://www.ncbi.nlm.nih.gov/gene/?term=23996
Arglu1	Arglu1	arginine and glutamate rich 1	234023	https://www.ncbi.nlm.nih.gov/gene/?term=234023
Aimp1	Aimp1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	13722	https://www.ncbi.nlm.nih.gov/gene/?term=13722
Rnf126	Rnf126	ring finger protein 126	70294	https://www.ncbi.nlm.nih.gov/gene/?term=70294
Actg1	Actg1	actin, gamma, cytoplasmic 1	11465	https://www.ncbi.nlm.nih.gov/gene/?term=11465
Mtcl1	Mtcl1	microtubule crosslinking factor 1	68617	https://www.ncbi.nlm.nih.gov/gene/?term=68617
Atp5h	Atp5h	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit D	71679	https://www.ncbi.nlm.nih.gov/gene/?term=71679
Tjp2	Tjp2	tight junction protein 2	21873	https://www.ncbi.nlm.nih.gov/gene/?term=21873
Gstp1	Gstp1	glutathione S-transferase, pi 1	14870	https://www.ncbi.nlm.nih.gov/gene/?term=14870
Ablim2	Ablim2	actin-binding LIM protein 2	231148	https://www.ncbi.nlm.nih.gov/gene/?term=231148
Men1	Men1	multiple endocrine neoplasia 1	17283	https://www.ncbi.nlm.nih.gov/gene/?term=17283
Cct3	Cct3	chaperonin containing Tcp1, subunit 3 (gamma)	12462	https://www.ncbi.nlm.nih.gov/gene/?term=12462
Tsen34	Tsen34	tRNA splicing endonuclease subunit 34	66078	https://www.ncbi.nlm.nih.gov/gene/?term=66078
Polr3d	Polr3d	polymerase (RNA) III (DNA directed) polypeptide D	67065	https://www.ncbi.nlm.nih.gov/gene/?term=67065
Rnf214	Rnf214	ring finger protein 214	235315	https://www.ncbi.nlm.nih.gov/gene/?term=235315
Hdgf	Hdgf	hepatoma-derived growth factor	15191	https://www.ncbi.nlm.nih.gov/gene/?term=15191
Pak1ip1	Pak1ip1	PAK1 interacting protein 1	68083	https://www.ncbi.nlm.nih.gov/gene/?term=68083
Mrpl46	Mrpl46	mitochondrial ribosomal protein L46	67308	https://www.ncbi.nlm.nih.gov/gene/?term=67308
