userId	geneSymbol	geneName	entrezgene	gLink
Apobr	Apobr	apolipoprotein B receptor	171504	https://www.ncbi.nlm.nih.gov/gene/?term=171504
Nucb1	Nucb1	nucleobindin 1	18220	https://www.ncbi.nlm.nih.gov/gene/?term=18220
Ptpn1	Ptpn1	protein tyrosine phosphatase, non-receptor type 1	19246	https://www.ncbi.nlm.nih.gov/gene/?term=19246
Selenos	Selenos	selenoprotein S	109815	https://www.ncbi.nlm.nih.gov/gene/?term=109815
Dbnl	Dbnl	drebrin-like	13169	https://www.ncbi.nlm.nih.gov/gene/?term=13169
Lasp1	Lasp1	LIM and SH3 protein 1	16796	https://www.ncbi.nlm.nih.gov/gene/?term=16796
Tpm3	Tpm3	tropomyosin 3, gamma	59069	https://www.ncbi.nlm.nih.gov/gene/?term=59069
Hsp90b1	Hsp90b1	heat shock protein 90, beta (Grp94), member 1	22027	https://www.ncbi.nlm.nih.gov/gene/?term=22027
Epb41l2	Epb41l2	erythrocyte membrane protein band 4.1 like 2	13822	https://www.ncbi.nlm.nih.gov/gene/?term=13822
Tln1	Tln1	talin 1	21894	https://www.ncbi.nlm.nih.gov/gene/?term=21894
Snap23	Snap23	synaptosomal-associated protein 23	20619	https://www.ncbi.nlm.nih.gov/gene/?term=20619
Arpc4	Arpc4	actin related protein 2/3 complex, subunit 4	68089	https://www.ncbi.nlm.nih.gov/gene/?term=68089
Hnrnpab	Hnrnpab	heterogeneous nuclear ribonucleoprotein A/B	15384	https://www.ncbi.nlm.nih.gov/gene/?term=15384
Cndp2	Cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)	66054	https://www.ncbi.nlm.nih.gov/gene/?term=66054
Ccdc50	Ccdc50	coiled-coil domain containing 50	67501	https://www.ncbi.nlm.nih.gov/gene/?term=67501
Stau1	Stau1	staufen double-stranded RNA binding protein 1	20853	https://www.ncbi.nlm.nih.gov/gene/?term=20853
Cnpy2	Cnpy2	canopy FGF signaling regulator 2	56530	https://www.ncbi.nlm.nih.gov/gene/?term=56530
Eef2k	Eef2k	eukaryotic elongation factor-2 kinase	13631	https://www.ncbi.nlm.nih.gov/gene/?term=13631
Psme1	Psme1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	19186	https://www.ncbi.nlm.nih.gov/gene/?term=19186
Clta	Clta	clathrin, light polypeptide (Lca)	12757	https://www.ncbi.nlm.nih.gov/gene/?term=12757
Syncrip	Syncrip	synaptotagmin binding, cytoplasmic RNA interacting protein	56403	https://www.ncbi.nlm.nih.gov/gene/?term=56403
Mta2	Mta2	metastasis-associated gene family, member 2	23942	https://www.ncbi.nlm.nih.gov/gene/?term=23942
Sec11a	Sec11a	SEC11 homolog A, signal peptidase complex subunit	56529	https://www.ncbi.nlm.nih.gov/gene/?term=56529
Syf2	Syf2	SYF2 homolog, RNA splicing factor (S. cerevisiae)	68592	https://www.ncbi.nlm.nih.gov/gene/?term=68592
Map4k4	Map4k4	mitogen-activated protein kinase kinase kinase kinase 4	26921	https://www.ncbi.nlm.nih.gov/gene/?term=26921
Lman1	Lman1	lectin, mannose-binding, 1	70361	https://www.ncbi.nlm.nih.gov/gene/?term=70361
Os9	Os9	amplified in osteosarcoma	216440	https://www.ncbi.nlm.nih.gov/gene/?term=216440
Ppib	Ppib	peptidylprolyl isomerase B	19035	https://www.ncbi.nlm.nih.gov/gene/?term=19035
Arhgap27	Arhgap27	Rho GTPase activating protein 27	544817	https://www.ncbi.nlm.nih.gov/gene/?term=544817
Hist1h1e	Hist1h1e	histone cluster 1, H1e	50709	https://www.ncbi.nlm.nih.gov/gene/?term=50709
