,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/30/2017 11:17:13
,     Stop Time: ~10/30/2017 12:17:13


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri5_S, Ri5_H, Ri6_S, Ri6_H, Vi5_S, Vi5_H, Vi6_S, Vi6_H, Di3_S, Di3_H, Di4_S, Di4_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/30/2017 11:17:14
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 11:17:44
Interval Count,6.00,0.00,5.00,0.00,0.00,0.00,0.00,10.00,6.00,0.00,0.00,1.00,
Total Counts,6.00,0.00,6.00,0.00,0.00,0.00,0.00,10.00,6.00,0.00,0.00,1.00,

 11:18:14
Interval Count,23.00,1.00,2.00,1.00,6.00,0.00,17.00,0.00,1.00,0.00,5.00,0.00,
Total Counts,29.00,1.00,8.00,1.00,6.00,0.00,17.00,10.00,7.00,0.00,5.00,1.00,

 11:18:44
Interval Count,1.00,0.00,1.00,5.00,1.00,0.00,0.00,1.00,0.00,1.00,8.00,1.00,
Total Counts,30.00,1.00,9.00,6.00,7.00,0.00,17.00,11.00,7.00,1.00,13.00,2.00,

 11:19:14
Interval Count,1.00,0.00,0.00,0.00,0.00,7.00,7.00,0.00,5.00,3.00,3.00,9.00,
Total Counts,31.00,1.00,9.00,6.00,7.00,7.00,24.00,11.00,12.00,4.00,16.00,11.00,

 11:19:44
Interval Count,0.00,0.00,2.00,3.00,6.00,0.00,10.00,8.00,0.00,0.00,2.00,4.00,
Total Counts,31.00,1.00,11.00,9.00,13.00,7.00,34.00,19.00,12.00,4.00,18.00,15.00,

 11:20:14
Interval Count,11.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,
Total Counts,42.00,1.00,11.00,33.00,13.00,7.00,34.00,19.00,15.00,4.00,18.00,15.00,

 11:20:44
Interval Count,8.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,43.00,0.00,0.00,0.00,
Total Counts,50.00,1.00,11.00,33.00,14.00,7.00,35.00,19.00,58.00,4.00,18.00,15.00,

 11:21:14
Interval Count,3.00,1.00,0.00,2.00,1.00,3.00,0.00,4.00,0.00,0.00,0.00,0.00,
Total Counts,53.00,2.00,11.00,35.00,15.00,10.00,35.00,23.00,58.00,4.00,18.00,15.00,

 11:21:44
Interval Count,0.00,0.00,10.00,0.00,47.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,
Total Counts,53.00,2.00,21.00,35.00,62.00,10.00,35.00,23.00,68.00,4.00,18.00,15.00,

 11:22:14
Interval Count,38.00,14.00,0.00,0.00,0.00,4.00,3.00,0.00,0.00,0.00,93.00,1.00,
Total Counts,91.00,16.00,21.00,35.00,62.00,14.00,38.00,23.00,68.00,4.00,111.00,16.00,

 11:22:44
Interval Count,19.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,164.00,0.00,
Total Counts,110.00,16.00,29.00,35.00,62.00,14.00,38.00,23.00,71.00,4.00,275.00,16.00,

 11:23:14
Interval Count,10.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,2.00,24.00,80.00,0.00,
Total Counts,120.00,16.00,31.00,35.00,62.00,15.00,38.00,23.00,73.00,28.00,355.00,16.00,

 11:23:44
Interval Count,21.00,1.00,37.00,0.00,0.00,0.00,3.00,0.00,23.00,0.00,67.00,0.00,
Total Counts,141.00,17.00,68.00,35.00,62.00,15.00,41.00,23.00,96.00,28.00,422.00,16.00,

 11:24:14
Interval Count,38.00,20.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,179.00,37.00,68.00,35.00,62.00,15.00,42.00,23.00,96.00,29.00,422.00,16.00,

 11:24:44
Interval Count,18.00,7.00,0.00,0.00,4.00,0.00,113.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,197.00,44.00,68.00,35.00,66.00,15.00,155.00,23.00,96.00,29.00,422.00,16.00,

 11:25:14
Interval Count,26.00,0.00,0.00,0.00,0.00,1.00,19.00,0.00,2.00,0.00,1.00,0.00,
Total Counts,223.00,44.00,68.00,35.00,66.00,16.00,174.00,23.00,98.00,29.00,423.00,16.00,

 11:25:44
Interval Count,5.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,2.00,
Total Counts,228.00,44.00,111.00,35.00,66.00,16.00,174.00,23.00,98.00,29.00,449.00,18.00,

 11:26:14
Interval Count,23.00,2.00,0.00,0.00,0.00,0.00,6.00,1.00,0.00,1.00,7.00,0.00,
Total Counts,251.00,46.00,111.00,35.00,66.00,16.00,180.00,24.00,98.00,30.00,456.00,18.00,

 11:26:44
Interval Count,42.00,1.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,293.00,47.00,147.00,35.00,66.00,16.00,180.00,24.00,98.00,30.00,457.00,18.00,

 11:27:14
Interval Count,23.00,0.00,31.00,0.00,0.00,128.00,5.00,0.00,1.00,0.00,4.00,0.00,
Total Counts,316.00,47.00,178.00,35.00,66.00,144.00,185.00,24.00,99.00,30.00,461.00,18.00,

 11:27:44
Interval Count,42.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,358.00,47.00,178.00,35.00,66.00,181.00,185.00,24.00,99.00,30.00,461.00,18.00,

 11:28:14
Interval Count,12.00,0.00,0.00,0.00,1.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,370.00,47.00,178.00,35.00,67.00,224.00,185.00,24.00,99.00,30.00,461.00,18.00,

 11:28:44
Interval Count,7.00,0.00,0.00,0.00,0.00,3.00,0.00,29.00,0.00,0.00,0.00,0.00,
Total Counts,377.00,47.00,178.00,35.00,67.00,227.00,185.00,53.00,99.00,30.00,461.00,18.00,

 11:29:14
Interval Count,0.00,10.00,0.00,0.00,0.00,1.00,2.00,12.00,0.00,0.00,0.00,6.00,
Total Counts,377.00,57.00,178.00,35.00,67.00,228.00,187.00,65.00,99.00,30.00,461.00,24.00,

 11:29:44
Interval Count,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,378.00,57.00,178.00,35.00,67.00,228.00,187.00,65.00,99.00,30.00,461.00,24.00,

 11:30:14
Interval Count,2.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,
Total Counts,380.00,57.00,178.00,35.00,122.00,228.00,187.00,65.00,99.00,30.00,576.00,24.00,

 11:30:44
Interval Count,7.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.00,0.00,
Total Counts,387.00,58.00,178.00,35.00,122.00,228.00,187.00,65.00,99.00,30.00,719.00,24.00,

 11:31:14
Interval Count,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,
Total Counts,422.00,58.00,178.00,35.00,122.00,228.00,187.00,65.00,99.00,30.00,726.00,24.00,

 11:31:44
Interval Count,14.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,436.00,58.00,180.00,35.00,122.00,230.00,187.00,65.00,99.00,30.00,726.00,24.00,

 11:32:14
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,436.00,58.00,181.00,35.00,122.00,230.00,187.00,65.00,99.00,31.00,726.00,24.00,

 11:32:44
Interval Count,26.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,462.00,58.00,191.00,35.00,122.00,230.00,187.00,65.00,100.00,31.00,726.00,24.00,

 11:33:14
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,0.00,1.00,0.00,
Total Counts,462.00,58.00,191.00,35.00,122.00,230.00,187.00,65.00,156.00,31.00,727.00,24.00,

 11:33:44
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,462.00,58.00,191.00,35.00,122.00,230.00,187.00,65.00,156.00,31.00,727.00,25.00,

 11:34:14
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,462.00,58.00,191.00,35.00,122.00,230.00,187.00,65.00,156.00,31.00,728.00,25.00,

 11:34:44
Interval Count,25.00,1.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,487.00,59.00,194.00,35.00,122.00,231.00,187.00,65.00,156.00,31.00,728.00,25.00,

 11:35:14
Interval Count,68.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,
Total Counts,555.00,59.00,203.00,35.00,122.00,231.00,187.00,65.00,161.00,32.00,728.00,25.00,

 11:35:44
Interval Count,11.00,12.00,0.00,0.00,79.00,0.00,0.00,1.00,23.00,0.00,0.00,0.00,
Total Counts,566.00,71.00,203.00,35.00,201.00,231.00,187.00,66.00,184.00,32.00,728.00,25.00,

 11:36:14
Interval Count,22.00,1.00,0.00,0.00,132.00,0.00,77.00,0.00,193.00,0.00,27.00,0.00,
Total Counts,588.00,72.00,203.00,35.00,333.00,231.00,264.00,66.00,377.00,32.00,755.00,25.00,

 11:36:44
Interval Count,17.00,1.00,0.00,0.00,32.00,0.00,179.00,0.00,32.00,0.00,0.00,0.00,
Total Counts,605.00,73.00,203.00,35.00,365.00,231.00,443.00,66.00,409.00,32.00,755.00,25.00,

 11:37:14
Interval Count,23.00,0.00,0.00,16.00,0.00,0.00,143.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,628.00,73.00,203.00,51.00,365.00,231.00,586.00,66.00,409.00,32.00,755.00,25.00,

 11:37:44
