,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 12:49:21
,     Stop Time: ~10/24/2017 13:49:21


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi7_H, Vi7_S, Vi8_H, Vi8_S, Di5_H, Di5_S, Di6_H, Di6_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/24/2017 12:49:22
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 12:49:52
Interval Count,0.00,68.00,0.00,36.00,35.00,3.00,0.00,0.00,2.00,112.00,6.00,10.00,
Total Counts,0.00,68.00,0.00,36.00,35.00,3.00,0.00,0.00,2.00,112.00,6.00,10.00,

 12:50:22
Interval Count,5.00,73.00,1.00,60.00,0.00,2.00,1.00,0.00,0.00,39.00,10.00,7.00,
Total Counts,5.00,141.00,1.00,96.00,35.00,5.00,1.00,0.00,2.00,151.00,16.00,17.00,

 12:50:52
Interval Count,0.00,109.00,5.00,0.00,0.00,129.00,0.00,0.00,1.00,91.00,15.00,25.00,
Total Counts,5.00,250.00,6.00,96.00,35.00,134.00,1.00,0.00,3.00,242.00,31.00,42.00,

 12:51:22
Interval Count,27.00,41.00,1.00,53.00,6.00,99.00,0.00,0.00,3.00,116.00,88.00,8.00,
Total Counts,32.00,291.00,7.00,149.00,41.00,233.00,1.00,0.00,6.00,358.00,119.00,50.00,

 12:51:52
Interval Count,1.00,72.00,1.00,17.00,0.00,78.00,1.00,0.00,0.00,168.00,135.00,0.00,
Total Counts,33.00,363.00,8.00,166.00,41.00,311.00,2.00,0.00,6.00,526.00,254.00,50.00,

 12:52:22
Interval Count,1.00,35.00,10.00,0.00,2.00,103.00,0.00,100.00,0.00,75.00,31.00,20.00,
Total Counts,34.00,398.00,18.00,166.00,43.00,414.00,2.00,100.00,6.00,601.00,285.00,70.00,

 12:52:52
Interval Count,0.00,86.00,2.00,16.00,0.00,199.00,0.00,0.00,0.00,159.00,0.00,115.00,
Total Counts,34.00,484.00,20.00,182.00,43.00,613.00,2.00,100.00,6.00,760.00,285.00,185.00,

 12:53:22
Interval Count,5.00,29.00,0.00,78.00,0.00,121.00,0.00,1.00,0.00,127.00,0.00,35.00,
