,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,
,Version 10.2.2966.20953,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,
,,USB Interface REV 1 [1],,,,,,,,,,
,     Experiment Name: SaccharinPrefG2W2,,,,,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,
,     Start Time: 10/16/2017 10:55:03,,,,,,,,,,,
,     Stop Time: ~10/16/2017 11:55:03,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi7_H, Vi7_S, Vi8_H, Vi8_S, Di5_H, Di5_S, Di6_H, Di6_S
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat
,,,,,,,,,,,,
,,,,,,,,,,,,
 10/16/2017 10:55:03,,,,,,,,,,,,
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-
Total Counts,0,0,0,0,4,4,0,0,0,0,0,0
,,,,,,,,,,,,
 10:55:34,,,,,,,,,,,,
Interval Count,1,1,0,192,185,214,0,5,0,0,0,0
Total Counts,1,1,0,192,189,218,0,5,0,0,0,0
,,,,,,,,,,,,
 10:56:04,,,,,,,,,,,,
Interval Count,0,0,0,0,240,240,0,0,0,1,1,93
Total Counts,1,1,0,192,429,458,0,5,0,1,1,93
,,,,,,,,,,,,
 10:56:34,,,,,,,,,,,,
Interval Count,0,47,0,0,240,91,0,0,0,0,0,223
Total Counts,1,48,0,192,669,549,0,5,0,1,1,316
,,,,,,,,,,,,
 10:57:03,,,,,,,,,,,,
Interval Count,0,0,0,0,240,3,0,0,0,0,0,217
Total Counts,1,48,0,192,909,552,0,5,0,1,1,533
,,,,,,,,,,,,
 10:57:34,,,,,,,,,,,,
Interval Count,5,7,0,0,240,0,3,0,0,0,9,207
Total Counts,6,55,0,192,1149,552,3,5,0,1,10,740
,,,,,,,,,,,,
 10:58:04,,,,,,,,,,,,
Interval Count,0,0,0,1,240,0,0,9,0,0,0,240
Total Counts,6,55,0,193,1389,552,3,14,0,1,10,980
,,,,,,,,,,,,
 10:58:34,,,,,,,,,,,,
Interval Count,3,30,0,49,240,0,0,31,0,1,6,198
Total Counts,9,85,0,242,1629,552,3,45,0,2,16,1178
,,,,,,,,,,,,
 10:59:04,,,,,,,,,,,,
Interval Count,5,0,0,9,240,0,0,0,1,0,6,239
Total Counts,14,85,0,251,1869,552,3,45,1,2,22,1417
,,,,,,,,,,,,
 10:59:34,,,,,,,,,,,,
Interval Count,0,0,0,0,240,13,0,1,0,0,0,218
Total Counts,14,85,0,251,2109,565,3,46,1,2,22,1635
,,,,,,,,,,,,
 11:00:04,,,,,,,,,,,,
Interval Count,0,116,0,0,241,0,0,0,0,0,15,223
Total Counts,14,201,0,251,2350,565,3,46,1,2,37,1858
,,,,,,,,,,,,
 11:00:34,,,,,,,,,,,,
Interval Count,0,91,0,0,240,0,0,0,0,0,2,234
Total Counts,14,292,0,251,2590,565,3,46,1,2,39,2092
,,,,,,,,,,,,
 11:01:04,,,,,,,,,,,,
Interval Count,0,43,8,0,240,110,0,0,0,0,0,240
Total Counts,14,335,8,251,2830,675,3,46,1,2,39,2332
,,,,,,,,,,,,
 11:01:34,,,,,,,,,,,,
Interval Count,4,124,0,0,240,199,1,0,0,0,5,223
Total Counts,18,459,8,251,3070,874,4,46,1,2,44,2555
,,,,,,,,,,,,
 11:02:04,,,,,,,,,,,,
Interval Count,0,69,0,0,240,49,0,0,0,0,0,204
Total Counts,18,528,8,251,3310,923,4,46,1,2,44,2759
,,,,,,,,,,,,
 11:02:34,,,,,,,,,,,,
Interval Count,2,85,0,74,84,104,0,0,0,0,1,0
Total Counts,20,613,8,325,3394,1027,4,46,1,2,45,2759
,,,,,,,,,,,,
 11:03:04,,,,,,,,,,,,
Interval Count,2,10,3,17,0,0,22,0,0,0,1,90
Total Counts,22,623,11,342,3394,1027,26,46,1,2,46,2849
,,,,,,,,,,,,
