,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,
,Version 10.2.2966.20953,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,
,,USB Interface REV 1 [1],,,,,,,,,,
,     Experiment Name: SaccharinPrefG2W3,,,,,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,
,     Start Time: 10/30/2017 13:53:07,,,,,,,,,,,
,     Stop Time: ~10/30/2017 14:53:07,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di6_H, Di6_S, Di8_H, Di8_S
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat
,,,,,,,,,,,,
,,,,,,,,,,,,
 10/30/2017 13:53:07,,,,,,,,,,,,
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-
Total Counts,0,0,0,0,0,0,0,0,0,2,0,0
,,,,,,,,,,,,
 13:53:37,,,,,,,,,,,,
Interval Count,0,0,0,0,0,5,1,1,0,8,0,10
Total Counts,0,0,0,0,0,5,1,1,0,10,0,10
,,,,,,,,,,,,
 13:54:07,,,,,,,,,,,,
Interval Count,5,0,0,0,0,2,5,0,9,41,5,0
Total Counts,5,0,0,0,0,7,6,1,9,51,5,10
,,,,,,,,,,,,
 13:54:37,,,,,,,,,,,,
Interval Count,0,2,1,6,0,0,1,10,1,11,0,49
Total Counts,5,2,1,6,0,7,7,11,10,62,5,59
,,,,,,,,,,,,
 13:55:07,,,,,,,,,,,,
Interval Count,4,2,0,0,0,15,33,20,0,3,2,4
Total Counts,9,4,1,6,0,22,40,31,10,65,7,63
,,,,,,,,,,,,
 13:55:37,,,,,,,,,,,,
Interval Count,0,1,0,4,0,16,3,3,0,39,11,8
Total Counts,9,5,1,10,0,38,43,34,10,104,18,71
,,,,,,,,,,,,
 13:56:07,,,,,,,,,,,,
Interval Count,0,1,0,5,0,15,0,0,0,102,1,1
Total Counts,9,6,1,15,0,53,43,34,10,206,19,72
,,,,,,,,,,,,
 13:56:37,,,,,,,,,,,,
Interval Count,0,0,0,0,0,3,0,1,0,129,0,15
Total Counts,9,6,1,15,0,56,43,35,10,335,19,87
,,,,,,,,,,,,
 13:57:07,,,,,,,,,,,,
Interval Count,0,16,0,3,0,2,0,10,0,130,0,0
Total Counts,9,22,1,18,0,58,43,45,10,465,19,87
,,,,,,,,,,,,
 13:57:37,,,,,,,,,,,,
Interval Count,0,0,0,5,0,0,2,0,0,96,0,1
Total Counts,9,22,1,23,0,58,45,45,10,561,19,88
,,,,,,,,,,,,
 13:58:07,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,2,4,0,38,0,1
Total Counts,9,22,1,23,0,58,47,49,10,599,19,89
,,,,,,,,,,,,
 13:58:37,,,,,,,,,,,,
Interval Count,5,0,1,0,0,50,1,20,0,82,0,2
Total Counts,14,22,2,23,0,108,48,69,10,681,19,91
,,,,,,,,,,,,
 13:59:07,,,,,,,,,,,,
Interval Count,0,0,0,19,1,0,1,0,0,5,2,5
Total Counts,14,22,2,42,1,108,49,69,10,686,21,96
,,,,,,,,,,,,
 13:59:37,,,,,,,,,,,,
Interval Count,10,0,0,4,0,0,0,103,1,33,1,0
Total Counts,24,22,2,46,1,108,49,172,11,719,22,96
,,,,,,,,,,,,
 14:00:07,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0,0,2,0,0
Total Counts,24,22,2,46,1,108,49,172,11,721,22,96
,,,,,,,,,,,,
 14:00:37,,,,,,,,,,,,
Interval Count,0,2,0,53,0,0,0,125,0,0,0,0
Total Counts,24,24,2,99,1,108,49,297,11,721,22,96
,,,,,,,,,,,,
 14:01:07,,,,,,,,,,,,
Interval Count,75,18,0,18,0,0,0,213,0,0,0,0
Total Counts,99,42,2,117,1,108,49,510,11,721,22,96
,,,,,,,,,,,,
 14:01:37,,,,,,,,,,,,
