,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 14:07:59
,     Stop Time: ~10/24/2017 15:07:59


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/24/2017 14:07:59
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,

 14:08:29
Interval Count,0.00,14.00,1.00,17.00,0.00,173.00,15.00,12.00,1.00,3.00,0.00,1.00,
Total Counts,0.00,14.00,1.00,17.00,0.00,175.00,15.00,12.00,1.00,3.00,0.00,1.00,

 14:09:00
Interval Count,0.00,54.00,2.00,18.00,0.00,1.00,0.00,0.00,0.00,10.00,10.00,78.00,
Total Counts,0.00,68.00,3.00,35.00,0.00,176.00,15.00,12.00,1.00,13.00,10.00,79.00,

 14:09:29
Interval Count,0.00,107.00,1.00,14.00,0.00,0.00,7.00,12.00,0.00,0.00,9.00,78.00,
Total Counts,0.00,175.00,4.00,49.00,0.00,176.00,22.00,24.00,1.00,13.00,19.00,157.00,

 14:09:59
Interval Count,0.00,91.00,8.00,32.00,0.00,0.00,0.00,140.00,0.00,16.00,0.00,124.00,
Total Counts,0.00,266.00,12.00,81.00,0.00,176.00,22.00,164.00,1.00,29.00,19.00,281.00,

 14:10:30
Interval Count,0.00,49.00,3.00,51.00,3.00,105.00,2.00,40.00,0.00,0.00,0.00,52.00,
Total Counts,0.00,315.00,15.00,132.00,3.00,281.00,24.00,204.00,1.00,29.00,19.00,333.00,

 14:11:00
