,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W4
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/29/2017 14:42:58
,     Stop Time: ~10/29/2017 15:42:58


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, , , , , Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/29/2017 14:42:59
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 14:43:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,

 14:43:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,1.00,186.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,120.00,1.00,186.00,0.00,

 14:44:29
Interval Count,0.00,0.00,0.00,0.00,105.00,0.00,0.00,3.00,84.00,0.00,100.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,105.00,0.00,2.00,4.00,204.00,1.00,286.00,0.00,

 14:44:59
Interval Count,0.00,0.00,0.00,0.00,26.00,0.00,145.00,0.00,14.00,0.00,2.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,131.00,0.00,147.00,4.00,218.00,1.00,288.00,0.00,

 14:45:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,214.00,0.00,96.00,9.00,119.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,131.00,0.00,361.00,4.00,314.00,10.00,407.00,0.00,

 14:45:59
