,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/9/2018 10:49:20
,     Stop Time: ~1/9/2018 11:49:20


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/9/2018 10:49:21
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 10:49:50
Interval Count,3.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,
Total Counts,3.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,

 10:50:20
Interval Count,0.00,2.00,1.00,3.00,0.00,0.00,0.00,3.00,15.00,3.00,0.00,0.00,
Total Counts,3.00,2.00,5.00,4.00,0.00,0.00,0.00,3.00,15.00,3.00,0.00,4.00,

 10:50:50
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,5.00,1.00,0.00,4.00,
Total Counts,3.00,2.00,5.00,4.00,0.00,0.00,1.00,3.00,20.00,4.00,0.00,8.00,

 10:51:21
Interval Count,26.00,4.00,11.00,0.00,0.00,0.00,1.00,15.00,188.00,0.00,0.00,28.00,
Total Counts,29.00,6.00,16.00,4.00,0.00,0.00,2.00,18.00,208.00,4.00,0.00,36.00,

 10:51:51
Interval Count,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,95.00,0.00,0.00,11.00,
Total Counts,29.00,6.00,18.00,5.00,0.00,0.00,2.00,21.00,303.00,4.00,0.00,47.00,

 10:52:20
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,37.00,1.00,2.00,
Total Counts,29.00,6.00,18.00,5.00,0.00,0.00,2.00,21.00,319.00,41.00,1.00,49.00,

 10:52:51
Interval Count,19.00,0.00,0.00,0.00,0.00,0.00,5.00,6.00,24.00,4.00,0.00,0.00,
Total Counts,48.00,6.00,18.00,5.00,0.00,0.00,7.00,27.00,343.00,45.00,1.00,49.00,

 10:53:21
Interval Count,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,0.00,0.00,
Total Counts,49.00,6.00,18.00,5.00,0.00,0.00,7.00,27.00,385.00,45.00,1.00,49.00,

 10:53:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,15.00,0.00,
Total Counts,49.00,6.00,18.00,5.00,0.00,0.00,7.00,28.00,385.00,45.00,16.00,49.00,

 10:54:21
Interval Count,0.00,0.00,10.00,0.00,0.00,0.00,1.00,3.00,1.00,0.00,0.00,0.00,
Total Counts,49.00,6.00,28.00,5.00,0.00,0.00,8.00,31.00,386.00,45.00,16.00,49.00,

 10:54:51
Interval Count,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,6.00,0.00,5.00,
Total Counts,51.00,6.00,28.00,5.00,0.00,0.00,10.00,31.00,386.00,51.00,16.00,54.00,

 10:55:21
Interval Count,3.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,21.00,0.00,0.00,
Total Counts,54.00,67.00,28.00,5.00,0.00,0.00,10.00,31.00,387.00,72.00,16.00,54.00,

 10:55:51
Interval Count,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,54.00,68.00,31.00,5.00,0.00,0.00,10.00,31.00,387.00,72.00,16.00,54.00,

 10:56:21
Interval Count,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,54.00,68.00,35.00,9.00,0.00,0.00,10.00,31.00,387.00,72.00,16.00,54.00,

 10:56:51
Interval Count,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,6.00,
Total Counts,56.00,68.00,35.00,9.00,0.00,0.00,10.00,32.00,387.00,72.00,16.00,60.00,

 10:57:21
Interval Count,17.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,73.00,69.00,35.00,11.00,0.00,0.00,10.00,32.00,387.00,72.00,16.00,61.00,

 10:57:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,
Total Counts,73.00,69.00,35.00,11.00,0.00,0.00,10.00,32.00,422.00,72.00,16.00,61.00,

 10:58:21
