,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/3/2018 13:42:44
,     Stop Time: ~1/3/2018 14:42:44


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di15_S, Di15_H, Di16_S, Di16_H, Vi17_S, Vi17_H, Vi18_H, Vi18_S, Ri15_H, Ri15_S, Ri16_H, Ri16_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/3/2018 13:42:44
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 13:43:14
Interval Count,3.00,0.00,0.00,0.00,6.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,3.00,0.00,0.00,0.00,6.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,

 13:43:44
Interval Count,1.00,5.00,46.00,0.00,0.00,0.00,1.00,29.00,0.00,83.00,0.00,0.00,
Total Counts,4.00,5.00,46.00,0.00,6.00,0.00,5.00,29.00,0.00,83.00,0.00,0.00,

 13:44:14
Interval Count,32.00,3.00,44.00,0.00,31.00,44.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,36.00,8.00,90.00,0.00,37.00,44.00,5.00,30.00,0.00,83.00,0.00,0.00,

 13:44:44
Interval Count,0.00,1.00,118.00,0.00,18.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,36.00,9.00,208.00,0.00,55.00,46.00,10.00,30.00,0.00,83.00,0.00,0.00,

 13:45:14
Interval Count,1.00,0.00,44.00,0.00,0.00,0.00,9.00,24.00,0.00,65.00,5.00,11.00,
Total Counts,37.00,9.00,252.00,0.00,55.00,46.00,19.00,54.00,0.00,148.00,5.00,11.00,

 13:45:44
Interval Count,0.00,1.00,41.00,10.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,159.00,
Total Counts,37.00,10.00,293.00,10.00,55.00,46.00,19.00,54.00,0.00,149.00,5.00,170.00,

 13:46:14
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,20.00,58.00,0.00,23.00,0.00,155.00,
Total Counts,37.00,10.00,293.00,10.00,55.00,46.00,39.00,112.00,0.00,172.00,5.00,325.00,

 13:46:45
Interval Count,93.00,0.00,0.00,0.00,74.00,5.00,1.00,1.00,0.00,96.00,0.00,17.00,
Total Counts,130.00,10.00,293.00,10.00,129.00,51.00,40.00,113.00,0.00,268.00,5.00,342.00,

 13:47:14
Interval Count,10.00,0.00,4.00,0.00,50.00,0.00,1.00,0.00,73.00,3.00,0.00,1.00,
Total Counts,140.00,10.00,297.00,10.00,179.00,51.00,41.00,113.00,73.00,271.00,5.00,343.00,

 13:47:44
Interval Count,119.00,0.00,8.00,0.00,15.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,259.00,10.00,305.00,10.00,194.00,55.00,41.00,113.00,73.00,271.00,5.00,344.00,

 13:48:14
Interval Count,1.00,0.00,0.00,0.00,0.00,0.00,7.00,37.00,0.00,0.00,0.00,0.00,
Total Counts,260.00,10.00,305.00,10.00,194.00,55.00,48.00,150.00,73.00,271.00,5.00,344.00,

 13:48:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,260.00,10.00,305.00,10.00,194.00,55.00,48.00,150.00,73.00,271.00,5.00,345.00,

 13:49:15
Interval Count,0.00,1.00,131.00,0.00,89.00,0.00,0.00,0.00,2.00,24.00,0.00,0.00,
Total Counts,260.00,11.00,436.00,10.00,283.00,55.00,48.00,150.00,75.00,295.00,5.00,345.00,

 13:49:44
Interval Count,0.00,0.00,162.00,0.00,47.00,1.00,0.00,0.00,0.00,84.00,0.00,0.00,
Total Counts,260.00,11.00,598.00,10.00,330.00,56.00,48.00,150.00,75.00,379.00,5.00,345.00,

 13:50:15
Interval Count,4.00,0.00,151.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,
Total Counts,264.00,11.00,749.00,10.00,330.00,56.00,48.00,189.00,75.00,379.00,5.00,345.00,

 13:50:45
Interval Count,239.00,0.00,195.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,503.00,11.00,944.00,10.00,330.00,56.00,48.00,189.00,75.00,379.00,5.00,345.00,

 13:51:15
Interval Count,98.00,0.00,88.00,0.00,0.00,0.00,15.00,65.00,4.00,28.00,0.00,0.00,
Total Counts,601.00,11.00,1032.00,10.00,330.00,56.00,63.00,254.00,79.00,407.00,5.00,345.00,

 13:51:44
Interval Count,0.00,3.00,6.00,0.00,57.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,
Total Counts,601.00,14.00,1038.00,10.00,387.00,56.00,63.00,254.00,79.00,416.00,5.00,345.00,

 13:52:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,
Total Counts,601.00,14.00,1038.00,10.00,387.00,56.00,63.00,254.00,79.00,416.00,5.00,350.00,

 13:52:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,0.00,
Total Counts,601.00,14.00,1038.00,10.00,387.00,56.00,63.00,257.00,79.00,416.00,9.00,350.00,

 13:53:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,601.00,14.00,1038.00,10.00,387.00,56.00,63.00,257.00,79.00,416.00,9.00,350.00,

 13:53:45
