,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2006 19:54:26
,     Stop Time: ~1/8/2006 20:54:26


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq7_H, Dq7_S, Dq8_H, Dq8_S, Dq9_H, Dq9_S, Dq10_S, Dq10_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/8/2006 19:54:26
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 19:54:56
Interval Count,0.00,0.00,0.00,71.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,71.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,

 19:55:26
Interval Count,0.00,188.00,0.00,155.00,22.00,0.00,67.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,188.00,0.00,226.00,22.00,0.00,93.00,1.00,0.00,0.00,0.00,0.00,

 19:55:56
Interval Count,0.00,150.00,0.00,119.00,1.00,41.00,75.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,338.00,0.00,345.00,23.00,41.00,168.00,1.00,0.00,0.00,0.00,0.00,

 19:56:26
Interval Count,0.00,0.00,0.00,58.00,0.00,203.00,16.00,16.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,338.00,0.00,403.00,23.00,244.00,184.00,17.00,0.00,0.00,0.00,0.00,

 19:56:56
Interval Count,0.00,82.00,1.00,0.00,0.00,96.00,82.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,420.00,1.00,403.00,23.00,340.00,266.00,17.00,0.00,0.00,0.00,0.00,

 19:57:26
Interval Count,0.00,89.00,0.00,8.00,0.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,509.00,1.00,411.00,23.00,480.00,266.00,17.00,0.00,0.00,0.00,0.00,

 19:57:56
Interval Count,0.00,0.00,0.00,191.00,1.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,509.00,1.00,602.00,24.00,578.00,266.00,17.00,0.00,0.00,0.00,0.00,

 19:58:26
Interval Count,0.00,0.00,1.00,57.00,0.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,509.00,2.00,659.00,24.00,682.00,266.00,17.00,0.00,0.00,0.00,0.00,

 19:58:56
Interval Count,0.00,63.00,2.00,166.00,0.00,31.00,153.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,572.00,4.00,825.00,24.00,713.00,419.00,17.00,0.00,0.00,0.00,0.00,

 19:59:27
Interval Count,0.00,200.00,0.00,162.00,0.00,0.00,72.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,772.00,4.00,987.00,24.00,713.00,491.00,18.00,0.00,0.00,0.00,0.00,

 19:59:57
Interval Count,0.00,184.00,0.00,31.00,1.00,90.00,59.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,956.00,4.00,1018.00,25.00,803.00,550.00,18.00,0.00,0.00,0.00,0.00,

 20:00:26
Interval Count,0.00,114.00,0.00,101.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,1070.00,4.00,1119.00,25.00,803.00,650.00,18.00,0.00,0.00,0.00,0.00,

 20:00:56
Interval Count,0.00,104.00,0.00,129.00,0.00,143.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,1174.00,4.00,1248.00,25.00,946.00,650.00,18.00,0.00,0.00,0.00,0.00,

 20:01:27
Interval Count,0.00,24.00,0.00,136.00,0.00,1.00,124.00,0.00,0.00,0.00,0.00,0.00,
