,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2006 19:21:34
,     Stop Time: ~1/7/2006 20:21:34


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq7_H, Dq7_S, Dq8_H, Dq8_S, Dq9_H, Dq9_S, Dq10_S, Dq10_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/7/2006 19:21:34
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 19:22:04
Interval Count,0.00,16.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,16.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 19:22:34
Interval Count,0.00,84.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,100.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,

 19:23:05
Interval Count,9.00,85.00,2.00,0.00,1.00,4.00,0.00,17.00,0.00,0.00,0.00,0.00,
Total Counts,9.00,185.00,2.00,1.00,3.00,4.00,1.00,17.00,0.00,0.00,0.00,0.00,

 19:23:34
Interval Count,3.00,52.00,0.00,0.00,2.00,0.00,186.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,12.00,237.00,2.00,1.00,5.00,4.00,187.00,17.00,0.00,0.00,0.00,0.00,

 19:24:04
Interval Count,0.00,99.00,0.00,2.00,0.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,12.00,336.00,2.00,3.00,5.00,4.00,255.00,17.00,0.00,0.00,0.00,0.00,

 19:24:35
Interval Count,0.00,61.00,0.00,95.00,0.00,0.00,79.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,12.00,397.00,2.00,98.00,5.00,4.00,334.00,17.00,0.00,0.00,0.00,0.00,

 19:25:05
Interval Count,0.00,75.00,0.00,124.00,0.00,1.00,42.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,12.00,472.00,2.00,222.00,5.00,5.00,376.00,17.00,0.00,0.00,0.00,0.00,

 19:25:35
Interval Count,0.00,72.00,0.00,0.00,0.00,0.00,142.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,12.00,544.00,2.00,222.00,5.00,5.00,518.00,17.00,0.00,0.00,0.00,0.00,

 19:26:04
Interval Count,1.00,71.00,0.00,182.00,0.00,0.00,61.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,615.00,2.00,404.00,5.00,5.00,579.00,17.00,0.00,0.00,0.00,0.00,

 19:26:35
Interval Count,0.00,32.00,0.00,73.00,0.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,647.00,2.00,477.00,5.00,5.00,681.00,17.00,0.00,0.00,0.00,0.00,

 19:27:05
Interval Count,1.00,18.00,0.00,48.00,0.00,76.00,157.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,14.00,665.00,2.00,525.00,5.00,81.00,838.00,17.00,0.00,0.00,0.00,0.00,

 19:27:35
Interval Count,0.00,0.00,0.00,129.00,0.00,192.00,79.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,14.00,665.00,2.00,654.00,5.00,273.00,917.00,17.00,0.00,0.00,0.00,0.00,

 19:28:05
Interval Count,0.00,152.00,0.00,84.00,0.00,83.00,36.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,14.00,817.00,2.00,738.00,5.00,356.00,953.00,17.00,0.00,0.00,0.00,0.00,

 19:28:35
Interval Count,0.00,147.00,2.00,48.00,0.00,31.00,122.00,2.00,0.00,0.00,0.00,0.00,
