,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,
,Version 10.2.2966.20953,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,
,,USB Interface REV 1 [1],,,,,,,,,,
,     Experiment Name: SaccharinPrefG2W2,,,,,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,
,     Start Time: 10/30/2017 12:34:18,,,,,,,,,,,
,     Stop Time: ~10/30/2017 13:34:18,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi7_H, Vi7_S, Vi8_H, Vi8_S, Di5_H, Di5_S, Di7_H, Di7_S
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat
,,,,,,,,,,,,
,,,,,,,,,,,,
 10/30/2017 12:34:18,,,,,,,,,,,,
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-
Total Counts,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
 12:34:48,,,,,,,,,,,,
Interval Count,0,5,0,1,0,22,0,1,0,3,3,0
Total Counts,0,6,0,1,0,22,0,1,0,3,3,0
,,,,,,,,,,,,
 12:35:18,,,,,,,,,,,,
Interval Count,0,0,12,0,0,2,1,0,0,1,0,0
Total Counts,0,6,12,1,0,24,1,1,0,4,3,0
,,,,,,,,,,,,
 12:35:48,,,,,,,,,,,,
Interval Count,0,5,1,2,2,72,0,0,0,7,0,1
Total Counts,0,11,13,3,2,96,1,1,0,11,3,1
,,,,,,,,,,,,
 12:36:18,,,,,,,,,,,,
Interval Count,0,1,0,1,0,70,4,11,0,1,0,6
Total Counts,0,12,13,4,2,166,5,12,0,12,3,7
,,,,,,,,,,,,
 12:36:48,,,,,,,,,,,,
Interval Count,31,4,0,0,2,71,0,1,5,4,0,0
Total Counts,31,16,13,4,4,237,5,13,5,16,3,7
,,,,,,,,,,,,
 12:37:18,,,,,,,,,,,,
Interval Count,0,6,0,1,15,15,0,0,0,1,1,2
Total Counts,31,22,13,5,19,252,5,13,5,17,4,9
,,,,,,,,,,,,
 12:37:48,,,,,,,,,,,,
Interval Count,0,0,0,0,1,56,0,9,0,7,0,0
Total Counts,31,22,13,5,20,308,5,22,5,24,4,9
,,,,,,,,,,,,
 12:38:18,,,,,,,,,,,,
Interval Count,70,41,0,0,1,40,0,0,0,5,0,1
Total Counts,101,63,13,5,21,348,5,22,5,29,4,10
,,,,,,,,,,,,
 12:38:48,,,,,,,,,,,,
Interval Count,0,87,1,7,0,88,0,5,0,0,2,7
Total Counts,101,150,14,12,21,436,5,27,5,29,6,17
,,,,,,,,,,,,
 12:39:18,,,,,,,,,,,,
Interval Count,0,66,0,0,2,9,0,0,0,0,0,0
Total Counts,101,216,14,12,23,445,5,27,5,29,6,17
,,,,,,,,,,,,
 12:39:48,,,,,,,,,,,,
Interval Count,0,9,0,0,0,0,0,32,0,1,0,0
Total Counts,101,225,14,12,23,445,5,59,5,30,6,17
,,,,,,,,,,,,
 12:40:18,,,,,,,,,,,,
Interval Count,11,3,0,0,0,215,6,75,0,1,0,0
Total Counts,112,228,14,12,23,660,11,134,5,31,6,17
,,,,,,,,,,,,
 12:40:48,,,,,,,,,,,,
Interval Count,11,2,0,0,0,197,1,4,125,0,0,0
Total Counts,123,230,14,12,23,857,12,138,130,31,6,17
,,,,,,,,,,,,
 12:41:18,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0,0,5,0,0
Total Counts,123,230,14,12,23,857,12,138,130,36,6,17
,,,,,,,,,,,,
 12:41:48,,,,,,,,,,,,
Interval Count,0,0,9,2,0,36,0,0,0,3,4,8
Total Counts,123,230,23,14,23,893,12,138,130,39,10,25
,,,,,,,,,,,,
 12:42:19,,,,,,,,,,,,
Interval Count,0,0,0,0,0,33,0,0,0,0,0,0
Total Counts,123,230,23,14,23,926,12,138,130,39,10,25
,,,,,,,,,,,,
 12:42:49,,,,,,,,,,,,
