,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,
,Version 10.2.2966.20953,,,,,,,
,Experiment Setup:,,,,,,,
,Connected Hardware:,,,,,,,
,,USB Interface REV 1 [1],,,,,,
,     Experiment Name: SaccharinPrefG2W4,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,
,     Time Format: H:mm:ss,,,,,,,
,     Start Time: 10/17/2017 14:49:09,,,,,,,
,     Stop Time: ~10/17/2017 15:49:09,,,,,,,
,,,,,,,,
,,,,,,,,
Interface/Port, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Vi11_H, Vi11_S, Vi12_H, Vi12_S, Di9_H, Di9_S, Di10_H, Di10_S
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat
,,,,,,,,
,,,,,,,,
 10/17/2017 14:49:09,,,,,,,,
Interval Count,-,-,-,-,-,-,-,-
Total Counts,0,0,0,0,0,0,0,0
,,,,,,,,
 14:49:39,,,,,,,,
Interval Count,0,0,0,0,1,2,1,0
Total Counts,0,0,0,0,1,2,1,0
,,,,,,,,
 14:50:09,,,,,,,,
Interval Count,7,18,0,0,2,4,0,0
Total Counts,7,18,0,0,3,6,1,0
,,,,,,,,
 14:50:39,,,,,,,,
Interval Count,0,12,2,0,0,0,1,0
Total Counts,7,30,2,0,3,6,2,0
,,,,,,,,
 14:51:09,,,,,,,,
Interval Count,0,0,0,0,0,1,0,0
Total Counts,7,30,2,0,3,7,2,0
,,,,,,,,
 14:51:39,,,,,,,,
Interval Count,0,0,0,0,0,126,10,0
Total Counts,7,30,2,0,3,133,12,0
,,,,,,,,
 14:52:09,,,,,,,,
Interval Count,0,1,0,6,4,1,0,4
Total Counts,7,31,2,6,7,134,12,4
,,,,,,,,
 14:52:39,,,,,,,,
Interval Count,5,3,0,0,1,0,0,233
Total Counts,12,34,2,6,8,134,12,237
,,,,,,,,
 14:53:09,,,,,,,,
Interval Count,0,0,0,0,0,32,9,240
Total Counts,12,34,2,6,8,166,21,477
,,,,,,,,
 14:53:39,,,,,,,,
Interval Count,0,0,0,0,0,169,79,240
Total Counts,12,34,2,6,8,335,100,717
,,,,,,,,
 14:54:09,,,,,,,,
Interval Count,2,0,0,0,0,125,239,240
Total Counts,14,34,2,6,8,460,339,957
,,,,,,,,
 14:54:39,,,,,,,,
Interval Count,0,0,0,0,0,26,240,240
Total Counts,14,34,2,6,8,486,579,1197
,,,,,,,,
 14:55:09,,,,,,,,
Interval Count,0,18,0,13,0,186,135,241
Total Counts,14,52,2,19,8,672,714,1438
,,,,,,,,
 14:55:39,,,,,,,,
Interval Count,2,0,0,0,1,118,0,240
Total Counts,16,52,2,19,9,790,714,1678
,,,,,,,,
 14:56:09,,,,,,,,
Interval Count,6,35,0,0,3,0,0,239
Total Counts,22,87,2,19,12,790,714,1917
,,,,,,,,
 14:56:39,,,,,,,,
Interval Count,0,0,0,1,32,0,0,240
Total Counts,22,87,2,20,44,790,714,2157
,,,,,,,,
 14:57:09,,,,,,,,
Interval Count,29,0,0,61,0,140,0,241
Total Counts,51,87,2,81,44,930,714,2398
,,,,,,,,
 14:57:40,,,,,,,,
Interval Count,0,1,0,52,0,131,0,241
Total Counts,51,88,2,133,44,1061,714,2639
,,,,,,,,
 14:58:10,,,,,,,,
Interval Count,0,66,0,0,0,0,0,239
Total Counts,51,154,2,133,44,1061,714,2878
,,,,,,,,
 14:58:39,,,,,,,,
Interval Count,0,199,0,146,0,0,0,240
Total Counts,51,353,2,279,44,1061,714,3118
,,,,,,,,
 14:59:09,,,,,,,,
Interval Count,0,157,0,112,2,0,0,240
Total Counts,51,510,2,391,46,1061,714,3358
,,,,,,,,
 14:59:40,,,,,,,,
Interval Count,1,1,8,0,0,98,0,241
Total Counts,52,511,10,391,46,1159,714,3599
,,,,,,,,
 15:00:10,,,,,,,,
Interval Count,0,1,0,0,1,0,0,240
Total Counts,52,512,10,391,47,1159,714,3839
,,,,,,,,
 15:00:39,,,,,,,,
Interval Count,0,4,0,0,0,112,0,239
Total Counts,52,516,10,391,47,1271,714,4078
,,,,,,,,
 15:01:10,,,,,,,,
Interval Count,0,0,0,0,0,46,0,221
Total Counts,52,516,10,391,47,1317,714,4299
,,,,,,,,
