,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W4
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/30/2017 15:19:20
,     Stop Time: ~10/30/2017 16:19:20


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, , , , , Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/30/2017 15:19:20
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 15:19:50
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,8.00,3.00,4.00,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,8.00,3.00,4.00,

 15:20:20
Interval Count,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,3.00,9.00,6.00,4.00,

 15:20:50
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,
Total Counts,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,3.00,9.00,6.00,6.00,

 15:21:20
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,2.00,11.00,
Total Counts,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,12.00,9.00,8.00,17.00,

 15:21:50
Interval Count,0.00,0.00,0.00,0.00,1.00,9.00,6.00,0.00,2.00,2.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,4.00,9.00,7.00,0.00,14.00,11.00,8.00,17.00,

 15:22:20
