,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2018 11:36:44
,     Stop Time: ~1/8/2018 12:36:44


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/8/2018 11:36:45
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 11:37:14
Interval Count,0.00,3.00,28.00,0.00,0.00,0.00,0.00,50.00,3.00,36.00,0.00,14.00,
Total Counts,0.00,3.00,28.00,0.00,0.00,0.00,0.00,50.00,3.00,36.00,0.00,14.00,

 11:37:44
Interval Count,0.00,0.00,158.00,0.00,0.00,0.00,3.00,11.00,0.00,113.00,0.00,1.00,
Total Counts,0.00,3.00,186.00,0.00,0.00,0.00,3.00,61.00,3.00,149.00,0.00,15.00,

 11:38:15
Interval Count,60.00,0.00,21.00,19.00,0.00,0.00,0.00,234.00,0.00,129.00,1.00,22.00,
Total Counts,60.00,3.00,207.00,19.00,0.00,0.00,3.00,295.00,3.00,278.00,1.00,37.00,

 11:38:45
Interval Count,0.00,1.00,155.00,0.00,0.00,0.00,0.00,234.00,0.00,73.00,0.00,18.00,
Total Counts,60.00,4.00,362.00,19.00,0.00,0.00,3.00,529.00,3.00,351.00,1.00,55.00,

 11:39:14
Interval Count,75.00,12.00,41.00,0.00,0.00,0.00,0.00,143.00,1.00,144.00,0.00,0.00,
Total Counts,135.00,16.00,403.00,19.00,0.00,0.00,3.00,672.00,4.00,495.00,1.00,55.00,

 11:39:45
Interval Count,0.00,0.00,74.00,0.00,0.00,0.00,0.00,103.00,0.00,138.00,0.00,4.00,
Total Counts,135.00,16.00,477.00,19.00,0.00,0.00,3.00,775.00,4.00,633.00,1.00,59.00,

 11:40:15
Interval Count,128.00,0.00,0.00,0.00,0.00,0.00,2.00,123.00,0.00,168.00,0.00,18.00,
Total Counts,263.00,16.00,477.00,19.00,0.00,0.00,5.00,898.00,4.00,801.00,1.00,77.00,

 11:40:45
Interval Count,2.00,0.00,34.00,2.00,0.00,0.00,0.00,205.00,0.00,136.00,0.00,78.00,
Total Counts,265.00,16.00,511.00,21.00,0.00,0.00,5.00,1103.00,4.00,937.00,1.00,155.00,

 11:41:15
Interval Count,54.00,0.00,0.00,0.00,0.00,0.00,0.00,179.00,17.00,88.00,0.00,0.00,
Total Counts,319.00,16.00,511.00,21.00,0.00,0.00,5.00,1282.00,21.00,1025.00,1.00,155.00,

 11:41:45
Interval Count,183.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,143.00,16.00,12.00,
Total Counts,502.00,16.00,511.00,21.00,0.00,0.00,5.00,1324.00,21.00,1168.00,17.00,167.00,

 11:42:15
Interval Count,240.00,0.00,2.00,0.00,0.00,0.00,0.00,58.00,1.00,88.00,0.00,40.00,
Total Counts,742.00,16.00,513.00,21.00,0.00,0.00,5.00,1382.00,22.00,1256.00,17.00,207.00,

 11:42:45
Interval Count,159.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,0.00,81.00,0.00,0.00,
Total Counts,901.00,16.00,513.00,21.00,0.00,0.00,5.00,1451.00,22.00,1337.00,17.00,207.00,

 11:43:15
Interval Count,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.00,0.00,55.00,
Total Counts,903.00,16.00,513.00,21.00,0.00,0.00,5.00,1451.00,22.00,1468.00,17.00,262.00,

 11:43:45
Interval Count,85.00,0.00,43.00,0.00,0.00,0.00,0.00,186.00,0.00,154.00,0.00,0.00,
Total Counts,988.00,16.00,556.00,21.00,0.00,0.00,5.00,1637.00,22.00,1622.00,17.00,262.00,

 11:44:15
Interval Count,0.00,0.00,15.00,0.00,0.00,0.00,5.00,68.00,0.00,195.00,0.00,13.00,
Total Counts,988.00,16.00,571.00,21.00,0.00,0.00,10.00,1705.00,22.00,1817.00,17.00,275.00,

 11:44:45
Interval Count,0.00,7.00,0.00,4.00,0.00,0.00,0.00,71.00,0.00,133.00,0.00,0.00,
Total Counts,988.00,23.00,571.00,25.00,0.00,0.00,10.00,1776.00,22.00,1950.00,17.00,275.00,

 11:45:15
Interval Count,24.00,2.00,0.00,1.00,0.00,0.00,0.00,149.00,0.00,62.00,1.00,0.00,
Total Counts,1012.00,25.00,571.00,26.00,0.00,0.00,10.00,1925.00,22.00,2012.00,18.00,275.00,

