,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/9/2018 11:59:07
,     Stop Time: ~1/9/2018 12:59:07


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di13_S, Di13_H, Di14_S, Di14_H, Vi15_S, Vi15_H, Vi16_H, Vi16_S, Ri13_H, Ri13_S, Ri14_H, Ri14_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/9/2018 11:59:07
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,

 11:59:37
Interval Count,2.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,4.00,0.00,6.00,
Total Counts,2.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,4.00,0.00,6.00,

 12:00:07
Interval Count,1.00,0.00,6.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,3.00,0.00,6.00,0.00,2.00,2.00,15.00,0.00,0.00,4.00,0.00,6.00,

 12:00:37
Interval Count,58.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,
Total Counts,61.00,0.00,7.00,0.00,3.00,3.00,15.00,0.00,0.00,4.00,0.00,9.00,

 12:01:07
Interval Count,24.00,0.00,5.00,0.00,1.00,0.00,0.00,0.00,7.00,1.00,1.00,2.00,
Total Counts,85.00,0.00,12.00,0.00,4.00,3.00,15.00,0.00,7.00,5.00,1.00,11.00,

 12:01:37
Interval Count,27.00,16.00,0.00,3.00,2.00,1.00,9.00,1.00,1.00,0.00,0.00,30.00,
Total Counts,112.00,16.00,12.00,3.00,6.00,4.00,24.00,1.00,8.00,5.00,1.00,41.00,

 12:02:07
Interval Count,9.00,40.00,0.00,1.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,121.00,56.00,12.00,4.00,6.00,19.00,24.00,1.00,8.00,5.00,1.00,41.00,

 12:02:37
Interval Count,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,123.00,56.00,12.00,4.00,6.00,20.00,24.00,1.00,8.00,5.00,1.00,41.00,

 12:03:07
Interval Count,0.00,0.00,1.00,1.00,2.00,1.00,2.00,0.00,0.00,10.00,1.00,8.00,
Total Counts,123.00,56.00,13.00,5.00,8.00,21.00,26.00,1.00,8.00,15.00,2.00,49.00,

 12:03:37
Interval Count,0.00,55.00,0.00,0.00,0.00,0.00,3.00,6.00,0.00,5.00,0.00,0.00,
Total Counts,123.00,111.00,13.00,5.00,8.00,21.00,29.00,7.00,8.00,20.00,2.00,49.00,

 12:04:07
Interval Count,71.00,76.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,194.00,187.00,13.00,5.00,8.00,21.00,42.00,7.00,8.00,20.00,2.00,49.00,

 12:04:37
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,4.00,
Total Counts,194.00,187.00,13.00,5.00,8.00,21.00,43.00,7.00,9.00,20.00,2.00,53.00,

 12:05:07
Interval Count,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,198.00,187.00,13.00,5.00,8.00,21.00,43.00,7.00,10.00,20.00,2.00,53.00,

 12:05:37
Interval Count,57.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,255.00,187.00,22.00,5.00,8.00,21.00,43.00,7.00,10.00,20.00,2.00,53.00,

 12:06:07
Interval Count,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,283.00,187.00,22.00,5.00,8.00,21.00,43.00,7.00,10.00,20.00,2.00,53.00,

 12:06:37
Interval Count,33.00,0.00,6.00,0.00,3.00,0.00,16.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,316.00,187.00,28.00,5.00,11.00,21.00,59.00,7.00,11.00,20.00,2.00,53.00,

 12:07:07
Interval Count,0.00,0.00,0.00,65.00,0.00,0.00,175.00,0.00,0.00,1.00,0.00,1.00,
