,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/2/2018 12:47:51
,     Stop Time: ~1/2/2018 13:47:51


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di15_S, Di15_H, Di16_S, Di16_H, Vi17_S, Vi17_H, Vi18_H, Vi18_S, Ri15_H, Ri15_S, Ri16_H, Ri16_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/2/2018 12:47:51
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 12:48:21
Interval Count,0.00,4.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,4.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,

 12:48:51
Interval Count,0.00,1.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,5.00,74.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,

 12:49:21
Interval Count,1.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,1.00,5.00,81.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,

 12:49:51
Interval Count,0.00,0.00,54.00,0.00,0.00,17.00,0.00,21.00,0.00,0.00,0.00,8.00,
Total Counts,1.00,5.00,135.00,0.00,1.00,18.00,0.00,21.00,0.00,1.00,0.00,8.00,

 12:50:21
Interval Count,0.00,0.00,7.00,0.00,0.00,0.00,0.00,96.00,0.00,1.00,0.00,0.00,
Total Counts,1.00,5.00,142.00,0.00,1.00,18.00,0.00,117.00,0.00,2.00,0.00,8.00,

 12:50:51
Interval Count,0.00,0.00,47.00,0.00,180.00,1.00,0.00,46.00,0.00,0.00,0.00,1.00,
Total Counts,1.00,5.00,189.00,0.00,181.00,19.00,0.00,163.00,0.00,2.00,0.00,9.00,

 12:51:21
Interval Count,1.00,89.00,84.00,0.00,99.00,0.00,0.00,2.00,2.00,0.00,6.00,0.00,
Total Counts,2.00,94.00,273.00,0.00,280.00,19.00,0.00,165.00,2.00,2.00,6.00,9.00,

 12:51:51
Interval Count,236.00,0.00,112.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,238.00,94.00,385.00,0.00,280.00,19.00,0.00,165.00,2.00,2.00,6.00,9.00,

 12:52:21
Interval Count,166.00,0.00,49.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,404.00,94.00,434.00,22.00,280.00,19.00,0.00,165.00,2.00,2.00,6.00,9.00,

 12:52:51
Interval Count,71.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,475.00,105.00,434.00,22.00,280.00,19.00,0.00,165.00,2.00,2.00,6.00,10.00,

 12:53:21
Interval Count,180.00,0.00,0.00,0.00,168.00,0.00,0.00,84.00,0.00,1.00,0.00,0.00,
Total Counts,655.00,105.00,434.00,22.00,448.00,19.00,0.00,249.00,2.00,3.00,6.00,10.00,

 12:53:51
Interval Count,5.00,0.00,136.00,0.00,240.00,0.00,0.00,1.00,0.00,3.00,1.00,16.00,
Total Counts,660.00,105.00,570.00,22.00,688.00,19.00,0.00,250.00,2.00,6.00,7.00,26.00,

 12:54:21
Interval Count,0.00,0.00,132.00,0.00,139.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,660.00,105.00,702.00,22.00,827.00,44.00,0.00,250.00,2.00,6.00,7.00,26.00,

 12:54:51
Interval Count,106.00,9.00,162.00,0.00,60.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,
Total Counts,766.00,114.00,864.00,22.00,887.00,44.00,0.00,253.00,2.00,6.00,7.00,26.00,

 12:55:21
Interval Count,105.00,0.00,86.00,0.00,43.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00,
Total Counts,871.00,114.00,950.00,22.00,930.00,44.00,0.00,296.00,2.00,6.00,7.00,26.00,

 12:55:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,
Total Counts,871.00,114.00,950.00,22.00,930.00,44.00,0.00,296.00,2.00,7.00,10.00,26.00,

 12:56:21
Interval Count,0.00,6.00,26.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,871.00,120.00,976.00,30.00,930.00,44.00,0.00,296.00,2.00,7.00,10.00,26.00,

 12:56:51
Interval Count,26.00,1.00,116.00,0.00,55.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,
Total Counts,897.00,121.00,1092.00,30.00,985.00,44.00,0.00,296.00,11.00,7.00,10.00,26.00,

 12:57:21
Interval Count,140.00,0.00,106.00,0.00,2.00,1.00,16.00,14.00,0.00,0.00,0.00,0.00,
Total Counts,1037.00,121.00,1198.00,30.00,987.00,45.00,16.00,310.00,11.00,7.00,10.00,26.00,

 12:57:51
Interval Count,83.00,8.00,37.00,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1120.00,129.00,1235.00,30.00,987.00,45.00,60.00,310.00,11.00,7.00,10.00,26.00,

 12:58:21
Interval Count,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,
Total Counts,1120.00,129.00,1265.00,30.00,987.00,45.00,60.00,310.00,11.00,7.00,10.00,59.00,

 12:58:51
