,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,
,Version 10.2.2966.20953,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,
,,USB Interface REV 1 [1],,,,,,,,,,
,     Experiment Name: SaccharinPrefG4W1,,,,,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,
,     Start Time: 1/9/2006 16:20:37,,,,,,,,,,,
,     Stop Time: ~1/9/2006 17:20:37,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Dq1_H, Dq1_S, Dq2_H, Dq2_S, Dq3_H, Dq3_S, Dq4_S, Dq4_H, Dq5_S, Dq5_H, Dq6_S, Dq6_H
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat
,,,,,,,,,,,,
,,,,,,,,,,,,
 1/9/2006 16:20:37,,,,,,,,,,,,
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-
Total Counts,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
 16:21:07,,,,,,,,,,,,
Interval Count,0,0,0,8,0,0,0,0,0,5,0,3
Total Counts,0,0,0,8,0,0,0,0,0,5,0,3
,,,,,,,,,,,,
 16:21:37,,,,,,,,,,,,
Interval Count,0,1,0,13,0,0,1,1,1,0,0,1
Total Counts,0,1,0,21,0,0,1,1,1,5,0,4
,,,,,,,,,,,,
 16:22:07,,,,,,,,,,,,
Interval Count,1,8,0,0,0,0,18,0,0,0,4,0
Total Counts,1,9,0,21,0,0,19,1,1,5,4,4
,,,,,,,,,,,,
 16:22:37,,,,,,,,,,,,
Interval Count,0,0,0,1,193,0,0,0,0,0,0,0
Total Counts,1,9,0,22,193,0,19,1,1,5,4,4
,,,,,,,,,,,,
 16:23:08,,,,,,,,,,,,
Interval Count,0,0,0,0,114,0,0,0,30,0,0,0
Total Counts,1,9,0,22,307,0,19,1,31,5,4,4
,,,,,,,,,,,,
 16:23:37,,,,,,,,,,,,
Interval Count,1,0,0,0,0,0,1,0,0,0,14,1
Total Counts,2,9,0,22,307,0,20,1,31,5,18,5
,,,,,,,,,,,,
 16:24:07,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,1,38,0,0,27
Total Counts,2,9,0,22,307,0,20,2,69,5,18,32
,,,,,,,,,,,,
 16:24:37,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,84,0,122,0,0,0
Total Counts,2,9,0,22,307,0,104,2,191,5,18,32
,,,,,,,,,,,,
 16:25:08,,,,,,,,,,,,
Interval Count,0,0,0,8,0,0,176,0,0,0,40,0
Total Counts,2,9,0,30,307,0,280,2,191,5,58,32
,,,,,,,,,,,,
 16:25:38,,,,,,,,,,,,
Interval Count,0,0,0,0,54,20,46,0,0,1,98,1
Total Counts,2,9,0,30,361,20,326,2,191,6,156,33
,,,,,,,,,,,,
 16:26:07,,,,,,,,,,,,
Interval Count,1,3,0,0,199,0,11,0,0,0,0,0
Total Counts,3,12,0,30,560,20,337,2,191,6,156,33
,,,,,,,,,,,,
 16:26:38,,,,,,,,,,,,
Interval Count,0,2,5,0,240,0,0,2,3,0,0,0
Total Counts,3,14,5,30,800,20,337,4,194,6,156,33
,,,,,,,,,,,,
 16:27:08,,,,,,,,,,,,
Interval Count,0,0,168,0,240,0,0,0,5,16,0,0
Total Counts,3,14,173,30,1040,20,337,4,199,22,156,33
,,,,,,,,,,,,
 16:27:38,,,,,,,,,,,,
Interval Count,0,0,240,0,79,0,10,0,0,0,0,6
Total Counts,3,14,413,30,1119,20,347,4,199,22,156,39
,,,,,,,,,,,,
 16:28:08,,,,,,,,,,,,
Interval Count,0,0,81,0,0,0,0,0,1,1,0,1
Total Counts,3,14,494,30,1119,20,347,4,200,23,156,40
,,,,,,,,,,,,
 16:28:38,,,,,,,,,,,,
Interval Count,0,0,235,0,0,0,6,0,0,0,0,0
Total Counts,3,14,729,30,1119,20,353,4,200,23,156,40
,,,,,,,,,,,,
 16:29:08,,,,,,,,,,,,
