,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/9/2006 19:58:57
,     Stop Time: ~1/9/2006 20:58:57


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq11_H, Dq11_S, Dq12_H, Dq12_S, Dq13_H, Dq13_S, Dq14_S, Dq14_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/9/2006 19:58:57
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 19:59:27
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,

 19:59:57
Interval Count,1.00,7.00,1.00,16.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,7.00,1.00,16.00,0.00,11.00,1.00,0.00,0.00,0.00,0.00,0.00,

 20:00:27
Interval Count,2.00,0.00,1.00,62.00,5.00,1.00,6.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,3.00,7.00,2.00,78.00,5.00,12.00,7.00,0.00,0.00,0.00,0.00,0.00,

 20:00:57
Interval Count,0.00,0.00,0.00,1.00,4.00,1.00,14.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,3.00,7.00,2.00,79.00,9.00,13.00,21.00,0.00,0.00,0.00,0.00,0.00,

 20:01:27
Interval Count,20.00,50.00,72.00,58.00,0.00,0.00,2.00,48.00,0.00,0.00,0.00,0.00,
Total Counts,23.00,57.00,74.00,137.00,9.00,13.00,23.00,48.00,0.00,0.00,0.00,0.00,

 20:01:57
Interval Count,0.00,0.00,13.00,52.00,4.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,23.00,57.00,87.00,189.00,13.00,13.00,24.00,49.00,0.00,0.00,0.00,0.00,

 20:02:27
Interval Count,0.00,0.00,1.00,10.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,23.00,57.00,88.00,199.00,14.00,13.00,24.00,49.00,0.00,0.00,0.00,0.00,

 20:02:57
Interval Count,0.00,0.00,2.00,37.00,0.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,23.00,57.00,90.00,236.00,14.00,137.00,24.00,49.00,0.00,0.00,0.00,0.00,

 20:03:27
Interval Count,70.00,0.00,0.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,93.00,57.00,90.00,312.00,14.00,137.00,24.00,49.00,0.00,0.00,0.00,0.00,

 20:03:57
Interval Count,0.00,11.00,0.00,13.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,93.00,68.00,90.00,325.00,14.00,137.00,25.00,49.00,0.00,0.00,0.00,0.00,

 20:04:27
Interval Count,59.00,96.00,0.00,73.00,0.00,0.00,130.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,152.00,164.00,90.00,398.00,14.00,137.00,155.00,49.00,0.00,0.00,0.00,0.00,

 20:04:57
Interval Count,0.00,0.00,1.00,35.00,5.00,0.00,183.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,152.00,164.00,91.00,433.00,19.00,137.00,338.00,49.00,0.00,0.00,0.00,0.00,

 20:05:27
Interval Count,0.00,0.00,0.00,40.00,0.00,0.00,181.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,152.00,164.00,91.00,473.00,19.00,137.00,519.00,49.00,0.00,0.00,0.00,0.00,

 20:05:57
Interval Count,0.00,1.00,0.00,0.00,0.00,0.00,184.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,152.00,165.00,91.00,473.00,19.00,137.00,703.00,49.00,0.00,0.00,0.00,0.00,

 20:06:27
Interval Count,0.00,0.00,0.00,95.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,152.00,165.00,91.00,568.00,19.00,137.00,803.00,49.00,0.00,0.00,0.00,0.00,

 20:06:57
Interval Count,0.00,0.00,0.00,21.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,
Total Counts,152.00,165.00,91.00,589.00,19.00,137.00,803.00,87.00,0.00,0.00,0.00,0.00,

 20:07:27
Interval Count,9.00,0.00,10.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,161.00,165.00,101.00,615.00,19.00,137.00,803.00,87.00,0.00,0.00,0.00,0.00,

 20:07:57
Interval Count,6.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,167.00,165.00,101.00,615.00,19.00,137.00,827.00,87.00,0.00,0.00,0.00,0.00,

 20:08:27
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,167.00,165.00,101.00,615.00,19.00,137.00,827.00,87.00,0.00,0.00,0.00,0.00,

 20:08:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,167.00,165.00,101.00,615.00,19.00,137.00,827.00,87.00,0.00,0.00,0.00,0.00,

 20:09:28
Interval Count,0.00,0.00,0.00,36.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
