,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,
,Version 10.2.2966.20953,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,
,,USB Interface REV 1 [1],,,,,,,,,,
,     Experiment Name: SaccharinPrefG2W2,,,,,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,
,     Start Time: 10/22/2017 12:27:23,,,,,,,,,,,
,     Stop Time: ~10/22/2017 13:27:23,,,,,,,,,,,


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi8_H, Vi8_S, Vi7_H, Vi7_S, Di5_H, Di5_S, Di6_H, Di6_S
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat


 10/22/2017 12:27:24,,,,,,,,,,,,
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-
Total Counts,0,0,0,0,0,0,0,0,0,0,0,0

 12:27:54,,,,,,,,,,,,
Interval Count,2,48,1,1,0,0,0,0,0,7,6,13
Total Counts,2,48,1,1,0,0,0,0,0,7,6,13

 12:28:24,,,,,,,,,,,,
Interval Count,1,44,0,0,0,0,5,42,1,1,3,73
Total Counts,3,92,1,1,0,0,5,42,1,8,9,86

 12:28:54,,,,,,,,,,,,
Interval Count,0,104,0,0,1,1,0,148,0,0,2,58
Total Counts,3,196,1,1,1,1,5,190,1,8,11,144

 12:29:24,,,,,,,,,,,,
Interval Count,0,44,24,4,18,0,0,86,0,50,1,97
Total Counts,3,240,25,5,19,1,5,276,1,58,12,241

 12:29:54,,,,,,,,,,,,
Interval Count,0,73,1,0,0,0,0,90,0,0,14,46
Total Counts,3,313,26,5,19,1,5,366,1,58,26,287

 12:30:24,,,,,,,,,,,,
Interval Count,0,78,0,0,23,0,0,191,22,0,1,85
Total Counts,3,391,26,5,42,1,5,557,23,58,27,372

 12:30:54,,,,,,,,,,,,
Interval Count,0,42,0,0,0,0,0,186,2,0,0,26
Total Counts,3,433,26,5,42,1,5,743,25,58,27,398

 12:31:24,,,,,,,,,,,,
Interval Count,1,80,0,42,0,142,1,170,1,54,3,92
Total Counts,4,513,26,47,42,143,6,913,26,112,30,490

 12:31:54,,,,,,,,,,,,
Interval Count,0,33,0,187,0,75,1,111,0,27,4,101
Total Counts,4,546,26,234,42,218,7,1024,26,139,34,591

 12:32:24,,,,,,,,,,,,
Interval Count,0,37,7,117,9,0,1,9,0,0,0,94
Total Counts,4,583,33,351,51,218,8,1033,26,139,34,685

 12:32:54,,,,,,,,,,,,
Interval Count,1,80,0,160,0,0,0,6,0,43,0,127
Total Counts,5,663,33,511,51,218,8,1039,26,182,34,812

 12:33:24,,,,,,,,,,,,
Interval Count,0,137,0,42,0,0,0,128,0,23,0,49
Total Counts,5,800,33,553,51,218,8,1167,26,205,34,861

 12:33:54,,,,,,,,,,,,
Interval Count,0,102,9,73,6,0,0,0,0,33,2,50
Total Counts,5,902,42,626,57,218,8,1167,26,238,36,911

 12:34:24,,,,,,,,,,,,
Interval Count,0,48,0,1,8,0,0,133,0,76,0,36
Total Counts,5,950,42,627,65,218,8,1300,26,314,36,947

 12:34:54,,,,,,,,,,,,
Interval Count,1,62,0,0,1,0,0,0,0,9,0,71
Total Counts,6,1012,42,627,66,218,8,1300,26,323,36,1018

 12:35:24,,,,,,,,,,,,
Interval Count,0,44,0,0,0,0,0,0,2,55,0,48
Total Counts,6,1056,42,627,66,218,8,1300,28,378,36,1066

 12:35:54,,,,,,,,,,,,
Interval Count,2,44,0,0,0,0,0,0,0,0,0,25
Total Counts,8,1100,42,627,66,218,8,1300,28,378,36,1091

 12:36:24,,,,,,,,,,,,
Interval Count,0,51,5,0,0,0,0,0,0,50,0,93
Total Counts,8,1151,47,627,66,218,8,1300,28,428,36,1184

 12:36:54,,,,,,,,,,,,
Interval Count,0,38,0,215,0,0,0,0,2,46,0,48
Total Counts,8,1189,47,842,66,218,8,1300,30,474,36,1232

 12:37:24,,,,,,,,,,,,
