,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/22/2017 13:50:33
,     Stop Time: ~10/22/2017 14:50:33


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/22/2017 13:50:33
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 13:51:03
Interval Count,1.00,72.00,3.00,73.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,83.00,
Total Counts,1.00,72.00,3.00,73.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,83.00,

 13:51:33
Interval Count,0.00,110.00,2.00,0.00,0.00,113.00,0.00,54.00,3.00,0.00,0.00,197.00,
Total Counts,1.00,182.00,5.00,73.00,0.00,113.00,52.00,54.00,3.00,0.00,0.00,280.00,

 13:52:03
Interval Count,0.00,36.00,1.00,15.00,0.00,198.00,0.00,187.00,0.00,13.00,0.00,219.00,
Total Counts,1.00,218.00,6.00,88.00,0.00,311.00,52.00,241.00,3.00,13.00,0.00,499.00,

 13:52:33
Interval Count,1.00,101.00,1.00,4.00,0.00,172.00,0.00,83.00,1.00,0.00,0.00,194.00,
Total Counts,2.00,319.00,7.00,92.00,0.00,483.00,52.00,324.00,4.00,13.00,0.00,693.00,

 13:53:03
Interval Count,0.00,218.00,0.00,66.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,164.00,
Total Counts,2.00,537.00,7.00,158.00,0.00,483.00,52.00,328.00,4.00,13.00,0.00,857.00,

 13:53:33
