,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/29/2017 13:24:05
,     Stop Time: ~10/29/2017 14:24:05


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/29/2017 13:24:05
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 13:24:35
Interval Count,0.00,31.00,0.00,64.00,0.00,80.00,0.00,80.00,0.00,3.00,2.00,77.00,
Total Counts,0.00,31.00,0.00,64.00,0.00,80.00,0.00,80.00,0.00,3.00,2.00,77.00,

 13:25:05
Interval Count,0.00,88.00,1.00,25.00,0.00,30.00,2.00,27.00,0.00,0.00,0.00,87.00,
Total Counts,0.00,119.00,1.00,89.00,0.00,110.00,2.00,107.00,0.00,3.00,2.00,164.00,

 13:25:35
Interval Count,0.00,120.00,0.00,72.00,1.00,0.00,0.00,0.00,28.00,1.00,0.00,84.00,
Total Counts,0.00,239.00,1.00,161.00,1.00,110.00,2.00,107.00,28.00,4.00,2.00,248.00,

 13:26:05
Interval Count,0.00,60.00,1.00,41.00,0.00,119.00,0.00,160.00,0.00,0.00,0.00,144.00,
Total Counts,0.00,299.00,2.00,202.00,1.00,229.00,2.00,267.00,28.00,4.00,2.00,392.00,

 13:26:35
Interval Count,0.00,160.00,0.00,145.00,0.00,63.00,9.00,115.00,0.00,138.00,0.00,127.00,
Total Counts,0.00,459.00,2.00,347.00,1.00,292.00,11.00,382.00,28.00,142.00,2.00,519.00,

 13:27:05
