,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,
,Version 10.2.2966.20953,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,
,,USB Interface REV 1 [1],,,,,,,,,,
,     Experiment Name: SaccharinPrefG2W4,,,,,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,
,     Start Time: 10/16/2017 14:02:08,,,,,,,,,,,
,     Stop Time: ~10/16/2017 15:02:08,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat
,,,,,,,,,,,,
,,,,,,,,,,,,
 10/16/2017 14:02:08,,,,,,,,,,,,
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-
Total Counts,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
 14:02:38,,,,,,,,,,,,
Interval Count,0,69,0,0,0,0,0,0,2,0,17,0
Total Counts,0,69,0,0,0,0,0,0,2,0,17,0
,,,,,,,,,,,,
 14:03:08,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,5,1,0,0,0
Total Counts,0,69,0,0,0,0,0,5,3,0,17,0
,,,,,,,,,,,,
 14:03:38,,,,,,,,,,,,
Interval Count,6,0,4,0,0,0,0,0,25,0,6,0
Total Counts,6,69,4,0,0,0,0,5,28,0,23,0
,,,,,,,,,,,,
 14:04:08,,,,,,,,,,,,
Interval Count,0,89,0,1,0,1,0,0,141,0,0,8
Total Counts,6,158,4,1,0,1,0,5,169,0,23,8
,,,,,,,,,,,,
 14:04:38,,,,,,,,,,,,
Interval Count,5,108,1,1,0,0,0,0,27,19,0,0
Total Counts,11,266,5,2,0,1,0,5,196,19,23,8
,,,,,,,,,,,,
 14:05:08,,,,,,,,,,,,
Interval Count,16,82,2,0,0,0,0,0,80,0,12,0
Total Counts,27,348,7,2,0,1,0,5,276,19,35,8
,,,,,,,,,,,,
 14:05:38,,,,,,,,,,,,
Interval Count,4,0,0,0,0,0,0,2,0,5,200,0
Total Counts,31,348,7,2,0,1,0,7,276,24,235,8
,,,,,,,,,,,,
 14:06:08,,,,,,,,,,,,
Interval Count,0,0,0,74,0,0,1,0,0,0,93,0
Total Counts,31,348,7,76,0,1,1,7,276,24,328,8
,,,,,,,,,,,,
 14:06:38,,,,,,,,,,,,
Interval Count,0,60,0,109,0,0,0,0,34,8,7,13
Total Counts,31,408,7,185,0,1,1,7,310,32,335,21
,,,,,,,,,,,,
 14:07:08,,,,,,,,,,,,
Interval Count,5,140,0,137,0,1,0,12,177,0,87,0
Total Counts,36,548,7,322,0,2,1,19,487,32,422,21
,,,,,,,,,,,,
 14:07:38,,,,,,,,,,,,
Interval Count,9,79,0,181,2,2,0,0,185,0,0,0
Total Counts,45,627,7,503,2,4,1,19,672,32,422,21
,,,,,,,,,,,,
 14:08:08,,,,,,,,,,,,
Interval Count,0,205,0,186,6,0,0,1,135,0,1,0
Total Counts,45,832,7,689,8,4,1,20,807,32,423,21
,,,,,,,,,,,,
 14:08:38,,,,,,,,,,,,
Interval Count,8,9,6,63,0,1,12,1,40,0,0,0
Total Counts,53,841,13,752,8,5,13,21,847,32,423,21
,,,,,,,,,,,,
 14:09:08,,,,,,,,,,,,
Interval Count,2,96,0,1,0,8,0,2,0,4,0,0
Total Counts,55,937,13,753,8,13,13,23,847,36,423,21
,,,,,,,,,,,,
 14:09:38,,,,,,,,,,,,
Interval Count,0,60,0,44,0,1,218,0,62,0,102,3
Total Counts,55,997,13,797,8,14,231,23,909,36,525,24
,,,,,,,,,,,,
 14:10:08,,,,,,,,,,,,
Interval Count,0,23,0,0,0,0,23,7,38,0,195,0
Total Counts,55,1020,13,797,8,14,254,30,947,36,720,24
,,,,,,,,,,,,
 14:10:38,,,,,,,,,,,,
