,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/4/2018 10:27:39
,     Stop Time: ~1/4/2018 11:27:39


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/4/2018 10:27:39
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 10:28:09
Interval Count,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,10.00,
Total Counts,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,10.00,

 10:28:39
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,0.00,13.00,
Total Counts,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,23.00,

 10:29:09
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,146.00,0.00,19.00,
Total Counts,0.00,3.00,0.00,2.00,0.00,0.00,4.00,0.00,0.00,216.00,0.00,42.00,

 10:29:39
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,26.00,1.00,0.00,
Total Counts,0.00,3.00,0.00,2.00,0.00,0.00,4.00,99.00,0.00,242.00,1.00,42.00,

 10:30:09
Interval Count,112.00,1.00,2.00,0.00,0.00,0.00,0.00,46.00,0.00,220.00,2.00,19.00,
Total Counts,112.00,4.00,2.00,2.00,0.00,0.00,4.00,145.00,0.00,462.00,3.00,61.00,

 10:30:39
Interval Count,101.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,0.00,160.00,0.00,0.00,
Total Counts,213.00,4.00,2.00,2.00,0.00,0.00,4.00,385.00,0.00,622.00,3.00,61.00,

 10:31:10
Interval Count,40.00,0.00,0.00,0.00,0.00,0.00,0.00,142.00,0.00,209.00,0.00,0.00,
Total Counts,253.00,4.00,2.00,2.00,0.00,0.00,4.00,527.00,0.00,831.00,3.00,61.00,

 10:31:39
Interval Count,75.00,10.00,0.00,0.00,0.00,0.00,0.00,72.00,14.00,115.00,0.00,0.00,
Total Counts,328.00,14.00,2.00,2.00,0.00,0.00,4.00,599.00,14.00,946.00,3.00,61.00,

 10:32:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,1.00,161.00,0.00,0.00,
Total Counts,328.00,14.00,2.00,2.00,0.00,0.00,4.00,639.00,15.00,1107.00,3.00,61.00,

 10:32:40
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,1.00,182.00,0.00,12.00,
Total Counts,328.00,14.00,2.00,2.00,0.00,0.00,4.00,729.00,16.00,1289.00,3.00,73.00,

 10:33:10
Interval Count,10.00,1.00,0.00,0.00,0.00,0.00,0.00,103.00,2.00,159.00,0.00,34.00,
Total Counts,338.00,15.00,2.00,2.00,0.00,0.00,4.00,832.00,18.00,1448.00,3.00,107.00,

 10:33:40
Interval Count,61.00,0.00,0.00,37.00,0.00,0.00,1.00,0.00,0.00,167.00,0.00,2.00,
Total Counts,399.00,15.00,2.00,39.00,0.00,0.00,5.00,832.00,18.00,1615.00,3.00,109.00,

 10:34:09
Interval Count,4.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,50.00,1.00,0.00,
Total Counts,403.00,15.00,2.00,44.00,0.00,0.00,5.00,832.00,18.00,1665.00,4.00,109.00,

 10:34:40
Interval Count,0.00,0.00,13.00,0.00,0.00,0.00,1.00,0.00,0.00,59.00,1.00,0.00,
Total Counts,403.00,15.00,15.00,44.00,0.00,0.00,6.00,832.00,18.00,1724.00,5.00,109.00,

 10:35:10
Interval Count,37.00,0.00,188.00,0.00,0.00,0.00,0.00,0.00,1.00,156.00,3.00,77.00,
Total Counts,440.00,15.00,203.00,44.00,0.00,0.00,6.00,832.00,19.00,1880.00,8.00,186.00,

 10:35:40
Interval Count,71.00,1.00,130.00,0.00,0.00,0.00,3.00,20.00,0.00,0.00,0.00,0.00,
Total Counts,511.00,16.00,333.00,44.00,0.00,0.00,9.00,852.00,19.00,1880.00,8.00,186.00,

 10:36:10
Interval Count,0.00,0.00,7.00,6.00,0.00,0.00,0.00,150.00,3.00,146.00,1.00,0.00,
Total Counts,511.00,16.00,340.00,50.00,0.00,0.00,9.00,1002.00,22.00,2026.00,9.00,186.00,

 10:36:40
