,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2018 11:46:05
,     Stop Time: ~1/7/2018 12:46:05


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/7/2018 11:46:05
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 11:46:35
Interval Count,43.00,1.00,45.00,0.00,0.00,0.00,2.00,26.00,7.00,59.00,3.00,0.00,
Total Counts,43.00,1.00,45.00,0.00,0.00,0.00,2.00,26.00,7.00,59.00,3.00,0.00,

 11:47:05
Interval Count,2.00,0.00,4.00,0.00,0.00,0.00,0.00,41.00,1.00,93.00,19.00,57.00,
Total Counts,45.00,1.00,49.00,0.00,0.00,0.00,2.00,67.00,8.00,152.00,22.00,57.00,

 11:47:35
Interval Count,0.00,0.00,17.00,0.00,0.00,0.00,3.00,134.00,3.00,95.00,0.00,58.00,
Total Counts,45.00,1.00,66.00,0.00,0.00,0.00,5.00,201.00,11.00,247.00,22.00,115.00,

 11:48:05
Interval Count,121.00,0.00,50.00,16.00,0.00,0.00,14.00,121.00,0.00,106.00,0.00,3.00,
Total Counts,166.00,1.00,116.00,16.00,0.00,0.00,19.00,322.00,11.00,353.00,22.00,118.00,

 11:48:35
Interval Count,5.00,1.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,76.00,0.00,22.00,
Total Counts,171.00,2.00,116.00,16.00,0.00,0.00,19.00,358.00,11.00,429.00,22.00,140.00,

 11:49:05
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,2.00,48.00,0.00,127.00,0.00,4.00,
Total Counts,171.00,2.00,116.00,16.00,0.00,0.00,21.00,406.00,11.00,556.00,22.00,144.00,

 11:49:35
Interval Count,26.00,2.00,8.00,1.00,0.00,0.00,0.00,86.00,3.00,94.00,0.00,4.00,
Total Counts,197.00,4.00,124.00,17.00,0.00,0.00,21.00,492.00,14.00,650.00,22.00,148.00,

 11:50:05
Interval Count,78.00,0.00,2.00,5.00,0.00,0.00,0.00,47.00,0.00,140.00,9.00,0.00,
Total Counts,275.00,4.00,126.00,22.00,0.00,0.00,21.00,539.00,14.00,790.00,31.00,148.00,

 11:50:35
Interval Count,82.00,2.00,0.00,0.00,0.00,0.00,0.00,107.00,1.00,49.00,0.00,1.00,
Total Counts,357.00,6.00,126.00,22.00,0.00,0.00,21.00,646.00,15.00,839.00,31.00,149.00,

 11:51:05
Interval Count,32.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,15.00,24.00,69.00,
Total Counts,389.00,6.00,126.00,22.00,0.00,0.00,21.00,700.00,15.00,854.00,55.00,218.00,

 11:51:35
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00,0.00,180.00,0.00,54.00,
Total Counts,389.00,6.00,126.00,22.00,0.00,0.00,21.00,789.00,15.00,1034.00,55.00,272.00,

 11:52:05
Interval Count,6.00,2.00,0.00,0.00,0.00,0.00,0.00,9.00,4.00,64.00,0.00,17.00,
Total Counts,395.00,8.00,126.00,22.00,0.00,0.00,21.00,798.00,19.00,1098.00,55.00,289.00,

 11:52:35
Interval Count,99.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00,0.00,141.00,0.00,72.00,
Total Counts,494.00,8.00,126.00,22.00,0.00,0.00,21.00,882.00,19.00,1239.00,55.00,361.00,

 11:53:05
Interval Count,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,133.00,0.00,37.00,
Total Counts,494.00,8.00,141.00,22.00,0.00,0.00,21.00,882.00,19.00,1372.00,55.00,398.00,

 11:53:35
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.00,1.00,81.00,0.00,28.00,
Total Counts,494.00,8.00,141.00,22.00,0.00,0.00,21.00,1043.00,20.00,1453.00,55.00,426.00,

 11:54:05
Interval Count,21.00,2.00,0.00,0.00,0.00,0.00,1.00,122.00,0.00,161.00,0.00,0.00,
Total Counts,515.00,10.00,141.00,22.00,0.00,0.00,22.00,1165.00,20.00,1614.00,55.00,426.00,

 11:54:35
Interval Count,81.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,101.00,1.00,38.00,
Total Counts,596.00,10.00,141.00,22.00,0.00,0.00,22.00,1224.00,20.00,1715.00,56.00,464.00,

 11:55:05
