,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/9/2018 13:45:28
,     Stop Time: ~1/9/2018 14:45:28


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di15_S, Di15_H, Di16_S, Di16_H, Vi17_S, Vi17_H, Vi18_H, Vi18_S, Ri15_H, Ri15_S, Ri16_H, Ri16_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/9/2018 13:45:29
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 13:45:58
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 13:46:28
Interval Count,23.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,23.00,0.00,1.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,

 13:46:58
Interval Count,1.00,0.00,0.00,0.00,15.00,1.00,0.00,5.00,0.00,1.00,1.00,4.00,
Total Counts,24.00,0.00,1.00,0.00,15.00,6.00,1.00,5.00,0.00,1.00,1.00,4.00,

 13:47:29
Interval Count,5.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,0.00,0.00,0.00,
Total Counts,29.00,2.00,1.00,0.00,15.00,6.00,2.00,6.00,4.00,1.00,1.00,4.00,

 13:47:58
Interval Count,7.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,
Total Counts,36.00,3.00,4.00,0.00,15.00,6.00,2.00,6.00,4.00,1.00,3.00,4.00,

 13:48:28
Interval Count,0.00,145.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,36.00,148.00,6.00,0.00,15.00,6.00,2.00,6.00,4.00,1.00,3.00,4.00,

 13:48:58
Interval Count,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,36.00,148.00,6.00,0.00,18.00,6.00,2.00,6.00,4.00,1.00,3.00,5.00,

 13:49:29
Interval Count,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,5.00,0.00,0.00,
Total Counts,36.00,148.00,6.00,0.00,19.00,6.00,2.00,7.00,4.00,6.00,3.00,5.00,

 13:49:59
Interval Count,28.00,1.00,17.00,17.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,64.00,149.00,23.00,17.00,19.00,6.00,2.00,7.00,4.00,7.00,3.00,5.00,

 13:50:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,64.00,149.00,23.00,17.00,19.00,6.00,2.00,7.00,4.00,7.00,3.00,5.00,

 13:50:59
Interval Count,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,25.00,
Total Counts,64.00,153.00,23.00,17.00,19.00,6.00,2.00,7.00,5.00,7.00,3.00,30.00,

 13:51:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,64.00,153.00,23.00,17.00,19.00,6.00,5.00,7.00,5.00,7.00,3.00,30.00,

 13:51:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,6.00,26.00,0.00,
Total Counts,64.00,153.00,23.00,17.00,19.00,6.00,5.00,8.00,5.00,13.00,29.00,30.00,

 13:52:29
Interval Count,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,64.00,153.00,23.00,17.00,19.00,15.00,5.00,8.00,5.00,13.00,29.00,30.00,

 13:52:59
Interval Count,0.00,0.00,8.00,0.00,48.00,6.00,0.00,0.00,0.00,16.00,0.00,0.00,
Total Counts,64.00,153.00,31.00,17.00,67.00,21.00,5.00,8.00,5.00,29.00,29.00,30.00,

 13:53:29
Interval Count,0.00,0.00,0.00,0.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,40.00,
Total Counts,64.00,153.00,31.00,17.00,67.00,83.00,5.00,8.00,5.00,29.00,29.00,70.00,

 13:53:59
Interval Count,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,
Total Counts,99.00,153.00,31.00,17.00,67.00,83.00,5.00,8.00,5.00,29.00,29.00,137.00,

 13:54:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.00,
Total Counts,99.00,153.00,31.00,17.00,67.00,83.00,5.00,8.00,5.00,29.00,29.00,293.00,

 13:54:59
Interval Count,0.00,0.00,0.00,0.00,7.00,0.00,2.00,0.00,0.00,0.00,0.00,5.00,
Total Counts,99.00,153.00,31.00,17.00,74.00,83.00,7.00,8.00,5.00,29.00,29.00,298.00,

 13:55:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,99.00,153.00,31.00,17.00,74.00,83.00,7.00,8.00,5.00,29.00,29.00,298.00,

 13:55:59
Interval Count,0.00,0.00,0.00,11.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,99.00,153.00,31.00,28.00,75.00,83.00,7.00,8.00,5.00,29.00,29.00,298.00,

 13:56:29
