,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2006 21:36:02
,     Stop Time: ~1/8/2006 22:36:02


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq11_H, Dq11_S, Dq12_H, Dq12_S, Dq13_H, Dq13_S, Dq14_S, Dq14_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/8/2006 21:36:03
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,

 21:36:33
Interval Count,0.00,145.00,0.00,78.00,0.00,19.00,0.00,4.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,145.00,0.00,78.00,0.00,19.00,0.00,5.00,0.00,0.00,0.00,0.00,

 21:37:03
Interval Count,0.00,41.00,0.00,39.00,0.00,202.00,157.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,186.00,0.00,117.00,0.00,221.00,157.00,5.00,0.00,0.00,0.00,0.00,

 21:37:33
Interval Count,0.00,87.00,0.00,102.00,0.00,173.00,104.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,273.00,0.00,219.00,0.00,394.00,261.00,5.00,0.00,0.00,0.00,0.00,

 21:38:03
Interval Count,1.00,60.00,0.00,13.00,0.00,118.00,104.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,333.00,0.00,232.00,0.00,512.00,365.00,6.00,0.00,0.00,0.00,0.00,

 21:38:33
Interval Count,0.00,201.00,0.00,118.00,0.00,200.00,103.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,534.00,0.00,350.00,0.00,712.00,468.00,6.00,0.00,0.00,0.00,0.00,

 21:39:03
Interval Count,0.00,130.00,2.00,79.00,0.00,16.00,34.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,664.00,2.00,429.00,0.00,728.00,502.00,6.00,0.00,0.00,0.00,0.00,

 21:39:33
Interval Count,0.00,56.00,0.00,14.00,0.00,148.00,103.00,4.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,720.00,2.00,443.00,0.00,876.00,605.00,10.00,0.00,0.00,0.00,0.00,

 21:40:03
Interval Count,0.00,0.00,0.00,58.00,0.00,5.00,118.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,720.00,2.00,501.00,0.00,881.00,723.00,11.00,0.00,0.00,0.00,0.00,

 21:40:33
Interval Count,0.00,2.00,0.00,81.00,0.00,0.00,77.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,722.00,2.00,582.00,0.00,881.00,800.00,11.00,0.00,0.00,0.00,0.00,

 21:41:03
Interval Count,0.00,125.00,0.00,13.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,847.00,2.00,595.00,0.00,881.00,898.00,11.00,0.00,0.00,0.00,0.00,

 21:41:33
Interval Count,0.00,230.00,0.00,0.00,0.00,2.00,58.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1077.00,2.00,595.00,0.00,883.00,956.00,11.00,0.00,0.00,0.00,0.00,

 21:42:03
Interval Count,0.00,143.00,0.00,71.00,0.00,0.00,91.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1220.00,2.00,666.00,0.00,883.00,1047.00,11.00,0.00,0.00,0.00,0.00,

 21:42:33
Interval Count,0.00,47.00,0.00,102.00,6.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1267.00,2.00,768.00,6.00,883.00,1090.00,11.00,0.00,0.00,0.00,0.00,

 21:43:03
Interval Count,0.00,101.00,0.00,41.00,0.00,107.00,81.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1368.00,2.00,809.00,6.00,990.00,1171.00,11.00,0.00,0.00,0.00,0.00,

 21:43:33
Interval Count,0.00,1.00,0.00,42.00,0.00,142.00,48.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1369.00,2.00,851.00,6.00,1132.00,1219.00,11.00,0.00,0.00,0.00,0.00,

 21:44:03
Interval Count,0.00,0.00,0.00,64.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1369.00,2.00,915.00,6.00,1132.00,1262.00,11.00,0.00,0.00,0.00,0.00,

 21:44:33
Interval Count,0.00,0.00,0.00,41.00,0.00,171.00,27.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1369.00,2.00,956.00,6.00,1303.00,1289.00,11.00,0.00,0.00,0.00,0.00,

 21:45:03
Interval Count,0.00,0.00,0.00,69.00,0.00,240.00,119.00,3.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1369.00,2.00,1025.00,6.00,1543.00,1408.00,14.00,0.00,0.00,0.00,0.00,

 21:45:33
Interval Count,0.00,158.00,58.00,0.00,0.00,117.00,107.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1527.00,60.00,1025.00,6.00,1660.00,1515.00,14.00,0.00,0.00,0.00,0.00,

 21:46:03
Interval Count,0.00,0.00,0.00,151.00,0.00,65.00,117.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1527.00,60.00,1176.00,6.00,1725.00,1632.00,15.00,0.00,0.00,0.00,0.00,

 21:46:33
