,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2006 21:07:57
,     Stop Time: ~1/7/2006 22:07:57


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq11_H, Dq11_S, Dq12_H, Dq12_S, Dq13_H, Dq13_S, Dq14_S, Dq14_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/7/2006 21:07:58
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 21:08:27
Interval Count,0.00,0.00,4.00,59.00,0.00,1.00,90.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,4.00,59.00,0.00,1.00,90.00,0.00,0.00,0.00,0.00,0.00,

 21:08:58
Interval Count,0.00,165.00,1.00,0.00,0.00,0.00,75.00,12.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,165.00,5.00,59.00,0.00,1.00,165.00,12.00,0.00,0.00,0.00,0.00,

 21:09:28
Interval Count,4.00,107.00,0.00,80.00,0.00,177.00,75.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,4.00,272.00,5.00,139.00,0.00,178.00,240.00,13.00,0.00,0.00,0.00,0.00,

 21:09:58
Interval Count,0.00,3.00,2.00,57.00,0.00,107.00,181.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,4.00,275.00,7.00,196.00,0.00,285.00,421.00,13.00,0.00,0.00,0.00,0.00,

 21:10:28
Interval Count,0.00,157.00,1.00,46.00,0.00,3.00,194.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,4.00,432.00,8.00,242.00,0.00,288.00,615.00,13.00,0.00,0.00,0.00,0.00,

 21:10:58
Interval Count,2.00,134.00,1.00,28.00,0.00,0.00,193.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,6.00,566.00,9.00,270.00,0.00,288.00,808.00,13.00,0.00,0.00,0.00,0.00,

 21:11:28
Interval Count,0.00,239.00,0.00,32.00,0.00,0.00,198.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,6.00,805.00,9.00,302.00,0.00,288.00,1006.00,13.00,0.00,0.00,0.00,0.00,

 21:11:58
Interval Count,0.00,240.00,0.00,79.00,0.00,0.00,81.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,6.00,1045.00,9.00,381.00,0.00,288.00,1087.00,13.00,0.00,0.00,0.00,0.00,

 21:12:28
Interval Count,0.00,128.00,0.00,72.00,0.00,182.00,117.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,6.00,1173.00,9.00,453.00,0.00,470.00,1204.00,13.00,0.00,0.00,0.00,0.00,

 21:12:58
Interval Count,0.00,34.00,1.00,29.00,0.00,90.00,121.00,5.00,0.00,0.00,0.00,0.00,
Total Counts,6.00,1207.00,10.00,482.00,0.00,560.00,1325.00,18.00,0.00,0.00,0.00,0.00,

 21:13:28
Interval Count,45.00,0.00,0.00,0.00,12.00,172.00,63.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,1207.00,10.00,482.00,12.00,732.00,1388.00,18.00,0.00,0.00,0.00,0.00,

 21:13:58
Interval Count,0.00,63.00,0.00,0.00,0.00,241.00,106.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,1270.00,10.00,482.00,12.00,973.00,1494.00,18.00,0.00,0.00,0.00,0.00,

 21:14:28
Interval Count,0.00,240.00,0.00,29.00,0.00,143.00,102.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,1510.00,10.00,511.00,12.00,1116.00,1596.00,18.00,0.00,0.00,0.00,0.00,

 21:14:58
Interval Count,0.00,240.00,0.00,28.00,0.00,0.00,199.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,1750.00,10.00,539.00,12.00,1116.00,1795.00,18.00,0.00,0.00,0.00,0.00,

 21:15:28
Interval Count,0.00,240.00,0.00,94.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,1990.00,10.00,633.00,12.00,1116.00,1995.00,18.00,0.00,0.00,0.00,0.00,

 21:15:58
Interval Count,0.00,240.00,0.00,28.00,1.00,201.00,192.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,2230.00,10.00,661.00,13.00,1317.00,2187.00,18.00,0.00,0.00,0.00,0.00,

 21:16:28
Interval Count,0.00,240.00,0.00,68.00,0.00,240.00,186.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,2470.00,10.00,729.00,13.00,1557.00,2373.00,18.00,0.00,0.00,0.00,0.00,

 21:16:58
Interval Count,0.00,240.00,6.00,40.00,0.00,17.00,195.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,2710.00,16.00,769.00,13.00,1574.00,2568.00,18.00,0.00,0.00,0.00,0.00,

 21:17:28
Interval Count,0.00,241.00,57.00,43.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,2951.00,73.00,812.00,13.00,1574.00,2666.00,18.00,0.00,0.00,0.00,0.00,

 21:17:58
Interval Count,0.00,240.00,0.00,60.00,0.00,190.00,53.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,3191.00,73.00,872.00,13.00,1764.00,2719.00,18.00,0.00,0.00,0.00,0.00,

 21:18:28
