userId	geneSymbol	geneName	entrezgene	gLink
Tubb4a	Tubb4a	tubulin, beta 4A class IVA	22153	https://www.ncbi.nlm.nih.gov/gene/?term=22153
Tmod2	Tmod2	tropomodulin 2	50876	https://www.ncbi.nlm.nih.gov/gene/?term=50876
Grin1	Grin1	glutamate receptor, ionotropic, NMDA1 (zeta 1)	14810	https://www.ncbi.nlm.nih.gov/gene/?term=14810
Hepacam	Hepacam	hepatocyte cell adhesion molecule	72927	https://www.ncbi.nlm.nih.gov/gene/?term=72927
Lrtm2	Lrtm2	leucine-rich repeats and transmembrane domains 2	211187	https://www.ncbi.nlm.nih.gov/gene/?term=211187
Cntn1	Cntn1	contactin 1	12805	https://www.ncbi.nlm.nih.gov/gene/?term=12805
Sult4a1	Sult4a1	sulfotransferase family 4A, member 1	29859	https://www.ncbi.nlm.nih.gov/gene/?term=29859
Nsg2	Nsg2	neuron specific gene family member 2	18197	https://www.ncbi.nlm.nih.gov/gene/?term=18197
Adam23	Adam23	a disintegrin and metallopeptidase domain 23	23792	https://www.ncbi.nlm.nih.gov/gene/?term=23792
Amer2	Amer2	APC membrane recruitment 2	72125	https://www.ncbi.nlm.nih.gov/gene/?term=72125
Ndrg4	Ndrg4	N-myc downstream regulated gene 4	234593	https://www.ncbi.nlm.nih.gov/gene/?term=234593
Stx1b	Stx1b	syntaxin 1B	56216	https://www.ncbi.nlm.nih.gov/gene/?term=56216
Prnp	Prnp	prion protein	19122	https://www.ncbi.nlm.nih.gov/gene/?term=19122
Atp1b1	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	11931	https://www.ncbi.nlm.nih.gov/gene/?term=11931
Faim2	Faim2	Fas apoptotic inhibitory molecule 2	72393	https://www.ncbi.nlm.nih.gov/gene/?term=72393
Mtmr7	Mtmr7	myotubularin related protein 7	54384	https://www.ncbi.nlm.nih.gov/gene/?term=54384
Syt11	Syt11	synaptotagmin XI	229521	https://www.ncbi.nlm.nih.gov/gene/?term=229521
Pfkm	Pfkm	phosphofructokinase, muscle	18642	https://www.ncbi.nlm.nih.gov/gene/?term=18642
Ddah1	Ddah1	dimethylarginine dimethylaminohydrolase 1	69219	https://www.ncbi.nlm.nih.gov/gene/?term=69219
Kif21a	Kif21a	kinesin family member 21A	16564	https://www.ncbi.nlm.nih.gov/gene/?term=16564
Nmnat2	Nmnat2	nicotinamide nucleotide adenylyltransferase 2	226518	https://www.ncbi.nlm.nih.gov/gene/?term=226518
Ncam2	Ncam2	neural cell adhesion molecule 2	17968	https://www.ncbi.nlm.nih.gov/gene/?term=17968
Cbx6	Cbx6	chromobox 6	494448	https://www.ncbi.nlm.nih.gov/gene/?term=494448
Nap1l2	Nap1l2	nucleosome assembly protein 1-like 2	17954	https://www.ncbi.nlm.nih.gov/gene/?term=17954
Syn1	Syn1	synapsin I	20964	https://www.ncbi.nlm.nih.gov/gene/?term=20964
Cdh8	Cdh8	cadherin 8	12564	https://www.ncbi.nlm.nih.gov/gene/?term=12564
Grm3	Grm3	glutamate receptor, metabotropic 3	108069	https://www.ncbi.nlm.nih.gov/gene/?term=108069
Gnal	Gnal	guanine nucleotide binding protein, alpha stimulating, olfactory type	14680	https://www.ncbi.nlm.nih.gov/gene/?term=14680
Rab3a	Rab3a	RAB3A, member RAS oncogene family	19339	https://www.ncbi.nlm.nih.gov/gene/?term=19339
Ctnna2	Ctnna2	catenin (cadherin associated protein), alpha 2	12386	https://www.ncbi.nlm.nih.gov/gene/?term=12386
Ccdc92b	Ccdc92b	coiled-coil domain containing 92B	432582	https://www.ncbi.nlm.nih.gov/gene/?term=432582
Dync1i1	Dync1i1	dynein cytoplasmic 1 intermediate chain 1	13426	https://www.ncbi.nlm.nih.gov/gene/?term=13426
Lrp11	Lrp11	low density lipoprotein receptor-related protein 11	237253	https://www.ncbi.nlm.nih.gov/gene/?term=237253
Cend1	Cend1	cell cycle exit and neuronal differentiation 1	57754	https://www.ncbi.nlm.nih.gov/gene/?term=57754
Arx	Arx	aristaless related homeobox	11878	https://www.ncbi.nlm.nih.gov/gene/?term=11878
Tcaf1	Tcaf1	TRPM8 channel-associated factor 1	77574	https://www.ncbi.nlm.nih.gov/gene/?term=77574
Nsf	Nsf	N-ethylmaleimide sensitive fusion protein	18195	https://www.ncbi.nlm.nih.gov/gene/?term=18195
Gria1	Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	14799	https://www.ncbi.nlm.nih.gov/gene/?term=14799
Eef1a2	Eef1a2	eukaryotic translation elongation factor 1 alpha 2	13628	https://www.ncbi.nlm.nih.gov/gene/?term=13628
Thy1	Thy1	thymus cell antigen 1, theta	21838	https://www.ncbi.nlm.nih.gov/gene/?term=21838
Ppargc1a	Ppargc1a	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	19017	https://www.ncbi.nlm.nih.gov/gene/?term=19017
Sesn3	Sesn3	sestrin 3	75747	https://www.ncbi.nlm.nih.gov/gene/?term=75747
Calm1	Calm1	calmodulin 1	12313	https://www.ncbi.nlm.nih.gov/gene/?term=12313
Ntrk2	Ntrk2	neurotrophic tyrosine kinase, receptor, type 2	18212	https://www.ncbi.nlm.nih.gov/gene/?term=18212
Cldn11	Cldn11	claudin 11	18417	https://www.ncbi.nlm.nih.gov/gene/?term=18417
Plpp3	Plpp3	phospholipid phosphatase 3	67916	https://www.ncbi.nlm.nih.gov/gene/?term=67916
Tuba4a	Tuba4a	tubulin, alpha 4A	22145	https://www.ncbi.nlm.nih.gov/gene/?term=22145
Sncb	Sncb	synuclein, beta	104069	https://www.ncbi.nlm.nih.gov/gene/?term=104069
Tmem59l	Tmem59l	transmembrane protein 59-like	67937	https://www.ncbi.nlm.nih.gov/gene/?term=67937
Drp2	Drp2	dystrophin related protein 2	13497	https://www.ncbi.nlm.nih.gov/gene/?term=13497
Mmd2	Mmd2	monocyte to macrophage differentiation-associated 2	75104	https://www.ncbi.nlm.nih.gov/gene/?term=75104
Rerg	Rerg	RAS-like, estrogen-regulated, growth-inhibitor	232441	https://www.ncbi.nlm.nih.gov/gene/?term=232441
Spock1	Spock1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1	20745	https://www.ncbi.nlm.nih.gov/gene/?term=20745
Enpp5	Enpp5	ectonucleotide pyrophosphatase/phosphodiesterase 5	83965	https://www.ncbi.nlm.nih.gov/gene/?term=83965
Sema5a	Sema5a	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	20356	https://www.ncbi.nlm.nih.gov/gene/?term=20356
Ttyh1	Ttyh1	tweety family member 1	57776	https://www.ncbi.nlm.nih.gov/gene/?term=57776
Lsamp	Lsamp	limbic system-associated membrane protein	268890	https://www.ncbi.nlm.nih.gov/gene/?term=268890
Asrgl1	Asrgl1	asparaginase like 1	66514	https://www.ncbi.nlm.nih.gov/gene/?term=66514
Snap47	Snap47	synaptosomal-associated protein, 47	67826	https://www.ncbi.nlm.nih.gov/gene/?term=67826
Usp11	Usp11	ubiquitin specific peptidase 11	236733	https://www.ncbi.nlm.nih.gov/gene/?term=236733
Ankrd45	Ankrd45	ankyrin repeat domain 45	73844	https://www.ncbi.nlm.nih.gov/gene/?term=73844
Actr3b	Actr3b	ARP3 actin-related protein 3B	242894	https://www.ncbi.nlm.nih.gov/gene/?term=242894
Syngr3	Syngr3	synaptogyrin 3	20974	https://www.ncbi.nlm.nih.gov/gene/?term=20974
Prkar2b	Prkar2b	protein kinase, cAMP dependent regulatory, type II beta	19088	https://www.ncbi.nlm.nih.gov/gene/?term=19088
Vstm2a	Vstm2a	V-set and transmembrane domain containing 2A	211739	https://www.ncbi.nlm.nih.gov/gene/?term=211739
Tspan2	Tspan2	tetraspanin 2	70747	https://www.ncbi.nlm.nih.gov/gene/?term=70747
Braf	Braf	Braf transforming gene	109880	https://www.ncbi.nlm.nih.gov/gene/?term=109880
Sh3gl2	Sh3gl2	SH3-domain GRB2-like 2	20404	https://www.ncbi.nlm.nih.gov/gene/?term=20404
Kifap3	Kifap3	kinesin-associated protein 3	16579	https://www.ncbi.nlm.nih.gov/gene/?term=16579
Syt1	Syt1	synaptotagmin I	20979	https://www.ncbi.nlm.nih.gov/gene/?term=20979
Dpp6	Dpp6	dipeptidylpeptidase 6	13483	https://www.ncbi.nlm.nih.gov/gene/?term=13483
Tsc22d1	Tsc22d1	TSC22 domain family, member 1	21807	https://www.ncbi.nlm.nih.gov/gene/?term=21807
Fgf13	Fgf13	fibroblast growth factor 13	14168	https://www.ncbi.nlm.nih.gov/gene/?term=14168
Zfyve9	Zfyve9	zinc finger, FYVE domain containing 9	230597	https://www.ncbi.nlm.nih.gov/gene/?term=230597
Tspyl5	Tspyl5	testis-specific protein, Y-encoded-like 5	239364	https://www.ncbi.nlm.nih.gov/gene/?term=239364
Thsd7a	Thsd7a	thrombospondin, type I, domain containing 7A	330267	https://www.ncbi.nlm.nih.gov/gene/?term=330267
Osbpl8	Osbpl8	oxysterol binding protein-like 8	237542	https://www.ncbi.nlm.nih.gov/gene/?term=237542
Pcdhgb7	Pcdhgb7	protocadherin gamma subfamily B, 7	93704	https://www.ncbi.nlm.nih.gov/gene/?term=93704
Kcnk1	Kcnk1	potassium channel, subfamily K, member 1	16525	https://www.ncbi.nlm.nih.gov/gene/?term=16525
Zkscan16	Zkscan16	zinc finger with KRAB and SCAN domains 16	100041581	https://www.ncbi.nlm.nih.gov/gene/?term=100041581
Ankrd34a	Ankrd34a	ankyrin repeat domain 34A	545554	https://www.ncbi.nlm.nih.gov/gene/?term=545554
Pde1b	Pde1b	phosphodiesterase 1B, Ca2+-calmodulin dependent	18574	https://www.ncbi.nlm.nih.gov/gene/?term=18574
Rasgrp1	Rasgrp1	RAS guanyl releasing protein 1	19419	https://www.ncbi.nlm.nih.gov/gene/?term=19419
Scrn1	Scrn1	secernin 1	69938	https://www.ncbi.nlm.nih.gov/gene/?term=69938
Ptprz1	Ptprz1	protein tyrosine phosphatase, receptor type Z, polypeptide 1	19283	https://www.ncbi.nlm.nih.gov/gene/?term=19283
Pcdh10	Pcdh10	protocadherin 10	18526	https://www.ncbi.nlm.nih.gov/gene/?term=18526
Syt13	Syt13	synaptotagmin XIII	80976	https://www.ncbi.nlm.nih.gov/gene/?term=80976
Ptprn	Ptprn	protein tyrosine phosphatase, receptor type, N	19275	https://www.ncbi.nlm.nih.gov/gene/?term=19275
Pfkp	Pfkp	phosphofructokinase, platelet	56421	https://www.ncbi.nlm.nih.gov/gene/?term=56421
Sgip1	Sgip1	SH3-domain GRB2-like (endophilin) interacting protein 1	73094	https://www.ncbi.nlm.nih.gov/gene/?term=73094
Slc25a4	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4	11739	https://www.ncbi.nlm.nih.gov/gene/?term=11739
Kif3c	Kif3c	kinesin family member 3C	16570	https://www.ncbi.nlm.nih.gov/gene/?term=16570
Hecw1	Hecw1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	94253	https://www.ncbi.nlm.nih.gov/gene/?term=94253
Abat	Abat	4-aminobutyrate aminotransferase	268860	https://www.ncbi.nlm.nih.gov/gene/?term=268860
Gstm1	Gstm1	glutathione S-transferase, mu 1	14862	https://www.ncbi.nlm.nih.gov/gene/?term=14862
Ephb1	Ephb1	Eph receptor B1	270190	https://www.ncbi.nlm.nih.gov/gene/?term=270190
Csrp1	Csrp1	cysteine and glycine-rich protein 1	13007	https://www.ncbi.nlm.nih.gov/gene/?term=13007
Psip1	Psip1	PC4 and SFRS1 interacting protein 1	101739	https://www.ncbi.nlm.nih.gov/gene/?term=101739
Fjx1	Fjx1	four jointed box 1	14221	https://www.ncbi.nlm.nih.gov/gene/?term=14221
Cpe	Cpe	carboxypeptidase E	12876	https://www.ncbi.nlm.nih.gov/gene/?term=12876
Fam49a	Fam49a	family with sequence similarity 49, member A	76820	https://www.ncbi.nlm.nih.gov/gene/?term=76820
Arhgef9	Arhgef9	CDC42 guanine nucleotide exchange factor (GEF) 9	236915	https://www.ncbi.nlm.nih.gov/gene/?term=236915
Uchl1	Uchl1	ubiquitin carboxy-terminal hydrolase L1	22223	https://www.ncbi.nlm.nih.gov/gene/?term=22223
Slc4a4	Slc4a4	solute carrier family 4 (anion exchanger), member 4	54403	https://www.ncbi.nlm.nih.gov/gene/?term=54403
Cadm4	Cadm4	cell adhesion molecule 4	260299	https://www.ncbi.nlm.nih.gov/gene/?term=260299
Rufy3	Rufy3	RUN and FYVE domain containing 3	52822	https://www.ncbi.nlm.nih.gov/gene/?term=52822
Efnb3	Efnb3	ephrin B3	13643	https://www.ncbi.nlm.nih.gov/gene/?term=13643
Lrrn3	Lrrn3	leucine rich repeat protein 3, neuronal	16981	https://www.ncbi.nlm.nih.gov/gene/?term=16981
Chl1	Chl1	cell adhesion molecule L1-like	12661	https://www.ncbi.nlm.nih.gov/gene/?term=12661
Trim32	Trim32	tripartite motif-containing 32	69807	https://www.ncbi.nlm.nih.gov/gene/?term=69807
Grm5	Grm5	glutamate receptor, metabotropic 5	108071	https://www.ncbi.nlm.nih.gov/gene/?term=108071
Wscd1	Wscd1	WSC domain containing 1	216881	https://www.ncbi.nlm.nih.gov/gene/?term=216881
Elavl3	Elavl3	ELAV like RNA binding protein 3	15571	https://www.ncbi.nlm.nih.gov/gene/?term=15571
Pcsk1n	Pcsk1n	proprotein convertase subtilisin/kexin type 1 inhibitor	30052	https://www.ncbi.nlm.nih.gov/gene/?term=30052
Prkacb	Prkacb	protein kinase, cAMP dependent, catalytic, beta	18749	https://www.ncbi.nlm.nih.gov/gene/?term=18749
Arl8a	Arl8a	ADP-ribosylation factor-like 8A	68724	https://www.ncbi.nlm.nih.gov/gene/?term=68724
Gja1	Gja1	gap junction protein, alpha 1	14609	https://www.ncbi.nlm.nih.gov/gene/?term=14609
Cdk17	Cdk17	cyclin-dependent kinase 17	237459	https://www.ncbi.nlm.nih.gov/gene/?term=237459
Sh3rf2	Sh3rf2	SH3 domain containing ring finger 2	269016	https://www.ncbi.nlm.nih.gov/gene/?term=269016
Aldoc	Aldoc	aldolase C, fructose-bisphosphate	11676	https://www.ncbi.nlm.nih.gov/gene/?term=11676
